Time,Brooklyn,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:25.0, ,60-65,D. Murray makes 2-pt jump shot from 17 ft,,3,65,60,5,1655.0
8:12.0,M. Bridges misses 2-pt jump shot from 16 ft,60-65, ,,3,65,60,5,1668.0
8:09.0,Offensive rebound by N. Claxton,60-65, ,,3,65,60,5,1671.0
8:05.0,M. Bridges makes 2-pt dunk from 1 ft (assist by C. Johnson),62-65, ,,3,65,62,3,1675.0
7:45.0, ,62-65,Shooting foul by N. Claxton (drawn by S. Bey),,3,65,62,3,1695.0
7:45.0, ,62-66,S. Bey makes free throw 1 of 2,,3,66,62,4,1695.0
7:45.0, ,62-67,S. Bey makes free throw 2 of 2,,3,67,62,5,1695.0
7:31.0,Turnover by C. Thomas (lost ball; steal by D. Murray),62-67, ,,3,67,62,5,1709.0
7:28.0, ,62-69,T. Young makes 2-pt layup from 3 ft (assist by D. Murray),,3,69,62,7,1712.0
7:28.0,Violation by Team (def goaltending),62-69, ,,3,69,62,7,1712.0
7:20.0,Brooklyn full timeout,62-69, ,,3,69,62,7,1720.0
7:07.0,M. Bridges makes 2-pt layup from 2 ft,64-69, ,,3,69,64,5,1733.0
6:49.0, ,64-69,D. Hunter misses 2-pt jump shot from 11 ft,,3,69,64,5,1751.0
6:48.0, ,64-69,Offensive rebound by C. Capela,,3,69,64,5,1752.0
6:48.0, ,64-69,C. Capela misses 2-pt layup at rim,,3,69,64,5,1752.0
6:47.0,Defensive rebound by Team,64-69, ,,3,69,64,5,1753.0
6:25.0,Shooting foul by S. Bey (drawn by M. Bridges),64-69, ,,3,69,64,5,1775.0
6:25.0,M. Bridges makes free throw 1 of 2,65-69, ,,3,69,65,4,1775.0
6:25.0,D. Smith enters the game for S. Dinwiddie,65-69, ,,3,69,65,4,1775.0
6:25.0, ,65-69,B. Bogdanović enters the game for C. Capela,,3,69,65,4,1775.0
6:25.0, ,65-69,O. Okongwu enters the game for T. Young,,3,69,65,4,1775.0
6:25.0,M. Bridges makes free throw 2 of 2,66-69, ,,3,69,66,3,1775.0
6:11.0, ,66-72,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Murray),,3,72,66,6,1789.0
5:52.0,M. Bridges makes 2-pt jump shot from 14 ft,68-72, ,,3,72,68,4,1808.0
5:41.0, ,68-72,O. Okongwu misses 2-pt layup from 2 ft,,3,72,68,4,1819.0
5:39.0,Defensive rebound by N. Claxton,68-72, ,,3,72,68,4,1821.0
5:34.0,M. Bridges makes 2-pt layup at rim (assist by N. Claxton),70-72, ,,3,72,70,2,1826.0
5:34.0, ,70-72,Atlanta full timeout,,3,72,70,2,1826.0
5:34.0,D. Sharpe enters the game for N. Claxton,70-72, ,,3,72,70,2,1826.0
5:34.0, ,70-72,G. Mathews enters the game for S. Bey,,3,72,70,2,1826.0
5:16.0, ,70-72,B. Bogdanović misses 2-pt layup from 2 ft (block by D. Sharpe),,3,72,70,2,1844.0
5:13.0,Defensive rebound by D. Sharpe,70-72, ,,3,72,70,2,1847.0
5:09.0,Turnover by C. Thomas (step out of bounds),70-72, ,,3,72,70,2,1851.0
4:40.0, ,70-72,B. Bogdanović misses 3-pt jump shot from 23 ft,,3,72,70,2,1880.0
4:38.0,Defensive rebound by D. Sharpe,70-72, ,,3,72,70,2,1882.0
4:34.0,Shooting foul by G. Mathews (drawn by D. Sharpe),70-72, ,,3,72,70,2,1886.0
4:34.0,D. Sharpe makes free throw 1 of 2,71-72, ,,3,72,71,1,1886.0
4:34.0,D. Sharpe misses free throw 2 of 2,71-72, ,,3,72,71,1,1886.0
4:32.0, ,71-72,Defensive rebound by G. Mathews,,3,72,71,1,1888.0
4:16.0, ,71-72,D. Murray misses 3-pt jump shot from 26 ft,,3,72,71,1,1904.0
4:13.0, ,71-72,Offensive rebound by O. Okongwu,,3,72,71,1,1907.0
4:12.0, ,71-75,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by O. Okongwu),,3,75,71,4,1908.0
3:55.0,D. Smith makes 2-pt layup from 1 ft,73-75, ,,3,75,73,2,1925.0
3:55.0,Shooting foul by G. Mathews (drawn by D. Smith),73-75, ,,3,75,73,2,1925.0
3:55.0,D. Smith makes free throw 1 of 1,74-75, ,,3,75,74,1,1925.0
3:40.0, ,74-75,D. Murray misses 2-pt jump shot from 11 ft,,3,75,74,1,1940.0
3:37.0,Defensive rebound by D. Sharpe,74-75, ,,3,75,74,1,1943.0
3:27.0,Instant Replay,74-75, ,,3,75,74,1,1953.0
3:27.0,Brooklyn full timeout,74-75, ,,3,75,74,1,1953.0
3:27.0,Instant Replay (Challenge: Ruling Stands),74-75, ,,3,75,74,1,1953.0
3:27.0,D. Finney-Smith enters the game for C. Johnson,74-75, ,,3,75,74,1,1953.0
3:27.0,R. O'Neale enters the game for C. Thomas,74-75, ,,3,75,74,1,1953.0
3:27.0, ,74-75,W. Matthews enters the game for D. Hunter,,3,75,74,1,1953.0
3:27.0, ,74-75,T. Young enters the game for D. Murray,,3,75,74,1,1953.0
3:14.0,D. Sharpe misses 2-pt jump shot from 15 ft,74-75, ,,3,75,74,1,1966.0
3:12.0, ,74-75,Defensive rebound by O. Okongwu,,3,75,74,1,1968.0
3:05.0, ,74-75,T. Young misses 3-pt jump shot from 29 ft,,3,75,74,1,1975.0
3:01.0,Defensive rebound by D. Sharpe,74-75, ,,3,75,74,1,1979.0
2:46.0,R. O'Neale makes 2-pt layup from 1 ft (assist by D. Smith),76-75, ,Lead change,3,75,76,-1,1994.0
2:19.0, ,76-75,B. Bogdanović misses 2-pt layup from 6 ft,,3,75,76,-1,2021.0
2:18.0, ,76-75,Offensive rebound by Team,,3,75,76,-1,2022.0
2:18.0, ,76-75,Turnover by Team (shot clock),,3,75,76,-1,2022.0
2:12.0,Personal foul by B. Bogdanović (drawn by R. O'Neale),76-75, ,,3,75,76,-1,2028.0
2:12.0,R. O'Neale makes free throw 1 of 2,77-75, ,,3,75,77,-2,2028.0
2:12.0, ,77-75,S. Bey enters the game for G. Mathews,,3,75,77,-2,2028.0
2:12.0,R. O'Neale misses free throw 2 of 2,77-75, ,,3,75,77,-2,2028.0
2:10.0, ,77-75,Defensive rebound by B. Bogdanović,,3,75,77,-2,2030.0
1:54.0, ,77-77,T. Young makes 2-pt layup from 2 ft (assist by B. Bogdanović),Tie,3,77,77,0,2046.0
1:42.0,Turnover by D. Sharpe (lost ball; steal by O. Okongwu),77-77, ,,3,77,77,0,2058.0
1:30.0, ,77-77,Turnover by T. Young (bad pass; steal by D. Finney-Smith),,3,77,77,0,2070.0
1:27.0,D. Finney-Smith makes 2-pt dunk at rim,79-77, ,,3,77,79,-2,2073.0
1:11.0, ,79-80,T. Young makes 3-pt jump shot from 26 ft,Lead change,3,80,79,1,2089.0
0:52.0,D. Sharpe makes 2-pt dunk from 1 ft (assist by M. Bridges),81-80, ,Lead change,3,80,81,-1,2108.0
0:39.0, ,81-80,Personal foul by D. Sharpe (drawn by T. Young),,3,80,81,-1,2121.0
0:39.0,N. Claxton enters the game for D. Sharpe,81-80, ,,3,80,81,-1,2121.0
0:31.0, ,81-80,T. Young misses 3-pt jump shot from 27 ft,,3,80,81,-1,2129.0
0:29.0,Defensive rebound by Team,81-80, ,,3,80,81,-1,2131.0
0:29.0,C. Thomas enters the game for N. Claxton,81-80, ,,3,80,81,-1,2131.0
0:10.0,C. Thomas misses 2-pt jump shot from 16 ft,81-80, ,,3,80,81,-1,2150.0
0:07.0, ,81-80,Defensive rebound by O. Okongwu,,3,80,81,-1,2153.0
0:03.0, ,81-82,T. Young makes 2-pt jump shot from 10 ft,Lead change,3,82,81,1,2157.0
0:00.0,End of 3rd quarter,81-82,,,3,82,81,1,2160.0
12:00.0,Start of 4th quarter,81-82,,,4,82,81,1,2160.0
11:46.0, ,81-82,B. Bogdanović misses 3-pt jump shot from 27 ft,,4,82,81,1,2174.0
11:42.0, ,81-82,Offensive rebound by S. Bey,,4,82,81,1,2178.0
11:42.0, ,81-84,S. Bey makes 2-pt layup at rim,,4,84,81,3,2178.0
11:32.0,R. O'Neale misses 3-pt jump shot from 24 ft,81-84, ,,4,84,81,3,2188.0
11:29.0, ,81-84,Defensive rebound by O. Okongwu,,4,84,81,3,2191.0
11:17.0, ,81-84,Turnover by T. Young (bad pass),,4,84,81,3,2203.0
11:08.0,D. Smith makes 2-pt layup from 1 ft,83-84, ,,4,84,83,1,2212.0
10:54.0, ,83-84,Turnover by O. Okongwu (step out of bounds),,4,84,83,1,2226.0
10:42.0,N. Claxton misses 2-pt layup from 2 ft,83-84, ,,4,84,83,1,2238.0
10:40.0, ,83-84,Defensive rebound by O. Okongwu,,4,84,83,1,2240.0
10:38.0, ,83-84,Personal foul by R. O'Neale (drawn by S. Bey),,4,84,83,1,2242.0
10:27.0, ,83-84,O. Okongwu misses 3-pt jump shot from 23 ft,,4,84,83,1,2253.0
10:24.0,Defensive rebound by D. Finney-Smith,83-84, ,,4,84,83,1,2256.0
10:17.0,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by R. O'Neale),86-84, ,Lead change,4,84,86,-2,2263.0
10:14.0, ,86-84,Atlanta full timeout,,4,84,86,-2,2266.0
10:14.0, ,86-84,D. Hunter enters the game for O. Okongwu,,4,84,86,-2,2266.0
9:55.0, ,86-84,D. Hunter misses 2-pt jump shot from 13 ft,,4,84,86,-2,2285.0
9:52.0,Defensive rebound by N. Claxton,86-84, ,,4,84,86,-2,2288.0
9:40.0,C. Thomas makes 2-pt jump shot from 11 ft,88-84, ,,4,84,88,-4,2300.0
9:24.0, ,88-87,S. Bey makes 3-pt jump shot from 22 ft (assist by D. Hunter),,4,87,88,-1,2316.0
9:13.0,Shooting foul by C. Capela (drawn by N. Claxton),88-87, ,,4,87,88,-1,2327.0
9:13.0,N. Claxton misses free throw 1 of 2,88-87, ,,4,87,88,-1,2327.0
9:13.0,Offensive rebound by Team,88-87, ,,4,87,88,-1,2327.0
9:13.0,N. Claxton makes free throw 2 of 2,89-87, ,,4,87,89,-2,2327.0
9:01.0, ,89-90,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),Lead change,4,90,89,1,2339.0
8:33.0,R. O'Neale misses 3-pt jump shot from 29 ft,89-90, ,,4,90,89,1,2367.0
8:30.0, ,89-90,Defensive rebound by B. Bogdanović,,4,90,89,1,2370.0
8:14.0, ,89-90,Turnover by T. Young (lost ball; steal by D. Smith),,4,90,89,1,2386.0
8:09.0,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by D. Smith),91-90, ,Lead change,4,90,91,-1,2391.0
7:53.0, ,91-92,S. Bey makes 2-pt layup from 2 ft (assist by T. Young),Lead change,4,92,91,1,2407.0
7:35.0,C. Thomas makes 2-pt jump shot from 7 ft,93-92, ,Lead change,4,92,93,-1,2425.0
7:19.0, ,93-92,T. Young misses 3-pt jump shot from 26 ft,,4,92,93,-1,2441.0
7:18.0,Defensive rebound by Team,93-92, ,,4,92,93,-1,2442.0
7:18.0, ,93-92,Loose ball foul by C. Capela (drawn by N. Claxton),,4,92,93,-1,2442.0
7:18.0,S. Dinwiddie enters the game for D. Smith,93-92, ,,4,92,93,-1,2442.0
7:18.0, ,93-92,D. Murray enters the game for C. Capela,,4,92,93,-1,2442.0
7:18.0, ,93-92,O. Okongwu enters the game for T. Young,,4,92,93,-1,2442.0
7:06.0,C. Thomas misses 2-pt jump shot from 13 ft,93-92, ,,4,92,93,-1,2454.0
7:03.0, ,93-92,Defensive rebound by D. Hunter,,4,92,93,-1,2457.0
6:54.0, ,93-94,D. Hunter makes 2-pt jump shot from 17 ft,Lead change,4,94,93,1,2466.0
6:43.0,S. Dinwiddie makes 2-pt layup from 2 ft,95-94, ,Lead change,4,94,95,-1,2477.0
6:43.0,Shooting foul by O. Okongwu (drawn by S. Dinwiddie),95-94, ,,4,94,95,-1,2477.0
6:43.0,M. Bridges enters the game for N. Claxton,95-94, ,,4,94,95,-1,2477.0
6:43.0,C. Johnson enters the game for R. O'Neale,95-94, ,,4,94,95,-1,2477.0
6:43.0,D. Sharpe enters the game for C. Thomas,95-94, ,,4,94,95,-1,2477.0
6:43.0,S. Dinwiddie makes free throw 1 of 1,96-94, ,,4,94,96,-2,2477.0
6:28.0, ,96-96,O. Okongwu makes 2-pt layup from 1 ft (assist by S. Bey),Tie,4,96,96,0,2492.0
6:19.0,M. Bridges makes 2-pt layup from 3 ft (assist by C. Johnson),98-96, ,,4,96,98,-2,2501.0
6:01.0, ,98-99,B. Bogdanović makes 3-pt jump shot from 25 ft,Lead change,4,99,98,1,2519.0
5:36.0,S. Dinwiddie misses 2-pt layup from 3 ft,98-99, ,,4,99,98,1,2544.0
5:35.0, ,98-99,Defensive rebound by B. Bogdanović,,4,99,98,1,2545.0
5:29.0, ,98-99,S. Bey misses 3-pt jump shot from 23 ft,,4,99,98,1,2551.0
5:26.0,Defensive rebound by D. Finney-Smith,98-99, ,,4,99,98,1,2554.0
5:12.0,S. Dinwiddie misses 2-pt layup from 2 ft,98-99, ,,4,99,98,1,2568.0
5:11.0,Offensive rebound by Team,98-99, ,,4,99,98,1,2569.0
5:11.0, ,98-99,C. Capela enters the game for B. Bogdanović,,4,99,98,1,2569.0
5:11.0, ,98-99,T. Young enters the game for O. Okongwu,,4,99,98,1,2569.0
5:11.0,Brooklyn full timeout,98-99, ,,4,99,98,1,2569.0
5:01.0,S. Dinwiddie misses 2-pt jump shot from 11 ft,98-99, ,,4,99,98,1,2579.0
4:58.0,Offensive rebound by D. Sharpe,98-99, ,,4,99,98,1,2582.0
4:56.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,98-99, ,,4,99,98,1,2584.0
4:53.0, ,98-99,Defensive rebound by D. Murray,,4,99,98,1,2587.0
4:48.0, ,98-99,D. Hunter misses 2-pt layup from 2 ft (block by D. Finney-Smith),,4,99,98,1,2592.0
4:40.0, ,98-99,Offensive rebound by C. Capela,,4,99,98,1,2600.0
4:40.0, ,98-101,C. Capela makes 2-pt dunk at rim,,4,101,98,3,2600.0
4:32.0,M. Bridges makes 2-pt jump shot from 13 ft,100-101, ,,4,101,100,1,2608.0
4:12.0, ,100-101,D. Hunter misses 2-pt jump shot from 16 ft,,4,101,100,1,2628.0
4:08.0,Defensive rebound by C. Johnson,100-101, ,,4,101,100,1,2632.0
3:46.0,S. Dinwiddie makes 2-pt layup from 2 ft,102-101, ,Lead change,4,101,102,-1,2654.0
3:26.0, ,102-101,D. Murray misses 2-pt jump shot from 6 ft,,4,101,102,-1,2674.0
3:23.0, ,102-101,Offensive rebound by C. Capela,,4,101,102,-1,2677.0
3:23.0, ,102-101,Atlanta full timeout,,4,101,102,-1,2677.0
3:23.0,N. Claxton enters the game for D. Sharpe,102-101, ,,4,101,102,-1,2677.0
3:21.0, ,102-101,D. Murray misses 3-pt jump shot from 26 ft,,4,101,102,-1,2679.0
3:19.0,Defensive rebound by Team,102-101, ,,4,101,102,-1,2681.0
3:03.0,M. Bridges misses 2-pt layup from 1 ft (block by C. Capela),102-101, ,,4,101,102,-1,2697.0
3:00.0, ,102-101,Defensive rebound by C. Capela,,4,101,102,-1,2700.0
2:58.0, ,102-104,T. Young makes 3-pt jump shot from 26 ft (assist by D. Murray),Lead change,4,104,102,2,2702.0
2:44.0,S. Dinwiddie makes 2-pt jump shot from 6 ft,104-104, ,Tie,4,104,104,0,2716.0
2:38.0, ,104-104,S. Bey misses 2-pt layup from 2 ft (block by S. Dinwiddie),,4,104,104,0,2722.0
2:37.0, ,104-104,Offensive rebound by S. Bey,,4,104,104,0,2723.0
2:37.0, ,104-104,S. Bey misses 2-pt layup from 2 ft,,4,104,104,0,2723.0
2:36.0,Defensive rebound by Team,104-104, ,,4,104,104,0,2724.0
2:19.0,S. Dinwiddie makes 3-pt jump shot from 27 ft (assist by M. Bridges),107-104, ,Lead change,4,104,107,-3,2741.0
2:06.0, ,107-106,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),,4,106,107,-1,2754.0
1:47.0,M. Bridges makes 2-pt jump shot from 20 ft,109-106, ,,4,106,109,-3,2773.0
1:40.0, ,109-106,Personal foul by C. Johnson (drawn by T. Young),,4,106,109,-3,2780.0
1:35.0, ,109-106,T. Young misses 2-pt jump shot from 15 ft,,4,106,109,-3,2785.0
1:33.0,Defensive rebound by Team,109-106, ,,4,106,109,-3,2787.0
1:33.0, ,109-106,Loose ball foul by C. Capela (drawn by N. Claxton),,4,106,109,-3,2787.0
1:19.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,109-106, ,,4,106,109,-3,2801.0
1:16.0, ,109-106,Defensive rebound by D. Hunter,,4,106,109,-3,2804.0
1:10.0, ,109-108,T. Young makes 2-pt jump shot from 12 ft (assist by D. Hunter),,4,108,109,-1,2810.0
0:57.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,109-108, ,,4,108,109,-1,2823.0
0:53.0,Offensive rebound by C. Johnson,109-108, ,,4,108,109,-1,2827.0
0:43.0,S. Dinwiddie misses 2-pt layup from 9 ft (block by T. Young),109-108, ,,4,108,109,-1,2837.0
0:39.0, ,109-108,Defensive rebound by C. Capela,,4,108,109,-1,2841.0
0:36.0, ,109-108,D. Murray misses 2-pt layup from 2 ft,,4,108,109,-1,2844.0
0:35.0, ,109-108,Offensive rebound by S. Bey,,4,108,109,-1,2845.0
0:35.0, ,109-108,Instant Replay (Request: Ruling Stands),,4,108,109,-1,2845.0
0:35.0, ,109-108,Shooting foul by D. Finney-Smith (drawn by S. Bey),,4,108,109,-1,2845.0
0:35.0, ,109-109,S. Bey makes free throw 1 of 2,Tie,4,109,109,0,2845.0
0:35.0, ,109-110,S. Bey makes free throw 2 of 2,Lead change,4,110,109,1,2845.0
0:35.0,Brooklyn full timeout,109-110, ,,4,110,109,1,2845.0
0:35.0,R. O'Neale enters the game for N. Claxton,109-110, ,,4,110,109,1,2845.0
0:32.0,M. Bridges makes 2-pt layup from 1 ft (assist by S. Dinwiddie),111-110, ,Lead change,4,110,111,-1,2848.0
0:27.0, ,111-110,T. Young misses 2-pt jump shot from 13 ft,,4,110,111,-1,2853.0
0:24.0,Defensive rebound by S. Dinwiddie,111-110, ,,4,110,111,-1,2856.0
0:24.0,Personal take foul by T. Young (drawn by S. Dinwiddie),111-110, ,,4,110,111,-1,2856.0
0:24.0,S. Dinwiddie makes free throw 1 of 2,112-110, ,,4,110,112,-2,2856.0
0:24.0,N. Claxton enters the game for C. Johnson,112-110, ,,4,110,112,-2,2856.0
0:24.0,D. Smith enters the game for R. O'Neale,112-110, ,,4,110,112,-2,2856.0
0:24.0, ,112-110,O. Okongwu enters the game for T. Young,,4,110,112,-2,2856.0
0:24.0,S. Dinwiddie misses free throw 2 of 2,112-110, ,,4,110,112,-2,2856.0
0:22.0, ,112-110,Defensive rebound by C. Capela,,4,110,112,-2,2858.0
0:22.0, ,112-110,Atlanta full timeout,,4,110,112,-2,2858.0
0:22.0, ,112-110,B. Bogdanović enters the game for S. Bey,,4,110,112,-2,2858.0
0:22.0, ,112-110,T. Young enters the game for O. Okongwu,,4,110,112,-2,2858.0
0:17.0, ,112-113,T. Young makes 3-pt jump shot from 27 ft,Lead change,4,113,112,1,2863.0
0:05.0,M. Bridges makes 2-pt jump shot from 18 ft,114-113, ,Lead change,4,113,114,-1,2875.0
0:04.0, ,114-113,Atlanta full timeout,,4,113,114,-1,2876.0
0:04.0, ,114-113,S. Bey enters the game for C. Capela,,4,113,114,-1,2876.0
0:00.0, ,114-113,T. Young misses 2-pt jump shot from 17 ft,,4,113,114,-1,2880.0
0:00.0, ,114-113,Offensive rebound by Team,,4,113,114,-1,2880.0
0:00.0,End of 4th quarter,114-113,,,4,113,114,-1,2880.0
