Time,Brooklyn,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:01.0, ,9-12,T. Young makes 2-pt jump shot from 6 ft,,1,12,9,3,179.0
8:48.0,C. Thomas misses 2-pt layup from 3 ft (block by C. Capela),9-12, ,,1,12,9,3,192.0
8:48.0, ,9-12,Defensive rebound by Team,,1,12,9,3,192.0
8:30.0, ,9-15,S. Bey makes 3-pt jump shot from 26 ft (assist by T. Young),,1,15,9,6,210.0
8:19.0,Shooting foul by C. Capela (drawn by N. Claxton),9-15, ,,1,15,9,6,221.0
8:19.0,N. Claxton makes free throw 1 of 2,10-15, ,,1,15,10,5,221.0
8:19.0,N. Claxton misses free throw 2 of 2,10-15, ,,1,15,10,5,221.0
8:17.0, ,10-15,Defensive rebound by C. Capela,,1,15,10,5,223.0
8:05.0, ,10-15,T. Young misses 2-pt jump shot from 7 ft,,1,15,10,5,235.0
8:03.0,Defensive rebound by M. Bridges,10-15, ,,1,15,10,5,237.0
7:47.0,N. Claxton misses 2-pt hook shot from 6 ft,10-15, ,,1,15,10,5,253.0
7:44.0, ,10-15,Defensive rebound by D. Murray,,1,15,10,5,256.0
7:37.0, ,10-15,D. Murray misses 2-pt jump shot from 15 ft,,1,15,10,5,263.0
7:35.0,Defensive rebound by M. Bridges,10-15, ,,1,15,10,5,265.0
7:16.0,S. Dinwiddie misses 2-pt jump shot from 13 ft (block by T. Young),10-15, ,,1,15,10,5,284.0
7:14.0, ,10-15,Defensive rebound by D. Murray,,1,15,10,5,286.0
7:12.0, ,10-17,S. Bey makes 2-pt layup from 1 ft (assist by D. Murray),,1,17,10,7,288.0
7:01.0,S. Dinwiddie misses 2-pt jump shot from 6 ft,10-17, ,,1,17,10,7,299.0
6:56.0, ,10-17,Defensive rebound by C. Capela,,1,17,10,7,304.0
6:52.0, ,10-17,T. Young misses 3-pt jump shot from 32 ft,,1,17,10,7,308.0
6:50.0, ,10-17,Offensive rebound by S. Bey,,1,17,10,7,310.0
6:48.0, ,10-17,Turnover by S. Bey (bad pass; steal by N. Claxton),,1,17,10,7,312.0
6:41.0,C. Johnson makes 2-pt layup from 1 ft,12-17, ,,1,17,12,5,319.0
6:26.0, ,12-17,Personal foul by C. Johnson (drawn by D. Hunter),,1,17,12,5,334.0
6:26.0, ,12-17,Atlanta full timeout,,1,17,12,5,334.0
6:26.0,D. Sharpe enters the game for N. Claxton,12-17, ,,1,17,12,5,334.0
6:26.0, ,12-17,B. Bogdanović enters the game for S. Bey,,1,17,12,5,334.0
6:26.0, ,12-17,G. Mathews enters the game for C. Capela,,1,17,12,5,334.0
6:26.0, ,12-17,O. Okongwu enters the game for T. Young,,1,17,12,5,334.0
6:16.0, ,12-19,B. Bogdanović makes 2-pt jump shot from 13 ft (assist by D. Murray),,1,19,12,7,344.0
6:03.0,C. Johnson makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),15-19, ,,1,19,15,4,357.0
5:50.0, ,15-22,D. Murray makes 3-pt jump shot from 26 ft (assist by O. Okongwu),,1,22,15,7,370.0
5:40.0,Offensive foul by D. Sharpe (drawn by D. Hunter),15-22, ,,1,22,15,7,380.0
5:40.0,Turnover by D. Sharpe (offensive foul),15-22, ,,1,22,15,7,380.0
5:40.0,D. Finney-Smith enters the game for C. Thomas,15-22, ,,1,22,15,7,380.0
5:23.0, ,15-22,D. Hunter misses 3-pt jump shot from 25 ft,,1,22,15,7,397.0
5:20.0,Defensive rebound by D. Finney-Smith,15-22, ,,1,22,15,7,400.0
5:15.0,S. Dinwiddie misses 2-pt layup from 1 ft,15-22, ,,1,22,15,7,405.0
5:13.0, ,15-22,Defensive rebound by Team,,1,22,15,7,407.0
4:59.0, ,15-22,D. Hunter misses 2-pt layup from 2 ft (block by D. Sharpe),,1,22,15,7,421.0
4:55.0,Defensive rebound by M. Bridges,15-22, ,,1,22,15,7,425.0
4:51.0,Turnover by M. Bridges (lost ball),15-22, ,,1,22,15,7,429.0
4:50.0,Loose ball foul by M. Bridges (drawn by D. Hunter),15-22, ,,1,22,15,7,430.0
4:39.0, ,15-22,D. Hunter misses 2-pt jump shot from 13 ft,,1,22,15,7,441.0
4:36.0,Defensive rebound by C. Johnson,15-22, ,,1,22,15,7,444.0
4:29.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by C. Johnson),18-22, ,,1,22,18,4,451.0
4:29.0,Flagrant foul type 1 by D. Murray (drawn by M. Bridges),18-22, ,,1,22,18,4,451.0
4:29.0,Instant Replay (Request: Ruling Stands),18-22, ,,1,22,18,4,451.0
4:29.0,M. Bridges makes flagrant free throw 1 of 1,19-22, ,,1,22,19,3,451.0
4:20.0,D. Finney-Smith misses 2-pt layup from 6 ft,19-22, ,,1,22,19,3,460.0
4:17.0,Offensive rebound by D. Sharpe,19-22, ,,1,22,19,3,463.0
4:15.0,D. Sharpe misses 2-pt layup from 8 ft,19-22, ,,1,22,19,3,465.0
4:13.0,Offensive rebound by D. Sharpe,19-22, ,,1,22,19,3,467.0
4:13.0,Turnover by D. Sharpe (bad pass; steal by G. Mathews),19-22, ,,1,22,19,3,467.0
4:02.0, ,19-22,D. Murray misses 3-pt jump shot from 25 ft (block by M. Bridges),,1,22,19,3,478.0
3:59.0,Defensive rebound by C. Johnson,19-22, ,,1,22,19,3,481.0
3:45.0,C. Johnson misses 3-pt jump shot from 26 ft,19-22, ,,1,22,19,3,495.0
3:43.0,Offensive rebound by D. Sharpe,19-22, ,,1,22,19,3,497.0
3:43.0,Shooting foul by G. Mathews (drawn by D. Sharpe),19-22, ,,1,22,19,3,497.0
3:43.0,D. Sharpe misses free throw 1 of 2,19-22, ,,1,22,19,3,497.0
3:43.0,Offensive rebound by Team,19-22, ,,1,22,19,3,497.0
3:43.0,R. O'Neale enters the game for S. Dinwiddie,19-22, ,,1,22,19,3,497.0
3:43.0,D. Smith enters the game for C. Johnson,19-22, ,,1,22,19,3,497.0
3:43.0, ,19-22,W. Matthews enters the game for D. Hunter,,1,22,19,3,497.0
3:43.0,D. Sharpe makes free throw 2 of 2,20-22, ,,1,22,20,2,497.0
3:29.0, ,20-24,B. Bogdanović makes 2-pt jump shot from 8 ft,,1,24,20,4,511.0
3:16.0,R. O'Neale makes 3-pt jump shot from 26 ft (assist by M. Bridges),23-24, ,,1,24,23,1,524.0
3:01.0, ,23-24,Turnover by G. Mathews (lost ball; steal by D. Smith),,1,24,23,1,539.0
2:58.0,D. Smith misses 2-pt layup from 4 ft,23-24, ,,1,24,23,1,542.0
2:58.0,Offensive rebound by D. Smith,23-24, ,,1,24,23,1,542.0
2:58.0,Shooting foul by W. Matthews (drawn by D. Smith),23-24, ,,1,24,23,1,542.0
2:58.0,Brooklyn full timeout,23-24, ,,1,24,23,1,542.0
2:58.0, ,23-24,S. Bey enters the game for G. Mathews,,1,24,23,1,542.0
2:58.0, ,23-24,T. Young enters the game for D. Murray,,1,24,23,1,542.0
2:58.0,D. Smith makes free throw 1 of 2,24-24, ,Tie,1,24,24,0,542.0
2:58.0,D. Smith makes free throw 2 of 2,25-24, ,Lead change,1,24,25,-1,542.0
