Time,Memphis,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:18.0, ,39-41,B. Bogdanović misses 2-pt layup from 4 ft (block by S. Aldama),,2,41,39,2,1002.0
7:15.0,Defensive rebound by J. Morant,39-41, ,,2,41,39,2,1005.0
7:11.0,J. Morant makes 2-pt jump shot from 10 ft,41-41, ,Tie,2,41,41,0,1009.0
6:54.0, ,41-41,O. Okongwu misses 3-pt jump shot from 23 ft,,2,41,41,0,1026.0
6:51.0, ,41-41,Offensive rebound by C. Capela,,2,41,41,0,1029.0
6:50.0,Memphis full timeout,41-41, ,,2,41,41,0,1030.0
6:50.0,Instant Replay (Challenge: Ruling Stands),41-41, ,,2,41,41,0,1030.0
6:50.0, ,41-41,C. Capela misses 2-pt layup from 1 ft (block by X. Tillman),,2,41,41,0,1030.0
6:50.0, ,41-41,Offensive rebound by Team,,2,41,41,0,1030.0
6:50.0,D. Bane enters the game for S. Aldama,41-41, ,,2,41,41,0,1030.0
6:50.0,B. Biyombo enters the game for J. Konchar,41-41, ,,2,41,41,0,1030.0
6:50.0,J. Jackson enters the game for X. Tillman,41-41, ,,2,41,41,0,1030.0
6:47.0, ,41-41,B. Bogdanović misses 3-pt jump shot from 23 ft,,2,41,41,0,1033.0
6:44.0,Defensive rebound by V. Williams,41-41, ,,2,41,41,0,1036.0
6:37.0,J. Morant misses 2-pt jump shot from 13 ft,41-41, ,,2,41,41,0,1043.0
6:35.0, ,41-41,Defensive rebound by B. Bogdanović,,2,41,41,0,1045.0
6:21.0, ,41-43,T. Young makes 2-pt jump shot from 8 ft,,2,43,41,2,1059.0
6:05.0,Turnover by J. Morant (bad pass; steal by O. Okongwu),41-43, ,,2,43,41,2,1075.0
6:05.0, ,41-43,Personal foul by J. Jackson (drawn by O. Okongwu),,2,43,41,2,1075.0
6:05.0,J. Konchar enters the game for J. Morant,41-43, ,,2,43,41,2,1075.0
5:52.0, ,41-43,Shooting foul by B. Biyombo (drawn by C. Capela),,2,43,41,2,1088.0
5:52.0, ,41-44,C. Capela makes free throw 1 of 2,,2,44,41,3,1088.0
5:52.0, ,41-45,C. Capela makes free throw 2 of 2,,2,45,41,4,1088.0
5:44.0,J. Jackson makes 2-pt layup from 2 ft (assist by D. Bane),43-45, ,,2,45,43,2,1096.0
5:44.0,Shooting foul by O. Okongwu (drawn by J. Jackson),43-45, ,,2,45,43,2,1096.0
5:44.0,J. Jackson makes free throw 1 of 1,44-45, ,,2,45,44,1,1096.0
