Time,Memphis,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:48.0, ,70-69,B. Bogdanović enters the game for G. Mathews,,3,69,70,-1,1752.0
6:48.0, ,70-70,S. Bey makes free throw 2 of 2,Tie,3,70,70,0,1752.0
6:32.0,Turnover by S. Aldama (3 sec),70-70, ,,3,70,70,0,1768.0
6:32.0, ,70-70,O. Okongwu enters the game for S. Bey,,3,70,70,0,1768.0
6:18.0, ,70-72,D. Murray makes 2-pt layup from 1 ft (assist by T. Young),Lead change,3,72,70,2,1782.0
6:02.0,J. Morant misses 2-pt jump shot from 1 ft,70-72, ,,3,72,70,2,1798.0
5:58.0,Offensive rebound by B. Biyombo,70-72, ,,3,72,70,2,1802.0
5:58.0,B. Biyombo makes 2-pt layup at rim,72-72, ,Tie,3,72,72,0,1802.0
5:49.0, ,72-74,C. Capela makes 2-pt dunk from 1 ft (assist by O. Okongwu),,3,74,72,2,1811.0
5:35.0,J. Morant misses 2-pt layup from 1 ft,72-74, ,,3,74,72,2,1825.0
5:32.0, ,72-74,Defensive rebound by C. Capela,,3,74,72,2,1828.0
5:30.0, ,72-74,Turnover by O. Okongwu (out of bounds lost ball),,3,74,72,2,1830.0
5:30.0,J. Konchar enters the game for J. Morant,72-74, ,,3,74,72,2,1830.0
5:30.0, ,72-74,S. Lundy enters the game for T. Young,,3,74,72,2,1830.0
5:15.0,D. Bane makes 3-pt jump shot from 26 ft (assist by S. Aldama),75-74, ,Lead change,3,74,75,-1,1845.0
5:02.0, ,75-76,C. Capela makes 2-pt dunk from 1 ft (assist by O. Okongwu),Lead change,3,76,75,1,1858.0
4:45.0,V. Williams misses 3-pt jump shot from 25 ft,75-76, ,,3,76,75,1,1875.0
4:42.0, ,75-76,Defensive rebound by C. Capela,,3,76,75,1,1878.0
4:33.0, ,75-76,S. Lundy misses 3-pt jump shot from 26 ft,,3,76,75,1,1887.0
4:30.0,Defensive rebound by V. Williams,75-76, ,,3,76,75,1,1890.0
4:21.0,J. Konchar makes 3-pt jump shot from 23 ft (assist by S. Aldama),78-76, ,Lead change,3,76,78,-2,1899.0
4:08.0, ,78-76,Shooting foul by V. Williams (drawn by D. Murray),,3,76,78,-2,1912.0
4:08.0, ,78-77,D. Murray makes free throw 1 of 2,,3,77,78,-1,1912.0
4:08.0,Z. Williams enters the game for V. Williams,78-77, ,,3,77,78,-1,1912.0
4:08.0, ,78-77,S. Bey enters the game for C. Capela,,3,77,78,-1,1912.0
4:08.0, ,78-78,D. Murray makes free throw 2 of 2,Tie,3,78,78,0,1912.0
3:52.0,D. Bane makes 2-pt layup from 1 ft,80-78, ,,3,78,80,-2,1928.0
3:52.0, ,80-78,Violation by Team (def goaltending),,3,78,80,-2,1928.0
3:35.0, ,80-78,Turnover by S. Bey (bad pass; steal by D. Bane),,3,78,80,-2,1945.0
3:30.0,D. Bane makes 2-pt layup from 1 ft,82-78, ,,3,78,82,-4,1950.0
3:17.0, ,82-81,D. Murray makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,3,81,82,-1,1963.0
2:54.0,Z. Williams makes 2-pt dunk from 1 ft (assist by B. Biyombo),84-81, ,,3,81,84,-3,1986.0
2:41.0, ,84-81,S. Bey misses 3-pt jump shot from 27 ft,,3,81,84,-3,1999.0
2:37.0,Defensive rebound by S. Aldama,84-81, ,,3,81,84,-3,2003.0
2:25.0,D. Bane makes 2-pt jump shot from 21 ft,86-81, ,,3,81,86,-5,2015.0
2:25.0, ,86-81,Atlanta full timeout,,3,81,86,-5,2015.0
2:25.0,J. Morant enters the game for B. Biyombo,86-81, ,,3,81,86,-5,2015.0
2:25.0,X. Tillman enters the game for J. Konchar,86-81, ,,3,81,86,-5,2015.0
2:25.0, ,86-81,T. Young enters the game for D. Murray,,3,81,86,-5,2015.0
2:13.0, ,86-83,T. Young makes 2-pt jump shot from 7 ft,,3,83,86,-3,2027.0
1:57.0,D. Bane misses 2-pt jump shot from 18 ft,86-83, ,,3,83,86,-3,2043.0
1:54.0, ,86-83,Defensive rebound by O. Okongwu,,3,83,86,-3,2046.0
1:48.0, ,86-86,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),Tie,3,86,86,0,2052.0
1:26.0,J. Morant makes 2-pt jump shot from 2 ft (assist by Z. Williams),88-86, ,,3,86,88,-2,2074.0
1:18.0, ,88-88,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),Tie,3,88,88,0,2082.0
1:17.0,Memphis full timeout,88-88, ,,3,88,88,0,2083.0
1:05.0,J. Morant makes 2-pt dunk from 1 ft (assist by S. Aldama),90-88, ,,3,88,90,-2,2095.0
0:45.0, ,90-91,T. Young makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),Lead change,3,91,90,1,2115.0
0:33.0, ,90-91,Atlanta full timeout,,3,91,90,1,2127.0
0:33.0, ,90-91,Instant Replay (Challenge: Ruling Stands),,3,91,90,1,2127.0
0:33.0,J. Morant misses 2-pt jump shot from 10 ft,90-91, ,,3,91,90,1,2127.0
0:30.0, ,90-91,Defensive rebound by Team,,3,91,90,1,2130.0
0:30.0,Jump ball: O. Okongwu vs. S. Aldama (T. Young gains possession),90-91,,,3,91,90,1,2130.0
0:08.0, ,90-91,S. Bey misses 3-pt jump shot from 26 ft,,3,91,90,1,2152.0
0:06.0, ,90-91,Offensive rebound by S. Lundy,,3,91,90,1,2154.0
0:03.0, ,90-91,Shooting foul by Z. Williams (drawn by B. Bogdanović),,3,91,90,1,2157.0
0:03.0,Memphis full timeout,90-91, ,,3,91,90,1,2157.0
0:03.0,Instant Replay (Challenge: Ruling Stands),90-91, ,,3,91,90,1,2157.0
0:03.0, ,90-92,B. Bogdanović makes free throw 1 of 3,,3,92,90,2,2157.0
0:03.0, ,90-93,B. Bogdanović makes free throw 2 of 3,,3,93,90,3,2157.0
0:03.0, ,90-93,B. Bogdanović misses free throw 3 of 3,,3,93,90,3,2157.0
0:01.0,Defensive rebound by S. Aldama,90-93, ,,3,93,90,3,2159.0
0:00.0,End of 3rd quarter,90-93,,,3,93,90,3,2160.0
12:00.0,Start of 4th quarter,90-93,,,4,93,90,3,2160.0
11:47.0,J. Jackson makes 2-pt hook shot from 3 ft (assist by V. Williams),92-93, ,,4,93,92,1,2173.0
11:36.0, ,92-93,Offensive foul by O. Okongwu (drawn by Z. Williams),,4,93,92,1,2184.0
11:36.0, ,92-93,Turnover by O. Okongwu (offensive foul),,4,93,92,1,2184.0
11:29.0,J. Jackson makes 2-pt layup from 5 ft,94-93, ,Lead change,4,93,94,-1,2191.0
11:29.0,Shooting foul by S. Bey (drawn by J. Jackson),94-93, ,,4,93,94,-1,2191.0
11:29.0,J. Jackson makes free throw 1 of 1,95-93, ,,4,93,95,-2,2191.0
11:12.0, ,95-95,O. Okongwu makes 2-pt dunk from 2 ft (assist by T. Young),Tie,4,95,95,0,2208.0
10:58.0,Z. Williams makes 3-pt jump shot from 23 ft (assist by J. Morant),98-95, ,,4,95,98,-3,2222.0
10:43.0, ,98-95,Shooting foul by J. Jackson (drawn by T. Young),,4,95,98,-3,2237.0
10:43.0, ,98-96,T. Young makes free throw 1 of 2,,4,96,98,-2,2237.0
10:43.0,S. Aldama enters the game for J. Jackson,98-96, ,,4,96,98,-2,2237.0
10:43.0, ,98-97,T. Young makes free throw 2 of 2,,4,97,98,-1,2237.0
10:28.0,X. Tillman makes 2-pt jump shot from 6 ft (assist by J. Morant),100-97, ,,4,97,100,-3,2252.0
10:16.0, ,100-97,S. Lundy misses 3-pt jump shot from 26 ft,,4,97,100,-3,2264.0
10:14.0,Defensive rebound by Z. Williams,100-97, ,,4,97,100,-3,2266.0
9:56.0,V. Williams makes 2-pt jump shot from 3 ft (assist by J. Morant),102-97, ,,4,97,102,-5,2284.0
9:36.0, ,102-97,S. Lundy misses 2-pt layup from 4 ft (block by X. Tillman),,4,97,102,-5,2304.0
9:33.0,Defensive rebound by J. Morant,102-97, ,,4,97,102,-5,2307.0
9:27.0,Personal foul by O. Okongwu (drawn by Z. Williams),102-97, ,,4,97,102,-5,2313.0
9:27.0, ,102-97,D. Murray enters the game for B. Bogdanović,,4,97,102,-5,2313.0
9:13.0,J. Morant misses 3-pt jump shot from 25 ft,102-97, ,,4,97,102,-5,2327.0
9:08.0, ,102-97,Defensive rebound by S. Bey,,4,97,102,-5,2332.0
8:59.0, ,102-99,O. Okongwu makes 2-pt dunk from 2 ft (assist by T. Young),,4,99,102,-3,2341.0
8:38.0,X. Tillman makes 2-pt layup from 1 ft (assist by J. Morant),104-99, ,,4,99,104,-5,2362.0
8:28.0, ,104-102,S. Bey makes 3-pt jump shot from 24 ft (assist by T. Young),,4,102,104,-2,2372.0
8:20.0,X. Tillman misses 2-pt layup from 1 ft (block by O. Okongwu),104-102, ,,4,102,104,-2,2380.0
8:17.0, ,104-102,Defensive rebound by S. Lundy,,4,102,104,-2,2383.0
8:13.0, ,104-102,T. Young misses 3-pt jump shot from 26 ft,,4,102,104,-2,2387.0
8:11.0,Defensive rebound by J. Morant,104-102, ,,4,102,104,-2,2389.0
8:02.0,J. Morant misses 2-pt dunk from 2 ft (block by O. Okongwu),104-102, ,,4,102,104,-2,2398.0
7:59.0, ,104-102,Defensive rebound by T. Young,,4,102,104,-2,2401.0
7:57.0, ,104-104,T. Young makes 2-pt jump shot from 11 ft,Tie,4,104,104,0,2403.0
7:34.0,J. Morant makes 2-pt layup at rim,106-104, ,,4,104,106,-2,2426.0
7:24.0, ,106-104,Personal foul by Z. Williams (drawn by D. Murray),,4,104,106,-2,2436.0
7:24.0,D. Bane enters the game for J. Morant,106-104, ,,4,104,106,-2,2436.0
7:24.0, ,106-104,B. Bogdanović enters the game for S. Bey,,4,104,106,-2,2436.0
7:24.0, ,106-104,C. Capela enters the game for S. Lundy,,4,104,106,-2,2436.0
7:19.0, ,106-106,T. Young makes 2-pt jump shot from 15 ft,Tie,4,106,106,0,2441.0
7:19.0, ,106-106,Shooting foul by V. Williams (drawn by T. Young),,4,106,106,0,2441.0
7:19.0, ,106-106,T. Young misses free throw 1 of 1,,4,106,106,0,2441.0
7:17.0,Defensive rebound by Z. Williams,106-106, ,,4,106,106,0,2443.0
7:04.0,S. Aldama misses 3-pt jump shot from 24 ft,106-106, ,,4,106,106,0,2456.0
7:00.0,Offensive rebound by Team,106-106, ,,4,106,106,0,2460.0
6:48.0,D. Bane misses 2-pt layup from 1 ft,106-106, ,,4,106,106,0,2472.0
6:44.0,Offensive rebound by X. Tillman,106-106, ,,4,106,106,0,2476.0
6:44.0,X. Tillman misses 2-pt layup at rim,106-106, ,,4,106,106,0,2476.0
6:44.0, ,106-106,Defensive rebound by T. Young,,4,106,106,0,2476.0
6:40.0, ,106-106,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,106,106,0,2480.0
6:37.0,Defensive rebound by D. Bane,106-106, ,,4,106,106,0,2483.0
6:34.0,D. Bane makes 3-pt jump shot from 25 ft,109-106, ,,4,106,109,-3,2486.0
6:33.0, ,109-106,Atlanta full timeout,,4,106,109,-3,2487.0
6:33.0,B. Biyombo enters the game for X. Tillman,109-106, ,,4,106,109,-3,2487.0
6:19.0, ,109-106,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,106,109,-3,2501.0
6:16.0,Defensive rebound by V. Williams,109-106, ,,4,106,109,-3,2504.0
6:08.0,Shooting foul by O. Okongwu (drawn by S. Aldama),109-106, ,,4,106,109,-3,2512.0
6:08.0,S. Aldama misses free throw 1 of 2,109-106, ,,4,106,109,-3,2512.0
6:08.0,Offensive rebound by Team,109-106, ,,4,106,109,-3,2512.0
6:08.0,S. Aldama makes free throw 2 of 2,110-106, ,,4,106,110,-4,2512.0
5:58.0, ,110-106,O. Okongwu misses 3-pt jump shot from 22 ft,,4,106,110,-4,2522.0
5:52.0,Defensive rebound by S. Aldama,110-106, ,,4,106,110,-4,2528.0
5:44.0,Z. Williams misses 2-pt layup from 1 ft,110-106, ,,4,106,110,-4,2536.0
5:42.0, ,110-106,Defensive rebound by O. Okongwu,,4,106,110,-4,2538.0
5:32.0, ,110-106,O. Okongwu misses 2-pt jump shot from 1 ft,,4,106,110,-4,2548.0
5:31.0, ,110-106,Offensive rebound by Team,,4,106,110,-4,2549.0
5:31.0, ,110-106,Turnover by O. Okongwu (traveling),,4,106,110,-4,2549.0
5:31.0, ,110-106,S. Bey enters the game for O. Okongwu,,4,106,110,-4,2549.0
5:12.0,D. Bane makes 3-pt jump shot from 22 ft (assist by B. Biyombo),113-106, ,,4,106,113,-7,2568.0
5:00.0, ,113-106,T. Young misses 2-pt layup from 3 ft,,4,106,113,-7,2580.0
4:57.0,Defensive rebound by S. Aldama,113-106, ,,4,106,113,-7,2583.0
4:57.0,J. Jackson enters the game for S. Aldama,113-106, ,,4,106,113,-7,2583.0
4:57.0,J. Morant enters the game for V. Williams,113-106, ,,4,106,113,-7,2583.0
4:43.0,D. Bane misses 2-pt jump shot from 13 ft,113-106, ,,4,106,113,-7,2597.0
4:39.0, ,113-106,Defensive rebound by C. Capela,,4,106,113,-7,2601.0
4:28.0, ,113-106,D. Murray misses 2-pt jump shot from 19 ft,,4,106,113,-7,2612.0
4:25.0,Defensive rebound by D. Bane,113-106, ,,4,106,113,-7,2615.0
4:07.0,D. Bane misses 3-pt jump shot from 26 ft,113-106, ,,4,106,113,-7,2633.0
4:04.0,Offensive rebound by J. Jackson,113-106, ,,4,106,113,-7,2636.0
3:59.0,J. Morant makes 2-pt jump shot from 7 ft,115-106, ,,4,106,115,-9,2641.0
3:44.0, ,115-109,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Murray),,4,109,115,-6,2656.0
3:15.0,D. Bane makes 2-pt layup from 1 ft (assist by J. Morant),117-109, ,,4,109,117,-8,2685.0
2:57.0, ,117-111,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),,4,111,117,-6,2703.0
2:28.0,J. Morant misses 2-pt jump shot from 10 ft,117-111, ,,4,111,117,-6,2732.0
2:26.0, ,117-111,Defensive rebound by T. Young,,4,111,117,-6,2734.0
2:24.0, ,117-111,B. Bogdanović misses 2-pt layup from 3 ft (block by J. Morant),,4,111,117,-6,2736.0
2:23.0, ,117-111,Offensive rebound by S. Bey,,4,111,117,-6,2737.0
2:16.0, ,117-111,S. Bey misses 2-pt layup from 2 ft (block by D. Bane),,4,111,117,-6,2744.0
2:13.0,Defensive rebound by B. Biyombo,117-111, ,,4,111,117,-6,2747.0
2:13.0,Personal foul by T. Young (drawn by B. Biyombo),117-111, ,,4,111,117,-6,2747.0
2:13.0,Memphis full timeout,117-111, ,,4,111,117,-6,2747.0
2:13.0,V. Williams enters the game for Z. Williams,117-111, ,,4,111,117,-6,2747.0
2:13.0,D. Bane makes free throw 1 of 1,118-111, ,,4,111,118,-7,2747.0
1:58.0,Turnover by J. Jackson (out of bounds lost ball),118-111, ,,4,111,118,-7,2762.0
1:47.0, ,118-114,T. Young makes 3-pt jump shot from 27 ft,,4,114,118,-4,2773.0
1:47.0, ,118-114,Instant Replay (Request: Ruling Stands),,4,114,118,-4,2773.0
1:29.0,D. Bane misses 3-pt jump shot from 23 ft,118-114, ,,4,114,118,-4,2791.0
1:28.0,Offensive rebound by Team,118-114, ,,4,114,118,-4,2792.0
1:28.0, ,118-114,Loose ball foul by D. Murray (drawn by J. Jackson),,4,114,118,-4,2792.0
1:28.0,J. Jackson misses free throw 1 of 2,118-114, ,,4,114,118,-4,2792.0
1:28.0,J. Jackson makes free throw 2 of 2,119-114, ,,4,114,119,-5,2792.0
1:19.0, ,119-114,Personal foul by B. Biyombo (drawn by T. Young),,4,114,119,-5,2801.0
1:16.0, ,119-114,T. Young misses 3-pt jump shot from 27 ft,,4,114,119,-5,2804.0
1:13.0,Defensive rebound by J. Morant,119-114, ,,4,114,119,-5,2807.0
0:52.0,V. Williams misses 3-pt jump shot from 24 ft,119-114, ,,4,114,119,-5,2828.0
0:51.0,Offensive rebound by J. Jackson,119-114, ,,4,114,119,-5,2829.0
0:51.0,J. Jackson makes 2-pt dunk at rim,121-114, ,,4,114,121,-7,2829.0
0:45.0, ,121-114,T. Young misses 2-pt jump shot from 9 ft,,4,114,121,-7,2835.0
0:44.0, ,121-114,Offensive rebound by C. Capela,,4,114,121,-7,2836.0
0:44.0, ,121-116,C. Capela makes 2-pt layup at rim,,4,116,121,-5,2836.0
0:36.0,Personal foul by C. Capela (drawn by B. Biyombo),121-116, ,,4,116,121,-5,2844.0
0:36.0,B. Biyombo misses free throw 1 of 2,121-116, ,,4,116,121,-5,2844.0
0:36.0,Offensive rebound by Team,121-116, ,,4,116,121,-5,2844.0
0:36.0,B. Biyombo misses free throw 2 of 2,121-116, ,,4,116,121,-5,2844.0
0:34.0, ,121-116,Defensive rebound by C. Capela,,4,116,121,-5,2846.0
0:34.0, ,121-116,Atlanta full timeout,,4,116,121,-5,2846.0
0:34.0,Z. Williams enters the game for B. Biyombo,121-116, ,,4,116,121,-5,2846.0
0:34.0, ,121-116,O. Okongwu enters the game for C. Capela,,4,116,121,-5,2846.0
0:30.0, ,121-116,T. Young misses 2-pt layup from 2 ft,,4,116,121,-5,2850.0
0:26.0, ,121-116,Offensive rebound by O. Okongwu,,4,116,121,-5,2854.0
0:26.0, ,121-116,O. Okongwu misses 2-pt layup at rim,,4,116,121,-5,2854.0
0:25.0,Defensive rebound by D. Bane,121-116, ,,4,116,121,-5,2855.0
0:20.0,Personal take foul by D. Murray (drawn by D. Bane),121-116, ,,4,116,121,-5,2860.0
0:20.0,D. Bane makes free throw 1 of 2,122-116, ,,4,116,122,-6,2860.0
0:20.0,D. Bane makes free throw 2 of 2,123-116, ,,4,116,123,-7,2860.0
0:15.0, ,123-119,T. Young makes 3-pt jump shot from 26 ft,,4,119,123,-4,2865.0
0:13.0,Personal take foul by D. Murray (drawn by D. Bane),123-119, ,,4,119,123,-4,2867.0
0:13.0,D. Bane makes free throw 1 of 2,124-119, ,,4,119,124,-5,2867.0
0:13.0,D. Bane makes free throw 2 of 2,125-119, ,,4,119,125,-6,2867.0
0:13.0, ,125-119,Atlanta full timeout,,4,119,125,-6,2867.0
0:13.0,X. Tillman enters the game for J. Morant,125-119, ,,4,119,125,-6,2867.0
0:12.0, ,125-119,B. Bogdanović misses 3-pt jump shot from 27 ft,,4,119,125,-6,2868.0
0:08.0,Defensive rebound by V. Williams,125-119, ,,4,119,125,-6,2872.0
0:00.0,End of 4th quarter,125-119,,,4,119,125,-6,2880.0
