Time,Utah,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:07.0, ,56-66,Offensive rebound by C. Capela,,3,66,56,10,1733.0
7:05.0, ,56-66,S. Bey misses 3-pt jump shot from 23 ft,,3,66,56,10,1735.0
7:05.0, ,56-66,Offensive rebound by B. Bogdanović,,3,66,56,10,1735.0
6:59.0, ,56-68,B. Bogdanović makes 2-pt layup at rim,,3,68,56,12,1741.0
6:53.0,Def 3 sec tech foul by Team,56-68, ,,3,68,56,12,1747.0
6:53.0,L. Markkanen makes technical free throw,57-68, ,,3,68,57,11,1747.0
6:53.0,K. Dunn enters the game for L. Markkanen,57-68, ,,3,68,57,11,1747.0
6:53.0, ,57-68,D. Hunter enters the game for B. Bogdanović,,3,68,57,11,1747.0
6:53.0, ,57-68,G. Mathews enters the game for J. Johnson,,3,68,57,11,1747.0
6:44.0,K. George makes 3-pt jump shot from 26 ft (assist by K. Dunn),60-68, ,,3,68,60,8,1756.0
6:27.0, ,60-70,C. Capela makes 2-pt dunk from 1 ft (assist by D. Murray),,3,70,60,10,1773.0
6:17.0,K. George misses 3-pt jump shot from 26 ft,60-70, ,,3,70,60,10,1783.0
6:15.0,Offensive rebound by J. Collins,60-70, ,,3,70,60,10,1785.0
6:09.0,J. Collins misses 2-pt layup from 2 ft (block by C. Capela),60-70, ,,3,70,60,10,1791.0
6:08.0, ,60-70,Defensive rebound by Team,,3,70,60,10,1792.0
5:57.0, ,60-70,D. Murray misses 3-pt jump shot from 25 ft,,3,70,60,10,1803.0
5:54.0,Defensive rebound by J. Collins,60-70, ,,3,70,60,10,1806.0
5:51.0,C. Sexton misses 3-pt jump shot from 26 ft,60-70, ,,3,70,60,10,1809.0
5:48.0, ,60-70,Defensive rebound by D. Hunter,,3,70,60,10,1812.0
5:42.0, ,60-72,D. Murray makes 2-pt layup at rim,,3,72,60,12,1818.0
5:34.0,T. Hendricks makes 3-pt jump shot from 27 ft (assist by K. George),63-72, ,,3,72,63,9,1826.0
5:13.0, ,63-75,G. Mathews makes 3-pt jump shot from 24 ft (assist by D. Murray),,3,75,63,12,1847.0
4:57.0,Turnover by C. Sexton (traveling),63-75, ,,3,75,63,12,1863.0
4:57.0,J. Clarkson enters the game for J. Collins,63-75, ,,3,75,63,12,1863.0
4:57.0,W. Kessler enters the game for C. Sexton,63-75, ,,3,75,63,12,1863.0
4:57.0, ,63-75,B. Fernando enters the game for C. Capela,,3,75,63,12,1863.0
4:43.0, ,63-75,D. Murray misses 2-pt jump shot from 7 ft,,3,75,63,12,1877.0
4:38.0, ,63-75,Offensive rebound by D. Murray,,3,75,63,12,1882.0
4:38.0, ,63-77,D. Murray makes 2-pt layup at rim,,3,77,63,14,1882.0
4:19.0,W. Kessler makes 2-pt layup from 3 ft (assist by J. Clarkson),65-77, ,,3,77,65,12,1901.0
4:03.0, ,65-77,D. Murray misses 3-pt jump shot from 25 ft,,3,77,65,12,1917.0
4:00.0,Defensive rebound by T. Hendricks,65-77, ,,3,77,65,12,1920.0
4:00.0,L. Markkanen enters the game for T. Hendricks,65-77, ,,3,77,65,12,1920.0
4:00.0, ,65-77,J. Johnson enters the game for S. Bey,,3,77,65,12,1920.0
3:52.0,L. Markkanen misses 3-pt jump shot from 26 ft,65-77, ,,3,77,65,12,1928.0
3:48.0, ,65-77,Defensive rebound by J. Johnson,,3,77,65,12,1932.0
3:39.0, ,65-77,G. Mathews misses 2-pt jump shot from 10 ft,,3,77,65,12,1941.0
3:35.0,Defensive rebound by W. Kessler,65-77, ,,3,77,65,12,1945.0
3:30.0,K. Dunn makes 2-pt layup from 3 ft,67-77, ,,3,77,67,10,1950.0
3:29.0, ,67-77,Atlanta full timeout,,3,77,67,10,1951.0
3:29.0,J. Collins enters the game for J. Clarkson,67-77, ,,3,77,67,10,1951.0
3:29.0,T. Hendricks enters the game for W. Kessler,67-77, ,,3,77,67,10,1951.0
3:29.0,C. Sexton enters the game for L. Markkanen,67-77, ,,3,77,67,10,1951.0
3:29.0, ,67-77,S. Bey enters the game for B. Fernando,,3,77,67,10,1951.0
3:29.0, ,67-77,C. Capela enters the game for J. Johnson,,3,77,67,10,1951.0
3:29.0, ,67-77,Instant Replay,,3,77,67,10,1951.0
3:29.0,J. Clarkson enters the game for J. Collins,67-77, ,,3,77,67,10,1951.0
3:29.0,W. Kessler enters the game for T. Hendricks,67-77, ,,3,77,67,10,1951.0
3:29.0,L. Markkanen enters the game for C. Sexton,67-77, ,,3,77,67,10,1951.0
3:29.0, ,67-77,B. Bogdanović enters the game for S. Bey,,3,77,67,10,1951.0
3:29.0, ,67-77,K. Bufkin enters the game for C. Capela,,3,77,67,10,1951.0
3:29.0, ,67-77,B. Fernando enters the game for G. Mathews,,3,77,67,10,1951.0
3:29.0, ,67-77,J. Johnson enters the game for D. Murray,,3,77,67,10,1951.0
3:13.0, ,67-79,J. Johnson makes 2-pt jump shot from 4 ft,,3,79,67,12,1967.0
2:57.0,Turnover by J. Clarkson (traveling),67-79, ,,3,79,67,12,1983.0
2:40.0, ,67-79,Shooting foul by K. Dunn (drawn by B. Bogdanović),,3,79,67,12,2000.0
2:40.0, ,67-80,B. Bogdanović makes free throw 1 of 2,,3,80,67,13,2000.0
2:40.0,B. Sensabaugh enters the game for K. George,67-80, ,,3,80,67,13,2000.0
2:40.0, ,67-81,B. Bogdanović makes free throw 2 of 2,,3,81,67,14,2000.0
2:25.0,L. Markkanen misses 3-pt jump shot from 27 ft,67-81, ,,3,81,67,14,2015.0
2:23.0, ,67-81,Defensive rebound by J. Johnson,,3,81,67,14,2017.0
2:15.0, ,67-83,J. Johnson makes 2-pt jump shot from 4 ft (assist by B. Bogdanović),,3,83,67,16,2025.0
1:55.0,K. Dunn misses 2-pt jump shot from 14 ft,67-83, ,,3,83,67,16,2045.0
1:53.0, ,67-83,Defensive rebound by J. Johnson,,3,83,67,16,2047.0
1:41.0, ,67-83,B. Bogdanović misses 2-pt jump shot from 11 ft,,3,83,67,16,2059.0
1:38.0,Defensive rebound by K. Dunn,67-83, ,,3,83,67,16,2062.0
1:34.0,Turnover by K. Dunn (bad pass; steal by J. Johnson),67-83, ,,3,83,67,16,2066.0
1:27.0, ,67-85,D. Hunter makes 2-pt layup from 2 ft (assist by J. Johnson),,3,85,67,18,2073.0
1:06.0,J. Clarkson misses 2-pt jump shot from 5 ft,67-85, ,,3,85,67,18,2094.0
1:05.0,Offensive rebound by J. Clarkson,67-85, ,,3,85,67,18,2095.0
1:05.0,Shooting foul by B. Fernando (drawn by J. Clarkson),67-85, ,,3,85,67,18,2095.0
1:05.0,J. Clarkson makes free throw 1 of 2,68-85, ,,3,85,68,17,2095.0
1:05.0,J. Clarkson makes free throw 2 of 2,69-85, ,,3,85,69,16,2095.0
0:49.0, ,69-87,K. Bufkin makes 2-pt jump shot from 9 ft (assist by B. Fernando),,3,87,69,18,2111.0
0:33.0,L. Markkanen misses 3-pt jump shot from 24 ft,69-87, ,,3,87,69,18,2127.0
0:30.0, ,69-87,Defensive rebound by J. Johnson,,3,87,69,18,2130.0
0:26.0, ,69-89,B. Fernando makes 2-pt dunk from 1 ft (assist by J. Johnson),,3,89,69,20,2134.0
0:05.0,B. Sensabaugh misses 3-pt jump shot from 26 ft,69-89, ,,3,89,69,20,2155.0
0:01.0,Offensive rebound by L. Markkanen,69-89, ,,3,89,69,20,2159.0
0:00.0,Turnover by L. Markkanen (lost ball; steal by K. Bufkin),69-89, ,,3,89,69,20,2160.0
0:00.0,End of 3rd quarter,69-89,,,3,89,69,20,2160.0
12:00.0,Start of 4th quarter,69-89,,,4,89,69,20,2160.0
11:43.0,B. Sensabaugh misses 2-pt jump shot from 6 ft,69-89, ,,4,89,69,20,2177.0
11:40.0, ,69-89,Defensive rebound by K. Bufkin,,4,89,69,20,2180.0
11:35.0, ,69-89,Shooting foul by J. Collins (drawn by D. Hunter),,4,89,69,20,2185.0
11:35.0, ,69-90,D. Hunter makes free throw 1 of 2,,4,90,69,21,2185.0
11:35.0, ,69-91,D. Hunter makes free throw 2 of 2,,4,91,69,22,2185.0
11:11.0,Turnover by B. Sensabaugh (bad pass; steal by K. Bufkin),69-91, ,,4,91,69,22,2209.0
10:57.0, ,69-94,D. Hunter makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,4,94,69,25,2223.0
10:43.0,B. Sensabaugh makes 3-pt jump shot from 25 ft (assist by J. Collins),72-94, ,,4,94,72,22,2237.0
10:24.0, ,72-94,J. Johnson misses 3-pt jump shot from 25 ft,,4,94,72,22,2256.0
10:22.0,Defensive rebound by B. Sensabaugh,72-94, ,,4,94,72,22,2258.0
10:16.0,W. Kessler makes 2-pt dunk from 2 ft (assist by J. Clarkson),74-94, ,,4,94,74,20,2264.0
10:07.0, ,74-94,Personal foul by B. Sensabaugh (drawn by D. Hunter),,4,94,74,20,2273.0
10:07.0,T. Horton-Tucker enters the game for B. Sensabaugh,74-94, ,,4,94,74,20,2273.0
10:07.0, ,74-94,G. Mathews enters the game for D. Hunter,,4,94,74,20,2273.0
9:57.0, ,74-97,B. Bogdanović makes 3-pt jump shot from 25 ft,,4,97,74,23,2283.0
9:42.0,C. Sexton makes 2-pt jump shot from 13 ft,76-97, ,,4,97,76,21,2298.0
9:26.0, ,76-97,Turnover by B. Bogdanović (bad pass; steal by C. Sexton),,4,97,76,21,2314.0
9:22.0,J. Collins makes 2-pt dunk from 2 ft (assist by C. Sexton),78-97, ,,4,97,78,19,2318.0
9:07.0, ,78-99,J. Johnson makes 2-pt jump shot from 7 ft (assist by K. Bufkin),,4,99,78,21,2333.0
8:57.0,Personal foul by G. Mathews (drawn by C. Sexton),78-99, ,,4,99,78,21,2343.0
8:57.0, ,78-99,C. Capela enters the game for B. Fernando,,4,99,78,21,2343.0
8:49.0,C. Sexton misses 2-pt layup from 4 ft (block by C. Capela),78-99, ,,4,99,78,21,2351.0
8:48.0,Offensive rebound by Team,78-99, ,,4,99,78,21,2352.0
8:48.0, ,78-99,S. Bey enters the game for B. Bogdanović,,4,99,78,21,2352.0
8:48.0, ,78-99,D. Murray enters the game for J. Johnson,,4,99,78,21,2352.0
8:43.0,Jump ball: J. Clarkson vs. K. Bufkin (T. Horton-Tucker gains possession),78-99,,,4,99,78,21,2357.0
8:36.0,T. Horton-Tucker misses 3-pt jump shot from 25 ft,78-99, ,,4,99,78,21,2364.0
8:34.0, ,78-99,Defensive rebound by C. Capela,,4,99,78,21,2366.0
8:21.0, ,78-102,G. Mathews makes 3-pt jump shot from 26 ft (assist by D. Murray),,4,102,78,24,2379.0
7:55.0,C. Sexton misses 2-pt jump shot from 8 ft,78-102, ,,4,102,78,24,2405.0
7:52.0, ,78-102,Defensive rebound by C. Capela,,4,102,78,24,2408.0
7:50.0, ,78-102,S. Bey misses 3-pt jump shot from 26 ft,,4,102,78,24,2410.0
7:50.0, ,78-102,Offensive rebound by D. Murray,,4,102,78,24,2410.0
7:46.0, ,78-104,C. Capela makes 2-pt layup at rim (assist by D. Murray),,4,104,78,26,2414.0
7:46.0,Utah full timeout,78-104, ,,4,104,78,26,2414.0
7:46.0,K. George enters the game for J. Clarkson,78-104, ,,4,104,78,26,2414.0
7:46.0,T. Hendricks enters the game for J. Collins,78-104, ,,4,104,78,26,2414.0
7:25.0,Shooting foul by G. Mathews (drawn by T. Horton-Tucker),78-104, ,,4,104,78,26,2435.0
7:25.0,T. Horton-Tucker makes free throw 1 of 2,79-104, ,,4,104,79,25,2435.0
7:25.0,T. Horton-Tucker makes free throw 2 of 2,80-104, ,,4,104,80,24,2435.0
7:16.0, ,80-106,D. Murray makes 2-pt jump shot from 16 ft (assist by K. Bufkin),,4,106,80,26,2444.0
6:53.0,W. Kessler misses 2-pt layup from 2 ft (block by C. Capela),80-106, ,,4,106,80,26,2467.0
6:50.0, ,80-106,Defensive rebound by C. Capela,,4,106,80,26,2470.0
6:47.0, ,80-108,D. Murray makes 2-pt layup from 3 ft,,4,108,80,28,2473.0
6:35.0,Shooting foul by C. Capela (drawn by C. Sexton),80-108, ,,4,108,80,28,2485.0
6:35.0,C. Sexton misses free throw 1 of 2,80-108, ,,4,108,80,28,2485.0
6:35.0,Offensive rebound by Team,80-108, ,,4,108,80,28,2485.0
6:35.0,C. Sexton makes free throw 2 of 2,81-108, ,,4,108,81,27,2485.0
6:24.0, ,81-111,S. Bey makes 3-pt jump shot from 24 ft (assist by D. Murray),,4,111,81,30,2496.0
6:07.0,Shooting foul by G. Mathews (drawn by C. Sexton),81-111, ,,4,111,81,30,2513.0
6:07.0,C. Sexton misses free throw 1 of 2,81-111, ,,4,111,81,30,2513.0
6:07.0,Offensive rebound by Team,81-111, ,,4,111,81,30,2513.0
6:07.0,C. Sexton makes free throw 2 of 2,82-111, ,,4,111,82,29,2513.0
5:57.0, ,82-111,Turnover by D. Murray (bad pass; steal by W. Kessler),,4,111,82,29,2523.0
5:49.0,C. Sexton makes 3-pt jump shot from 24 ft (assist by K. George),85-111, ,,4,111,85,26,2531.0
5:35.0, ,85-111,K. Bufkin misses 2-pt layup from 1 ft (block by W. Kessler),,4,111,85,26,2545.0
5:32.0,Defensive rebound by C. Sexton,85-111, ,,4,111,85,26,2548.0
5:30.0,K. George makes 3-pt jump shot from 25 ft (assist by C. Sexton),88-111, ,,4,111,88,23,2550.0
5:15.0, ,88-111,Shooting foul by T. Hendricks (drawn by D. Murray),,4,111,88,23,2565.0
5:15.0, ,88-112,D. Murray makes free throw 1 of 2,,4,112,88,24,2565.0
5:15.0,B. Sensabaugh enters the game for C. Sexton,88-112, ,,4,112,88,24,2565.0
5:15.0, ,88-112,D. Hunter enters the game for G. Mathews,,4,112,88,24,2565.0
5:15.0, ,88-113,D. Murray makes free throw 2 of 2,,4,113,88,25,2565.0
4:56.0,T. Horton-Tucker makes 2-pt layup from 3 ft,90-113, ,,4,113,90,23,2584.0
4:42.0, ,90-113,D. Hunter misses 3-pt jump shot from 25 ft,,4,113,90,23,2598.0
4:40.0,Defensive rebound by T. Hendricks,90-113, ,,4,113,90,23,2600.0
4:34.0,T. Horton-Tucker makes 2-pt layup from 1 ft (assist by K. George),92-113, ,,4,113,92,21,2606.0
4:34.0,Shooting foul by K. Bufkin (drawn by T. Horton-Tucker),92-113, ,,4,113,92,21,2606.0
4:34.0, ,92-113,J. Johnson enters the game for S. Bey,,4,113,92,21,2606.0
4:34.0,T. Horton-Tucker makes free throw 1 of 1,93-113, ,,4,113,93,20,2606.0
4:23.0, ,93-113,D. Murray misses 3-pt jump shot from 25 ft,,4,113,93,20,2617.0
4:18.0,Defensive rebound by W. Kessler,93-113, ,,4,113,93,20,2622.0
4:09.0,K. George misses 2-pt layup from 5 ft,93-113, ,,4,113,93,20,2631.0
4:06.0, ,93-113,Defensive rebound by C. Capela,,4,113,93,20,2634.0
4:00.0, ,93-113,Turnover by D. Murray (lost ball; steal by T. Horton-Tucker),,4,113,93,20,2640.0
3:57.0,Shooting foul by J. Johnson (drawn by T. Horton-Tucker),93-113, ,,4,113,93,20,2643.0
3:57.0,T. Horton-Tucker makes free throw 1 of 2,94-113, ,,4,113,94,19,2643.0
3:57.0,T. Horton-Tucker makes free throw 2 of 2,95-113, ,,4,113,95,18,2643.0
3:47.0, ,95-113,Shooting foul by B. Sensabaugh (drawn by D. Hunter),,4,113,95,18,2653.0
3:47.0, ,95-114,D. Hunter makes free throw 1 of 2,,4,114,95,19,2653.0
3:47.0, ,95-114,B. Bogdanović enters the game for K. Bufkin,,4,114,95,19,2653.0
3:47.0, ,95-115,D. Hunter makes free throw 2 of 2,,4,115,95,20,2653.0
3:38.0,T. Hendricks misses 2-pt jump shot from 20 ft,95-115, ,,4,115,95,20,2662.0
3:35.0, ,95-115,Defensive rebound by D. Murray,,4,115,95,20,2665.0
3:23.0, ,95-117,D. Hunter makes 2-pt jump shot from 18 ft (assist by D. Murray),,4,117,95,22,2677.0
3:09.0,T. Horton-Tucker misses 3-pt jump shot from 27 ft,95-117, ,,4,117,95,22,2691.0
3:06.0, ,95-117,Defensive rebound by C. Capela,,4,117,95,22,2694.0
2:53.0, ,95-117,C. Capela misses 2-pt layup from 3 ft (block by T. Horton-Tucker),,4,117,95,22,2707.0
2:52.0,Defensive rebound by T. Horton-Tucker,95-117, ,,4,117,95,22,2708.0
2:47.0,W. Kessler makes 2-pt dunk from 2 ft (assist by T. Horton-Tucker),97-117, ,,4,117,97,20,2713.0
2:24.0, ,97-119,B. Bogdanović makes 2-pt jump shot from 15 ft,,4,119,97,22,2736.0
2:09.0,K. George misses 3-pt jump shot from 27 ft,97-119, ,,4,119,97,22,2751.0
2:05.0, ,97-119,Defensive rebound by D. Hunter,,4,119,97,22,2755.0
1:49.0, ,97-119,D. Murray misses 2-pt layup from 1 ft,,4,119,97,22,2771.0
1:48.0,Defensive rebound by T. Hendricks,97-119, ,,4,119,97,22,2772.0
1:48.0, ,97-119,Atlanta full timeout,,4,119,97,22,2772.0
1:48.0, ,97-119,S. Bey enters the game for B. Bogdanović,,4,119,97,22,2772.0
1:48.0, ,97-119,K. Bufkin enters the game for C. Capela,,4,119,97,22,2772.0
1:48.0, ,97-119,B. Fernando enters the game for D. Hunter,,4,119,97,22,2772.0
1:48.0, ,97-119,G. Mathews enters the game for D. Murray,,4,119,97,22,2772.0
1:43.0,B. Sensabaugh misses 3-pt jump shot from 26 ft,97-119, ,,4,119,97,22,2777.0
1:39.0, ,97-119,Defensive rebound by G. Mathews,,4,119,97,22,2781.0
1:29.0, ,97-119,K. Bufkin misses 2-pt layup from 1 ft,,4,119,97,22,2791.0
1:25.0, ,97-119,Offensive rebound by B. Fernando,,4,119,97,22,2795.0
1:25.0, ,97-121,B. Fernando makes 2-pt dunk at rim,,4,121,97,24,2795.0
1:10.0,K. George misses 2-pt jump shot from 14 ft,97-121, ,,4,121,97,24,2810.0
1:05.0,Offensive rebound by W. Kessler,97-121, ,,4,121,97,24,2815.0
1:04.0,Turnover by W. Kessler (lost ball; steal by G. Mathews),97-121, ,,4,121,97,24,2816.0
0:54.0, ,97-124,K. Bufkin makes 3-pt jump shot from 25 ft,,4,124,97,27,2826.0
0:47.0,T. Horton-Tucker misses 2-pt layup from 3 ft,97-124, ,,4,124,97,27,2833.0
0:43.0,Offensive rebound by T. Horton-Tucker,97-124, ,,4,124,97,27,2837.0
0:43.0,T. Horton-Tucker misses 2-pt layup at rim,97-124, ,,4,124,97,27,2837.0
0:41.0,Offensive rebound by T. Horton-Tucker,97-124, ,,4,124,97,27,2839.0
0:40.0,T. Hendricks misses 3-pt jump shot from 24 ft,97-124, ,,4,124,97,27,2840.0
0:37.0, ,97-124,Defensive rebound by G. Mathews,,4,124,97,27,2843.0
0:15.0, ,97-124,Turnover by Team (shot clock),,4,124,97,27,2865.0
0:00.0,End of 4th quarter,97-124,,,4,124,97,27,2880.0
