Time,LA Lakers,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:27.0, ,18-20,D. Murray makes 2-pt jump shot from 12 ft,Lead change,1,20,18,2,453.0
4:27.0,LA Lakers full timeout,18-20, ,,1,20,18,2,453.0
4:27.0,M. Christie enters the game for J. Hayes,18-20, ,,1,20,18,2,453.0
4:27.0,R. Hachimura enters the game for L. James,18-20, ,,1,20,18,2,453.0
4:27.0,C. Wood enters the game for T. Prince,18-20, ,,1,20,18,2,453.0
4:12.0,R. Hachimura makes 2-pt jump shot from 11 ft (assist by A. Reaves),20-20, ,Tie,1,20,20,0,468.0
3:52.0, ,20-20,Shooting foul by C. Wood (drawn by S. Bey),,1,20,20,0,488.0
3:52.0, ,20-21,S. Bey makes free throw 1 of 2,,1,21,20,1,488.0
3:52.0, ,20-22,S. Bey makes free throw 2 of 2,,1,22,20,2,488.0
3:39.0,Turnover by A. Reaves (bad pass; steal by D. Murray),20-22, ,,1,22,20,2,501.0
3:34.0, ,20-24,S. Bey makes 2-pt layup from 2 ft (assist by D. Murray),,1,24,20,4,506.0
3:15.0,Turnover by M. Christie (bad pass; steal by O. Okongwu),20-24, ,,1,24,20,4,525.0
3:10.0, ,20-27,D. Hunter makes 3-pt jump shot from 23 ft (assist by D. Murray),,1,27,20,7,530.0
2:51.0,R. Hachimura misses 2-pt layup from 2 ft,20-27, ,,1,27,20,7,549.0
2:47.0,Offensive rebound by R. Hachimura,20-27, ,,1,27,20,7,553.0
2:47.0,R. Hachimura makes 2-pt dunk at rim,22-27, ,,1,27,22,5,553.0
2:38.0, ,22-27,D. Murray misses 3-pt jump shot from 26 ft,,1,27,22,5,562.0
2:35.0,Defensive rebound by C. Wood,22-27, ,,1,27,22,5,565.0
2:14.0,A. Reaves misses 2-pt jump shot from 10 ft,22-27, ,,1,27,22,5,586.0
2:11.0, ,22-27,Defensive rebound by S. Bey,,1,27,22,5,589.0
2:07.0, ,22-29,S. Bey makes 2-pt dunk from 1 ft (assist by D. Murray),,1,29,22,7,593.0
