Time,LA Lakers,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:43.0,Defensive rebound by J. Vanderbilt,74-90, ,,3,90,74,16,1877.0
4:35.0,D. Russell misses 3-pt jump shot from 25 ft,74-90, ,,3,90,74,16,1885.0
4:31.0, ,74-90,Defensive rebound by S. Bey,,3,90,74,16,1889.0
4:25.0, ,74-90,D. Murray misses 2-pt layup from 2 ft,,3,90,74,16,1895.0
4:21.0,Defensive rebound by C. Wood,74-90, ,,3,90,74,16,1899.0
4:19.0,L. James misses 2-pt layup from 2 ft,74-90, ,,3,90,74,16,1901.0
4:18.0, ,74-90,Defensive rebound by Team,,3,90,74,16,1902.0
4:18.0,R. Hachimura enters the game for L. James,74-90, ,,3,90,74,16,1902.0
4:03.0, ,74-93,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by D. Murray),,3,93,74,19,1917.0
3:43.0,M. Christie makes 3-pt jump shot from 25 ft (assist by D. Russell),77-93, ,,3,93,77,16,1937.0
3:27.0, ,77-93,D. Murray misses 2-pt jump shot from 15 ft,,3,93,77,16,1953.0
3:26.0, ,77-93,Offensive rebound by Team,,3,93,77,16,1954.0
3:26.0,Loose ball foul by D. Russell (drawn by O. Okongwu),77-93, ,,3,93,77,16,1954.0
3:26.0,A. Reaves enters the game for D. Russell,77-93, ,,3,93,77,16,1954.0
3:26.0, ,77-93,J. Johnson enters the game for S. Bey,,3,93,77,16,1954.0
3:26.0, ,77-93,T. Young enters the game for D. Murray,,3,93,77,16,1954.0
3:21.0, ,77-96,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),,3,96,77,19,1959.0
2:59.0,Shooting foul by B. Bogdanović (drawn by C. Wood),77-96, ,,3,96,77,19,1981.0
2:59.0,L. James enters the game for M. Christie,77-96, ,,3,96,77,19,1981.0
2:59.0,C. Wood makes free throw 1 of 2,78-96, ,,3,96,78,18,1981.0
2:59.0,C. Wood misses free throw 2 of 2,78-96, ,,3,96,78,18,1981.0
2:56.0,Offensive rebound by C. Wood,78-96, ,,3,96,78,18,1984.0
2:46.0,R. Hachimura makes 3-pt jump shot from 23 ft (assist by A. Reaves),81-96, ,,3,96,81,15,1994.0
2:29.0, ,81-96,J. Johnson misses 3-pt jump shot from 23 ft,,3,96,81,15,2011.0
2:26.0,Defensive rebound by J. Vanderbilt,81-96, ,,3,96,81,15,2014.0
2:17.0,A. Reaves makes 3-pt jump shot from 28 ft (assist by J. Vanderbilt),84-96, ,,3,96,84,12,2023.0
2:17.0, ,84-96,Atlanta full timeout,,3,96,84,12,2023.0
2:04.0, ,84-96,T. Young misses 2-pt jump shot from 12 ft,,3,96,84,12,2036.0
2:01.0,Defensive rebound by R. Hachimura,84-96, ,,3,96,84,12,2039.0
1:49.0,Shooting foul by O. Okongwu (drawn by L. James),84-96, ,,3,96,84,12,2051.0
1:49.0,L. James misses free throw 1 of 2,84-96, ,,3,96,84,12,2051.0
1:49.0,Offensive rebound by Team,84-96, ,,3,96,84,12,2051.0
1:49.0,L. James misses free throw 2 of 2,84-96, ,,3,96,84,12,2051.0
1:46.0, ,84-96,Defensive rebound by J. Johnson,,3,96,84,12,2054.0
1:37.0, ,84-99,T. Young makes 3-pt jump shot from 26 ft,,3,99,84,15,2063.0
1:11.0,Turnover by R. Hachimura (bad pass; steal by O. Okongwu),84-99, ,,3,99,84,15,2089.0
1:00.0, ,84-101,O. Okongwu makes 2-pt layup from 1 ft (assist by T. Young),,3,101,84,17,2100.0
0:40.0,C. Wood makes 2-pt layup from 4 ft (assist by L. James),86-101, ,,3,101,86,15,2120.0
0:30.0, ,86-103,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,3,103,86,17,2130.0
0:16.0,Personal foul by J. Johnson (drawn by A. Reaves),86-103, ,,3,103,86,17,2144.0
0:16.0,A. Reaves makes free throw 1 of 2,87-103, ,,3,103,87,16,2144.0
0:16.0,A. Reaves makes free throw 2 of 2,88-103, ,,3,103,88,15,2144.0
0:04.0, ,88-103,T. Young misses 2-pt layup from 1 ft,,3,103,88,15,2156.0
0:02.0,Defensive rebound by L. James,88-103, ,,3,103,88,15,2158.0
0:00.0,A. Reaves misses 3-pt jump shot from 25 ft,88-103, ,,3,103,88,15,2160.0
0:00.0,Offensive rebound by Team,88-103, ,,3,103,88,15,2160.0
0:00.0,End of 3rd quarter,88-103,,,3,103,88,15,2160.0
12:00.0,Start of 4th quarter,88-103,,,4,103,88,15,2160.0
11:45.0, ,88-103,T. Young misses 3-pt jump shot from 25 ft,,4,103,88,15,2175.0
11:42.0,Defensive rebound by J. Vanderbilt,88-103, ,,4,103,88,15,2178.0
11:37.0,L. James makes 3-pt jump shot from 26 ft,91-103, ,,4,103,91,12,2183.0
11:10.0, ,91-103,D. Hunter misses 3-pt jump shot from 23 ft,,4,103,91,12,2210.0
11:06.0, ,91-103,Offensive rebound by T. Young,,4,103,91,12,2214.0
11:03.0, ,91-103,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,103,91,12,2217.0
11:02.0, ,91-103,Offensive rebound by Team,,4,103,91,12,2218.0
10:52.0, ,91-103,Turnover by B. Bogdanović (bad pass; steal by R. Hachimura),,4,103,91,12,2228.0
10:48.0,R. Hachimura makes 2-pt layup from 1 ft,93-103, ,,4,103,93,10,2232.0
10:32.0, ,93-103,Shooting foul by C. Wood (drawn by T. Young),,4,103,93,10,2248.0
10:32.0, ,93-104,T. Young makes free throw 1 of 2,,4,104,93,11,2248.0
10:32.0, ,93-104,S. Bey enters the game for D. Hunter,,4,104,93,11,2248.0
10:32.0, ,93-105,T. Young makes free throw 2 of 2,,4,105,93,12,2248.0
10:19.0,J. Vanderbilt makes 2-pt layup from 1 ft (assist by C. Wood),95-105, ,,4,105,95,10,2261.0
10:01.0, ,95-107,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by T. Young),,4,107,95,12,2279.0
9:51.0,A. Reaves makes 2-pt layup at rim (assist by L. James),97-107, ,,4,107,97,10,2289.0
9:34.0, ,97-107,T. Young misses 3-pt jump shot from 26 ft,,4,107,97,10,2306.0
9:31.0,Defensive rebound by C. Wood,97-107, ,,4,107,97,10,2309.0
9:25.0,A. Reaves misses 2-pt jump shot from 8 ft,97-107, ,,4,107,97,10,2315.0
9:23.0, ,97-107,Defensive rebound by O. Okongwu,,4,107,97,10,2317.0
9:16.0, ,97-107,B. Bogdanović misses 3-pt jump shot from 23 ft,,4,107,97,10,2324.0
9:13.0,Defensive rebound by L. James,97-107, ,,4,107,97,10,2327.0
9:09.0,R. Hachimura misses 3-pt jump shot from 24 ft,97-107, ,,4,107,97,10,2331.0
9:05.0, ,97-107,Defensive rebound by J. Johnson,,4,107,97,10,2335.0
9:01.0, ,97-107,B. Bogdanović misses 2-pt dunk from 1 ft (block by L. James),,4,107,97,10,2339.0
8:55.0, ,97-107,Offensive rebound by S. Bey,,4,107,97,10,2345.0
8:55.0, ,97-109,S. Bey makes 2-pt dunk at rim,,4,109,97,12,2345.0
8:44.0,Offensive foul by J. Vanderbilt (drawn by T. Young),97-109, ,,4,109,97,12,2356.0
8:44.0,Turnover by J. Vanderbilt (offensive foul),97-109, ,,4,109,97,12,2356.0
8:44.0,D. Russell enters the game for A. Reaves,97-109, ,,4,109,97,12,2356.0
8:44.0, ,97-109,D. Murray enters the game for T. Young,,4,109,97,12,2356.0
8:26.0, ,97-109,Turnover by D. Murray (bad pass; steal by J. Vanderbilt),,4,109,97,12,2374.0
8:23.0,J. Vanderbilt makes 2-pt layup from 1 ft,99-109, ,,4,109,99,10,2377.0
8:23.0,Shooting foul by J. Johnson (drawn by J. Vanderbilt),99-109, ,,4,109,99,10,2377.0
8:23.0, ,99-109,Atlanta full timeout,,4,109,99,10,2377.0
8:23.0, ,99-109,C. Capela enters the game for J. Johnson,,4,109,99,10,2377.0
8:23.0,J. Vanderbilt misses free throw 1 of 1,99-109, ,,4,109,99,10,2377.0
8:21.0, ,99-109,Defensive rebound by C. Capela,,4,109,99,10,2379.0
8:10.0, ,99-112,O. Okongwu makes 3-pt jump shot from 24 ft (assist by D. Murray),,4,112,99,13,2390.0
7:52.0,L. James misses 3-pt jump shot from 25 ft,99-112, ,,4,112,99,13,2408.0
7:49.0, ,99-112,Defensive rebound by D. Murray,,4,112,99,13,2411.0
7:40.0, ,99-114,D. Murray makes 2-pt jump shot from 14 ft,,4,114,99,15,2420.0
7:27.0,J. Vanderbilt makes 2-pt layup from 1 ft (assist by L. James),101-114, ,,4,114,101,13,2433.0
7:16.0, ,101-116,D. Murray makes 2-pt jump shot from 11 ft,,4,116,101,15,2444.0
7:02.0,R. Hachimura makes 3-pt jump shot from 23 ft (assist by D. Russell),104-116, ,,4,116,104,12,2458.0
6:42.0, ,104-118,D. Murray makes 2-pt jump shot from 9 ft,,4,118,104,14,2478.0
6:20.0,Shooting foul by C. Capela (drawn by R. Hachimura),104-118, ,,4,118,104,14,2500.0
6:20.0,R. Hachimura misses free throw 1 of 2,104-118, ,,4,118,104,14,2500.0
6:20.0,Offensive rebound by Team,104-118, ,,4,118,104,14,2500.0
6:20.0,J. Hayes enters the game for J. Vanderbilt,104-118, ,,4,118,104,14,2500.0
6:20.0,A. Reaves enters the game for C. Wood,104-118, ,,4,118,104,14,2500.0
6:20.0, ,104-118,J. Johnson enters the game for O. Okongwu,,4,118,104,14,2500.0
6:20.0,R. Hachimura misses free throw 2 of 2,104-118, ,,4,118,104,14,2500.0
6:15.0, ,104-118,Defensive rebound by J. Johnson,,4,118,104,14,2505.0
6:03.0, ,104-118,J. Johnson misses 2-pt layup from 3 ft,,4,118,104,14,2517.0
6:03.0,Defensive rebound by Team,104-118, ,,4,118,104,14,2517.0
6:03.0, ,104-118,T. Young enters the game for B. Bogdanović,,4,118,104,14,2517.0
5:53.0,Shooting foul by C. Capela (drawn by L. James),104-118, ,,4,118,104,14,2527.0
5:53.0,L. James misses free throw 1 of 2,104-118, ,,4,118,104,14,2527.0
5:53.0,Offensive rebound by Team,104-118, ,,4,118,104,14,2527.0
5:53.0,T. Prince enters the game for R. Hachimura,104-118, ,,4,118,104,14,2527.0
5:53.0,L. James makes free throw 2 of 2,105-118, ,,4,118,105,13,2527.0
5:43.0, ,105-120,D. Murray makes 2-pt jump shot from 13 ft (assist by T. Young),,4,120,105,15,2537.0
5:31.0,L. James makes 2-pt layup from 1 ft (assist by D. Russell),107-120, ,,4,120,107,13,2549.0
5:12.0, ,107-123,J. Johnson makes 3-pt jump shot from 23 ft (assist by S. Bey),,4,123,107,16,2568.0
5:01.0,L. James misses 3-pt jump shot from 27 ft,107-123, ,,4,123,107,16,2579.0
4:59.0, ,107-123,Defensive rebound by C. Capela,,4,123,107,16,2581.0
4:46.0, ,107-123,Shooting foul by J. Hayes (drawn by S. Bey),,4,123,107,16,2594.0
4:46.0, ,107-123,S. Bey misses free throw 1 of 2,,4,123,107,16,2594.0
4:46.0, ,107-123,Offensive rebound by Team,,4,123,107,16,2594.0
4:46.0,LA Lakers full timeout,107-123, ,,4,123,107,16,2594.0
4:46.0,J. Vanderbilt enters the game for J. Hayes,107-123, ,,4,123,107,16,2594.0
4:46.0, ,107-124,S. Bey makes free throw 2 of 2,,4,124,107,17,2594.0
4:40.0,Turnover by D. Russell (bad pass; steal by J. Johnson),107-124, ,,4,124,107,17,2600.0
4:37.0, ,107-126,J. Johnson makes 2-pt dunk at rim,,4,126,107,19,2603.0
4:27.0,Personal foul by J. Johnson (drawn by A. Reaves),107-126, ,,4,126,107,19,2613.0
4:17.0,A. Reaves makes 2-pt jump shot from 13 ft,109-126, ,,4,126,109,17,2623.0
4:17.0,Shooting foul by J. Johnson (drawn by A. Reaves),109-126, ,,4,126,109,17,2623.0
4:17.0,A. Reaves makes free throw 1 of 1,110-126, ,,4,126,110,16,2623.0
3:58.0, ,110-126,T. Young misses 3-pt jump shot from 24 ft,,4,126,110,16,2642.0
3:56.0,Defensive rebound by Team,110-126, ,,4,126,110,16,2644.0
3:37.0,A. Reaves misses 3-pt jump shot from 26 ft,110-126, ,,4,126,110,16,2663.0
3:35.0, ,110-126,Defensive rebound by Team,,4,126,110,16,2665.0
3:21.0, ,110-128,D. Murray makes 2-pt layup from 1 ft,,4,128,110,18,2679.0
3:21.0,LA Lakers full timeout,110-128, ,,4,128,110,18,2679.0
3:21.0,J. Hayes enters the game for L. James,110-128, ,,4,128,110,18,2679.0
3:21.0,J. Hood-Schifino enters the game for T. Prince,110-128, ,,4,128,110,18,2679.0
3:21.0,M. Lewis enters the game for A. Reaves,110-128, ,,4,128,110,18,2679.0
3:21.0,S. Mays enters the game for D. Russell,110-128, ,,4,128,110,18,2679.0
3:21.0,D. Windler enters the game for J. Vanderbilt,110-128, ,,4,128,110,18,2679.0
3:08.0,D. Windler misses 2-pt jump shot from 11 ft,110-128, ,,4,128,110,18,2692.0
3:04.0, ,110-128,Defensive rebound by J. Johnson,,4,128,110,18,2696.0
3:00.0, ,110-128,Shooting foul by S. Mays (drawn by C. Capela),,4,128,110,18,2700.0
3:00.0, ,110-129,C. Capela makes free throw 1 of 2,,4,129,110,19,2700.0
3:00.0, ,110-129,C. Capela misses free throw 2 of 2,,4,129,110,19,2700.0
2:58.0,Defensive rebound by D. Windler,110-129, ,,4,129,110,19,2702.0
2:42.0,D. Windler makes 3-pt jump shot from 24 ft (assist by S. Mays),113-129, ,,4,129,113,16,2718.0
2:17.0, ,113-129,D. Murray misses 3-pt jump shot from 26 ft,,4,129,113,16,2743.0
2:13.0, ,113-129,Offensive rebound by S. Bey,,4,129,113,16,2747.0
2:12.0, ,113-131,C. Capela makes 2-pt layup at rim,,4,131,113,18,2748.0
2:01.0,D. Windler makes 3-pt jump shot from 26 ft (assist by S. Mays),116-131, ,,4,131,116,15,2759.0
1:52.0, ,116-131,Atlanta full timeout,,4,131,116,15,2768.0
1:52.0, ,116-131,K. Bufkin enters the game for S. Bey,,4,131,116,15,2768.0
1:52.0, ,116-131,A. Griffin enters the game for C. Capela,,4,131,116,15,2768.0
1:52.0, ,116-131,G. Mathews enters the game for J. Johnson,,4,131,116,15,2768.0
1:52.0, ,116-131,P. Mills enters the game for D. Murray,,4,131,116,15,2768.0
1:52.0, ,116-131,O. Okongwu enters the game for T. Young,,4,131,116,15,2768.0
1:52.0, ,116-131,Violation by Team (delay of game),,4,131,116,15,2768.0
1:48.0, ,116-131,A. Griffin misses 2-pt jump shot from 6 ft,,4,131,116,15,2772.0
1:45.0,Defensive rebound by J. Hayes,116-131, ,,4,131,116,15,2775.0
1:43.0,Shooting foul by G. Mathews (drawn by J. Hood-Schifino),116-131, ,,4,131,116,15,2777.0
1:43.0,J. Hood-Schifino makes free throw 1 of 2,117-131, ,,4,131,117,14,2777.0
1:43.0,J. Hood-Schifino makes free throw 2 of 2,118-131, ,,4,131,118,13,2777.0
1:33.0, ,118-133,O. Okongwu makes 2-pt layup from 1 ft (assist by K. Bufkin),,4,133,118,15,2787.0
1:24.0,J. Hayes makes 2-pt layup from 2 ft (assist by D. Windler),120-133, ,,4,133,120,13,2796.0
1:10.0, ,120-133,P. Mills misses 3-pt jump shot from 24 ft,,4,133,120,13,2810.0
1:07.0,Defensive rebound by S. Mays,120-133, ,,4,133,120,13,2813.0
1:02.0,J. Hood-Schifino misses 3-pt jump shot from 26 ft,120-133, ,,4,133,120,13,2818.0
1:00.0, ,120-133,Defensive rebound by A. Griffin,,4,133,120,13,2820.0
0:47.0, ,120-133,Shooting foul by M. Lewis (drawn by O. Okongwu),,4,133,120,13,2833.0
0:47.0, ,120-134,O. Okongwu makes free throw 1 of 2,,4,134,120,14,2833.0
0:47.0, ,120-135,O. Okongwu makes free throw 2 of 2,,4,135,120,15,2833.0
0:35.0,D. Windler misses 3-pt jump shot from 26 ft,120-135, ,,4,135,120,15,2845.0
0:32.0, ,120-135,Defensive rebound by K. Bufkin,,4,135,120,15,2848.0
0:27.0, ,120-138,K. Bufkin makes 3-pt jump shot from 26 ft,,4,138,120,18,2853.0
0:14.0,M. Lewis makes 2-pt layup from 2 ft,122-138, ,,4,138,122,16,2866.0
0:00.0,End of 4th quarter,122-138,,,4,138,122,16,2880.0
