Time,Atlanta,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:11.0, ,76-90,J. McGee makes 2-pt dunk from 1 ft (assist by K. Huerter),,4,76,90,-14,2269.0
10:09.0, ,76-90,Technical foul by J. McGee,,4,76,90,-14,2271.0
10:09.0,D. Murray makes technical free throw,77-90, ,,4,77,90,-13,2271.0
9:52.0,D. Murray makes 3-pt jump shot from 25 ft,80-90, ,,4,80,90,-10,2288.0
9:39.0, ,80-92,T. Lyles makes 2-pt layup from 2 ft (assist by D. Fox),,4,80,92,-12,2301.0
9:29.0, ,80-92,Violation by Team (kicked ball),,4,80,92,-12,2311.0
9:29.0, ,80-92,D. Mitchell enters the game for D. Fox,,4,80,92,-12,2311.0
9:29.0, ,80-92,D. Sabonis enters the game for J. McGee,,4,80,92,-12,2311.0
9:23.0,Turnover by D. Murray (bad pass; steal by M. Monk),80-92, ,,4,80,92,-12,2317.0
9:22.0, ,80-92,D. Mitchell misses 2-pt layup from 2 ft (block by J. Johnson),,4,80,92,-12,2318.0
9:20.0,Defensive rebound by D. Murray,80-92, ,,4,80,92,-12,2320.0
9:14.0,G. Mathews misses 3-pt jump shot from 25 ft,80-92, ,,4,80,92,-12,2326.0
9:14.0, ,80-92,Defensive rebound by D. Sabonis,,4,80,92,-12,2326.0
9:06.0, ,80-92,Shooting foul by O. Okongwu (drawn by D. Sabonis),,4,80,92,-12,2334.0
9:06.0, ,80-93,D. Sabonis makes free throw 1 of 2,,4,80,93,-13,2334.0
9:06.0,B. Bogdanović enters the game for P. Mills,80-93, ,,4,80,93,-13,2334.0
9:06.0, ,80-94,D. Sabonis makes free throw 2 of 2,,4,80,94,-14,2334.0
8:46.0,Shooting foul by K. Huerter (drawn by J. Johnson),80-94, ,,4,80,94,-14,2354.0
8:46.0,J. Johnson makes free throw 1 of 2,81-94, ,,4,81,94,-13,2354.0
8:46.0, ,81-94,K. Murray enters the game for K. Huerter,,4,81,94,-13,2354.0
8:46.0,J. Johnson misses free throw 2 of 2,81-94, ,,4,81,94,-13,2354.0
8:44.0, ,81-94,Defensive rebound by T. Lyles,,4,81,94,-13,2356.0
8:27.0, ,81-94,D. Mitchell misses 2-pt layup from 4 ft (block by O. Okongwu),,4,81,94,-13,2373.0
8:23.0,Defensive rebound by D. Murray,81-94, ,,4,81,94,-13,2377.0
8:13.0,Turnover by G. Mathews (bad pass; steal by K. Murray),81-94, ,,4,81,94,-13,2387.0
8:11.0, ,81-94,Shooting foul by G. Mathews (drawn by M. Monk),,4,81,94,-13,2389.0
8:11.0, ,81-95,M. Monk makes free throw 1 of 2,,4,81,95,-14,2389.0
8:11.0, ,81-96,M. Monk makes free throw 2 of 2,,4,81,96,-15,2389.0
8:00.0,O. Okongwu makes 2-pt dunk from 1 ft (assist by D. Murray),83-96, ,,4,83,96,-13,2400.0
7:44.0, ,83-99,T. Lyles makes 3-pt jump shot from 26 ft (assist by M. Monk),,4,83,99,-16,2416.0
7:25.0,G. Mathews makes 3-pt jump shot from 24 ft (assist by O. Okongwu),86-99, ,,4,86,99,-13,2435.0
7:14.0, ,86-101,D. Sabonis makes 2-pt layup from 3 ft (assist by M. Monk),,4,86,101,-15,2446.0
7:01.0,Turnover by D. Murray (lost ball; steal by D. Sabonis),86-101, ,,4,86,101,-15,2459.0
6:56.0, ,86-101,T. Lyles misses 3-pt jump shot from 24 ft,,4,86,101,-15,2464.0
6:52.0,Defensive rebound by O. Okongwu,86-101, ,,4,86,101,-15,2468.0
6:49.0,Atlanta full timeout,86-101, ,,4,86,101,-15,2471.0
6:49.0,S. Bey enters the game for J. Johnson,86-101, ,,4,86,101,-15,2471.0
6:49.0, ,86-101,H. Barnes enters the game for T. Lyles,,4,86,101,-15,2471.0
6:49.0, ,86-101,D. Fox enters the game for M. Monk,,4,86,101,-15,2471.0
6:42.0,B. Bogdanović misses 2-pt layup from 4 ft,86-101, ,,4,86,101,-15,2478.0
6:40.0, ,86-101,Defensive rebound by D. Sabonis,,4,86,101,-15,2480.0
6:35.0, ,86-101,Personal foul by B. Bogdanović (drawn by K. Murray),,4,86,101,-15,2485.0
6:28.0, ,86-101,K. Murray misses 3-pt jump shot from 23 ft,,4,86,101,-15,2492.0
6:26.0, ,86-101,Offensive rebound by D. Sabonis,,4,86,101,-15,2494.0
6:25.0, ,86-101,D. Sabonis misses 2-pt layup from 3 ft (block by D. Murray),,4,86,101,-15,2495.0
6:24.0,Defensive rebound by D. Murray,86-101, ,,4,86,101,-15,2496.0
6:11.0,G. Mathews makes 3-pt jump shot from 23 ft (assist by O. Okongwu),89-101, ,,4,89,101,-12,2509.0
5:48.0, ,89-104,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Mitchell),,4,89,104,-15,2532.0
5:29.0,B. Bogdanović misses 3-pt jump shot from 25 ft,89-104, ,,4,89,104,-15,2551.0
5:27.0,Offensive rebound by O. Okongwu,89-104, ,,4,89,104,-15,2553.0
5:23.0,Personal foul by D. Sabonis (drawn by D. Murray),89-104, ,,4,89,104,-15,2557.0
5:16.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Murray),91-104, ,,4,91,104,-13,2564.0
5:01.0, ,91-104,H. Barnes misses 3-pt jump shot from 23 ft,,4,91,104,-13,2579.0
4:58.0,Defensive rebound by D. Murray,91-104, ,,4,91,104,-13,2582.0
4:50.0,S. Bey makes 3-pt jump shot from 24 ft (assist by D. Murray),94-104, ,,4,94,104,-10,2590.0
4:48.0, ,94-104,Sacramento full timeout,,4,94,104,-10,2592.0
4:48.0, ,94-104,M. Monk enters the game for D. Mitchell,,4,94,104,-10,2592.0
4:30.0, ,94-106,H. Barnes makes 2-pt jump shot from 4 ft (assist by D. Sabonis),,4,94,106,-12,2610.0
4:30.0, ,94-106,Shooting foul by S. Bey (drawn by H. Barnes),,4,94,106,-12,2610.0
4:30.0, ,94-107,H. Barnes makes free throw 1 of 1,,4,94,107,-13,2610.0
4:19.0,S. Bey misses 3-pt jump shot from 25 ft,94-107, ,,4,94,107,-13,2621.0
4:15.0, ,94-107,Defensive rebound by D. Sabonis,,4,94,107,-13,2625.0
4:00.0, ,94-107,Turnover by D. Sabonis (out of bounds lost ball),,4,94,107,-13,2640.0
4:00.0,J. Johnson enters the game for G. Mathews,94-107, ,,4,94,107,-13,2640.0
3:50.0,D. Murray makes 2-pt layup from 2 ft,96-107, ,,4,96,107,-11,2650.0
3:41.0, ,96-107,Personal foul by B. Bogdanović (drawn by H. Barnes),,4,96,107,-11,2659.0
3:41.0, ,96-108,H. Barnes makes free throw 1 of 2,,4,96,108,-12,2659.0
3:41.0, ,96-109,H. Barnes makes free throw 2 of 2,,4,96,109,-13,2659.0
3:37.0,D. Murray misses 2-pt layup from 3 ft,96-109, ,,4,96,109,-13,2663.0
3:36.0,Offensive rebound by O. Okongwu,96-109, ,,4,96,109,-13,2664.0
3:34.0,O. Okongwu makes 2-pt dunk at rim,98-109, ,,4,98,109,-11,2666.0
3:06.0, ,98-109,H. Barnes misses 2-pt hook shot from 6 ft,,4,98,109,-11,2694.0
3:04.0, ,98-109,Offensive rebound by Team,,4,98,109,-11,2696.0
3:04.0,Loose ball foul by D. Murray (drawn by D. Fox),98-109, ,,4,98,109,-11,2696.0
3:04.0, ,98-109,D. Fox misses free throw 1 of 2,,4,98,109,-11,2696.0
3:04.0,Atlanta full timeout,98-109, ,,4,98,109,-11,2696.0
3:04.0, ,98-109,Sacramento full timeout,,4,98,109,-11,2696.0
3:04.0, ,98-110,D. Fox makes free throw 2 of 2,,4,98,110,-12,2696.0
2:52.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by O. Okongwu),101-110, ,,4,101,110,-9,2708.0
2:30.0, ,101-110,Shooting foul by O. Okongwu (drawn by D. Sabonis),,4,101,110,-9,2730.0
2:30.0, ,101-111,D. Sabonis makes free throw 1 of 2,,4,101,111,-10,2730.0
2:30.0, ,101-112,D. Sabonis makes free throw 2 of 2,,4,101,112,-11,2730.0
2:13.0,Shooting foul by H. Barnes (drawn by J. Johnson),101-112, ,,4,101,112,-11,2747.0
2:13.0,J. Johnson makes free throw 1 of 2,102-112, ,,4,102,112,-10,2747.0
2:13.0,J. Johnson misses free throw 2 of 2,102-112, ,,4,102,112,-10,2747.0
2:10.0, ,102-112,Defensive rebound by D. Sabonis,,4,102,112,-10,2750.0
1:48.0, ,102-112,D. Fox misses 2-pt jump shot from 13 ft,,4,102,112,-10,2772.0
1:46.0,Defensive rebound by D. Murray,102-112, ,,4,102,112,-10,2774.0
1:41.0,D. Murray makes 2-pt jump shot from 12 ft,104-112, ,,4,104,112,-8,2779.0
1:20.0, ,104-114,D. Sabonis makes 2-pt hook shot from 9 ft,,4,104,114,-10,2800.0
1:14.0,D. Murray makes 3-pt jump shot from 25 ft,107-114, ,,4,107,114,-7,2806.0
0:58.0, ,107-116,D. Fox makes 2-pt layup from 3 ft,,4,107,116,-9,2822.0
0:58.0, ,107-116,Shooting foul by O. Okongwu (drawn by D. Fox),,4,107,116,-9,2822.0
0:58.0,G. Mathews enters the game for O. Okongwu,107-116, ,,4,107,116,-9,2822.0
0:58.0, ,107-117,D. Fox makes free throw 1 of 1,,4,107,117,-10,2822.0
0:49.0,Turnover by D. Murray (lost ball; steal by D. Fox),107-117, ,,4,107,117,-10,2831.0
0:43.0, ,107-117,Personal take foul by J. Johnson (drawn by D. Sabonis),,4,107,117,-10,2837.0
0:43.0, ,107-118,D. Sabonis makes free throw 1 of 2,,4,107,118,-11,2837.0
0:43.0, ,107-119,D. Sabonis makes free throw 2 of 2,,4,107,119,-12,2837.0
0:36.0,B. Bogdanović misses 3-pt jump shot from 29 ft,107-119, ,,4,107,119,-12,2844.0
0:35.0, ,107-119,Defensive rebound by Team,,4,107,119,-12,2845.0
0:35.0,Loose ball foul by G. Mathews (drawn by M. Monk),107-119, ,,4,107,119,-12,2845.0
0:35.0,Technical foul by G. Mathews,107-119, ,,4,107,119,-12,2845.0
0:35.0, ,107-120,H. Barnes makes technical free throw,,4,107,120,-13,2845.0
0:35.0, ,107-121,M. Monk makes free throw 1 of 2,,4,107,121,-14,2845.0
0:35.0, ,107-122,M. Monk makes free throw 2 of 2,,4,107,122,-15,2845.0
0:30.0,D. Murray misses 3-pt jump shot from 30 ft,107-122, ,,4,107,122,-15,2850.0
0:28.0, ,107-122,Defensive rebound by Team,,4,107,122,-15,2852.0
0:04.0, ,107-122,Turnover by Team (shot clock),,4,107,122,-15,2876.0
0:00.0,End of 4th quarter,107-122,,,4,107,122,-15,2880.0
