Time,Milwaukee,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Lopez vs. C. Capela (G. Antetokounmpo gains possession),0-0,,,1,0,0,0,0.0
11:39.0,Shooting foul by V. Krejci (drawn by B. Lopez),0-0, ,,1,0,0,0,21.0
11:39.0,B. Lopez makes free throw 1 of 2,1-0, ,,1,0,1,-1,21.0
11:39.0,B. Lopez makes free throw 2 of 2,2-0, ,,1,0,2,-2,21.0
11:25.0, ,2-0,Def 3 sec tech foul by Team,,1,0,2,-2,35.0
11:25.0, ,2-1,B. Bogdanović makes technical free throw,,1,1,2,-1,35.0
11:15.0, ,2-4,D. Murray makes 3-pt jump shot from 25 ft (assist by D. Hunter),Lead change,1,4,2,2,45.0
11:05.0,G. Antetokounmpo misses 2-pt jump shot from 14 ft,2-4, ,,1,4,2,2,55.0
11:02.0, ,2-4,Defensive rebound by D. Murray,,1,4,2,2,58.0
10:59.0, ,2-4,V. Krejci misses 3-pt jump shot from 26 ft,,1,4,2,2,61.0
10:56.0,Defensive rebound by G. Antetokounmpo,2-4, ,,1,4,2,2,64.0
10:51.0,K. Middleton makes 2-pt layup from 1 ft (assist by M. Beasley),4-4, ,Tie,1,4,4,0,69.0
10:37.0, ,4-6,C. Capela makes 2-pt jump shot from 10 ft (assist by D. Murray),,1,6,4,2,83.0
10:23.0,K. Middleton misses 2-pt jump shot from 4 ft,4-6, ,,1,6,4,2,97.0
10:20.0, ,4-6,Defensive rebound by D. Murray,,1,6,4,2,100.0
10:10.0, ,4-6,Turnover by D. Murray (bad pass; steal by K. Middleton),,1,6,4,2,110.0
10:06.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),6-6, ,Tie,1,6,6,0,114.0
9:48.0, ,6-9,D. Hunter makes 3-pt jump shot from 26 ft (assist by D. Murray),,1,9,6,3,132.0
9:37.0,M. Beasley misses 3-pt jump shot from 26 ft,6-9, ,,1,9,6,3,143.0
9:34.0, ,6-9,Defensive rebound by B. Bogdanović,,1,9,6,3,146.0
9:29.0, ,6-12,B. Bogdanović makes 3-pt jump shot from 25 ft,,1,12,6,6,151.0
9:29.0,Milwaukee full timeout,6-12, ,,1,12,6,6,151.0
9:19.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Hunter),6-12, ,,1,12,6,6,161.0
9:12.0, ,6-14,D. Murray makes 2-pt jump shot from 10 ft,,1,14,6,8,168.0
9:02.0,M. Beasley misses 2-pt layup from 2 ft (block by C. Capela),6-14, ,,1,14,6,8,178.0
9:00.0, ,6-14,Defensive rebound by B. Bogdanović,,1,14,6,8,180.0
8:54.0, ,6-14,D. Murray misses 3-pt jump shot from 25 ft,,1,14,6,8,186.0
8:52.0, ,6-14,Offensive rebound by B. Bogdanović,,1,14,6,8,188.0
8:50.0, ,6-14,B. Bogdanović misses 2-pt jump shot from 19 ft,,1,14,6,8,190.0
8:47.0,Defensive rebound by P. Beverley,6-14, ,,1,14,6,8,193.0
8:37.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by P. Beverley),9-14, ,,1,14,9,5,203.0
8:11.0, ,9-14,D. Murray misses 2-pt jump shot from 18 ft,,1,14,9,5,229.0
8:08.0,Defensive rebound by G. Antetokounmpo,9-14, ,,1,14,9,5,232.0
7:57.0,B. Lopez makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),11-14, ,,1,14,11,3,243.0
7:45.0, ,11-14,D. Hunter misses 2-pt jump shot from 8 ft (block by B. Lopez),,1,14,11,3,255.0
7:44.0,Defensive rebound by G. Antetokounmpo,11-14, ,,1,14,11,3,256.0
7:36.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),14-14, ,Tie,1,14,14,0,264.0
7:11.0, ,14-16,D. Hunter makes 2-pt layup from 2 ft,,1,16,14,2,289.0
7:11.0, ,14-16,Shooting foul by B. Lopez (drawn by D. Hunter),,1,16,14,2,289.0
7:11.0, ,14-17,D. Hunter makes free throw 1 of 1,,1,17,14,3,289.0
6:59.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by P. Beverley),16-17, ,,1,17,16,1,301.0
6:59.0,B. Portis enters the game for G. Antetokounmpo,16-17, ,,1,17,16,1,301.0
6:59.0, ,16-17,G. Mathews enters the game for B. Bogdanović,,1,17,16,1,301.0
6:28.0, ,16-17,V. Krejci misses 3-pt jump shot from 25 ft,,1,17,16,1,332.0
6:26.0,Defensive rebound by K. Middleton,16-17, ,,1,17,16,1,334.0
6:10.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by B. Portis),18-17, ,Lead change,1,17,18,-1,350.0
5:57.0, ,18-19,D. Murray makes 2-pt jump shot from 13 ft,Lead change,1,19,18,1,363.0
5:39.0,B. Portis misses 3-pt jump shot from 24 ft,18-19, ,,1,19,18,1,381.0
5:37.0, ,18-19,Defensive rebound by G. Mathews,,1,19,18,1,383.0
5:26.0, ,18-19,D. Hunter misses 3-pt jump shot from 26 ft,,1,19,18,1,394.0
5:23.0,Defensive rebound by Team,18-19, ,,1,19,18,1,397.0
5:23.0, ,18-19,B. Fernando enters the game for C. Capela,,1,19,18,1,397.0
5:13.0,P. Beverley makes 2-pt layup from 2 ft,20-19, ,Lead change,1,19,20,-1,407.0
4:57.0, ,20-21,D. Murray makes 2-pt jump shot from 16 ft,Lead change,1,21,20,1,423.0
4:38.0,B. Portis makes 2-pt jump shot from 8 ft (assist by K. Middleton),22-21, ,Lead change,1,21,22,-1,442.0
4:25.0, ,22-21,D. Hunter misses 2-pt jump shot from 14 ft,,1,21,22,-1,455.0
4:21.0,Defensive rebound by K. Middleton,22-21, ,,1,21,22,-1,459.0
4:15.0,K. Middleton makes 3-pt jump shot from 25 ft,25-21, ,,1,21,25,-4,465.0
4:15.0, ,25-21,Atlanta full timeout,,1,21,25,-4,465.0
4:03.0, ,25-21,Offensive foul by B. Fernando (drawn by P. Beverley),,1,21,25,-4,477.0
4:03.0, ,25-21,Turnover by B. Fernando (offensive foul),,1,21,25,-4,477.0
3:53.0,B. Portis makes 2-pt dunk from 1 ft (assist by K. Middleton),27-21, ,,1,21,27,-6,487.0
3:32.0, ,27-21,D. Hunter misses 2-pt jump shot from 21 ft,,1,21,27,-6,508.0
3:29.0,Defensive rebound by P. Beverley,27-21, ,,1,21,27,-6,511.0
3:08.0,K. Middleton makes 2-pt jump shot from 20 ft,29-21, ,,1,21,29,-8,532.0
2:52.0, ,29-24,V. Krejci makes 3-pt jump shot from 24 ft (assist by G. Mathews),,1,24,29,-5,548.0
2:34.0,B. Portis makes 2-pt hook shot from 12 ft (assist by M. Beasley),31-24, ,,1,24,31,-7,566.0
2:19.0, ,31-24,B. Fernando misses 2-pt layup from 1 ft,,1,24,31,-7,581.0
2:16.0,Defensive rebound by M. Beasley,31-24, ,,1,24,31,-7,584.0
2:03.0,B. Portis misses 2-pt jump shot from 17 ft,31-24, ,,1,24,31,-7,597.0
1:57.0, ,31-24,Defensive rebound by D. Murray,,1,24,31,-7,603.0
1:49.0, ,31-26,D. Murray makes 2-pt jump shot from 19 ft,,1,26,31,-5,611.0
1:34.0,B. Portis misses 2-pt hook shot from 5 ft,31-26, ,,1,26,31,-5,626.0
1:31.0, ,31-26,Defensive rebound by V. Krejci,,1,26,31,-5,629.0
1:14.0, ,31-28,V. Krejci makes 2-pt layup from 4 ft,,1,28,31,-3,646.0
1:14.0,G. Antetokounmpo enters the game for P. Beverley,31-28, ,,1,28,31,-3,646.0
1:14.0,P. Connaughton enters the game for B. Lopez,31-28, ,,1,28,31,-3,646.0
1:14.0,J. Crowder enters the game for K. Middleton,31-28, ,,1,28,31,-3,646.0
1:14.0, ,31-28,B. Bogdanović enters the game for D. Hunter,,1,28,31,-3,646.0
0:57.0,M. Beasley misses 3-pt jump shot from 26 ft,31-28, ,,1,28,31,-3,663.0
0:55.0, ,31-28,Defensive rebound by D. Murray,,1,28,31,-3,665.0
0:43.0, ,31-28,B. Fernando misses 2-pt hook shot from 7 ft,,1,28,31,-3,677.0
0:39.0,Defensive rebound by B. Portis,31-28, ,,1,28,31,-3,681.0
0:36.0,Shooting foul by V. Krejci (drawn by G. Antetokounmpo),31-28, ,,1,28,31,-3,684.0
0:36.0,G. Antetokounmpo makes free throw 1 of 2,32-28, ,,1,28,32,-4,684.0
0:36.0,A. Green enters the game for M. Beasley,32-28, ,,1,28,32,-4,684.0
0:36.0,G. Antetokounmpo makes free throw 2 of 2,33-28, ,,1,28,33,-5,684.0
0:30.0, ,33-28,D. Murray misses 3-pt jump shot from 26 ft,,1,28,33,-5,690.0
0:27.0,Defensive rebound by G. Antetokounmpo,33-28, ,,1,28,33,-5,693.0
0:11.0,P. Connaughton misses 3-pt jump shot from 26 ft,33-28, ,,1,28,33,-5,709.0
0:08.0, ,33-28,Defensive rebound by B. Bogdanović,,1,28,33,-5,712.0
0:02.0, ,33-28,G. Mathews misses 3-pt jump shot from 24 ft,,1,28,33,-5,718.0
0:00.0, ,33-28,Offensive rebound by B. Fernando,,1,28,33,-5,720.0
0:00.0,End of 1st quarter,33-28,,,1,28,33,-5,720.0
12:00.0,Start of 2nd quarter,33-28,,,2,28,33,-5,720.0
11:39.0, ,33-28,D. Windler misses 3-pt jump shot from 25 ft,,2,28,33,-5,741.0
11:34.0,Defensive rebound by J. Crowder,33-28, ,,2,28,33,-5,746.0
11:30.0,Shooting foul by B. Fernando (drawn by G. Antetokounmpo),33-28, ,,2,28,33,-5,750.0
11:30.0,G. Antetokounmpo makes free throw 1 of 2,34-28, ,,2,28,34,-6,750.0
11:30.0,G. Antetokounmpo makes free throw 2 of 2,35-28, ,,2,28,35,-7,750.0
11:14.0,Violation by Team (kicked ball),35-28, ,,2,28,35,-7,766.0
11:06.0, ,35-28,Shooting foul by P. Connaughton (drawn by B. Bogdanović),,2,28,35,-7,774.0
11:06.0, ,35-29,B. Bogdanović makes free throw 1 of 2,,2,29,35,-6,774.0
11:06.0, ,35-30,B. Bogdanović makes free throw 2 of 2,,2,30,35,-5,774.0
10:49.0,Personal foul by W. Matthews (drawn by B. Portis),35-30, ,,2,30,35,-5,791.0
10:37.0,J. Crowder makes 2-pt jump shot from 18 ft (assist by P. Connaughton),37-30, ,,2,30,37,-7,803.0
10:23.0, ,37-30,T. Forrest misses 2-pt jump shot from 9 ft,,2,30,37,-7,817.0
10:21.0,Defensive rebound by G. Antetokounmpo,37-30, ,,2,30,37,-7,819.0
10:14.0,B. Portis makes 2-pt layup at rim (assist by P. Connaughton),39-30, ,,2,30,39,-9,826.0
10:02.0, ,39-30,B. Bogdanović misses 2-pt jump shot from 7 ft,,2,30,39,-9,838.0
10:02.0,Defensive rebound by G. Antetokounmpo,39-30, ,,2,30,39,-9,838.0
9:53.0,J. Crowder misses 3-pt jump shot from 25 ft,39-30, ,,2,30,39,-9,847.0
9:50.0, ,39-30,Defensive rebound by D. Windler,,2,30,39,-9,850.0
9:42.0, ,39-30,Turnover by T. Forrest (bad pass; steal by G. Antetokounmpo),,2,30,39,-9,858.0
9:37.0,G. Antetokounmpo misses 2-pt layup from 3 ft,39-30, ,,2,30,39,-9,863.0
9:34.0, ,39-30,Defensive rebound by D. Windler,,2,30,39,-9,866.0
9:32.0, ,39-30,W. Matthews misses 3-pt jump shot from 26 ft,,2,30,39,-9,868.0
9:30.0, ,39-30,Offensive rebound by T. Forrest,,2,30,39,-9,870.0
9:28.0, ,39-32,T. Forrest makes 2-pt layup at rim,,2,32,39,-7,872.0
9:15.0,P. Connaughton misses 3-pt jump shot from 27 ft,39-32, ,,2,32,39,-7,885.0
9:12.0, ,39-32,Defensive rebound by B. Fernando,,2,32,39,-7,888.0
9:01.0, ,39-32,Turnover by B. Bogdanović (bad pass; steal by G. Antetokounmpo),,2,32,39,-7,899.0
9:01.0, ,39-32,D. Murray enters the game for T. Forrest,,2,32,39,-7,899.0
8:56.0,A. Green makes 2-pt layup from 1 ft (assist by P. Connaughton),41-32, ,,2,32,41,-9,904.0
8:30.0, ,41-34,B. Bogdanović makes 2-pt jump shot from 11 ft,,2,34,41,-7,930.0
8:15.0,J. Crowder misses 2-pt jump shot from 13 ft,41-34, ,,2,34,41,-7,945.0
8:12.0, ,41-34,Defensive rebound by B. Bogdanović,,2,34,41,-7,948.0
8:06.0, ,41-34,D. Murray misses 2-pt jump shot from 13 ft,,2,34,41,-7,954.0
8:04.0,Defensive rebound by Team,41-34, ,,2,34,41,-7,956.0
8:04.0, ,41-34,G. Mathews enters the game for D. Windler,,2,34,41,-7,956.0
7:52.0,G. Antetokounmpo misses 2-pt layup from 1 ft,41-34, ,,2,34,41,-7,968.0
7:50.0, ,41-34,Defensive rebound by B. Bogdanović,,2,34,41,-7,970.0
7:46.0, ,41-34,Turnover by B. Bogdanović (lost ball; steal by B. Portis),,2,34,41,-7,974.0
7:43.0,Offensive foul by G. Antetokounmpo (drawn by W. Matthews),41-34, ,,2,34,41,-7,977.0
7:43.0,Turnover by G. Antetokounmpo (offensive foul),41-34, ,,2,34,41,-7,977.0
7:43.0, ,41-34,D. Hunter enters the game for B. Bogdanović,,2,34,41,-7,977.0
7:24.0, ,41-36,W. Matthews makes 2-pt layup from 2 ft (assist by D. Murray),,2,36,41,-5,996.0
7:01.0,B. Portis makes 2-pt jump shot from 11 ft,43-36, ,,2,36,43,-7,1019.0
6:48.0, ,43-36,D. Hunter misses 3-pt jump shot from 25 ft,,2,36,43,-7,1032.0
6:45.0,Defensive rebound by G. Antetokounmpo,43-36, ,,2,36,43,-7,1035.0
6:37.0,J. Crowder misses 3-pt jump shot from 25 ft,43-36, ,,2,36,43,-7,1043.0
6:36.0, ,43-36,Defensive rebound by Team,,2,36,43,-7,1044.0
6:36.0, ,43-36,Atlanta full timeout,,2,36,43,-7,1044.0
6:36.0,M. Beasley enters the game for P. Connaughton,43-36, ,,2,36,43,-7,1044.0
6:36.0,P. Beverley enters the game for A. Green,43-36, ,,2,36,43,-7,1044.0
6:36.0,B. Lopez enters the game for B. Portis,43-36, ,,2,36,43,-7,1044.0
6:36.0, ,43-36,C. Capela enters the game for B. Fernando,,2,36,43,-7,1044.0
6:36.0, ,43-36,V. Krejci enters the game for W. Matthews,,2,36,43,-7,1044.0
6:19.0, ,43-36,C. Capela misses 2-pt jump shot from 7 ft,,2,36,43,-7,1061.0
6:17.0, ,43-36,Offensive rebound by C. Capela,,2,36,43,-7,1063.0
6:16.0, ,43-36,C. Capela misses 2-pt layup at rim (block by B. Lopez),,2,36,43,-7,1064.0
6:14.0,Defensive rebound by G. Antetokounmpo,43-36, ,,2,36,43,-7,1066.0
6:11.0,Shooting foul by D. Hunter (drawn by G. Antetokounmpo),43-36, ,,2,36,43,-7,1069.0
6:11.0,G. Antetokounmpo makes free throw 1 of 2,44-36, ,,2,36,44,-8,1069.0
6:11.0,G. Antetokounmpo misses free throw 2 of 2,44-36, ,,2,36,44,-8,1069.0
6:10.0,Offensive rebound by J. Crowder,44-36, ,,2,36,44,-8,1070.0
6:02.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by P. Beverley),47-36, ,,2,36,47,-11,1078.0
5:43.0, ,47-36,D. Murray misses 3-pt jump shot from 23 ft,,2,36,47,-11,1097.0
5:42.0, ,47-36,Offensive rebound by C. Capela,,2,36,47,-11,1098.0
5:37.0, ,47-36,D. Murray misses 3-pt jump shot from 24 ft,,2,36,47,-11,1103.0
5:34.0,Defensive rebound by G. Antetokounmpo,47-36, ,,2,36,47,-11,1106.0
5:21.0,Personal foul by C. Capela (drawn by B. Lopez),47-36, ,,2,36,47,-11,1119.0
5:21.0,K. Middleton enters the game for J. Crowder,47-36, ,,2,36,47,-11,1119.0
5:21.0, ,47-36,B. Bogdanović enters the game for G. Mathews,,2,36,47,-11,1119.0
5:09.0,B. Lopez makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),49-36, ,,2,36,49,-13,1131.0
4:58.0, ,49-36,Personal foul by P. Beverley (drawn by B. Bogdanović),,2,36,49,-13,1142.0
4:54.0, ,49-36,B. Bogdanović misses 2-pt layup from 1 ft,,2,36,49,-13,1146.0
4:52.0, ,49-36,Offensive rebound by C. Capela,,2,36,49,-13,1148.0
4:51.0, ,49-38,C. Capela makes 2-pt layup at rim,,2,38,49,-11,1149.0
4:39.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,49-38, ,,2,38,49,-11,1161.0
4:36.0, ,49-38,Defensive rebound by B. Bogdanović,,2,38,49,-11,1164.0
