Time,Atlanta,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:13.0, ,78-93,Offensive rebound by M. Porter,,3,78,93,-15,1847.0
5:13.0, ,78-95,M. Porter makes 2-pt layup from 2 ft,,3,78,95,-17,1847.0
5:05.0,Personal foul by K. Caldwell-Pope (drawn by V. Krejci),78-95, ,,3,78,95,-17,1855.0
5:05.0,B. Fernando enters the game for C. Capela,78-95, ,,3,78,95,-17,1855.0
4:56.0,D. Hunter makes 2-pt jump shot from 14 ft (assist by D. Murray),80-95, ,,3,80,95,-15,1864.0
4:36.0, ,80-95,Personal foul by D. Murray (drawn by M. Porter),,3,80,95,-15,1884.0
4:36.0, ,80-95,P. Watson enters the game for M. Porter,,3,80,95,-15,1884.0
4:30.0, ,80-95,R. Jackson misses 2-pt jump shot from 14 ft,,3,80,95,-15,1890.0
4:27.0,Defensive rebound by V. Krejci,80-95, ,,3,80,95,-15,1893.0
4:20.0,Turnover by D. Murray (bad pass; steal by K. Caldwell-Pope),80-95, ,,3,80,95,-15,1900.0
4:17.0, ,80-95,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,3,80,95,-15,1903.0
4:12.0, ,80-95,Offensive rebound by R. Jackson,,3,80,95,-15,1908.0
4:03.0, ,80-97,K. Caldwell-Pope makes 2-pt layup from 5 ft (assist by N. Jokić),,3,80,97,-17,1917.0
3:51.0,Turnover by D. Hunter (lost ball; steal by N. Jokić),80-97, ,,3,80,97,-17,1929.0
3:51.0, ,80-97,Personal foul by D. Hunter (drawn by N. Jokić),,3,80,97,-17,1929.0
3:37.0, ,80-99,N. Jokić makes 2-pt jump shot from 7 ft (assist by R. Jackson),,3,80,99,-19,1943.0
3:30.0,D. Hunter misses 3-pt jump shot from 25 ft,80-99, ,,3,80,99,-19,1950.0
3:27.0, ,80-99,Defensive rebound by K. Caldwell-Pope,,3,80,99,-19,1953.0
3:12.0, ,80-99,Turnover by N. Jokić (bad pass; steal by G. Mathews),,3,80,99,-19,1968.0
3:12.0,Personal foul by R. Jackson (drawn by G. Mathews),80-99, ,,3,80,99,-19,1968.0
3:12.0,B. Bogdanović enters the game for D. Hunter,80-99, ,,3,80,99,-19,1968.0
3:12.0,J. Johnson enters the game for G. Mathews,80-99, ,,3,80,99,-19,1968.0
3:12.0, ,80-99,J. Holiday enters the game for C. Braun,,3,80,99,-19,1968.0
2:59.0,J. Johnson misses 2-pt layup from 3 ft,80-99, ,,3,80,99,-19,1981.0
2:57.0,Offensive rebound by J. Johnson,80-99, ,,3,80,99,-19,1983.0
2:57.0,J. Johnson makes 2-pt layup at rim,82-99, ,,3,82,99,-17,1983.0
2:42.0, ,82-101,N. Jokić makes 2-pt jump shot from 4 ft (assist by J. Holiday),,3,82,101,-19,1998.0
2:30.0,B. Fernando makes 2-pt dunk at rim (assist by D. Murray),84-101, ,,3,84,101,-17,2010.0
2:13.0, ,84-101,Personal foul by B. Fernando (drawn by N. Jokić),,3,84,101,-17,2027.0
2:13.0, ,84-101,N. Jokić misses free throw 1 of 2,,3,84,101,-17,2027.0
2:13.0, ,84-101,Offensive rebound by Team,,3,84,101,-17,2027.0
2:13.0, ,84-102,N. Jokić makes free throw 2 of 2,,3,84,102,-18,2027.0
2:02.0,B. Fernando misses 2-pt layup from 2 ft (block by P. Watson),84-102, ,,3,84,102,-18,2038.0
1:58.0, ,84-102,Defensive rebound by N. Jokić,,3,84,102,-18,2042.0
1:54.0, ,84-105,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by P. Watson),,3,84,105,-21,2046.0
1:27.0,Turnover by J. Johnson (bad pass),84-105, ,,3,84,105,-21,2073.0
1:14.0, ,84-107,R. Jackson makes 2-pt layup from 1 ft (assist by N. Jokić),,3,84,107,-23,2086.0
1:02.0,D. Murray misses 3-pt jump shot from 26 ft,84-107, ,,3,84,107,-23,2098.0
0:59.0, ,84-107,Defensive rebound by N. Jokić,,3,84,107,-23,2101.0
0:52.0, ,84-107,Turnover by N. Jokić (bad pass),,3,84,107,-23,2108.0
0:45.0,Turnover by B. Bogdanović (out of bounds lost ball),84-107, ,,3,84,107,-23,2115.0
0:33.0, ,84-110,R. Jackson makes 3-pt jump shot from 27 ft,,3,84,110,-26,2127.0
0:18.0,J. Johnson makes 2-pt dunk from 1 ft (assist by B. Fernando),86-110, ,,3,86,110,-24,2142.0
0:00.0, ,86-110,Shooting foul by B. Fernando (drawn by R. Jackson),,3,86,110,-24,2160.0
0:00.0, ,86-111,R. Jackson makes free throw 1 of 2,,3,86,111,-25,2160.0
0:00.0, ,86-111,R. Jackson misses free throw 2 of 2,,3,86,111,-25,2160.0
0:00.0,Defensive rebound by B. Fernando,86-111, ,,3,86,111,-25,2160.0
0:00.0,End of 3rd quarter,86-111,,,3,86,111,-25,2160.0
12:00.0,Start of 4th quarter,86-111,,,4,86,111,-25,2160.0
11:40.0,J. Johnson misses 2-pt jump shot from 5 ft,86-111, ,,4,86,111,-25,2180.0
11:37.0,Offensive rebound by C. Capela,86-111, ,,4,86,111,-25,2183.0
11:36.0,C. Capela makes 2-pt hook shot from 1 ft,88-111, ,,4,88,111,-23,2184.0
11:21.0, ,88-113,P. Watson makes 2-pt dunk from 1 ft (assist by R. Jackson),,4,88,113,-25,2199.0
11:04.0,K. Bufkin misses 2-pt layup from 4 ft (block by P. Watson),88-113, ,,4,88,113,-25,2216.0
11:01.0, ,88-113,Defensive rebound by J. Strawther,,4,88,113,-25,2219.0
10:56.0, ,88-113,J. Strawther misses 3-pt jump shot from 26 ft,,4,88,113,-25,2224.0
10:53.0,Defensive rebound by J. Johnson,88-113, ,,4,88,113,-25,2227.0
10:48.0,B. Bogdanović misses 2-pt layup from 2 ft,88-113, ,,4,88,113,-25,2232.0
10:46.0, ,88-113,Defensive rebound by J. Strawther,,4,88,113,-25,2234.0
10:24.0, ,88-115,P. Watson makes 2-pt layup from 3 ft (assist by R. Jackson),,4,88,115,-27,2256.0
10:07.0,B. Bogdanović misses 2-pt jump shot from 3 ft,88-115, ,,4,88,115,-27,2273.0
10:06.0,Offensive rebound by B. Bogdanović,88-115, ,,4,88,115,-27,2274.0
10:06.0,B. Bogdanović makes 2-pt layup at rim,90-115, ,,4,90,115,-25,2274.0
9:53.0, ,90-115,Personal foul by K. Bufkin (drawn by J. Strawther),,4,90,115,-25,2287.0
9:40.0, ,90-115,R. Jackson misses 3-pt jump shot from 26 ft,,4,90,115,-25,2300.0
9:37.0,Defensive rebound by J. Johnson,90-115, ,,4,90,115,-25,2303.0
9:24.0,J. Johnson makes 2-pt jump shot from 14 ft (assist by K. Bufkin),92-115, ,,4,92,115,-23,2316.0
9:07.0, ,92-115,J. Strawther misses 3-pt jump shot from 26 ft,,4,92,115,-23,2333.0
9:04.0,Defensive rebound by V. Krejci,92-115, ,,4,92,115,-23,2336.0
8:47.0,Turnover by J. Johnson (bad pass; steal by Z. Nnaji),92-115, ,,4,92,115,-23,2353.0
8:43.0, ,92-115,Turnover by J. Strawther (lost ball; steal by V. Krejci),,4,92,115,-23,2357.0
8:41.0,Shooting foul by J. Holiday (drawn by C. Capela),92-115, ,,4,92,115,-23,2359.0
8:41.0,C. Capela makes free throw 1 of 2,93-115, ,,4,93,115,-22,2359.0
8:41.0,D. Murray enters the game for B. Bogdanović,93-115, ,,4,93,115,-22,2359.0
8:41.0,C. Capela makes free throw 2 of 2,94-115, ,,4,94,115,-21,2359.0
8:30.0, ,94-115,J. Strawther misses 2-pt layup from 1 ft,,4,94,115,-21,2370.0
8:28.0,Defensive rebound by C. Capela,94-115, ,,4,94,115,-21,2372.0
8:24.0,J. Johnson makes 2-pt dunk from 1 ft,96-115, ,,4,96,115,-19,2376.0
8:24.0, ,96-115,Denver full timeout,,4,96,115,-19,2376.0
8:24.0, ,96-115,M. Porter enters the game for J. Strawther,,4,96,115,-19,2376.0
8:14.0, ,96-117,R. Jackson makes 2-pt jump shot from 9 ft,,4,96,117,-21,2386.0
7:59.0,K. Bufkin misses 3-pt jump shot from 25 ft,96-117, ,,4,96,117,-21,2401.0
7:57.0, ,96-117,Defensive rebound by R. Jackson,,4,96,117,-21,2403.0
7:47.0, ,96-117,M. Porter misses 3-pt jump shot from 25 ft,,4,96,117,-21,2413.0
7:43.0,Defensive rebound by J. Johnson,96-117, ,,4,96,117,-21,2417.0
7:31.0,J. Johnson misses 2-pt jump shot from 3 ft,96-117, ,,4,96,117,-21,2429.0
7:30.0, ,96-117,Defensive rebound by Z. Nnaji,,4,96,117,-21,2430.0
7:21.0, ,96-119,P. Watson makes 2-pt jump shot from 16 ft,,4,96,119,-23,2439.0
7:09.0,C. Capela makes 2-pt layup from 3 ft (assist by K. Bufkin),98-119, ,,4,98,119,-21,2451.0
7:09.0,Shooting foul by M. Porter (drawn by C. Capela),98-119, ,,4,98,119,-21,2451.0
7:09.0,D. Hunter enters the game for K. Bufkin,98-119, ,,4,98,119,-21,2451.0
7:09.0,G. Mathews enters the game for J. Johnson,98-119, ,,4,98,119,-21,2451.0
7:09.0,C. Capela misses free throw 1 of 1,98-119, ,,4,98,119,-21,2451.0
7:07.0, ,98-119,Defensive rebound by P. Watson,,4,98,119,-21,2453.0
6:44.0, ,98-122,J. Holiday makes 3-pt jump shot from 22 ft,,4,98,122,-24,2476.0
6:25.0,Shooting foul by P. Watson (drawn by D. Hunter),98-122, ,,4,98,122,-24,2495.0
6:25.0,D. Hunter makes free throw 1 of 2,99-122, ,,4,99,122,-23,2495.0
6:25.0,J. Johnson enters the game for V. Krejci,99-122, ,,4,99,122,-23,2495.0
6:25.0,D. Hunter makes free throw 2 of 2,100-122, ,,4,100,122,-22,2495.0
6:10.0, ,100-122,Z. Nnaji misses 2-pt layup from 5 ft,,4,100,122,-22,2510.0
6:07.0,Defensive rebound by C. Capela,100-122, ,,4,100,122,-22,2513.0
5:59.0,D. Murray misses 2-pt jump shot from 12 ft,100-122, ,,4,100,122,-22,2521.0
5:56.0, ,100-122,Defensive rebound by R. Jackson,,4,100,122,-22,2524.0
5:50.0, ,100-122,Turnover by R. Jackson (out of bounds lost ball),,4,100,122,-22,2530.0
5:39.0,Shooting foul by P. Watson (drawn by D. Hunter),100-122, ,,4,100,122,-22,2541.0
5:39.0,D. Hunter makes free throw 1 of 2,101-122, ,,4,101,122,-21,2541.0
5:39.0,D. Hunter makes free throw 2 of 2,102-122, ,,4,102,122,-20,2541.0
5:28.0, ,102-125,M. Porter makes 3-pt jump shot from 26 ft (assist by Z. Nnaji),,4,102,125,-23,2552.0
5:11.0,D. Hunter misses 3-pt jump shot from 27 ft,102-125, ,,4,102,125,-23,2569.0
5:08.0,Offensive rebound by C. Capela,102-125, ,,4,102,125,-23,2572.0
4:57.0,J. Johnson misses 3-pt jump shot from 23 ft,102-125, ,,4,102,125,-23,2583.0
4:53.0,Offensive rebound by C. Capela,102-125, ,,4,102,125,-23,2587.0
4:53.0,Shooting foul by Z. Nnaji (drawn by C. Capela),102-125, ,,4,102,125,-23,2587.0
4:53.0,C. Capela makes free throw 1 of 2,103-125, ,,4,103,125,-22,2587.0
4:53.0,C. Capela makes free throw 2 of 2,104-125, ,,4,104,125,-21,2587.0
4:44.0, ,104-128,M. Porter makes 3-pt jump shot from 26 ft (assist by J. Holiday),,4,104,128,-24,2596.0
4:34.0,Shooting foul by Z. Nnaji (drawn by D. Murray),104-128, ,,4,104,128,-24,2606.0
4:34.0,D. Murray makes free throw 1 of 2,105-128, ,,4,105,128,-23,2606.0
4:34.0,B. Bogdanović enters the game for G. Mathews,105-128, ,,4,105,128,-23,2606.0
4:34.0,D. Murray makes free throw 2 of 2,106-128, ,,4,106,128,-22,2606.0
4:18.0, ,106-131,Z. Nnaji makes 3-pt jump shot from 26 ft (assist by P. Watson),,4,106,131,-25,2622.0
4:07.0,D. Murray misses 3-pt jump shot from 26 ft,106-131, ,,4,106,131,-25,2633.0
4:05.0,Offensive rebound by C. Capela,106-131, ,,4,106,131,-25,2635.0
4:01.0,D. Murray misses 2-pt jump shot from 14 ft,106-131, ,,4,106,131,-25,2639.0
3:57.0, ,106-131,Defensive rebound by Z. Nnaji,,4,106,131,-25,2643.0
3:57.0,K. Bufkin enters the game for C. Capela,106-131, ,,4,106,131,-25,2643.0
3:57.0,B. Fernando enters the game for D. Hunter,106-131, ,,4,106,131,-25,2643.0
3:57.0,M. Gueye enters the game for J. Johnson,106-131, ,,4,106,131,-25,2643.0
3:57.0,V. Krejci enters the game for D. Murray,106-131, ,,4,106,131,-25,2643.0
3:57.0, ,106-131,H. Tyson enters the game for M. Porter,,4,106,131,-25,2643.0
3:38.0, ,106-131,P. Watson misses 3-pt jump shot from 25 ft,,4,106,131,-25,2662.0
3:35.0,Defensive rebound by K. Bufkin,106-131, ,,4,106,131,-25,2665.0
3:27.0,M. Gueye misses 3-pt jump shot from 24 ft,106-131, ,,4,106,131,-25,2673.0
3:25.0,Offensive rebound by V. Krejci,106-131, ,,4,106,131,-25,2675.0
3:23.0,V. Krejci misses 2-pt layup from 1 ft (block by P. Watson),106-131, ,,4,106,131,-25,2677.0
3:20.0, ,106-131,Defensive rebound by Z. Nnaji,,4,106,131,-25,2680.0
3:15.0, ,106-131,Denver full timeout,,4,106,131,-25,2685.0
3:15.0,G. Mathews enters the game for B. Bogdanović,106-131, ,,4,106,131,-25,2685.0
3:15.0, ,106-131,J. Huff enters the game for R. Jackson,,4,106,131,-25,2685.0
3:15.0, ,106-131,J. Pickett enters the game for Z. Nnaji,,4,106,131,-25,2685.0
3:15.0, ,106-131,J. Strawther enters the game for P. Watson,,4,106,131,-25,2685.0
3:10.0, ,106-131,H. Tyson misses 3-pt jump shot from 25 ft,,4,106,131,-25,2690.0
3:07.0,Defensive rebound by K. Bufkin,106-131, ,,4,106,131,-25,2693.0
2:53.0,K. Bufkin makes 2-pt jump shot from 17 ft (assist by B. Fernando),108-131, ,,4,108,131,-23,2707.0
2:37.0, ,108-131,J. Pickett misses 3-pt jump shot from 25 ft,,4,108,131,-23,2723.0
2:34.0,Defensive rebound by V. Krejci,108-131, ,,4,108,131,-23,2726.0
2:27.0,M. Gueye misses 3-pt jump shot from 22 ft,108-131, ,,4,108,131,-23,2733.0
2:24.0, ,108-131,Defensive rebound by J. Strawther,,4,108,131,-23,2736.0
2:19.0, ,108-131,Shooting foul by B. Fernando (drawn by J. Strawther),,4,108,131,-23,2741.0
2:19.0, ,108-132,J. Strawther makes free throw 1 of 2,,4,108,132,-24,2741.0
2:19.0, ,108-133,J. Strawther makes free throw 2 of 2,,4,108,133,-25,2741.0
2:07.0,K. Bufkin misses 3-pt jump shot from 26 ft,108-133, ,,4,108,133,-25,2753.0
2:03.0,Offensive rebound by M. Gueye,108-133, ,,4,108,133,-25,2757.0
2:03.0,Turnover by M. Gueye (bad pass; steal by J. Pickett),108-133, ,,4,108,133,-25,2757.0
1:58.0, ,108-136,J. Pickett makes 3-pt jump shot from 26 ft (assist by J. Strawther),,4,108,136,-28,2762.0
1:44.0,B. Fernando misses 2-pt layup from 4 ft (block by J. Huff),108-136, ,,4,108,136,-28,2776.0
1:44.0, ,108-136,Defensive rebound by J. Pickett,,4,108,136,-28,2776.0
1:34.0, ,108-138,J. Huff makes 2-pt layup from 2 ft (assist by J. Pickett),,4,108,138,-30,2786.0
1:16.0,V. Krejci misses 3-pt jump shot from 26 ft,108-138, ,,4,108,138,-30,2804.0
1:13.0, ,108-138,Defensive rebound by J. Strawther,,4,108,138,-30,2807.0
1:06.0, ,108-140,J. Huff makes 2-pt dunk from 1 ft (assist by J. Strawther),,4,108,140,-32,2814.0
0:54.0,K. Bufkin makes 2-pt jump shot from 13 ft,110-140, ,,4,110,140,-30,2826.0
0:42.0, ,110-142,H. Tyson makes 2-pt layup from 6 ft (assist by J. Pickett),,4,110,142,-32,2838.0
0:28.0,M. Gueye misses 2-pt jump shot from 13 ft,110-142, ,,4,110,142,-32,2852.0
0:25.0, ,110-142,Defensive rebound by J. Pickett,,4,110,142,-32,2855.0
0:02.0, ,110-142,Turnover by Team (shot clock),,4,110,142,-32,2878.0
0:00.0,End of 4th quarter,110-142,,,4,110,142,-32,2880.0
