Time,Atlanta,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:26.0,Defensive rebound by D. Murray,10-10, ,,1,10,10,0,214.0
8:15.0,D. Murray misses 2-pt jump shot from 9 ft,10-10, ,,1,10,10,0,225.0
8:15.0, ,10-10,Defensive rebound by C. Braun,,1,10,10,0,225.0
8:08.0, ,10-12,C. Braun makes 2-pt layup from 1 ft,,1,10,12,-2,232.0
7:47.0,J. Johnson makes 2-pt jump shot from 12 ft,12-12, ,Tie,1,12,12,0,253.0
7:34.0, ,12-15,J. Murray makes 3-pt jump shot from 26 ft (assist by N. Jokić),,1,12,15,-3,266.0
7:20.0,Shooting foul by J. Murray (drawn by C. Capela),12-15, ,,1,12,15,-3,280.0
7:20.0,C. Capela makes free throw 1 of 2,13-15, ,,1,13,15,-2,280.0
7:20.0,C. Capela makes free throw 2 of 2,14-15, ,,1,14,15,-1,280.0
7:00.0, ,14-15,J. Murray misses 2-pt layup from 3 ft,,1,14,15,-1,300.0
6:57.0,Defensive rebound by C. Capela,14-15, ,,1,14,15,-1,303.0
6:51.0,D. Murray misses 2-pt layup from 3 ft,14-15, ,,1,14,15,-1,309.0
6:49.0, ,14-15,Defensive rebound by K. Caldwell-Pope,,1,14,15,-1,311.0
6:45.0, ,14-17,N. Jokić makes 2-pt layup from 6 ft (assist by K. Caldwell-Pope),,1,14,17,-3,315.0
6:28.0,D. Hunter makes 2-pt jump shot from 7 ft (assist by C. Capela),16-17, ,,1,16,17,-1,332.0
6:28.0,Shooting foul by M. Porter (drawn by D. Hunter),16-17, ,,1,16,17,-1,332.0
6:28.0, ,16-17,Denver full timeout,,1,16,17,-1,332.0
6:28.0,B. Fernando enters the game for B. Bogdanović,16-17, ,,1,16,17,-1,332.0
6:28.0,V. Krejci enters the game for C. Capela,16-17, ,,1,16,17,-1,332.0
6:28.0,G. Mathews enters the game for J. Johnson,16-17, ,,1,16,17,-1,332.0
6:28.0,D. Hunter makes free throw 1 of 1,17-17, ,Tie,1,17,17,0,332.0
6:14.0, ,17-19,M. Porter makes 2-pt jump shot from 21 ft (assist by N. Jokić),,1,17,19,-2,346.0
5:59.0,D. Hunter misses 3-pt jump shot from 26 ft,17-19, ,,1,17,19,-2,361.0
5:54.0, ,17-19,Defensive rebound by N. Jokić,,1,17,19,-2,366.0
5:42.0, ,17-22,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by J. Murray),,1,17,22,-5,378.0
5:42.0, ,17-22,Personal foul by V. Krejci (drawn by J. Murray),,1,17,22,-5,378.0
5:42.0, ,17-23,J. Murray makes free throw 1 of 1,,1,17,23,-6,378.0
5:24.0,B. Fernando misses 2-pt layup from 3 ft,17-23, ,,1,17,23,-6,396.0
5:22.0, ,17-23,Defensive rebound by M. Porter,,1,17,23,-6,398.0
5:01.0, ,17-23,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,1,17,23,-6,419.0
5:00.0, ,17-23,Offensive rebound by Team,,1,17,23,-6,420.0
5:00.0, ,17-23,Turnover by Team (shot clock),,1,17,23,-6,420.0
4:44.0,G. Mathews misses 3-pt jump shot from 25 ft,17-23, ,,1,17,23,-6,436.0
4:41.0, ,17-23,Defensive rebound by C. Braun,,1,17,23,-6,439.0
