Time,Atlanta,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:05.0, ,4-12,D. Banton misses 2-pt layup from 3 ft (block by C. Capela),,1,4,12,-8,235.0
8:03.0,Defensive rebound by D. Hunter,4-12, ,,1,4,12,-8,237.0
8:00.0,D. Hunter makes 3-pt jump shot from 27 ft (assist by T. Young),7-12, ,,1,7,12,-5,240.0
7:39.0, ,7-12,J. Tatum misses 2-pt layup from 3 ft,,1,7,12,-5,261.0
7:37.0,Defensive rebound by C. Capela,7-12, ,,1,7,12,-5,263.0
7:32.0,A. Griffin misses 3-pt jump shot from 27 ft,7-12, ,,1,7,12,-5,268.0
7:29.0, ,7-12,Defensive rebound by A. Horford,,1,7,12,-5,271.0
7:24.0, ,7-12,J. Brown misses 2-pt jump shot from 6 ft,,1,7,12,-5,276.0
7:22.0,Defensive rebound by D. Murray,7-12, ,,1,7,12,-5,278.0
7:11.0,T. Young makes 3-pt jump shot from 28 ft (assist by A. Griffin),10-12, ,,1,10,12,-2,289.0
7:09.0, ,10-12,Boston full timeout,,1,10,12,-2,291.0
7:09.0,B. Bogdanović enters the game for A. Griffin,10-12, ,,1,10,12,-2,291.0
6:55.0, ,10-12,D. White misses 3-pt jump shot from 23 ft,,1,10,12,-2,305.0
6:52.0,Defensive rebound by C. Capela,10-12, ,,1,10,12,-2,308.0
6:44.0,Turnover by T. Young (bad pass; steal by D. White),10-12, ,,1,10,12,-2,316.0
6:40.0, ,10-14,J. Brown makes 2-pt dunk from 1 ft (assist by J. Tatum),,1,10,14,-4,320.0
6:28.0,T. Young makes 3-pt jump shot from 26 ft (assist by D. Murray),13-14, ,,1,13,14,-1,332.0
6:05.0, ,13-16,D. White makes 2-pt layup from 5 ft,,1,13,16,-3,355.0
5:50.0,D. Murray misses 2-pt jump shot from 19 ft,13-16, ,,1,13,16,-3,370.0
5:47.0, ,13-16,Defensive rebound by D. Banton,,1,13,16,-3,373.0
5:39.0, ,13-16,D. White misses 3-pt jump shot from 23 ft,,1,13,16,-3,381.0
5:36.0, ,13-16,Offensive rebound by D. White,,1,13,16,-3,384.0
5:34.0, ,13-16,D. White misses 3-pt jump shot from 23 ft,,1,13,16,-3,386.0
5:32.0,Defensive rebound by B. Bogdanović,13-16, ,,1,13,16,-3,388.0
5:27.0,Shooting foul by D. Banton (drawn by C. Capela),13-16, ,,1,13,16,-3,393.0
5:27.0,C. Capela misses free throw 1 of 2,13-16, ,,1,13,16,-3,393.0
5:27.0,Offensive rebound by Team,13-16, ,,1,13,16,-3,393.0
5:27.0,A. Griffin enters the game for T. Young,13-16, ,,1,13,16,-3,393.0
5:27.0, ,13-16,S. Hauser enters the game for D. Banton,,1,13,16,-3,393.0
5:27.0, ,13-16,L. Kornet enters the game for A. Horford,,1,13,16,-3,393.0
5:27.0, ,13-16,P. Pritchard enters the game for J. Tatum,,1,13,16,-3,393.0
5:27.0,C. Capela makes free throw 2 of 2,14-16, ,,1,14,16,-2,393.0
5:08.0, ,14-19,S. Hauser makes 3-pt jump shot from 24 ft (assist by D. White),,1,14,19,-5,412.0
4:58.0,A. Griffin misses 3-pt jump shot from 26 ft,14-19, ,,1,14,19,-5,422.0
4:55.0,Offensive rebound by C. Capela,14-19, ,,1,14,19,-5,425.0
4:50.0,A. Griffin misses 2-pt layup from 5 ft,14-19, ,,1,14,19,-5,430.0
4:49.0,Offensive rebound by D. Murray,14-19, ,,1,14,19,-5,431.0
4:47.0,B. Bogdanović makes 3-pt jump shot from 29 ft (assist by D. Murray),17-19, ,,1,17,19,-2,433.0
4:22.0, ,17-22,P. Pritchard makes 3-pt jump shot from 31 ft (assist by S. Hauser),,1,17,22,-5,458.0
4:07.0,D. Hunter misses 2-pt jump shot from 19 ft,17-22, ,,1,17,22,-5,473.0
4:02.0,Offensive rebound by C. Capela,17-22, ,,1,17,22,-5,478.0
3:55.0,Shooting foul by L. Kornet (drawn by C. Capela),17-22, ,,1,17,22,-5,485.0
3:55.0,C. Capela misses free throw 1 of 2,17-22, ,,1,17,22,-5,485.0
3:55.0,Offensive rebound by Team,17-22, ,,1,17,22,-5,485.0
3:55.0,C. Capela misses free throw 2 of 2,17-22, ,,1,17,22,-5,485.0
3:55.0, ,17-22,Defensive rebound by J. Brown,,1,17,22,-5,485.0
3:40.0, ,17-22,J. Brown misses 3-pt jump shot from 26 ft,,1,17,22,-5,500.0
3:37.0,Defensive rebound by A. Griffin,17-22, ,,1,17,22,-5,503.0
3:26.0,C. Capela misses 2-pt layup from 4 ft,17-22, ,,1,17,22,-5,514.0
3:24.0, ,17-22,Defensive rebound by L. Kornet,,1,17,22,-5,516.0
3:18.0, ,17-24,D. White makes 2-pt jump shot from 9 ft (assist by J. Brown),,1,17,24,-7,522.0
3:15.0,Atlanta full timeout,17-24, ,,1,17,24,-7,525.0
3:15.0,S. Bey enters the game for C. Capela,17-24, ,,1,17,24,-7,525.0
3:15.0,W. Matthews enters the game for A. Griffin,17-24, ,,1,17,24,-7,525.0
3:15.0,O. Okongwu enters the game for D. Hunter,17-24, ,,1,17,24,-7,525.0
3:15.0,T. Young enters the game for D. Murray,17-24, ,,1,17,24,-7,525.0
3:15.0, ,17-24,J. Tatum enters the game for D. White,,1,17,24,-7,525.0
2:55.0,B. Bogdanović makes 2-pt jump shot from 13 ft,19-24, ,,1,19,24,-5,545.0
2:40.0, ,19-24,J. Brown misses 3-pt jump shot from 25 ft,,1,19,24,-5,560.0
2:37.0, ,19-24,Offensive rebound by L. Kornet,,1,19,24,-5,563.0
2:36.0, ,19-26,L. Kornet makes 2-pt layup from 10 ft,,1,19,26,-7,564.0
2:16.0,W. Matthews makes 2-pt layup from 11 ft (assist by T. Young),21-26, ,,1,21,26,-5,584.0
2:05.0, ,21-28,L. Kornet makes 2-pt layup from 2 ft (assist by J. Tatum),,1,21,28,-7,595.0
1:55.0,T. Young misses 2-pt jump shot from 16 ft,21-28, ,,1,21,28,-7,605.0
1:52.0, ,21-28,Defensive rebound by J. Tatum,,1,21,28,-7,608.0
1:42.0, ,21-28,Shooting foul by W. Matthews (drawn by J. Tatum),,1,21,28,-7,618.0
1:42.0,Technical foul by W. Matthews,21-28, ,,1,21,28,-7,618.0
1:42.0, ,21-29,J. Tatum makes technical free throw,,1,21,29,-8,618.0
1:42.0, ,21-30,J. Tatum makes free throw 1 of 2,,1,21,30,-9,618.0
1:42.0, ,21-30,D. Banton enters the game for J. Brown,,1,21,30,-9,618.0
1:42.0, ,21-31,J. Tatum makes free throw 2 of 2,,1,21,31,-10,618.0
1:26.0,Turnover by B. Bogdanović (bad pass; steal by L. Kornet),21-31, ,,1,21,31,-10,634.0
1:10.0, ,21-33,J. Tatum makes 2-pt layup from 2 ft,,1,21,33,-12,650.0
0:58.0,W. Matthews misses 3-pt jump shot from 28 ft,21-33, ,,1,21,33,-12,662.0
0:56.0,Offensive rebound by T. Young,21-33, ,,1,21,33,-12,664.0
0:55.0,T. Young makes 2-pt layup from 3 ft,23-33, ,,1,23,33,-10,665.0
0:37.0, ,23-33,P. Pritchard misses 3-pt jump shot from 24 ft,,1,23,33,-10,683.0
0:34.0,Defensive rebound by S. Bey,23-33, ,,1,23,33,-10,686.0
0:20.0,T. Young makes 3-pt jump shot from 27 ft,26-33, ,,1,26,33,-7,700.0
0:01.0, ,26-33,J. Tatum misses 3-pt jump shot from 26 ft,,1,26,33,-7,719.0
0:00.0, ,26-33,Offensive rebound by Team,,1,26,33,-7,720.0
0:00.0,End of 1st quarter,26-33,,,1,26,33,-7,720.0
12:00.0,Start of 2nd quarter,26-33,,,2,26,33,-7,720.0
11:47.0,T. Young misses 2-pt jump shot from 6 ft,26-33, ,,2,26,33,-7,733.0
11:44.0, ,26-33,Defensive rebound by A. Horford,,2,26,33,-7,736.0
11:25.0, ,26-33,N. Queta misses 2-pt hook shot from 4 ft,,2,26,33,-7,755.0
11:23.0, ,26-33,Offensive rebound by N. Queta,,2,26,33,-7,757.0
11:22.0, ,26-33,N. Queta misses 2-pt layup at rim,,2,26,33,-7,758.0
11:19.0, ,26-33,Offensive rebound by N. Queta,,2,26,33,-7,761.0
11:10.0, ,26-33,N. Queta misses 2-pt hook shot from 3 ft,,2,26,33,-7,770.0
11:08.0,Defensive rebound by Team,26-33, ,,2,26,33,-7,772.0
10:55.0,W. Matthews misses 3-pt jump shot from 28 ft,26-33, ,,2,26,33,-7,785.0
10:52.0,Offensive rebound by S. Bey,26-33, ,,2,26,33,-7,788.0
10:50.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by S. Bey),29-33, ,,2,29,33,-4,790.0
10:32.0, ,29-33,Turnover by J. Tatum (lost ball; steal by O. Okongwu),,2,29,33,-4,808.0
10:25.0,T. Young misses 3-pt jump shot from 27 ft,29-33, ,,2,29,33,-4,815.0
10:22.0, ,29-33,Defensive rebound by S. Hauser,,2,29,33,-4,818.0
10:15.0, ,29-33,P. Pritchard misses 3-pt jump shot from 27 ft,,2,29,33,-4,825.0
10:13.0, ,29-33,Offensive rebound by A. Horford,,2,29,33,-4,827.0
10:11.0, ,29-35,A. Horford makes 2-pt layup from 4 ft,,2,29,35,-6,829.0
10:00.0,B. Bogdanović makes 3-pt jump shot from 27 ft,32-35, ,,2,32,35,-3,840.0
10:00.0, ,32-35,Boston full timeout,,2,32,35,-3,840.0
10:00.0, ,32-35,D. White enters the game for P. Pritchard,,2,32,35,-3,840.0
9:43.0, ,32-37,N. Queta makes 2-pt hook shot from 6 ft (assist by D. White),,2,32,37,-5,857.0
9:28.0,T. Young misses 3-pt jump shot from 27 ft,32-37, ,,2,32,37,-5,872.0
9:25.0, ,32-37,Defensive rebound by N. Queta,,2,32,37,-5,875.0
9:17.0, ,32-37,A. Horford misses 3-pt jump shot from 23 ft,,2,32,37,-5,883.0
9:14.0, ,32-37,Offensive rebound by N. Queta,,2,32,37,-5,886.0
9:13.0, ,32-37,N. Queta misses 2-pt layup at rim,,2,32,37,-5,887.0
9:11.0, ,32-37,Offensive rebound by S. Hauser,,2,32,37,-5,889.0
9:04.0, ,32-37,Turnover by J. Tatum (bad pass; steal by O. Okongwu),,2,32,37,-5,896.0
9:00.0,S. Bey makes 2-pt layup from 4 ft (assist by T. Young),34-37, ,,2,34,37,-3,900.0
8:44.0, ,34-40,J. Tatum makes 3-pt jump shot from 25 ft (assist by D. White),,2,34,40,-6,916.0
8:36.0,Personal foul by S. Hauser (drawn by B. Bogdanović),34-40, ,,2,34,40,-6,924.0
8:36.0,A. Griffin enters the game for S. Bey,34-40, ,,2,34,40,-6,924.0
8:36.0,D. Hunter enters the game for W. Matthews,34-40, ,,2,34,40,-6,924.0
8:32.0,Shooting foul by D. White (drawn by T. Young),34-40, ,,2,34,40,-6,928.0
8:32.0,T. Young makes free throw 1 of 2,35-40, ,,2,35,40,-5,928.0
8:32.0,T. Young makes free throw 2 of 2,36-40, ,,2,36,40,-4,928.0
8:18.0, ,36-43,J. Tatum makes 3-pt jump shot from 25 ft (assist by D. White),,2,36,43,-7,942.0
8:08.0,Offensive foul by D. Hunter (drawn by D. White),36-43, ,,2,36,43,-7,952.0
8:08.0,Turnover by D. Hunter (offensive foul),36-43, ,,2,36,43,-7,952.0
8:08.0,D. Murray enters the game for T. Young,36-43, ,,2,36,43,-7,952.0
7:49.0, ,36-43,J. Tatum misses 3-pt jump shot from 30 ft,,2,36,43,-7,971.0
7:46.0, ,36-43,Offensive rebound by A. Horford,,2,36,43,-7,974.0
7:45.0, ,36-45,D. White makes 2-pt layup from 3 ft (assist by A. Horford),,2,36,45,-9,975.0
7:45.0, ,36-45,Shooting foul by O. Okongwu (drawn by D. White),,2,36,45,-9,975.0
7:45.0, ,36-46,D. White makes free throw 1 of 1,,2,36,46,-10,975.0
7:28.0,Turnover by D. Murray (bad pass; steal by A. Horford),36-46, ,,2,36,46,-10,992.0
7:16.0, ,36-48,J. Tatum makes 2-pt layup from 2 ft,,2,36,48,-12,1004.0
7:14.0,Atlanta full timeout,36-48, ,,2,36,48,-12,1006.0
7:14.0, ,36-48,J. Brown enters the game for S. Hauser,,2,36,48,-12,1006.0
7:14.0, ,36-48,P. Pritchard enters the game for A. Horford,,2,36,48,-12,1006.0
7:01.0,D. Hunter makes 3-pt jump shot from 28 ft,39-48, ,,2,39,48,-9,1019.0
6:38.0, ,39-48,J. Tatum misses 2-pt jump shot from 7 ft,,2,39,48,-9,1042.0
6:36.0, ,39-48,Offensive rebound by J. Tatum,,2,39,48,-9,1044.0
6:35.0, ,39-48,J. Tatum misses 2-pt layup from 3 ft (block by O. Okongwu),,2,39,48,-9,1045.0
6:34.0,Defensive rebound by O. Okongwu,39-48, ,,2,39,48,-9,1046.0
6:30.0,D. Hunter misses 3-pt jump shot from 28 ft,39-48, ,,2,39,48,-9,1050.0
6:28.0, ,39-48,Defensive rebound by J. Tatum,,2,39,48,-9,1052.0
6:22.0, ,39-48,J. Brown misses 3-pt jump shot from 23 ft,,2,39,48,-9,1058.0
6:19.0,Defensive rebound by A. Griffin,39-48, ,,2,39,48,-9,1061.0
6:04.0,A. Griffin misses 2-pt jump shot from 19 ft,39-48, ,,2,39,48,-9,1076.0
6:02.0, ,39-48,Defensive rebound by J. Brown,,2,39,48,-9,1078.0
5:47.0, ,39-48,J. Tatum misses 3-pt jump shot from 29 ft,,2,39,48,-9,1093.0
5:45.0, ,39-48,Offensive rebound by N. Queta,,2,39,48,-9,1095.0
5:44.0, ,39-48,N. Queta misses 2-pt layup from 2 ft,,2,39,48,-9,1096.0
5:42.0, ,39-48,Offensive rebound by N. Queta,,2,39,48,-9,1098.0
5:42.0, ,39-50,N. Queta makes 2-pt layup from 4 ft,,2,39,50,-11,1098.0
5:42.0, ,39-50,Shooting foul by O. Okongwu (drawn by N. Queta),,2,39,50,-11,1098.0
5:42.0,S. Bey enters the game for A. Griffin,39-50, ,,2,39,50,-11,1098.0
5:42.0, ,39-50,S. Hauser enters the game for J. Tatum,,2,39,50,-11,1098.0
5:42.0, ,39-51,N. Queta makes free throw 1 of 1,,2,39,51,-12,1098.0
5:23.0,Jump ball: D. White vs. S. Bey (N. Queta gains possession),39-51,,,2,39,51,-12,1117.0
5:23.0,Turnover by D. Murray (lost ball; steal by D. White),39-51, ,,2,39,51,-12,1117.0
5:16.0, ,39-53,J. Brown makes 2-pt layup from 1 ft,,2,39,53,-14,1124.0
5:02.0,O. Okongwu makes 2-pt layup from 4 ft (assist by D. Hunter),41-53, ,,2,41,53,-12,1138.0
4:51.0, ,41-53,Personal foul by D. Murray (drawn by J. Brown),,2,41,53,-12,1149.0
4:51.0,C. Capela enters the game for B. Bogdanović,41-53, ,,2,41,53,-12,1149.0
4:51.0,T. Young enters the game for O. Okongwu,41-53, ,,2,41,53,-12,1149.0
4:51.0, ,41-53,A. Horford enters the game for N. Queta,,2,41,53,-12,1149.0
4:44.0, ,41-56,P. Pritchard makes 3-pt jump shot from 31 ft (assist by D. White),,2,41,56,-15,1156.0
4:23.0,D. Murray misses 3-pt jump shot from 28 ft,41-56, ,,2,41,56,-15,1177.0
4:20.0, ,41-56,Defensive rebound by P. Pritchard,,2,41,56,-15,1180.0
4:09.0, ,41-58,D. White makes 2-pt jump shot from 14 ft,,2,41,58,-17,1191.0
3:54.0,T. Young makes 3-pt jump shot from 27 ft,44-58, ,,2,44,58,-14,1206.0
3:44.0, ,44-58,J. Brown misses 2-pt jump shot from 13 ft,,2,44,58,-14,1216.0
3:41.0,Defensive rebound by S. Bey,44-58, ,,2,44,58,-14,1219.0
3:32.0,C. Capela makes 2-pt layup from 2 ft (assist by T. Young),46-58, ,,2,46,58,-12,1228.0
3:19.0, ,46-60,D. White makes 2-pt dunk from 1 ft,,2,46,60,-14,1241.0
3:05.0,T. Young makes 2-pt jump shot from 11 ft,48-60, ,,2,48,60,-12,1255.0
2:48.0, ,48-60,D. White misses 3-pt jump shot from 25 ft,,2,48,60,-12,1272.0
2:45.0, ,48-60,Offensive rebound by J. Brown,,2,48,60,-12,1275.0
2:41.0, ,48-62,J. Brown makes 2-pt dunk from 1 ft,,2,48,62,-14,1279.0
2:26.0,Shooting foul by J. Brown (drawn by D. Murray),48-62, ,,2,48,62,-14,1294.0
2:26.0,D. Murray makes free throw 1 of 2,49-62, ,,2,49,62,-13,1294.0
2:26.0, ,49-62,J. Tatum enters the game for P. Pritchard,,2,49,62,-13,1294.0
2:26.0,D. Murray makes free throw 2 of 2,50-62, ,,2,50,62,-12,1294.0
2:14.0, ,50-64,J. Brown makes 2-pt jump shot from 16 ft (assist by D. White),,2,50,64,-14,1306.0
2:02.0,S. Bey misses 3-pt jump shot from 28 ft,50-64, ,,2,50,64,-14,1318.0
1:59.0, ,50-64,Defensive rebound by A. Horford,,2,50,64,-14,1321.0
1:57.0, ,50-64,Shooting foul by T. Young (drawn by D. White),,2,50,64,-14,1323.0
1:57.0, ,50-65,D. White makes free throw 1 of 2,,2,50,65,-15,1323.0
1:57.0, ,50-66,D. White makes free throw 2 of 2,,2,50,66,-16,1323.0
1:44.0,D. Hunter makes 3-pt jump shot from 28 ft (assist by T. Young),53-66, ,,2,53,66,-13,1336.0
1:24.0, ,53-66,S. Hauser misses 3-pt jump shot from 30 ft,,2,53,66,-13,1356.0
1:20.0,Defensive rebound by T. Young,53-66, ,,2,53,66,-13,1360.0
1:20.0,T. Young misses 3-pt jump shot from 25 ft,53-66, ,,2,53,66,-13,1360.0
1:17.0,Offensive rebound by D. Murray,53-66, ,,2,53,66,-13,1363.0
1:10.0,D. Murray misses 3-pt jump shot from 26 ft,53-66, ,,2,53,66,-13,1370.0
1:08.0,Offensive rebound by C. Capela,53-66, ,,2,53,66,-13,1372.0
1:08.0,C. Capela misses 2-pt layup at rim,53-66, ,,2,53,66,-13,1372.0
1:07.0,Offensive rebound by C. Capela,53-66, ,,2,53,66,-13,1373.0
1:07.0,C. Capela misses 2-pt layup at rim,53-66, ,,2,53,66,-13,1373.0
1:06.0, ,53-66,Defensive rebound by J. Tatum,,2,53,66,-13,1374.0
0:55.0, ,53-66,A. Horford misses 3-pt jump shot from 23 ft,,2,53,66,-13,1385.0
0:55.0,Defensive rebound by T. Young,53-66, ,,2,53,66,-13,1385.0
0:49.0,S. Bey misses 3-pt jump shot from 24 ft,53-66, ,,2,53,66,-13,1391.0
0:46.0, ,53-66,Defensive rebound by D. White,,2,53,66,-13,1394.0
0:35.0, ,53-69,J. Tatum makes 3-pt jump shot from 27 ft,,2,53,69,-16,1405.0
0:25.0,T. Young misses 2-pt jump shot from 18 ft,53-69, ,,2,53,69,-16,1415.0
0:23.0, ,53-69,Defensive rebound by A. Horford,,2,53,69,-16,1417.0
0:03.0, ,53-69,J. Brown misses 2-pt jump shot from 15 ft,,2,53,69,-16,1437.0
0:01.0,Defensive rebound by S. Bey,53-69, ,,2,53,69,-16,1439.0
0:01.0,S. Bey misses 3-pt jump shot from 54 ft,53-69, ,,2,53,69,-16,1439.0
0:00.0,Offensive rebound by Team,53-69, ,,2,53,69,-16,1440.0
0:00.0,End of 2nd quarter,53-69,,,2,53,69,-16,1440.0
12:00.0,Start of 3rd quarter,53-69,,,3,53,69,-16,1440.0
11:37.0,D. Murray misses 3-pt jump shot from 24 ft,53-69, ,,3,53,69,-16,1463.0
11:34.0,Offensive rebound by S. Bey,53-69, ,,3,53,69,-16,1466.0
11:31.0,D. Hunter misses 3-pt jump shot from 27 ft,53-69, ,,3,53,69,-16,1469.0
11:28.0, ,53-69,Defensive rebound by J. Brown,,3,53,69,-16,1472.0
11:16.0, ,53-69,J. Tatum misses 2-pt jump shot from 14 ft (block by D. Hunter),,3,53,69,-16,1484.0
11:13.0,Defensive rebound by T. Young,53-69, ,,3,53,69,-16,1487.0
11:08.0,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Hunter),56-69, ,,3,56,69,-13,1492.0
10:48.0, ,56-69,Offensive foul by D. White (drawn by D. Hunter),,3,56,69,-13,1512.0
10:48.0, ,56-69,Turnover by D. White (offensive foul),,3,56,69,-13,1512.0
10:38.0,Shooting foul by J. Brown (drawn by T. Young),56-69, ,,3,56,69,-13,1522.0
10:38.0,T. Young misses free throw 1 of 2,56-69, ,,3,56,69,-13,1522.0
10:38.0,Offensive rebound by Team,56-69, ,,3,56,69,-13,1522.0
10:38.0,T. Young makes free throw 2 of 2,57-69, ,,3,57,69,-12,1522.0
10:24.0, ,57-71,J. Brown makes 2-pt jump shot from 16 ft,,3,57,71,-14,1536.0
10:13.0,Turnover by T. Young (out of bounds lost ball),57-71, ,,3,57,71,-14,1547.0
10:07.0, ,57-73,D. Banton makes 2-pt dunk from 5 ft,,3,57,73,-16,1553.0
9:44.0,Shooting foul by A. Horford (drawn by C. Capela),57-73, ,,3,57,73,-16,1576.0
9:44.0,C. Capela makes free throw 1 of 2,58-73, ,,3,58,73,-15,1576.0
9:44.0,C. Capela misses free throw 2 of 2,58-73, ,,3,58,73,-15,1576.0
9:44.0, ,58-73,Defensive rebound by J. Brown,,3,58,73,-15,1576.0
9:30.0, ,58-73,J. Tatum misses 3-pt jump shot from 25 ft,,3,58,73,-15,1590.0
9:28.0,Defensive rebound by T. Young,58-73, ,,3,58,73,-15,1592.0
9:24.0,D. Hunter misses 3-pt jump shot from 27 ft,58-73, ,,3,58,73,-15,1596.0
9:21.0, ,58-73,Defensive rebound by J. Tatum,,3,58,73,-15,1599.0
9:19.0, ,58-73,Shooting foul by T. Young (drawn by J. Brown),,3,58,73,-15,1601.0
9:19.0, ,58-73,J. Brown misses free throw 1 of 2,,3,58,73,-15,1601.0
9:19.0, ,58-73,Offensive rebound by Team,,3,58,73,-15,1601.0
9:19.0, ,58-74,J. Brown makes free throw 2 of 2,,3,58,74,-16,1601.0
9:05.0,Turnover by T. Young (bad pass; steal by J. Brown),58-74, ,,3,58,74,-16,1615.0
9:00.0, ,58-74,J. Brown misses 2-pt layup from 5 ft,,3,58,74,-16,1620.0
8:58.0,Defensive rebound by C. Capela,58-74, ,,3,58,74,-16,1622.0
8:54.0,D. Murray misses 3-pt jump shot from 27 ft,58-74, ,,3,58,74,-16,1626.0
8:51.0, ,58-74,Defensive rebound by A. Horford,,3,58,74,-16,1629.0
8:49.0, ,58-74,Personal foul by S. Bey (drawn by J. Brown),,3,58,74,-16,1631.0
8:39.0, ,58-76,J. Brown makes 2-pt jump shot from 14 ft,,3,58,76,-18,1641.0
8:21.0,S. Bey misses 3-pt jump shot from 24 ft,58-76, ,,3,58,76,-18,1659.0
8:17.0, ,58-76,Defensive rebound by J. Tatum,,3,58,76,-18,1663.0
8:13.0, ,58-76,J. Tatum misses 3-pt jump shot from 27 ft,,3,58,76,-18,1667.0
8:10.0,Defensive rebound by C. Capela,58-76, ,,3,58,76,-18,1670.0
8:01.0,D. Murray misses 2-pt jump shot from 14 ft,58-76, ,,3,58,76,-18,1679.0
7:58.0, ,58-76,Defensive rebound by J. Brown,,3,58,76,-18,1682.0
7:48.0, ,58-76,J. Tatum misses 2-pt layup from 4 ft (block by C. Capela),,3,58,76,-18,1692.0
7:46.0, ,58-76,Offensive rebound by D. Banton,,3,58,76,-18,1694.0
7:46.0, ,58-78,D. Banton makes 2-pt layup from 4 ft,,3,58,78,-20,1694.0
7:46.0,Atlanta full timeout,58-78, ,,3,58,78,-20,1694.0
7:46.0, ,58-78,L. Kornet enters the game for A. Horford,,3,58,78,-20,1694.0
7:31.0,D. Hunter makes 3-pt jump shot from 24 ft (assist by D. Murray),61-78, ,,3,61,78,-17,1709.0
7:09.0, ,61-78,Shooting foul by T. Young (drawn by D. Banton),,3,61,78,-17,1731.0
7:09.0, ,61-79,D. Banton makes free throw 1 of 2,,3,61,79,-18,1731.0
7:09.0, ,61-80,D. Banton makes free throw 2 of 2,,3,61,80,-19,1731.0
6:54.0,T. Young misses 3-pt jump shot from 27 ft,61-80, ,,3,61,80,-19,1746.0
6:52.0,Offensive rebound by S. Bey,61-80, ,,3,61,80,-19,1748.0
6:52.0,Personal foul by D. White (drawn by S. Bey),61-80, ,,3,61,80,-19,1748.0
6:52.0,B. Bogdanović enters the game for S. Bey,61-80, ,,3,61,80,-19,1748.0
6:52.0,A. Griffin enters the game for T. Young,61-80, ,,3,61,80,-19,1748.0
6:52.0, ,61-80,P. Pritchard enters the game for D. White,,3,61,80,-19,1748.0
6:51.0,D. Murray misses 2-pt layup from 7 ft (block by L. Kornet),61-80, ,,3,61,80,-19,1749.0
6:49.0,Offensive rebound by B. Bogdanović,61-80, ,,3,61,80,-19,1751.0
