Time,Brooklyn,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Claxton vs. C. Capela (S. Dinwiddie gains possession),0-0,,,1,0,0,0,0.0
11:33.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by N. Claxton),3-0, ,,1,0,3,-3,27.0
11:10.0, ,3-0,D. Murray misses 3-pt jump shot from 26 ft,,1,0,3,-3,50.0
11:06.0,Defensive rebound by N. Claxton,3-0, ,,1,0,3,-3,54.0
10:58.0,Shooting foul by J. Johnson (drawn by M. Bridges),3-0, ,,1,0,3,-3,62.0
10:58.0,M. Bridges makes free throw 1 of 2,4-0, ,,1,0,4,-4,62.0
10:58.0,M. Bridges makes free throw 2 of 2,5-0, ,,1,0,5,-5,62.0
10:48.0, ,5-2,C. Capela makes 2-pt layup from 2 ft (assist by T. Young),,1,2,5,-3,72.0
10:35.0,N. Claxton misses 2-pt layup from 5 ft,5-2, ,,1,2,5,-3,85.0
10:31.0, ,5-2,Defensive rebound by C. Capela,,1,2,5,-3,89.0
10:23.0, ,5-4,J. Johnson makes 2-pt jump shot from 21 ft (assist by T. Young),,1,4,5,-1,97.0
10:15.0,Turnover by C. Johnson (bad pass; steal by D. Murray),5-4, ,,1,4,5,-1,105.0
10:01.0, ,5-7,T. Young makes 3-pt jump shot from 28 ft (assist by D. Murray),Lead change,1,7,5,2,119.0
9:47.0,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by M. Bridges),8-7, ,Lead change,1,7,8,-1,133.0
9:33.0, ,8-7,T. Young misses 2-pt layup from 3 ft,,1,7,8,-1,147.0
9:30.0, ,8-7,Offensive rebound by C. Capela,,1,7,8,-1,150.0
9:30.0, ,8-9,C. Capela makes 2-pt layup at rim,Lead change,1,9,8,1,150.0
9:24.0,C. Johnson makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),11-9, ,Lead change,1,9,11,-2,156.0
9:07.0, ,11-11,D. Murray makes 2-pt jump shot from 14 ft,Tie,1,11,11,0,173.0
8:46.0,C. Johnson makes 3-pt jump shot from 26 ft (assist by M. Bridges),14-11, ,,1,11,14,-3,194.0
8:30.0, ,14-11,Def 3 sec tech foul by Team,,1,11,14,-3,210.0
8:30.0, ,14-12,T. Young makes technical free throw,,1,12,14,-2,210.0
8:23.0, ,14-12,D. Hunter misses 3-pt jump shot from 24 ft,,1,12,14,-2,217.0
8:21.0, ,14-12,Offensive rebound by C. Capela,,1,12,14,-2,219.0
8:20.0, ,14-12,Personal foul by C. Johnson (drawn by C. Capela),,1,12,14,-2,220.0
8:20.0,D. Sharpe enters the game for N. Claxton,14-12, ,,1,12,14,-2,220.0
8:10.0, ,14-12,D. Hunter misses 3-pt jump shot from 25 ft,,1,12,14,-2,230.0
8:08.0,Defensive rebound by S. Dinwiddie,14-12, ,,1,12,14,-2,232.0
7:53.0,C. Johnson misses 3-pt jump shot from 23 ft,14-12, ,,1,12,14,-2,247.0
7:50.0,Offensive rebound by D. Sharpe,14-12, ,,1,12,14,-2,250.0
7:50.0,D. Sharpe misses 2-pt layup from 4 ft (block by C. Capela),14-12, ,,1,12,14,-2,250.0
7:49.0, ,14-12,Defensive rebound by C. Capela,,1,12,14,-2,251.0
7:49.0, ,14-12,Technical foul by Q. Snyder,,1,12,14,-2,251.0
7:49.0,M. Bridges makes technical free throw,15-12, ,,1,12,15,-3,251.0
7:41.0, ,15-15,T. Young makes 3-pt jump shot from 25 ft,Tie,1,15,15,0,259.0
7:25.0,M. Bridges makes 2-pt layup from 2 ft (assist by S. Dinwiddie),17-15, ,,1,15,17,-2,275.0
7:10.0, ,17-15,D. Murray misses 3-pt jump shot from 24 ft,,1,15,17,-2,290.0
7:08.0,Defensive rebound by C. Johnson,17-15, ,,1,15,17,-2,292.0
7:01.0,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by C. Johnson),20-15, ,,1,15,20,-5,299.0
7:00.0, ,20-15,Atlanta full timeout,,1,15,20,-5,300.0
7:00.0, ,20-15,B. Bogdanović enters the game for T. Young,,1,15,20,-5,300.0
6:51.0, ,20-18,D. Hunter makes 3-pt jump shot from 25 ft (assist by D. Murray),,1,18,20,-2,309.0
6:33.0,M. Bridges misses 3-pt jump shot from 23 ft,20-18, ,,1,18,20,-2,327.0
6:30.0, ,20-18,Defensive rebound by D. Hunter,,1,18,20,-2,330.0
6:25.0, ,20-21,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Murray),Lead change,1,21,20,1,335.0
6:24.0,Brooklyn full timeout,20-21, ,,1,21,20,1,336.0
6:08.0,S. Dinwiddie misses 2-pt jump shot from 18 ft,20-21, ,,1,21,20,1,352.0
6:04.0, ,20-21,Defensive rebound by J. Johnson,,1,21,20,1,356.0
5:55.0, ,20-21,Shooting foul by D. Sharpe (drawn by D. Hunter),,1,21,20,1,365.0
5:55.0, ,20-22,D. Hunter makes free throw 1 of 2,,1,22,20,2,365.0
5:55.0, ,20-23,D. Hunter makes free throw 2 of 2,,1,23,20,3,365.0
5:55.0,R. O'Neale enters the game for D. Finney-Smith,20-23, ,,1,23,20,3,365.0
5:55.0, ,20-23,S. Bey enters the game for C. Capela,,1,23,20,3,365.0
5:55.0, ,20-23,O. Okongwu enters the game for J. Johnson,,1,23,20,3,365.0
5:35.0,S. Dinwiddie misses 2-pt layup from 11 ft (block by D. Hunter),20-23, ,,1,23,20,3,385.0
5:33.0,Offensive rebound by M. Bridges,20-23, ,,1,23,20,3,387.0
5:32.0,M. Bridges misses 2-pt jump shot from 14 ft,20-23, ,,1,23,20,3,388.0
5:29.0,Offensive rebound by D. Sharpe,20-23, ,,1,23,20,3,391.0
5:27.0,Turnover by D. Sharpe (bad pass; steal by D. Murray),20-23, ,,1,23,20,3,393.0
5:23.0, ,20-23,D. Murray misses 2-pt layup from 1 ft,,1,23,20,3,397.0
5:20.0,Defensive rebound by S. Dinwiddie,20-23, ,,1,23,20,3,400.0
5:04.0,S. Dinwiddie makes 2-pt jump shot from 10 ft,22-23, ,,1,23,22,1,416.0
5:04.0,Shooting foul by D. Hunter (drawn by S. Dinwiddie),22-23, ,,1,23,22,1,416.0
5:04.0,N. Claxton enters the game for C. Johnson,22-23, ,,1,23,22,1,416.0
5:04.0,L. Walker enters the game for D. Sharpe,22-23, ,,1,23,22,1,416.0
5:04.0,S. Dinwiddie makes free throw 1 of 1,23-23, ,Tie,1,23,23,0,416.0
4:53.0, ,23-23,Personal foul by N. Claxton (drawn by O. Okongwu),,1,23,23,0,427.0
4:45.0, ,23-23,D. Hunter misses 3-pt jump shot from 25 ft,,1,23,23,0,435.0
4:42.0,Defensive rebound by M. Bridges,23-23, ,,1,23,23,0,438.0
4:28.0,M. Bridges makes 2-pt jump shot from 16 ft (assist by L. Walker),25-23, ,Lead change,1,23,25,-2,452.0
4:12.0, ,25-25,O. Okongwu makes 2-pt hook shot from 7 ft (assist by D. Murray),Tie,1,25,25,0,468.0
4:08.0,Offensive foul by N. Claxton (drawn by D. Hunter),25-25, ,,1,25,25,0,472.0
4:08.0,Turnover by N. Claxton (offensive foul),25-25, ,,1,25,25,0,472.0
3:56.0, ,25-25,D. Hunter misses 2-pt jump shot from 14 ft,,1,25,25,0,484.0
3:52.0,Defensive rebound by L. Walker,25-25, ,,1,25,25,0,488.0
3:44.0,L. Walker misses 2-pt layup from 3 ft,25-25, ,,1,25,25,0,496.0
3:42.0, ,25-25,Defensive rebound by D. Hunter,,1,25,25,0,498.0
3:38.0, ,25-27,D. Hunter makes 2-pt layup from 1 ft,Lead change,1,27,25,2,502.0
3:38.0, ,25-27,A. Griffin enters the game for D. Hunter,,1,27,25,2,502.0
3:11.0,Turnover by L. Walker (lost ball; steal by S. Bey),25-27, ,,1,27,25,2,529.0
3:07.0, ,25-29,S. Bey makes 2-pt layup from 2 ft,,1,29,25,4,533.0
3:07.0, ,25-29,Shooting foul by L. Walker (drawn by S. Bey),,1,29,25,4,533.0
3:07.0, ,25-29,T. Young enters the game for D. Murray,,1,29,25,4,533.0
3:07.0, ,25-30,S. Bey makes free throw 1 of 1,,1,30,25,5,533.0
2:54.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,25-30, ,,1,30,25,5,546.0
2:51.0,Offensive rebound by N. Claxton,25-30, ,,1,30,25,5,549.0
2:48.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,25-30, ,,1,30,25,5,552.0
2:44.0, ,25-30,Defensive rebound by T. Young,,1,30,25,5,556.0
2:38.0, ,25-30,Turnover by T. Young (bad pass; steal by R. O'Neale),,1,30,25,5,562.0
2:34.0,R. O'Neale misses 2-pt layup from 1 ft (block by B. Bogdanović),25-30, ,,1,30,25,5,566.0
2:31.0, ,25-30,Defensive rebound by B. Bogdanović,,1,30,25,5,569.0
2:29.0, ,25-33,T. Young makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,1,33,25,8,571.0
2:19.0,L. Walker misses 3-pt jump shot from 23 ft,25-33, ,,1,33,25,8,581.0
2:18.0,Offensive rebound by M. Bridges,25-33, ,,1,33,25,8,582.0
2:12.0,Turnover by N. Claxton (out of bounds lost ball),25-33, ,,1,33,25,8,588.0
2:12.0,T. Watford enters the game for S. Dinwiddie,25-33, ,,1,33,25,8,588.0
2:02.0, ,25-36,S. Bey makes 3-pt jump shot from 26 ft (assist by T. Young),,1,36,25,11,598.0
2:00.0,Brooklyn full timeout,25-36, ,,1,36,25,11,600.0
1:40.0,R. O'Neale misses 3-pt jump shot from 27 ft,25-36, ,,1,36,25,11,620.0
1:37.0,Offensive rebound by N. Claxton,25-36, ,,1,36,25,11,623.0
1:35.0,L. Walker makes 2-pt layup from 1 ft (assist by N. Claxton),27-36, ,,1,36,27,9,625.0
1:35.0,Shooting foul by O. Okongwu (drawn by L. Walker),27-36, ,,1,36,27,9,625.0
1:35.0,L. Walker misses free throw 1 of 1,27-36, ,,1,36,27,9,625.0
1:33.0, ,27-36,Defensive rebound by S. Bey,,1,36,27,9,627.0
1:25.0, ,27-39,T. Young makes 3-pt jump shot from 25 ft,,1,39,27,12,635.0
1:08.0,R. O'Neale misses 3-pt jump shot from 26 ft,27-39, ,,1,39,27,12,652.0
1:05.0, ,27-39,Defensive rebound by S. Bey,,1,39,27,12,655.0
0:56.0, ,27-39,B. Bogdanović misses 2-pt jump shot from 10 ft,,1,39,27,12,664.0
0:53.0,Defensive rebound by T. Watford,27-39, ,,1,39,27,12,667.0
0:48.0,N. Claxton makes 2-pt dunk from 1 ft (assist by R. O'Neale),29-39, ,,1,39,29,10,672.0
0:35.0, ,29-42,T. Young makes 3-pt jump shot from 25 ft,,1,42,29,13,685.0
0:27.0,Shooting foul by B. Bogdanović (drawn by M. Bridges),29-42, ,,1,42,29,13,693.0
0:27.0,M. Bridges makes free throw 1 of 2,30-42, ,,1,42,30,12,693.0
0:27.0,M. Bridges makes free throw 2 of 2,31-42, ,,1,42,31,11,693.0
0:08.0, ,31-45,T. Young makes 3-pt jump shot from 24 ft,,1,45,31,14,712.0
0:04.0,T. Watford misses 2-pt layup from 1 ft,31-45, ,,1,45,31,14,716.0
0:03.0,Offensive rebound by Team,31-45, ,,1,45,31,14,717.0
0:03.0, ,31-45,Loose ball foul by B. Bogdanović (drawn by N. Claxton),,1,45,31,14,717.0
0:03.0,N. Claxton makes free throw 1 of 2,32-45, ,,1,45,32,13,717.0
0:03.0, ,32-45,D. Murray enters the game for A. Griffin,,1,45,32,13,717.0
0:03.0,N. Claxton makes free throw 2 of 2,33-45, ,,1,45,33,12,717.0
0:00.0, ,33-45,T. Young misses 3-pt jump shot from 25 ft,,1,45,33,12,720.0
0:00.0, ,33-45,Offensive rebound by Team,,1,45,33,12,720.0
0:00.0,End of 1st quarter,33-45,,,1,45,33,12,720.0
12:00.0,Start of 2nd quarter,33-45,,,2,45,33,12,720.0
11:51.0, ,33-45,Turnover by J. Johnson (traveling),,2,45,33,12,729.0
11:39.0,S. Dinwiddie misses 2-pt layup from 2 ft,33-45, ,,2,45,33,12,741.0
11:35.0,Offensive rebound by D. Sharpe,33-45, ,,2,45,33,12,745.0
11:35.0,D. Sharpe misses 2-pt layup at rim,33-45, ,,2,45,33,12,745.0
11:34.0, ,33-45,Defensive rebound by O. Okongwu,,2,45,33,12,746.0
11:22.0, ,33-47,S. Bey makes 2-pt layup from 3 ft (assist by T. Young),,2,47,33,14,758.0
11:22.0, ,33-47,Shooting foul by D. Sharpe (drawn by S. Bey),,2,47,33,14,758.0
11:22.0, ,33-48,S. Bey makes free throw 1 of 1,,2,48,33,15,758.0
11:11.0,L. Walker makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),36-48, ,,2,48,36,12,769.0
10:57.0, ,36-50,O. Okongwu makes 2-pt layup from 1 ft (assist by B. Bogdanović),,2,50,36,14,783.0
10:47.0,Turnover by S. Dinwiddie (bad pass; steal by S. Bey),36-50, ,,2,50,36,14,793.0
10:46.0, ,36-50,Turnover by S. Bey (bad pass),,2,50,36,14,794.0
10:40.0,D. Sharpe makes 2-pt dunk from 1 ft (assist by C. Johnson),38-50, ,,2,50,38,12,800.0
10:28.0, ,38-50,Turnover by T. Young (bad pass; steal by D. Sharpe),,2,50,38,12,812.0
10:20.0,S. Dinwiddie misses 3-pt jump shot from 22 ft,38-50, ,,2,50,38,12,820.0
10:15.0, ,38-50,Defensive rebound by J. Johnson,,2,50,38,12,825.0
