Time,Charlotte,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:06.0, ,95-100,Defensive rebound by M. Gueye,,4,100,95,5,2454.0
6:55.0, ,95-103,V. Krejci makes 3-pt jump shot from 26 ft (assist by M. Gueye),,4,103,95,8,2465.0
6:42.0,N. Richards makes 2-pt hook shot from 4 ft,97-103, ,,4,103,97,6,2478.0
6:27.0, ,97-103,Turnover by D. Windler (step out of bounds),,4,103,97,6,2493.0
6:20.0,Personal foul by M. Gueye (drawn by N. Richards),97-103, ,,4,103,97,6,2500.0
6:20.0,M. Bridges enters the game for D. Bertāns,97-103, ,,4,103,97,6,2500.0
6:20.0,B. McGowens enters the game for J. Thor,97-103, ,,4,103,97,6,2500.0
6:20.0, ,97-103,B. Fernando enters the game for M. Gueye,,4,103,97,6,2500.0
6:04.0,A. Pokusevski misses 2-pt jump shot from 13 ft,97-103, ,,4,103,97,6,2516.0
6:00.0, ,97-103,Defensive rebound by B. Fernando,,4,103,97,6,2520.0
5:46.0, ,97-103,V. Krejci misses 3-pt jump shot from 25 ft,,4,103,97,6,2534.0
5:43.0,Defensive rebound by B. McGowens,97-103, ,,4,103,97,6,2537.0
5:33.0,M. Bridges makes 2-pt layup from 3 ft,99-103, ,,4,103,99,4,2547.0
5:13.0, ,99-106,K. Bufkin makes 3-pt jump shot from 25 ft (assist by V. Krejci),,4,106,99,7,2567.0
4:58.0,T. Mann makes 2-pt jump shot from 12 ft,101-106, ,,4,106,101,5,2582.0
4:46.0, ,101-106,Turnover by V. Krejci (bad pass; steal by T. Mann),,4,106,101,5,2594.0
4:42.0,T. Mann makes 2-pt layup from 1 ft,103-106, ,,4,106,103,3,2598.0
4:42.0, ,103-106,Atlanta full timeout,,4,106,103,3,2598.0
4:24.0, ,103-106,Shooting foul by N. Richards (drawn by B. Fernando),,4,106,103,3,2616.0
4:24.0, ,103-106,B. Fernando misses free throw 1 of 2,,4,106,103,3,2616.0
4:24.0, ,103-106,Offensive rebound by Team,,4,106,103,3,2616.0
4:24.0, ,103-107,B. Fernando makes free throw 2 of 2,,4,107,103,4,2616.0
4:11.0,T. Mann misses 3-pt jump shot from 25 ft,103-107, ,,4,107,103,4,2629.0
4:08.0, ,103-107,Defensive rebound by B. Fernando,,4,107,103,4,2632.0
3:59.0, ,103-107,T. Forrest misses 2-pt layup at rim,,4,107,103,4,2641.0
3:57.0,Defensive rebound by N. Richards,103-107, ,,4,107,103,4,2643.0
3:49.0,M. Bridges makes 2-pt layup from 1 ft,105-107, ,,4,107,105,2,2651.0
3:41.0, ,105-107,V. Krejci misses 2-pt layup from 1 ft (block by A. Pokusevski),,4,107,105,2,2659.0
3:40.0, ,105-107,Offensive rebound by Team,,4,107,105,2,2660.0
3:40.0,Loose ball foul by N. Richards (drawn by V. Krejci),105-107, ,,4,107,105,2,2660.0
3:40.0,G. Williams enters the game for N. Richards,105-107, ,,4,107,105,2,2660.0
3:28.0, ,105-107,V. Krejci misses 3-pt jump shot from 26 ft,,4,107,105,2,2672.0
3:26.0, ,105-107,Offensive rebound by D. Windler,,4,107,105,2,2674.0
3:25.0, ,105-107,K. Bufkin misses 3-pt jump shot from 25 ft,,4,107,105,2,2675.0
3:24.0,Defensive rebound by Team,105-107, ,,4,107,105,2,2676.0
3:10.0,Shooting foul by B. Fernando (drawn by M. Bridges),105-107, ,,4,107,105,2,2690.0
3:10.0,B. Miller enters the game for B. McGowens,105-107, ,,4,107,105,2,2690.0
3:10.0,M. Bridges makes free throw 1 of 2,106-107, ,,4,107,106,1,2690.0
3:10.0,M. Bridges makes free throw 2 of 2,107-107, ,Tie,4,107,107,0,2690.0
2:46.0, ,107-107,Turnover by Team (shot clock),,4,107,107,0,2714.0
2:32.0,T. Mann misses 2-pt hook shot from 2 ft,107-107, ,,4,107,107,0,2728.0
2:32.0,Offensive rebound by G. Williams,107-107, ,,4,107,107,0,2728.0
2:32.0,Shooting foul by K. Bufkin (drawn by G. Williams),107-107, ,,4,107,107,0,2728.0
2:32.0,G. Williams makes free throw 1 of 2,108-107, ,Lead change,4,107,108,-1,2728.0
2:32.0,G. Williams makes free throw 2 of 2,109-107, ,,4,107,109,-2,2728.0
2:20.0, ,109-107,Shooting foul by G. Williams (drawn by B. Fernando),,4,107,109,-2,2740.0
2:20.0, ,109-107,B. Fernando misses free throw 1 of 2,,4,107,109,-2,2740.0
2:20.0, ,109-107,Offensive rebound by Team,,4,107,109,-2,2740.0
2:20.0, ,109-108,B. Fernando makes free throw 2 of 2,,4,108,109,-1,2740.0
2:07.0,G. Williams makes 2-pt jump shot from 11 ft,111-108, ,,4,108,111,-3,2753.0
1:48.0, ,111-110,T. Forrest makes 2-pt jump shot from 6 ft,,4,110,111,-1,2772.0
1:28.0,M. Bridges misses 3-pt jump shot from 25 ft,111-110, ,,4,110,111,-1,2792.0
1:25.0, ,111-110,Defensive rebound by V. Krejci,,4,110,111,-1,2795.0
1:13.0, ,111-112,T. Forrest makes 2-pt layup from 2 ft,Lead change,4,112,111,1,2807.0
0:58.0,B. Miller misses 3-pt jump shot from 23 ft,111-112, ,,4,112,111,1,2822.0
0:53.0, ,111-112,Defensive rebound by V. Krejci,,4,112,111,1,2827.0
0:34.0, ,111-114,T. Forrest makes 2-pt jump shot from 5 ft,,4,114,111,3,2846.0
0:34.0, ,111-114,Shooting foul by B. Miller (drawn by T. Forrest),,4,114,111,3,2846.0
0:34.0, ,111-114,T. Forrest misses free throw 1 of 1,,4,114,111,3,2846.0
0:34.0,Defensive rebound by M. Bridges,111-114, ,,4,114,111,3,2846.0
0:34.0,Charlotte full timeout,111-114, ,,4,114,111,3,2846.0
0:29.0,Shooting foul by B. Fernando (drawn by B. Miller),111-114, ,,4,114,111,3,2851.0
0:29.0,B. Miller makes free throw 1 of 2,112-114, ,,4,114,112,2,2851.0
0:29.0,B. Miller makes free throw 2 of 2,113-114, ,,4,114,113,1,2851.0
0:09.0, ,113-114,B. Fernando misses 2-pt layup from 3 ft,,4,114,113,1,2871.0
0:07.0,Defensive rebound by M. Bridges,113-114, ,,4,114,113,1,2873.0
0:03.0,M. Bridges makes 2-pt layup from 1 ft,115-114, ,Lead change,4,114,115,-1,2877.0
0:03.0, ,115-114,Atlanta full timeout,,4,114,115,-1,2877.0
0:01.0, ,115-114,Turnover by T. Forrest (bad pass; steal by T. Mann),,4,114,115,-1,2879.0
0:00.0,End of 4th quarter,115-114,,,4,114,115,-1,2880.0
