Time,Atlanta,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:53.0,J. Johnson makes free throw 2 of 2,70-69, ,Lead change,3,70,69,1,1747.0
6:37.0, ,70-71,C. McCollum makes 2-pt jump shot from 13 ft,Lead change,3,70,71,-1,1763.0
6:37.0, ,70-71,K. Lewis enters the game for C. McCollum,,3,70,71,-1,1763.0
6:07.0,T. Young makes 3-pt jump shot from 26 ft (assist by D. Murray),73-71, ,Lead change,3,73,71,2,1793.0
5:51.0, ,73-71,Turnover by H. Jones (bad pass),,3,73,71,2,1809.0
5:36.0,Personal foul by Z. Williamson (drawn by T. Young),73-71, ,,3,73,71,2,1824.0
5:36.0,S. Bey enters the game for J. Johnson,73-71, ,,3,73,71,2,1824.0
5:36.0, ,73-71,D. Daniels enters the game for Z. Williamson,,3,73,71,2,1824.0
5:27.0,T. Young makes 3-pt jump shot from 27 ft,76-71, ,,3,76,71,5,1833.0
5:14.0, ,76-71,H. Jones misses 3-pt jump shot from 23 ft,,3,76,71,5,1846.0
5:12.0,Defensive rebound by D. Hunter,76-71, ,,3,76,71,5,1848.0
4:59.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by T. Young),79-71, ,,3,79,71,8,1861.0
4:31.0, ,79-73,L. Nance makes 2-pt hook shot from 5 ft (assist by K. Lewis),,3,79,73,6,1889.0
4:14.0,D. Murray makes 3-pt jump shot from 26 ft (assist by S. Bey),82-73, ,,3,82,73,9,1906.0
3:56.0, ,82-73,L. Nance misses 2-pt jump shot from 10 ft,,3,82,73,9,1924.0
3:52.0,Defensive rebound by D. Murray,82-73, ,,3,82,73,9,1928.0
3:50.0,Shooting foul by B. Ingram (drawn by C. Capela),82-73, ,,3,82,73,9,1930.0
3:50.0,C. Capela makes free throw 1 of 2,83-73, ,,3,83,73,10,1930.0
3:50.0,B. Bogdanović enters the game for D. Murray,83-73, ,,3,83,73,10,1930.0
3:50.0, ,83-73,J. Hawkins enters the game for H. Jones,,3,83,73,10,1930.0
3:50.0,C. Capela misses free throw 2 of 2,83-73, ,,3,83,73,10,1930.0
3:47.0, ,83-73,Defensive rebound by J. Hawkins,,3,83,73,10,1933.0
3:30.0, ,83-75,J. Hawkins makes 2-pt layup from 5 ft (assist by B. Ingram),,3,83,75,8,1950.0
3:25.0,T. Young makes 2-pt layup from 10 ft,85-75, ,,3,85,75,10,1955.0
3:25.0,Shooting foul by K. Lewis (drawn by T. Young),85-75, ,,3,85,75,10,1955.0
3:25.0,O. Okongwu enters the game for C. Capela,85-75, ,,3,85,75,10,1955.0
3:25.0,T. Young makes free throw 1 of 1,86-75, ,,3,86,75,11,1955.0
3:08.0, ,86-75,K. Lewis misses 2-pt jump shot from 6 ft,,3,86,75,11,1972.0
3:08.0,Defensive rebound by Team,86-75, ,,3,86,75,11,1972.0
3:08.0,Atlanta full timeout,86-75, ,,3,86,75,11,1972.0
3:08.0,D. Murray enters the game for D. Hunter,86-75, ,,3,86,75,11,1972.0
3:08.0, ,86-75,C. McCollum enters the game for B. Ingram,,3,86,75,11,1972.0
3:08.0, ,86-75,M. Ryan enters the game for K. Lewis,,3,86,75,11,1972.0
3:08.0, ,86-75,Z. Williamson enters the game for L. Nance,,3,86,75,11,1972.0
2:43.0,S. Bey misses 2-pt jump shot from 10 ft,86-75, ,,3,86,75,11,1997.0
2:41.0, ,86-75,Defensive rebound by D. Daniels,,3,86,75,11,1999.0
2:34.0, ,86-75,M. Ryan misses 3-pt jump shot from 23 ft,,3,86,75,11,2006.0
2:31.0,Defensive rebound by D. Murray,86-75, ,,3,86,75,11,2009.0
2:20.0,D. Murray misses 2-pt layup from 4 ft (block by C. McCollum),86-75, ,,3,86,75,11,2020.0
2:20.0,Offensive rebound by O. Okongwu,86-75, ,,3,86,75,11,2020.0
2:20.0,Shooting foul by J. Hawkins (drawn by O. Okongwu),86-75, ,,3,86,75,11,2020.0
2:20.0,O. Okongwu makes free throw 1 of 2,87-75, ,,3,87,75,12,2020.0
2:20.0,J. Johnson enters the game for T. Young,87-75, ,,3,87,75,12,2020.0
2:20.0,O. Okongwu makes free throw 2 of 2,88-75, ,,3,88,75,13,2020.0
2:05.0, ,88-75,C. McCollum misses 3-pt jump shot from 26 ft,,3,88,75,13,2035.0
2:02.0,Defensive rebound by J. Johnson,88-75, ,,3,88,75,13,2038.0
1:56.0,B. Bogdanović misses 3-pt jump shot from 25 ft,88-75, ,,3,88,75,13,2044.0
1:53.0,Offensive rebound by J. Johnson,88-75, ,,3,88,75,13,2047.0
1:51.0,J. Johnson makes 2-pt layup from 3 ft,90-75, ,,3,90,75,15,2049.0
1:36.0, ,90-77,Z. Williamson makes 2-pt layup from 4 ft,,3,90,77,13,2064.0
1:22.0,Shooting foul by M. Ryan (drawn by O. Okongwu),90-77, ,,3,90,77,13,2078.0
1:22.0,O. Okongwu makes free throw 1 of 2,91-77, ,,3,91,77,14,2078.0
1:22.0,O. Okongwu makes free throw 2 of 2,92-77, ,,3,92,77,15,2078.0
1:14.0, ,92-77,M. Ryan misses 3-pt jump shot from 27 ft,,3,92,77,15,2086.0
1:12.0,Defensive rebound by J. Johnson,92-77, ,,3,92,77,15,2088.0
1:07.0,O. Okongwu makes 2-pt dunk from 2 ft (assist by J. Johnson),94-77, ,,3,94,77,17,2093.0
0:51.0, ,94-80,J. Hawkins makes 3-pt jump shot from 25 ft (assist by C. McCollum),,3,94,80,14,2109.0
0:27.0,J. Johnson misses 3-pt jump shot from 26 ft,94-80, ,,3,94,80,14,2133.0
0:23.0, ,94-80,Defensive rebound by J. Hawkins,,3,94,80,14,2137.0
0:15.0, ,94-83,J. Hawkins makes 3-pt jump shot from 26 ft (assist by D. Daniels),,3,94,83,11,2145.0
0:00.0,S. Bey misses 3-pt jump shot from 23 ft,94-83, ,,3,94,83,11,2160.0
0:00.0,Offensive rebound by Team,94-83, ,,3,94,83,11,2160.0
0:00.0,End of 3rd quarter,94-83,,,3,94,83,11,2160.0
12:00.0,Start of 4th quarter,94-83,,,4,94,83,11,2160.0
11:49.0, ,94-83,J. Hawkins misses 3-pt jump shot from 27 ft,,4,94,83,11,2171.0
11:45.0,Defensive rebound by T. Young,94-83, ,,4,94,83,11,2175.0
11:33.0,O. Okongwu makes 3-pt jump shot from 22 ft (assist by S. Bey),97-83, ,,4,97,83,14,2187.0
11:13.0, ,97-85,D. Daniels makes 2-pt jump shot from 14 ft (assist by C. McCollum),,4,97,85,12,2207.0
10:53.0,O. Okongwu makes 3-pt jump shot from 24 ft (assist by T. Young),100-85, ,,4,100,85,15,2227.0
10:39.0, ,100-85,D. Daniels misses 3-pt jump shot from 23 ft,,4,100,85,15,2241.0
10:36.0,Defensive rebound by B. Bogdanović,100-85, ,,4,100,85,15,2244.0
10:30.0,B. Bogdanović misses 2-pt jump shot from 6 ft,100-85, ,,4,100,85,15,2250.0
10:28.0, ,100-85,Defensive rebound by M. Ryan,,4,100,85,15,2252.0
10:11.0, ,100-85,Shooting foul by B. Bogdanović (drawn by C. McCollum),,4,100,85,15,2269.0
10:11.0, ,100-86,C. McCollum makes free throw 1 of 2,,4,100,86,14,2269.0
10:11.0, ,100-87,C. McCollum makes free throw 2 of 2,,4,100,87,13,2269.0
9:51.0,Personal foul by J. Hawkins (drawn by J. Johnson),100-87, ,,4,100,87,13,2289.0
9:51.0,D. Hunter enters the game for S. Bey,100-87, ,,4,100,87,13,2289.0
9:51.0,D. Murray enters the game for T. Young,100-87, ,,4,100,87,13,2289.0
9:51.0, ,100-87,H. Jones enters the game for D. Daniels,,4,100,87,13,2289.0
9:36.0,D. Murray misses 3-pt jump shot from 25 ft,100-87, ,,4,100,87,13,2304.0
9:33.0, ,100-87,Defensive rebound by J. Valančiūnas,,4,100,87,13,2307.0
9:20.0, ,100-89,C. McCollum makes 2-pt jump shot from 6 ft (assist by M. Ryan),,4,100,89,11,2320.0
9:10.0,Shooting foul by C. McCollum (drawn by J. Johnson),100-89, ,,4,100,89,11,2330.0
9:10.0,J. Johnson makes free throw 1 of 2,101-89, ,,4,101,89,12,2330.0
9:10.0,J. Johnson misses free throw 2 of 2,101-89, ,,4,101,89,12,2330.0
9:08.0,Offensive rebound by Team,101-89, ,,4,101,89,12,2332.0
9:08.0,S. Bey enters the game for J. Johnson,101-89, ,,4,101,89,12,2332.0
9:06.0,S. Bey makes 2-pt layup from 2 ft (assist by D. Murray),103-89, ,,4,103,89,14,2334.0
9:06.0, ,103-89,Z. Williamson enters the game for J. Valančiūnas,,4,103,89,14,2334.0
8:41.0, ,103-91,Z. Williamson makes 2-pt layup from 4 ft (assist by C. McCollum),,4,103,91,12,2359.0
8:21.0,B. Bogdanović misses 3-pt jump shot from 29 ft,103-91, ,,4,103,91,12,2379.0
8:17.0, ,103-91,Defensive rebound by Z. Williamson,,4,103,91,12,2383.0
8:13.0, ,103-91,Z. Williamson misses 2-pt layup from 5 ft (block by D. Hunter),,4,103,91,12,2387.0
8:11.0,Defensive rebound by D. Hunter,103-91, ,,4,103,91,12,2389.0
7:51.0,D. Murray misses 3-pt jump shot from 23 ft,103-91, ,,4,103,91,12,2409.0
7:48.0,Offensive rebound by Team,103-91, ,,4,103,91,12,2412.0
7:48.0,T. Young enters the game for B. Bogdanović,103-91, ,,4,103,91,12,2412.0
7:48.0, ,103-91,B. Ingram enters the game for M. Ryan,,4,103,91,12,2412.0
7:38.0,O. Okongwu makes 2-pt layup from 5 ft (assist by T. Young),105-91, ,,4,105,91,14,2422.0
7:25.0, ,105-91,Def 3 sec tech foul by Team,,4,105,91,14,2435.0
7:25.0, ,105-92,J. Hawkins makes technical free throw,,4,105,92,13,2435.0
7:18.0, ,105-94,Z. Williamson makes 2-pt layup from 3 ft (assist by B. Ingram),,4,105,94,11,2442.0
7:01.0,Shooting foul by C. McCollum (drawn by T. Young),105-94, ,,4,105,94,11,2459.0
7:01.0,Instant Replay (Challenge: Ruling Stands),105-94, ,,4,105,94,11,2459.0
7:01.0, ,105-94,New Orleans full timeout,,4,105,94,11,2459.0
7:01.0,C. Capela enters the game for S. Bey,105-94, ,,4,105,94,11,2459.0
7:01.0,J. Johnson enters the game for O. Okongwu,105-94, ,,4,105,94,11,2459.0
7:01.0,T. Young makes free throw 1 of 2,106-94, ,,4,106,94,12,2459.0
7:01.0,T. Young makes free throw 2 of 2,107-94, ,,4,107,94,13,2459.0
6:42.0, ,107-94,Z. Williamson misses 2-pt layup from 5 ft,,4,107,94,13,2478.0
6:41.0,Defensive rebound by J. Johnson,107-94, ,,4,107,94,13,2479.0
6:22.0,Turnover by D. Murray (bad pass; steal by J. Hawkins),107-94, ,,4,107,94,13,2498.0
6:00.0, ,107-94,Turnover by J. Hawkins (out of bounds lost ball),,4,107,94,13,2520.0
6:00.0, ,107-94,D. Daniels enters the game for C. McCollum,,4,107,94,13,2520.0
5:40.0,T. Young misses 3-pt jump shot from 28 ft,107-94, ,,4,107,94,13,2540.0
5:38.0, ,107-94,Defensive rebound by Team,,4,107,94,13,2542.0
5:26.0, ,107-96,B. Ingram makes 2-pt jump shot from 18 ft (assist by H. Jones),,4,107,96,11,2554.0
5:25.0,Atlanta full timeout,107-96, ,,4,107,96,11,2555.0
5:01.0,D. Murray makes 2-pt jump shot from 11 ft,109-96, ,,4,109,96,13,2579.0
4:44.0, ,109-96,J. Hawkins misses 3-pt jump shot from 26 ft,,4,109,96,13,2596.0
4:41.0, ,109-96,Offensive rebound by B. Ingram,,4,109,96,13,2599.0
4:39.0, ,109-99,B. Ingram makes 3-pt jump shot from 26 ft,,4,109,99,10,2601.0
4:18.0,D. Murray makes 2-pt jump shot from 10 ft,111-99, ,,4,111,99,12,2622.0
4:00.0, ,111-101,Z. Williamson makes 2-pt layup from 4 ft,,4,111,101,10,2640.0
3:41.0,T. Young makes 3-pt jump shot from 25 ft (assist by D. Murray),114-101, ,,4,114,101,13,2659.0
3:41.0, ,114-101,New Orleans full timeout,,4,114,101,13,2659.0
3:41.0, ,114-101,C. McCollum enters the game for J. Hawkins,,4,114,101,13,2659.0
3:21.0, ,114-101,C. McCollum misses 3-pt jump shot from 25 ft,,4,114,101,13,2679.0
3:18.0, ,114-101,Offensive rebound by D. Daniels,,4,114,101,13,2682.0
3:17.0, ,114-101,Turnover by Team (shot clock),,4,114,101,13,2683.0
3:03.0,C. Capela makes 2-pt layup from 3 ft (assist by T. Young),116-101, ,,4,116,101,15,2697.0
2:44.0, ,116-101,H. Jones misses 3-pt jump shot from 23 ft,,4,116,101,15,2716.0
2:40.0,Defensive rebound by T. Young,116-101, ,,4,116,101,15,2720.0
2:35.0,Turnover by T. Young (lost ball; steal by D. Daniels),116-101, ,,4,116,101,15,2725.0
2:32.0, ,116-103,H. Jones makes 2-pt dunk from 2 ft (assist by D. Daniels),,4,116,103,13,2728.0
2:08.0,T. Young misses 2-pt jump shot from 8 ft,116-103, ,,4,116,103,13,2752.0
2:06.0, ,116-103,Defensive rebound by B. Ingram,,4,116,103,13,2754.0
2:00.0, ,116-103,H. Jones misses 2-pt layup from 7 ft,,4,116,103,13,2760.0
1:58.0,Defensive rebound by C. Capela,116-103, ,,4,116,103,13,2762.0
1:45.0,D. Murray misses 2-pt jump shot from 5 ft,116-103, ,,4,116,103,13,2775.0
1:44.0,Offensive rebound by C. Capela,116-103, ,,4,116,103,13,2776.0
1:44.0,C. Capela misses 2-pt layup at rim,116-103, ,,4,116,103,13,2776.0
1:41.0,Offensive rebound by J. Johnson,116-103, ,,4,116,103,13,2779.0
1:37.0,J. Johnson makes 2-pt layup at rim,118-103, ,,4,118,103,15,2783.0
1:28.0, ,118-103,B. Ingram misses 3-pt jump shot from 26 ft,,4,118,103,15,2792.0
1:26.0,Defensive rebound by J. Johnson,118-103, ,,4,118,103,15,2794.0
1:13.0,C. Capela makes 2-pt layup from 3 ft (assist by J. Johnson),120-103, ,,4,120,103,17,2807.0
1:13.0, ,120-103,New Orleans full timeout,,4,120,103,17,2807.0
1:13.0, ,120-103,J. Hawkins enters the game for B. Ingram,,4,120,103,17,2807.0
1:13.0, ,120-103,K. Lewis enters the game for H. Jones,,4,120,103,17,2807.0
1:13.0, ,120-103,E. Liddell enters the game for C. McCollum,,4,120,103,17,2807.0
1:13.0, ,120-103,M. Ryan enters the game for Z. Williamson,,4,120,103,17,2807.0
1:03.0, ,120-103,J. Hawkins misses 2-pt layup from 7 ft,,4,120,103,17,2817.0
1:03.0, ,120-103,Offensive rebound by M. Ryan,,4,120,103,17,2817.0
1:03.0, ,120-103,Shooting foul by C. Capela (drawn by M. Ryan),,4,120,103,17,2817.0
1:03.0, ,120-104,M. Ryan makes free throw 1 of 2,,4,120,104,16,2817.0
1:03.0, ,120-105,M. Ryan makes free throw 2 of 2,,4,120,105,15,2817.0
0:41.0,D. Murray makes 3-pt jump shot from 23 ft (assist by D. Hunter),123-105, ,,4,123,105,18,2839.0
0:30.0, ,123-105,K. Lewis misses 3-pt jump shot from 24 ft,,4,123,105,18,2850.0
0:27.0,Defensive rebound by J. Johnson,123-105, ,,4,123,105,18,2853.0
0:04.0,Turnover by Team (shot clock),123-105, ,,4,123,105,18,2876.0
0:00.0,End of 4th quarter,123-105,,,4,123,105,18,2880.0
