Time,Atlanta,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:44.0,B. Bogdanović misses 2-pt layup from 2 ft,14-18, ,,1,14,18,-4,376.0
5:43.0,Offensive rebound by S. Bey,14-18, ,,1,14,18,-4,377.0
5:41.0,S. Bey makes 2-pt layup from 4 ft,16-18, ,,1,16,18,-2,379.0
5:29.0, ,16-18,Z. Williamson misses 2-pt layup from 2 ft,,1,16,18,-2,391.0
5:29.0,Defensive rebound by C. Capela,16-18, ,,1,16,18,-2,391.0
5:21.0,S. Bey makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),19-18, ,Lead change,1,19,18,1,399.0
5:12.0, ,19-18,New Orleans full timeout,,1,19,18,1,408.0
5:12.0,O. Okongwu enters the game for C. Capela,19-18, ,,1,19,18,1,408.0
5:12.0, ,19-18,J. Hawkins enters the game for C. McCollum,,1,19,18,1,408.0
5:12.0, ,19-18,K. Lewis enters the game for J. Valančiūnas,,1,19,18,1,408.0
5:12.0, ,19-18,L. Nance enters the game for Z. Williamson,,1,19,18,1,408.0
4:58.0, ,19-20,H. Jones makes 2-pt layup from 2 ft (assist by K. Lewis),Lead change,1,19,20,-1,422.0
4:45.0,B. Bogdanović misses 3-pt jump shot from 25 ft,19-20, ,,1,19,20,-1,435.0
4:42.0, ,19-20,Defensive rebound by B. Ingram,,1,19,20,-1,438.0
4:28.0, ,19-20,J. Hawkins misses 2-pt jump shot from 19 ft,,1,19,20,-1,452.0
4:25.0,Defensive rebound by B. Bogdanović,19-20, ,,1,19,20,-1,455.0
4:18.0,B. Bogdanović misses 3-pt jump shot from 26 ft,19-20, ,,1,19,20,-1,462.0
4:15.0,Offensive rebound by D. Murray,19-20, ,,1,19,20,-1,465.0
4:11.0,B. Bogdanović misses 3-pt jump shot from 27 ft,19-20, ,,1,19,20,-1,469.0
4:08.0, ,19-20,Defensive rebound by J. Hawkins,,1,19,20,-1,472.0
3:56.0, ,19-23,H. Jones makes 3-pt jump shot from 24 ft (assist by K. Lewis),,1,19,23,-4,484.0
3:42.0,D. Murray makes 2-pt jump shot from 6 ft,21-23, ,,1,21,23,-2,498.0
3:37.0, ,21-23,Personal foul by D. Murray (drawn by B. Ingram),,1,21,23,-2,503.0
3:37.0,G. Mathews enters the game for J. Johnson,21-23, ,,1,21,23,-2,503.0
3:37.0,T. Young enters the game for D. Murray,21-23, ,,1,21,23,-2,503.0
3:37.0, ,21-23,D. Daniels enters the game for H. Jones,,1,21,23,-2,503.0
3:28.0, ,21-26,J. Hawkins makes 3-pt jump shot from 25 ft (assist by B. Ingram),,1,21,26,-5,512.0
3:18.0,Turnover by T. Young (bad pass; steal by K. Lewis),21-26, ,,1,21,26,-5,522.0
3:15.0, ,21-28,L. Nance makes 2-pt dunk from 1 ft (assist by K. Lewis),,1,21,28,-7,525.0
2:46.0,B. Bogdanović misses 3-pt jump shot from 25 ft,21-28, ,,1,21,28,-7,554.0
2:44.0,Offensive rebound by S. Bey,21-28, ,,1,21,28,-7,556.0
2:42.0,S. Bey misses 2-pt layup from 3 ft (block by B. Ingram),21-28, ,,1,21,28,-7,558.0
2:41.0, ,21-28,Defensive rebound by L. Nance,,1,21,28,-7,559.0
2:36.0, ,21-28,J. Hawkins misses 3-pt jump shot from 23 ft,,1,21,28,-7,564.0
2:32.0,Defensive rebound by O. Okongwu,21-28, ,,1,21,28,-7,568.0
2:20.0,Shooting foul by J. Hawkins (drawn by O. Okongwu),21-28, ,,1,21,28,-7,580.0
2:20.0,O. Okongwu misses free throw 1 of 2,21-28, ,,1,21,28,-7,580.0
2:20.0,Offensive rebound by Team,21-28, ,,1,21,28,-7,580.0
2:20.0, ,21-28,Z. Williamson enters the game for B. Ingram,,1,21,28,-7,580.0
2:20.0,O. Okongwu makes free throw 2 of 2,22-28, ,,1,22,28,-6,580.0
2:01.0, ,22-30,D. Daniels makes 2-pt jump shot from 8 ft,,1,22,30,-8,599.0
1:53.0,S. Bey makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),25-30, ,,1,25,30,-5,607.0
1:33.0, ,25-30,L. Nance misses 3-pt jump shot from 23 ft,,1,25,30,-5,627.0
1:30.0, ,25-30,Offensive rebound by L. Nance,,1,25,30,-5,630.0
1:25.0, ,25-33,J. Hawkins makes 3-pt jump shot from 23 ft (assist by L. Nance),,1,25,33,-8,635.0
1:17.0,T. Young misses 3-pt jump shot from 26 ft,25-33, ,,1,25,33,-8,643.0
1:13.0,Offensive rebound by S. Bey,25-33, ,,1,25,33,-8,647.0
1:05.0,T. Young misses 2-pt jump shot from 8 ft,25-33, ,,1,25,33,-8,655.0
1:00.0, ,25-33,Defensive rebound by L. Nance,,1,25,33,-8,660.0
0:54.0, ,25-33,Personal foul by G. Mathews (drawn by L. Nance),,1,25,33,-8,666.0
0:47.0, ,25-33,K. Lewis misses 3-pt jump shot from 25 ft,,1,25,33,-8,673.0
0:43.0,Defensive rebound by S. Bey,25-33, ,,1,25,33,-8,677.0
0:38.0,S. Bey makes 2-pt layup from 6 ft,27-33, ,,1,27,33,-6,682.0
0:38.0, ,27-33,Violation by Team (def goaltending),,1,27,33,-6,682.0
0:31.0,Violation by Team (kicked ball),27-33, ,,1,27,33,-6,689.0
0:26.0, ,27-33,Personal foul by S. Bey (drawn by L. Nance),,1,27,33,-6,694.0
0:26.0, ,27-34,L. Nance makes free throw 1 of 2,,1,27,34,-7,694.0
0:26.0, ,27-34,H. Jones enters the game for Z. Williamson,,1,27,34,-7,694.0
0:26.0, ,27-35,L. Nance makes free throw 2 of 2,,1,27,35,-8,694.0
0:02.0,S. Bey misses 3-pt jump shot from 28 ft,27-35, ,,1,27,35,-8,718.0
0:02.0, ,27-35,Defensive rebound by J. Hawkins,,1,27,35,-8,718.0
0:00.0,End of 1st quarter,27-35,,,1,27,35,-8,720.0
12:00.0,Start of 2nd quarter,27-35,,,2,27,35,-8,720.0
11:45.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),30-35, ,,2,30,35,-5,735.0
11:16.0, ,30-35,C. McCollum misses 3-pt jump shot from 23 ft (block by B. Bogdanović),,2,30,35,-5,764.0
11:12.0,Defensive rebound by O. Okongwu,30-35, ,,2,30,35,-5,768.0
11:03.0,Offensive foul by J. Johnson (drawn by J. Hawkins),30-35, ,,2,30,35,-5,777.0
11:03.0,Turnover by J. Johnson (offensive foul),30-35, ,,2,30,35,-5,777.0
10:53.0, ,30-35,Turnover by M. Ryan (bad pass; steal by B. Bogdanović),,2,30,35,-5,787.0
10:48.0,B. Bogdanović makes 2-pt dunk from 2 ft,32-35, ,,2,32,35,-3,792.0
10:33.0, ,32-37,M. Ryan makes 2-pt jump shot from 10 ft (assist by C. McCollum),,2,32,37,-5,807.0
10:24.0,S. Bey misses 3-pt jump shot from 25 ft,32-37, ,,2,32,37,-5,816.0
10:21.0,Offensive rebound by B. Bogdanović,32-37, ,,2,32,37,-5,819.0
10:13.0,Turnover by T. Young (bad pass; steal by H. Jones),32-37, ,,2,32,37,-5,827.0
10:08.0, ,32-37,J. Hawkins misses 3-pt jump shot from 27 ft,,2,32,37,-5,832.0
10:05.0,Defensive rebound by J. Johnson,32-37, ,,2,32,37,-5,835.0
9:59.0,J. Johnson misses 2-pt jump shot from 6 ft,32-37, ,,2,32,37,-5,841.0
9:58.0,Offensive rebound by O. Okongwu,32-37, ,,2,32,37,-5,842.0
9:58.0,O. Okongwu misses 2-pt layup from 2 ft (block by H. Jones),32-37, ,,2,32,37,-5,842.0
9:57.0, ,32-37,Defensive rebound by H. Jones,,2,32,37,-5,843.0
9:42.0, ,32-37,J. Valančiūnas misses 2-pt hook shot from 5 ft (block by O. Okongwu),,2,32,37,-5,858.0
9:41.0,Defensive rebound by O. Okongwu,32-37, ,,2,32,37,-5,859.0
9:30.0,J. Johnson misses 2-pt jump shot from 11 ft (block by C. McCollum),32-37, ,,2,32,37,-5,870.0
9:27.0, ,32-37,Defensive rebound by C. McCollum,,2,32,37,-5,873.0
9:23.0, ,32-37,J. Valančiūnas misses 2-pt layup from 2 ft,,2,32,37,-5,877.0
9:18.0, ,32-37,Offensive rebound by J. Valančiūnas,,2,32,37,-5,882.0
9:18.0, ,32-39,J. Valančiūnas makes 2-pt layup at rim,,2,32,39,-7,882.0
9:00.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),35-39, ,,2,35,39,-4,900.0
8:42.0, ,35-41,C. McCollum makes 2-pt jump shot from 15 ft,,2,35,41,-6,918.0
8:42.0, ,35-41,Shooting foul by T. Young (drawn by C. McCollum),,2,35,41,-6,918.0
8:42.0,D. Hunter enters the game for S. Bey,35-41, ,,2,35,41,-6,918.0
8:42.0, ,35-41,C. McCollum misses free throw 1 of 1,,2,35,41,-6,918.0
8:40.0,Defensive rebound by O. Okongwu,35-41, ,,2,35,41,-6,920.0
8:30.0,Shooting foul by M. Ryan (drawn by O. Okongwu),35-41, ,,2,35,41,-6,930.0
8:30.0,O. Okongwu makes free throw 1 of 2,36-41, ,,2,36,41,-5,930.0
8:30.0,O. Okongwu makes free throw 2 of 2,37-41, ,,2,37,41,-4,930.0
8:14.0, ,37-41,M. Ryan misses 3-pt jump shot from 25 ft,,2,37,41,-4,946.0
8:12.0, ,37-41,Offensive rebound by H. Jones,,2,37,41,-4,948.0
8:10.0, ,37-41,C. McCollum misses 3-pt jump shot from 25 ft,,2,37,41,-4,950.0
8:07.0, ,37-41,Offensive rebound by J. Valančiūnas,,2,37,41,-4,953.0
8:05.0, ,37-41,Turnover by J. Valančiūnas (lost ball; steal by O. Okongwu),,2,37,41,-4,955.0
7:58.0,J. Johnson misses 2-pt layup from 4 ft,37-41, ,,2,37,41,-4,962.0
