Time,Toronto,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:05.0, ,34-36,Turnover by J. Johnson (lost ball; steal by D. Schröder),,2,36,34,2,835.0
10:00.0,J. Nwora makes 3-pt jump shot from 24 ft (assist by D. Schröder),37-36, ,Lead change,2,36,37,-1,840.0
9:58.0, ,37-36,Atlanta full timeout,,2,36,37,-1,842.0
9:40.0, ,37-36,T. Young misses 3-pt jump shot from 26 ft,,2,36,37,-1,860.0
9:37.0, ,37-36,Offensive rebound by O. Okongwu,,2,36,37,-1,863.0
9:33.0, ,37-36,O. Okongwu misses 2-pt hook shot from 5 ft,,2,36,37,-1,867.0
9:31.0,Defensive rebound by C. Boucher,37-36, ,,2,36,37,-1,869.0
9:18.0,Turnover by D. Schröder (bad pass; steal by J. Johnson),37-36, ,,2,36,37,-1,882.0
9:14.0, ,37-36,T. Young misses 2-pt jump shot from 7 ft,,2,36,37,-1,886.0
9:12.0,Defensive rebound by J. Porter,37-36, ,,2,36,37,-1,888.0
9:07.0,G. Dick makes 3-pt jump shot from 22 ft (assist by J. Porter),40-36, ,,2,36,40,-4,893.0
8:49.0, ,40-36,G. Mathews misses 3-pt jump shot from 25 ft,,2,36,40,-4,911.0
8:47.0, ,40-36,Offensive rebound by P. Mills,,2,36,40,-4,913.0
8:47.0, ,40-36,Personal foul by J. Porter (drawn by P. Mills),,2,36,40,-4,913.0
8:47.0,S. Barnes enters the game for D. Schröder,40-36, ,,2,36,40,-4,913.0
8:47.0, ,40-36,S. Bey enters the game for J. Johnson,,2,36,40,-4,913.0
8:47.0, ,40-36,B. Bogdanović enters the game for P. Mills,,2,36,40,-4,913.0
8:47.0, ,40-36,T. Forrest enters the game for T. Young,,2,36,40,-4,913.0
8:36.0, ,40-36,Shooting foul by C. Boucher (drawn by S. Bey),,2,36,40,-4,924.0
8:36.0, ,40-37,S. Bey makes free throw 1 of 2,,2,37,40,-3,924.0
8:36.0, ,40-37,S. Bey misses free throw 2 of 2,,2,37,40,-3,924.0
8:33.0,Defensive rebound by J. Porter,40-37, ,,2,37,40,-3,927.0
8:27.0,G. Dick misses 3-pt jump shot from 26 ft,40-37, ,,2,37,40,-3,933.0
8:25.0,Offensive rebound by J. Porter,40-37, ,,2,37,40,-3,935.0
8:25.0,J. Porter misses 2-pt layup at rim,40-37, ,,2,37,40,-3,935.0
8:24.0,Offensive rebound by J. Porter,40-37, ,,2,37,40,-3,936.0
8:24.0,Shooting foul by T. Forrest (drawn by J. Porter),40-37, ,,2,37,40,-3,936.0
8:24.0,J. Porter misses free throw 1 of 2,40-37, ,,2,37,40,-3,936.0
8:24.0,Offensive rebound by Team,40-37, ,,2,37,40,-3,936.0
8:24.0,J. Porter makes free throw 2 of 2,41-37, ,,2,37,41,-4,936.0
8:16.0, ,41-37,Offensive foul by B. Bogdanović (drawn by C. Boucher),,2,37,41,-4,944.0
8:16.0, ,41-37,Turnover by B. Bogdanović (offensive foul),,2,37,41,-4,944.0
8:16.0,T. Young enters the game for J. Porter,41-37, ,,2,37,41,-4,944.0
8:03.0,J. Nwora makes 3-pt jump shot from 26 ft,44-37, ,,2,37,44,-7,957.0
7:33.0, ,44-39,O. Okongwu makes 2-pt dunk at rim (assist by T. Forrest),,2,39,44,-5,987.0
