Time,Portland,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:06.0,M. Brown enters the game for S. Henderson,21-20, ,,1,20,21,-1,534.0
3:06.0,A. Hagans enters the game for K. Murray,21-20, ,,1,20,21,-1,534.0
3:06.0,J. Walker enters the game for D. Reath,21-20, ,,1,20,21,-1,534.0
3:06.0, ,21-21,G. Mathews makes free throw 3 of 3,Tie,1,21,21,0,534.0
2:56.0,J. Walker misses 2-pt jump shot from 8 ft,21-21, ,,1,21,21,0,544.0
2:53.0, ,21-21,Defensive rebound by B. Fernando,,1,21,21,0,547.0
2:45.0, ,21-21,Turnover by V. Krejci (bad pass; steal by D. Banton),,1,21,21,0,555.0
2:37.0,J. Walker misses 2-pt layup from 4 ft,21-21, ,,1,21,21,0,563.0
2:34.0, ,21-21,Defensive rebound by G. Mathews,,1,21,21,0,566.0
2:34.0, ,21-21,Turnover by G. Mathews (out of bounds lost ball),,1,21,21,0,566.0
2:34.0,Portland full timeout,21-21, ,,1,21,21,0,566.0
2:34.0,R. Rupert enters the game for T. Camara,21-21, ,,1,21,21,0,566.0
2:34.0, ,21-21,B. Bogdanović enters the game for D. Hunter,,1,21,21,0,566.0
2:34.0, ,21-21,T. Forrest enters the game for V. Krejci,,1,21,21,0,566.0
2:34.0, ,21-21,D. Windler enters the game for D. Murray,,1,21,21,0,566.0
2:22.0,M. Brown misses 2-pt layup from 2 ft,21-21, ,,1,21,21,0,578.0
2:19.0, ,21-21,Defensive rebound by B. Bogdanović,,1,21,21,0,581.0
2:15.0, ,21-24,B. Bogdanović makes 3-pt jump shot from 25 ft,Lead change,1,24,21,3,585.0
2:04.0,D. Banton makes 3-pt jump shot from 26 ft (assist by R. Rupert),24-24, ,Tie,1,24,24,0,596.0
1:41.0, ,24-24,G. Mathews misses 2-pt jump shot from 11 ft,,1,24,24,0,619.0
1:39.0,Defensive rebound by D. Banton,24-24, ,,1,24,24,0,621.0
1:34.0,D. Banton misses 3-pt jump shot from 26 ft,24-24, ,,1,24,24,0,626.0
1:33.0, ,24-24,Defensive rebound by Team,,1,24,24,0,627.0
1:15.0, ,24-24,T. Forrest misses 2-pt layup from 5 ft (block by M. Brown),,1,24,24,0,645.0
1:11.0,Defensive rebound by R. Rupert,24-24, ,,1,24,24,0,649.0
1:10.0,J. Walker makes 2-pt dunk from 1 ft (assist by R. Rupert),26-24, ,Lead change,1,24,26,-2,650.0
0:56.0, ,26-26,B. Bogdanović makes 2-pt jump shot from 11 ft,Tie,1,26,26,0,664.0
0:36.0,A. Hagans makes 3-pt jump shot from 26 ft (assist by D. Banton),29-26, ,,1,26,29,-3,684.0
0:30.0, ,29-26,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,26,29,-3,690.0
0:27.0,Defensive rebound by J. Walker,29-26, ,,1,26,29,-3,693.0
0:05.0,D. Banton misses 3-pt jump shot from 26 ft,29-26, ,,1,26,29,-3,715.0
0:02.0, ,29-26,Defensive rebound by T. Forrest,,1,26,29,-3,718.0
0:00.0,End of 1st quarter,29-26,,,1,26,29,-3,720.0
12:00.0,Start of 2nd quarter,29-26,,,2,26,29,-3,720.0
11:48.0,Turnover by A. Hagans (lost ball; steal by B. Fernando),29-26, ,,2,26,29,-3,732.0
11:48.0,Jump ball: B. Fernando vs. A. Hagans (G. Mathews gains possession),29-26,,,2,26,29,-3,732.0
11:32.0, ,29-26,Shooting foul by A. Hagans (drawn by T. Forrest),,2,26,29,-3,748.0
11:32.0, ,29-27,T. Forrest makes free throw 1 of 2,,2,27,29,-2,748.0
11:32.0, ,29-28,T. Forrest makes free throw 2 of 2,,2,28,29,-1,748.0
11:19.0,A. Hagans misses 2-pt jump shot from 8 ft,29-28, ,,2,28,29,-1,761.0
11:15.0, ,29-28,Defensive rebound by B. Fernando,,2,28,29,-1,765.0
11:05.0, ,29-28,B. Fernando misses 2-pt hook shot from 4 ft,,2,28,29,-1,775.0
11:03.0, ,29-28,Offensive rebound by B. Fernando,,2,28,29,-1,777.0
11:03.0, ,29-28,Shooting foul by M. Brown (drawn by B. Fernando),,2,28,29,-1,777.0
11:03.0, ,29-28,B. Fernando misses free throw 1 of 2,,2,28,29,-1,777.0
11:03.0, ,29-28,Offensive rebound by Team,,2,28,29,-1,777.0
11:03.0, ,29-29,B. Fernando makes free throw 2 of 2,Tie,2,29,29,0,777.0
10:52.0,Turnover by A. Hagans (bad pass; steal by B. Bogdanović),29-29, ,,2,29,29,0,788.0
10:44.0, ,29-32,G. Mathews makes 3-pt jump shot from 26 ft (assist by T. Forrest),Lead change,2,32,29,3,796.0
10:36.0,M. Brown makes 2-pt layup from 1 ft (assist by J. Walker),31-32, ,,2,32,31,1,804.0
10:36.0,Shooting foul by B. Fernando (drawn by M. Brown),31-32, ,,2,32,31,1,804.0
10:36.0,M. Brown misses free throw 1 of 1,31-32, ,,2,32,31,1,804.0
10:34.0, ,31-32,Defensive rebound by D. Windler,,2,32,31,1,806.0
10:21.0, ,31-32,Turnover by B. Fernando (lost ball; steal by M. Brown),,2,32,31,1,819.0
10:15.0,J. Walker misses 2-pt layup from 5 ft (block by B. Fernando),31-32, ,,2,32,31,1,825.0
10:11.0, ,31-32,Defensive rebound by B. Fernando,,2,32,31,1,829.0
10:07.0, ,31-35,D. Windler makes 3-pt jump shot from 22 ft (assist by G. Mathews),,2,35,31,4,833.0
10:05.0,Portland full timeout,31-35, ,,2,35,31,4,835.0
10:05.0,T. Camara enters the game for J. Walker,31-35, ,,2,35,31,4,835.0
9:41.0,A. Hagans misses 2-pt jump shot from 10 ft,31-35, ,,2,35,31,4,859.0
9:40.0,Offensive rebound by Team,31-35, ,,2,35,31,4,860.0
9:37.0,D. Banton makes 2-pt layup from 1 ft (assist by A. Hagans),33-35, ,,2,35,33,2,863.0
9:23.0, ,33-35,Personal foul by R. Rupert (drawn by B. Bogdanović),,2,35,33,2,877.0
9:15.0, ,33-37,B. Fernando makes 2-pt dunk at rim (assist by T. Forrest),,2,37,33,4,885.0
9:15.0, ,33-37,Shooting foul by R. Rupert (drawn by B. Fernando),,2,37,33,4,885.0
9:15.0, ,33-37,D. Murray enters the game for B. Bogdanović,,2,37,33,4,885.0
9:15.0, ,33-38,B. Fernando makes free throw 1 of 1,,2,38,33,5,885.0
9:07.0,D. Banton makes 2-pt layup from 1 ft (assist by A. Hagans),35-38, ,,2,38,35,3,893.0
8:57.0, ,35-40,D. Windler makes 2-pt layup from 1 ft (assist by B. Fernando),,2,40,35,5,903.0
8:38.0,D. Banton makes 3-pt jump shot from 25 ft (assist by R. Rupert),38-40, ,,2,40,38,2,922.0
8:38.0,S. Henderson enters the game for A. Hagans,38-40, ,,2,40,38,2,922.0
8:16.0, ,38-40,T. Forrest misses 2-pt layup from 1 ft,,2,40,38,2,944.0
8:14.0,Defensive rebound by Team,38-40, ,,2,40,38,2,946.0
8:14.0, ,38-40,Loose ball foul by B. Fernando (drawn by S. Henderson),,2,40,38,2,946.0
8:03.0,M. Brown makes 2-pt layup from 1 ft (assist by S. Henderson),40-40, ,Tie,2,40,40,0,957.0
7:54.0, ,40-43,D. Windler makes 3-pt jump shot from 25 ft,,2,43,40,3,966.0
7:43.0,S. Henderson makes 2-pt layup from 1 ft,42-43, ,,2,43,42,1,977.0
7:43.0,Shooting foul by G. Mathews (drawn by S. Henderson),42-43, ,,2,43,42,1,977.0
7:43.0,S. Henderson makes free throw 1 of 1,43-43, ,Tie,2,43,43,0,977.0
7:32.0, ,43-46,D. Windler makes 3-pt jump shot from 23 ft (assist by T. Forrest),,2,46,43,3,988.0
7:23.0,S. Henderson makes 3-pt jump shot from 26 ft,46-46, ,Tie,2,46,46,0,997.0
7:08.0, ,46-46,Turnover by B. Fernando (bad pass; steal by S. Henderson),,2,46,46,0,1012.0
7:03.0,S. Henderson misses 2-pt layup from 1 ft,46-46, ,,2,46,46,0,1017.0
7:01.0,Offensive rebound by M. Brown,46-46, ,,2,46,46,0,1019.0
7:01.0,Shooting foul by G. Mathews (drawn by M. Brown),46-46, ,,2,46,46,0,1019.0
7:01.0,M. Brown makes free throw 1 of 2,47-46, ,Lead change,2,46,47,-1,1019.0
7:01.0,K. Murray enters the game for R. Rupert,47-46, ,,2,46,47,-1,1019.0
7:01.0, ,47-46,C. Capela enters the game for B. Fernando,,2,46,47,-1,1019.0
7:01.0, ,47-46,V. Krejci enters the game for G. Mathews,,2,46,47,-1,1019.0
7:01.0,M. Brown misses free throw 2 of 2,47-46, ,,2,46,47,-1,1019.0
6:59.0, ,47-46,Defensive rebound by T. Forrest,,2,46,47,-1,1021.0
6:47.0, ,47-46,Turnover by D. Murray (lost ball; steal by K. Murray),,2,46,47,-1,1033.0
6:43.0,K. Murray misses 2-pt layup from 2 ft (block by D. Murray),47-46, ,,2,46,47,-1,1037.0
6:43.0,Offensive rebound by Team,47-46, ,,2,46,47,-1,1037.0
6:43.0,D. Reath enters the game for M. Brown,47-46, ,,2,46,47,-1,1037.0
6:41.0,D. Banton makes 2-pt layup from 1 ft (assist by S. Henderson),49-46, ,,2,46,49,-3,1039.0
6:28.0, ,49-46,Shooting foul by D. Reath (drawn by C. Capela),,2,46,49,-3,1052.0
6:28.0, ,49-47,C. Capela makes free throw 1 of 2,,2,47,49,-2,1052.0
6:28.0, ,49-47,B. Bogdanović enters the game for T. Forrest,,2,47,49,-2,1052.0
6:28.0, ,49-47,D. Hunter enters the game for D. Windler,,2,47,49,-2,1052.0
6:28.0, ,49-48,C. Capela makes free throw 2 of 2,,2,48,49,-1,1052.0
6:15.0,Turnover by S. Henderson (lost ball; steal by C. Capela),49-48, ,,2,48,49,-1,1065.0
6:09.0, ,49-48,D. Murray misses 3-pt jump shot from 25 ft,,2,48,49,-1,1071.0
6:05.0, ,49-48,Offensive rebound by V. Krejci,,2,48,49,-1,1075.0
5:57.0, ,49-48,D. Hunter misses 3-pt jump shot from 24 ft,,2,48,49,-1,1083.0
5:56.0, ,49-48,Offensive rebound by Team,,2,48,49,-1,1084.0
5:53.0, ,49-51,D. Murray makes 3-pt jump shot from 24 ft (assist by C. Capela),Lead change,2,51,49,2,1087.0
5:33.0,D. Banton misses 2-pt layup from 1 ft,49-51, ,,2,51,49,2,1107.0
5:31.0, ,49-51,Defensive rebound by C. Capela,,2,51,49,2,1109.0
5:19.0, ,49-51,D. Hunter misses 2-pt jump shot from 18 ft,,2,51,49,2,1121.0
5:16.0,Defensive rebound by K. Murray,49-51, ,,2,51,49,2,1124.0
5:08.0,Turnover by D. Banton (bad pass; steal by C. Capela),49-51, ,,2,51,49,2,1132.0
5:00.0, ,49-51,Turnover by D. Hunter (bad pass; steal by D. Banton),,2,51,49,2,1140.0
4:43.0,S. Henderson misses 2-pt jump shot from 6 ft (block by V. Krejci),49-51, ,,2,51,49,2,1157.0
4:40.0, ,49-51,Defensive rebound by D. Murray,,2,51,49,2,1160.0
4:38.0, ,49-51,D. Murray misses 2-pt layup from 1 ft,,2,51,49,2,1162.0
4:36.0,Defensive rebound by Team,49-51, ,,2,51,49,2,1164.0
4:15.0,D. Reath makes 2-pt jump shot from 13 ft (assist by S. Henderson),51-51, ,Tie,2,51,51,0,1185.0
4:04.0, ,51-51,Atlanta full timeout,,2,51,51,0,1196.0
3:53.0, ,51-54,D. Murray makes 3-pt jump shot from 22 ft (assist by V. Krejci),,2,54,51,3,1207.0
3:29.0,D. Reath misses 3-pt jump shot from 25 ft,51-54, ,,2,54,51,3,1231.0
3:25.0, ,51-54,Defensive rebound by V. Krejci,,2,54,51,3,1235.0
3:16.0, ,51-57,V. Krejci makes 3-pt jump shot from 25 ft (assist by D. Murray),,2,57,51,6,1244.0
3:01.0,K. Murray misses 3-pt jump shot from 22 ft,51-57, ,,2,57,51,6,1259.0
2:56.0, ,51-57,Defensive rebound by D. Hunter,,2,57,51,6,1264.0
2:52.0, ,51-57,Offensive foul by D. Hunter (drawn by T. Camara),,2,57,51,6,1268.0
2:52.0, ,51-57,Turnover by D. Hunter (offensive foul),,2,57,51,6,1268.0
2:40.0,D. Reath makes 2-pt layup from 7 ft (assist by D. Banton),53-57, ,,2,57,53,4,1280.0
2:26.0, ,53-57,Personal foul by S. Henderson (drawn by D. Hunter),,2,57,53,4,1294.0
2:26.0, ,53-58,D. Hunter makes free throw 1 of 2,,2,58,53,5,1294.0
2:26.0,A. Hagans enters the game for S. Henderson,53-58, ,,2,58,53,5,1294.0
2:26.0, ,53-59,D. Hunter makes free throw 2 of 2,,2,59,53,6,1294.0
2:13.0,T. Camara makes 2-pt dunk at rim (assist by D. Banton),55-59, ,,2,59,55,4,1307.0
2:00.0, ,55-59,B. Bogdanović misses 2-pt jump shot from 12 ft,,2,59,55,4,1320.0
1:59.0,Defensive rebound by D. Reath,55-59, ,,2,59,55,4,1321.0
1:46.0,Turnover by D. Banton (bad pass; steal by B. Bogdanović),55-59, ,,2,59,55,4,1334.0
1:39.0, ,55-61,D. Hunter makes 2-pt layup from 1 ft (assist by B. Bogdanović),,2,61,55,6,1341.0
1:16.0,Turnover by D. Reath (lost ball; steal by C. Capela),55-61, ,,2,61,55,6,1364.0
1:10.0, ,55-63,C. Capela makes 2-pt dunk at rim (assist by B. Bogdanović),,2,63,55,8,1370.0
1:10.0,Portland full timeout,55-63, ,,2,63,55,8,1370.0
0:56.0,D. Banton makes 3-pt jump shot from 26 ft (assist by K. Murray),58-63, ,,2,63,58,5,1384.0
0:45.0, ,58-63,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,63,58,5,1395.0
0:42.0, ,58-63,Offensive rebound by B. Bogdanović,,2,63,58,5,1398.0
0:41.0, ,58-63,B. Bogdanović misses 2-pt layup from 1 ft,,2,63,58,5,1399.0
0:38.0, ,58-63,Offensive rebound by B. Bogdanović,,2,63,58,5,1402.0
0:35.0, ,58-63,B. Bogdanović misses 3-pt jump shot from 23 ft,,2,63,58,5,1405.0
0:31.0,Defensive rebound by D. Reath,58-63, ,,2,63,58,5,1409.0
0:12.0,D. Banton misses 3-pt jump shot from 25 ft,58-63, ,,2,63,58,5,1428.0
0:09.0, ,58-63,Defensive rebound by C. Capela,,2,63,58,5,1431.0
0:01.0, ,58-65,B. Bogdanović makes 2-pt jump shot from 6 ft,,2,65,58,7,1439.0
0:00.0,End of 2nd quarter,58-65,,,2,65,58,7,1440.0
12:00.0,Start of 3rd quarter,58-65,,,3,65,58,7,1440.0
11:42.0,R. Rupert makes 2-pt layup from 1 ft (assist by S. Henderson),60-65, ,,3,65,60,5,1458.0
11:23.0, ,60-67,B. Bogdanović makes 2-pt jump shot from 13 ft (assist by D. Murray),,3,67,60,7,1477.0
11:06.0,T. Camara misses 2-pt layup from 2 ft,60-67, ,,3,67,60,7,1494.0
11:04.0, ,60-67,Defensive rebound by C. Capela,,3,67,60,7,1496.0
10:53.0, ,60-67,Shooting foul by T. Camara (drawn by C. Capela),,3,67,60,7,1507.0
10:53.0, ,60-67,C. Capela misses free throw 1 of 2,,3,67,60,7,1507.0
