Time,Portland,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:07.0, ,79-91,Personal foul by R. Rupert (drawn by D. Hunter),,3,91,79,12,1973.0
2:56.0, ,79-94,G. Mathews makes 3-pt jump shot from 25 ft (assist by D. Murray),,3,94,79,15,1984.0
2:56.0, ,79-94,Shooting foul by J. Walker (drawn by G. Mathews),,3,94,79,15,1984.0
2:56.0, ,79-94,T. Forrest enters the game for D. Hunter,,3,94,79,15,1984.0
2:56.0, ,79-94,D. Windler enters the game for D. Murray,,3,94,79,15,1984.0
2:56.0, ,79-95,G. Mathews makes free throw 1 of 1,,3,95,79,16,1984.0
2:45.0,M. Brown makes 2-pt dunk at rim (assist by D. Banton),81-95, ,,3,95,81,14,1995.0
2:25.0, ,81-97,B. Bogdanović makes 2-pt jump shot from 11 ft,,3,97,81,16,2015.0
2:12.0,A. Hagans makes 3-pt jump shot from 26 ft (assist by D. Banton),84-97, ,,3,97,84,13,2028.0
1:59.0, ,84-97,Def 3 sec tech foul by Team,,3,97,84,13,2041.0
1:59.0, ,84-98,G. Mathews makes technical free throw,,3,98,84,14,2041.0
1:44.0, ,84-98,B. Fernando misses 2-pt layup from 3 ft,,3,98,84,14,2056.0
1:40.0,Defensive rebound by A. Hagans,84-98, ,,3,98,84,14,2060.0
1:38.0,Turnover by A. Hagans (bad pass; steal by B. Bogdanović),84-98, ,,3,98,84,14,2062.0
1:17.0, ,84-100,B. Bogdanović makes 2-pt jump shot from 12 ft,,3,100,84,16,2083.0
0:57.0,Shooting foul by G. Mathews (drawn by M. Brown),84-100, ,,3,100,84,16,2103.0
0:57.0,M. Brown misses free throw 1 of 2,84-100, ,,3,100,84,16,2103.0
0:57.0,Offensive rebound by Team,84-100, ,,3,100,84,16,2103.0
0:57.0,M. Brown misses free throw 2 of 2,84-100, ,,3,100,84,16,2103.0
0:55.0, ,84-100,Defensive rebound by B. Fernando,,3,100,84,16,2105.0
0:38.0, ,84-100,T. Forrest misses 2-pt jump shot from 4 ft,,3,100,84,16,2122.0
0:36.0, ,84-100,Offensive rebound by B. Fernando,,3,100,84,16,2124.0
0:34.0, ,84-100,D. Windler misses 3-pt jump shot from 25 ft,,3,100,84,16,2126.0
0:31.0,Defensive rebound by J. Walker,84-100, ,,3,100,84,16,2129.0
0:24.0,Personal foul by G. Mathews (drawn by A. Hagans),84-100, ,,3,100,84,16,2136.0
0:24.0,A. Hagans makes free throw 1 of 2,85-100, ,,3,100,85,15,2136.0
0:24.0,T. Camara enters the game for M. Brown,85-100, ,,3,100,85,15,2136.0
0:24.0, ,85-100,D. Murray enters the game for T. Forrest,,3,100,85,15,2136.0
0:24.0,A. Hagans makes free throw 2 of 2,86-100, ,,3,100,86,14,2136.0
0:00.0, ,86-100,B. Bogdanović misses 2-pt jump shot from 12 ft,,3,100,86,14,2160.0
0:00.0, ,86-100,Offensive rebound by Team,,3,100,86,14,2160.0
0:00.0,End of 3rd quarter,86-100,,,3,100,86,14,2160.0
12:00.0,Start of 4th quarter,86-100,,,4,100,86,14,2160.0
11:48.0, ,86-100,Def 3 sec tech foul by Team,,4,100,86,14,2172.0
11:48.0, ,86-101,G. Mathews makes technical free throw,,4,101,86,15,2172.0
11:40.0, ,86-104,G. Mathews makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,4,104,86,18,2180.0
11:22.0,R. Rupert misses 3-pt jump shot from 25 ft,86-104, ,,4,104,86,18,2198.0
11:19.0, ,86-104,Defensive rebound by B. Fernando,,4,104,86,18,2201.0
11:07.0, ,86-104,G. Mathews misses 3-pt jump shot from 24 ft,,4,104,86,18,2213.0
11:03.0,Defensive rebound by J. Walker,86-104, ,,4,104,86,18,2217.0
10:58.0,R. Rupert misses 3-pt jump shot from 23 ft,86-104, ,,4,104,86,18,2222.0
10:57.0, ,86-104,Defensive rebound by Team,,4,104,86,18,2223.0
10:57.0,Loose ball foul by J. Walker (drawn by G. Mathews),86-104, ,,4,104,86,18,2223.0
10:57.0,Instant Replay (Request: Ruling Stands),86-104, ,,4,104,86,18,2223.0
10:57.0,T. Camara enters the game for M. Brown,86-104, ,,4,104,86,18,2223.0
10:57.0,S. Henderson enters the game for A. Hagans,86-104, ,,4,104,86,18,2223.0
10:41.0, ,86-104,G. Mathews misses 2-pt jump shot from 21 ft,,4,104,86,18,2239.0
10:39.0, ,86-104,Offensive rebound by B. Fernando,,4,104,86,18,2241.0
10:37.0, ,86-104,G. Mathews misses 3-pt jump shot from 25 ft,,4,104,86,18,2243.0
10:34.0,Defensive rebound by Team,86-104, ,,4,104,86,18,2246.0
10:22.0,Turnover by S. Henderson (bad pass; steal by D. Windler),86-104, ,,4,104,86,18,2258.0
10:14.0, ,86-104,Offensive foul by B. Fernando (drawn by S. Henderson),,4,104,86,18,2266.0
10:14.0, ,86-104,Turnover by B. Fernando (offensive foul),,4,104,86,18,2266.0
10:00.0,Turnover by D. Banton (bad pass),86-104, ,,4,104,86,18,2280.0
9:46.0, ,86-104,D. Windler misses 3-pt jump shot from 23 ft,,4,104,86,18,2294.0
9:42.0,Defensive rebound by D. Banton,86-104, ,,4,104,86,18,2298.0
9:36.0,D. Banton makes 2-pt layup from 1 ft,88-104, ,,4,104,88,16,2304.0
9:17.0, ,88-107,G. Mathews makes 3-pt jump shot from 24 ft (assist by T. Forrest),,4,107,88,19,2323.0
9:04.0,T. Camara makes 3-pt jump shot from 23 ft (assist by S. Henderson),91-107, ,,4,107,91,16,2336.0
8:51.0, ,91-107,Personal foul by R. Rupert (drawn by B. Fernando),,4,107,91,16,2349.0
8:51.0, ,91-107,D. Murray enters the game for B. Bogdanović,,4,107,91,16,2349.0
8:45.0, ,91-107,G. Mathews misses 3-pt jump shot from 26 ft,,4,107,91,16,2355.0
8:42.0,Defensive rebound by D. Banton,91-107, ,,4,107,91,16,2358.0
8:34.0,D. Banton misses 2-pt layup from 1 ft,91-107, ,,4,107,91,16,2366.0
8:32.0, ,91-107,Defensive rebound by B. Fernando,,4,107,91,16,2368.0
8:16.0, ,91-107,Offensive foul by B. Fernando (drawn by J. Walker),,4,107,91,16,2384.0
8:16.0, ,91-107,Turnover by B. Fernando (offensive foul),,4,107,91,16,2384.0
8:16.0, ,91-107,V. Krejci enters the game for T. Forrest,,4,107,91,16,2384.0
8:05.0,D. Banton misses 3-pt jump shot from 22 ft,91-107, ,,4,107,91,16,2395.0
8:03.0,Offensive rebound by J. Walker,91-107, ,,4,107,91,16,2397.0
8:02.0,Personal foul by G. Mathews (drawn by S. Henderson),91-107, ,,4,107,91,16,2398.0
8:02.0, ,91-107,B. Bogdanović enters the game for G. Mathews,,4,107,91,16,2398.0
7:52.0,S. Henderson makes 3-pt jump shot from 26 ft (assist by D. Banton),94-107, ,,4,107,94,13,2408.0
7:35.0, ,94-109,D. Murray makes 2-pt jump shot from 4 ft,,4,109,94,15,2425.0
7:26.0,Offensive foul by T. Camara (drawn by B. Fernando),94-109, ,,4,109,94,15,2434.0
7:26.0,Turnover by T. Camara (offensive foul),94-109, ,,4,109,94,15,2434.0
7:26.0,D. Reath enters the game for J. Walker,94-109, ,,4,109,94,15,2434.0
7:26.0, ,94-109,C. Capela enters the game for B. Fernando,,4,109,94,15,2434.0
7:26.0, ,94-109,D. Hunter enters the game for D. Windler,,4,109,94,15,2434.0
7:07.0, ,94-109,D. Hunter misses 2-pt dunk from 3 ft (block by R. Rupert),,4,109,94,15,2453.0
7:04.0,Defensive rebound by D. Reath,94-109, ,,4,109,94,15,2456.0
6:54.0,D. Banton makes 2-pt dunk from 1 ft (assist by D. Reath),96-109, ,,4,109,96,13,2466.0
6:54.0, ,96-109,Atlanta full timeout,,4,109,96,13,2466.0
6:54.0,K. Murray enters the game for T. Camara,96-109, ,,4,109,96,13,2466.0
6:31.0, ,96-109,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,109,96,13,2489.0
6:28.0,Defensive rebound by R. Rupert,96-109, ,,4,109,96,13,2492.0
6:22.0,D. Banton makes 2-pt layup from 1 ft,98-109, ,,4,109,98,11,2498.0
5:54.0, ,98-109,D. Hunter misses 3-pt jump shot from 23 ft,,4,109,98,11,2526.0
5:51.0, ,98-109,Offensive rebound by D. Hunter,,4,109,98,11,2529.0
5:42.0, ,98-109,V. Krejci misses 3-pt jump shot from 23 ft,,4,109,98,11,2538.0
5:39.0,Defensive rebound by S. Henderson,98-109, ,,4,109,98,11,2541.0
5:33.0,S. Henderson misses 2-pt layup at rim (block by D. Murray),98-109, ,,4,109,98,11,2547.0
5:32.0,Offensive rebound by Team,98-109, ,,4,109,98,11,2548.0
5:24.0,S. Henderson misses 2-pt jump shot from 17 ft,98-109, ,,4,109,98,11,2556.0
5:21.0,Offensive rebound by K. Murray,98-109, ,,4,109,98,11,2559.0
5:17.0,S. Henderson misses 3-pt jump shot from 25 ft,98-109, ,,4,109,98,11,2563.0
5:13.0, ,98-109,Defensive rebound by D. Hunter,,4,109,98,11,2567.0
5:06.0, ,98-109,Shooting foul by D. Reath (drawn by C. Capela),,4,109,98,11,2574.0
5:06.0, ,98-110,C. Capela makes free throw 1 of 2,,4,110,98,12,2574.0
5:06.0, ,98-110,C. Capela misses free throw 2 of 2,,4,110,98,12,2574.0
5:04.0,Defensive rebound by R. Rupert,98-110, ,,4,110,98,12,2576.0
4:48.0,D. Banton makes 2-pt dunk from 1 ft (assist by K. Murray),100-110, ,,4,110,100,10,2592.0
4:36.0, ,100-110,D. Murray misses 2-pt layup from 1 ft,,4,110,100,10,2604.0
4:33.0, ,100-110,Offensive rebound by C. Capela,,4,110,100,10,2607.0
4:32.0, ,100-112,C. Capela makes 2-pt layup from 2 ft,,4,112,100,12,2608.0
4:19.0,R. Rupert misses 2-pt layup from 2 ft (block by V. Krejci),100-112, ,,4,112,100,12,2621.0
4:15.0, ,100-112,Defensive rebound by B. Bogdanović,,4,112,100,12,2625.0
4:02.0, ,100-114,C. Capela makes 2-pt dunk at rim (assist by B. Bogdanović),,4,114,100,14,2638.0
3:42.0,D. Banton misses 3-pt jump shot from 25 ft,100-114, ,,4,114,100,14,2658.0
3:38.0, ,100-114,Defensive rebound by C. Capela,,4,114,100,14,2662.0
3:29.0, ,100-116,D. Murray makes 2-pt jump shot from 9 ft,,4,116,100,16,2671.0
3:28.0,Portland full timeout,100-116, ,,4,116,100,16,2672.0
3:28.0,T. Camara enters the game for K. Murray,100-116, ,,4,116,100,16,2672.0
3:20.0,S. Henderson makes 2-pt jump shot from 13 ft (assist by D. Reath),102-116, ,,4,116,102,14,2680.0
2:54.0, ,102-116,V. Krejci misses 3-pt jump shot from 23 ft,,4,116,102,14,2706.0
2:53.0,Defensive rebound by Team,102-116, ,,4,116,102,14,2707.0
2:44.0,Personal foul by D. Hunter (drawn by S. Henderson),102-116, ,,4,116,102,14,2716.0
2:44.0,J. Walker enters the game for T. Camara,102-116, ,,4,116,102,14,2716.0
2:34.0,D. Banton misses 2-pt jump shot from 4 ft (block by C. Capela),102-116, ,,4,116,102,14,2726.0
2:31.0,Offensive rebound by D. Banton,102-116, ,,4,116,102,14,2729.0
2:29.0,Turnover by Team (shot clock),102-116, ,,4,116,102,14,2731.0
2:08.0, ,102-118,D. Hunter makes 2-pt layup from 1 ft (assist by B. Bogdanović),,4,118,102,16,2752.0
1:53.0,D. Banton misses 2-pt jump shot from 19 ft,102-118, ,,4,118,102,16,2767.0
1:50.0, ,102-118,Defensive rebound by D. Hunter,,4,118,102,16,2770.0
1:33.0, ,102-120,D. Murray makes 2-pt jump shot from 12 ft,,4,120,102,18,2787.0
1:33.0,Portland full timeout,102-120, ,,4,120,102,18,2787.0
1:33.0,I. Badji enters the game for D. Banton,102-120, ,,4,120,102,18,2787.0
1:33.0,A. Hagans enters the game for S. Henderson,102-120, ,,4,120,102,18,2787.0
1:33.0,J. Minaya enters the game for D. Reath,102-120, ,,4,120,102,18,2787.0
1:33.0, ,102-120,D. Windler enters the game for D. Hunter,,4,120,102,18,2787.0
1:30.0,Personal take foul by V. Krejci (drawn by A. Hagans),102-120, ,,4,120,102,18,2790.0
1:30.0, ,102-120,T. Forrest enters the game for D. Murray,,4,120,102,18,2790.0
1:15.0,R. Rupert misses 2-pt layup from 2 ft (block by C. Capela),102-120, ,,4,120,102,18,2805.0
1:12.0, ,102-120,Defensive rebound by D. Windler,,4,120,102,18,2808.0
0:57.0, ,102-120,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,120,102,18,2823.0
0:55.0,Defensive rebound by A. Hagans,102-120, ,,4,120,102,18,2825.0
0:48.0,A. Hagans makes 2-pt jump shot from 6 ft,104-120, ,,4,120,104,16,2832.0
0:24.0, ,104-120,T. Forrest misses 3-pt jump shot from 25 ft,,4,120,104,16,2856.0
0:21.0,Defensive rebound by J. Minaya,104-120, ,,4,120,104,16,2859.0
0:18.0,J. Minaya makes 2-pt layup from 2 ft,106-120, ,,4,120,106,14,2862.0
0:00.0,End of 4th quarter,106-120,,,4,120,106,14,2880.0
