Time,Atlanta,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. N. Vučević (B. Bogdanović gains possession),0-0,,,1,0,0,0,0.0
11:44.0,D. Hunter misses 2-pt jump shot from 12 ft,0-0, ,,1,0,0,0,16.0
11:41.0, ,0-0,Defensive rebound by A. Caruso,,1,0,0,0,19.0
11:29.0, ,0-0,D. DeRozan misses 2-pt jump shot from 16 ft,,1,0,0,0,31.0
11:28.0,Defensive rebound by C. Capela,0-0, ,,1,0,0,0,32.0
11:18.0,T. Young misses 2-pt jump shot from 9 ft,0-0, ,,1,0,0,0,42.0
11:14.0, ,0-0,Defensive rebound by N. Vučević,,1,0,0,0,46.0
11:06.0, ,0-0,A. Dosunmu misses 3-pt jump shot from 24 ft,,1,0,0,0,54.0
11:03.0,Defensive rebound by C. Capela,0-0, ,,1,0,0,0,57.0
10:53.0,D. Murray makes 2-pt jump shot from 13 ft,2-0, ,,1,2,0,2,67.0
10:36.0, ,2-2,N. Vučević makes 2-pt layup from 1 ft (assist by D. DeRozan),Tie,1,2,2,0,84.0
10:18.0,C. Capela makes 2-pt hook shot from 8 ft (assist by D. Hunter),4-2, ,,1,4,2,2,102.0
10:00.0, ,4-4,N. Vučević makes 2-pt layup from 2 ft,Tie,1,4,4,0,120.0
9:48.0,C. Capela makes 2-pt layup at rim (assist by T. Young),6-4, ,,1,6,4,2,132.0
9:38.0, ,6-4,N. Vučević misses 3-pt jump shot from 26 ft,,1,6,4,2,142.0
9:35.0,Defensive rebound by D. Hunter,6-4, ,,1,6,4,2,145.0
9:31.0,D. Murray misses 3-pt jump shot from 26 ft,6-4, ,,1,6,4,2,149.0
9:27.0, ,6-4,Defensive rebound by C. White,,1,6,4,2,153.0
9:25.0, ,6-4,Shooting foul by D. Hunter (drawn by C. White),,1,6,4,2,155.0
9:25.0, ,6-5,C. White makes free throw 1 of 2,,1,6,5,1,155.0
