Time,Atlanta,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. A. Drummond (C. White gains possession),0-0,,,1,0,0,0,0.0
11:37.0, ,0-0,P. Williams misses 2-pt layup from 5 ft,,1,0,0,0,23.0
11:35.0,Defensive rebound by J. Johnson,0-0, ,,1,0,0,0,25.0
11:22.0,S. Bey misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,38.0
11:18.0,Offensive rebound by C. Capela,0-0, ,,1,0,0,0,42.0
11:15.0,C. Capela misses 2-pt hook shot from 5 ft,0-0, ,,1,0,0,0,45.0
11:12.0,Offensive rebound by J. Johnson,0-0, ,,1,0,0,0,48.0
11:12.0,J. Johnson makes 2-pt layup at rim,2-0, ,,1,2,0,2,48.0
11:04.0, ,2-2,A. Drummond makes 2-pt layup from 2 ft (assist by D. DeRozan),Tie,1,2,2,0,56.0
10:50.0,J. Johnson makes 2-pt layup from 1 ft (assist by T. Young),4-2, ,,1,4,2,2,70.0
10:44.0, ,4-4,P. Williams makes 2-pt dunk at rim (assist by D. DeRozan),Tie,1,4,4,0,76.0
10:28.0,D. Murray misses 3-pt jump shot from 23 ft,4-4, ,,1,4,4,0,92.0
10:25.0, ,4-4,Defensive rebound by C. White,,1,4,4,0,95.0
10:12.0, ,4-4,Turnover by A. Drummond (bad pass),,1,4,4,0,108.0
9:59.0,Turnover by T. Young (bad pass; steal by A. Caruso),4-4, ,,1,4,4,0,121.0
9:55.0, ,4-4,C. White misses 3-pt jump shot from 26 ft,,1,4,4,0,125.0
9:52.0, ,4-4,Offensive rebound by A. Drummond,,1,4,4,0,128.0
9:50.0, ,4-6,A. Drummond makes 2-pt layup at rim,Lead change,1,4,6,-2,130.0
9:36.0,C. Capela misses 2-pt hook shot from 4 ft (block by A. Drummond),4-6, ,,1,4,6,-2,144.0
9:32.0,Offensive rebound by S. Bey,4-6, ,,1,4,6,-2,148.0
9:32.0,T. Young misses 3-pt jump shot from 29 ft,4-6, ,,1,4,6,-2,148.0
9:29.0, ,4-6,Defensive rebound by A. Drummond,,1,4,6,-2,151.0
9:18.0, ,4-6,D. DeRozan misses 2-pt layup from 5 ft,,1,4,6,-2,162.0
9:17.0,Defensive rebound by J. Johnson,4-6, ,,1,4,6,-2,163.0
9:12.0,Personal foul by D. DeRozan (drawn by T. Young),4-6, ,,1,4,6,-2,168.0
9:06.0,D. Murray misses 2-pt jump shot from 14 ft,4-6, ,,1,4,6,-2,174.0
9:04.0, ,4-6,Defensive rebound by Team,,1,4,6,-2,176.0
8:55.0, ,4-8,C. White makes 2-pt jump shot from 15 ft,,1,4,8,-4,185.0
8:42.0,S. Bey misses 3-pt jump shot from 23 ft,4-8, ,,1,4,8,-4,198.0
8:38.0, ,4-8,Defensive rebound by C. White,,1,4,8,-4,202.0
8:16.0, ,4-8,C. White misses 2-pt jump shot from 9 ft,,1,4,8,-4,224.0
8:16.0, ,4-8,Offensive rebound by Team,,1,4,8,-4,224.0
8:16.0, ,4-8,Turnover by Team (shot clock),,1,4,8,-4,224.0
8:01.0,D. Murray makes 3-pt jump shot from 27 ft (assist by T. Young),7-8, ,,1,7,8,-1,239.0
7:44.0, ,7-8,A. Caruso misses 3-pt jump shot from 25 ft,,1,7,8,-1,256.0
7:41.0,Defensive rebound by T. Young,7-8, ,,1,7,8,-1,259.0
7:37.0,S. Bey misses 3-pt jump shot from 24 ft,7-8, ,,1,7,8,-1,263.0
7:34.0,Offensive rebound by C. Capela,7-8, ,,1,7,8,-1,266.0
