Time,Atlanta,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:02.0,S. Bey enters the game for G. Mathews,19-29, ,,1,19,29,-10,538.0
3:02.0,T. Young enters the game for D. Murray,19-29, ,,1,19,29,-10,538.0
3:02.0,O. Okongwu makes free throw 2 of 2,20-29, ,,1,20,29,-9,538.0
2:46.0, ,20-29,Turnover by D. Vassell (bad pass; steal by S. Bey),,1,20,29,-9,554.0
2:34.0,Personal foul by C. Bassey (drawn by T. Young),20-29, ,,1,20,29,-9,566.0
2:25.0,B. Bogdanović misses 2-pt jump shot from 20 ft,20-29, ,,1,20,29,-9,575.0
2:21.0, ,20-29,Defensive rebound by C. Osman,,1,20,29,-9,579.0
2:14.0, ,20-32,J. Champagnie makes 3-pt jump shot from 26 ft (assist by D. Vassell),,1,20,32,-12,586.0
2:01.0,B. Bogdanović misses 2-pt layup from 3 ft (block by C. Bassey),20-32, ,,1,20,32,-12,599.0
1:59.0, ,20-32,Defensive rebound by J. Champagnie,,1,20,32,-12,601.0
1:48.0, ,20-32,C. Osman misses 2-pt jump shot from 14 ft,,1,20,32,-12,612.0
1:43.0, ,20-32,Offensive rebound by C. Bassey,,1,20,32,-12,617.0
1:41.0, ,20-35,J. Champagnie makes 3-pt jump shot from 26 ft (assist by T. Jones),,1,20,35,-15,619.0
1:40.0,Atlanta full timeout,20-35, ,,1,20,35,-15,620.0
1:26.0,O. Okongwu makes 3-pt jump shot from 24 ft (assist by T. Young),23-35, ,,1,23,35,-12,634.0
1:12.0, ,23-35,T. Jones misses 2-pt layup from 3 ft,,1,23,35,-12,648.0
1:12.0,Defensive rebound by Team,23-35, ,,1,23,35,-12,648.0
1:00.0,T. Young makes 2-pt layup from 2 ft,25-35, ,,1,25,35,-10,660.0
0:45.0, ,25-35,D. Vassell misses 3-pt jump shot from 26 ft,,1,25,35,-10,675.0
0:43.0,Defensive rebound by B. Bogdanović,25-35, ,,1,25,35,-10,677.0
0:38.0,B. Bogdanović misses 2-pt layup from 2 ft,25-35, ,,1,25,35,-10,682.0
0:38.0, ,25-35,Defensive rebound by Team,,1,25,35,-10,682.0
0:29.0, ,25-35,T. Jones misses 3-pt jump shot from 26 ft,,1,25,35,-10,691.0
0:25.0,Defensive rebound by S. Bey,25-35, ,,1,25,35,-10,695.0
0:07.0,T. Young misses 3-pt jump shot from 26 ft,25-35, ,,1,25,35,-10,713.0
0:05.0,Offensive rebound by Team,25-35, ,,1,25,35,-10,715.0
0:01.0,Personal foul by C. Bassey (drawn by T. Young),25-35, ,,1,25,35,-10,719.0
0:01.0,T. Young makes free throw 1 of 2,26-35, ,,1,26,35,-9,719.0
0:01.0,T. Young misses free throw 2 of 2,26-35, ,,1,26,35,-9,719.0
0:01.0,Offensive rebound by Team,26-35, ,,1,26,35,-9,719.0
0:00.0,End of 1st quarter,26-35,,,1,26,35,-9,720.0
12:00.0,Start of 2nd quarter,26-35,,,2,26,35,-9,720.0
11:41.0,C. Capela makes 2-pt dunk from 1 ft,28-35, ,,2,28,35,-7,739.0
11:27.0, ,28-35,Turnover by V. Wembanyama (bad pass; steal by S. Bey),,2,28,35,-7,753.0
11:17.0,B. Bogdanović makes 2-pt layup from 1 ft,30-35, ,,2,30,35,-5,763.0
11:07.0, ,30-35,Turnover by C. Osman (bad pass; steal by T. Young),,2,30,35,-5,773.0
11:02.0,T. Young misses 2-pt layup from 2 ft,30-35, ,,2,30,35,-5,778.0
11:00.0, ,30-35,Defensive rebound by V. Wembanyama,,2,30,35,-5,780.0
10:56.0, ,30-35,C. Osman misses 2-pt layup from 3 ft,,2,30,35,-5,784.0
10:54.0, ,30-35,Offensive rebound by J. Sochan,,2,30,35,-5,786.0
10:52.0, ,30-35,D. Vassell misses 3-pt jump shot from 26 ft,,2,30,35,-5,788.0
10:48.0,Defensive rebound by O. Okongwu,30-35, ,,2,30,35,-5,792.0
10:30.0,O. Okongwu misses 3-pt jump shot from 23 ft,30-35, ,,2,30,35,-5,810.0
10:27.0, ,30-35,Defensive rebound by V. Wembanyama,,2,30,35,-5,813.0
10:26.0, ,30-35,Personal foul by S. Bey (drawn by V. Wembanyama),,2,30,35,-5,814.0
10:18.0, ,30-38,C. Osman makes 3-pt jump shot from 24 ft (assist by D. Vassell),,2,30,38,-8,822.0
10:06.0,T. Young misses 2-pt layup from 3 ft (block by V. Wembanyama),30-38, ,,2,30,38,-8,834.0
10:04.0, ,30-38,Defensive rebound by J. Sochan,,2,30,38,-8,836.0
9:59.0, ,30-40,D. Vassell makes 2-pt dunk from 1 ft (assist by J. Sochan),,2,30,40,-10,841.0
9:47.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),33-40, ,,2,33,40,-7,853.0
9:24.0, ,33-40,Shooting foul by C. Capela (drawn by D. Vassell),,2,33,40,-7,876.0
9:24.0, ,33-41,D. Vassell makes free throw 1 of 2,,2,33,41,-8,876.0
9:24.0, ,33-42,D. Vassell makes free throw 2 of 2,,2,33,42,-9,876.0
9:12.0,T. Young makes 2-pt layup from 3 ft,35-42, ,,2,35,42,-7,888.0
9:02.0, ,35-42,Personal foul by O. Okongwu (drawn by C. Osman),,2,35,42,-7,898.0
9:02.0,D. Hunter enters the game for S. Bey,35-42, ,,2,35,42,-7,898.0
9:02.0,W. Matthews enters the game for C. Capela,35-42, ,,2,35,42,-7,898.0
9:02.0, ,35-42,M. Branham enters the game for D. Vassell,,2,35,42,-7,898.0
8:56.0, ,35-42,Turnover by M. Branham (bad pass; steal by D. Hunter),,2,35,42,-7,904.0
8:45.0,Offensive foul by D. Hunter (drawn by V. Wembanyama),35-42, ,,2,35,42,-7,915.0
8:45.0,Turnover by D. Hunter (offensive foul),35-42, ,,2,35,42,-7,915.0
8:45.0,Atlanta full timeout,35-42, ,,2,35,42,-7,915.0
8:45.0,Instant Replay (Challenge: Stands),35-42, ,,2,35,42,-7,915.0
8:35.0, ,35-42,C. Osman misses 3-pt jump shot from 24 ft,,2,35,42,-7,925.0
8:32.0, ,35-42,Offensive rebound by J. Sochan,,2,35,42,-7,928.0
8:32.0, ,35-42,Shooting foul by B. Bogdanović (drawn by J. Sochan),,2,35,42,-7,928.0
8:32.0, ,35-43,J. Sochan makes free throw 1 of 2,,2,35,43,-8,928.0
8:32.0, ,35-44,J. Sochan makes free throw 2 of 2,,2,35,44,-9,928.0
8:18.0,Shooting foul by C. Osman (drawn by D. Hunter),35-44, ,,2,35,44,-9,942.0
8:18.0,D. Hunter makes free throw 1 of 2,36-44, ,,2,36,44,-8,942.0
8:18.0,D. Murray enters the game for T. Young,36-44, ,,2,36,44,-8,942.0
8:18.0,D. Hunter makes free throw 2 of 2,37-44, ,,2,37,44,-7,942.0
8:06.0, ,37-44,V. Wembanyama misses 3-pt jump shot from 28 ft,,2,37,44,-7,954.0
8:02.0,Defensive rebound by D. Hunter,37-44, ,,2,37,44,-7,958.0
7:42.0,D. Murray makes 3-pt jump shot from 25 ft (assist by W. Matthews),40-44, ,,2,40,44,-4,978.0
7:41.0, ,40-44,San Antonio full timeout,,2,40,44,-4,979.0
7:41.0, ,40-44,K. Johnson enters the game for J. Champagnie,,2,40,44,-4,979.0
7:41.0, ,40-44,T. Jones enters the game for C. Osman,,2,40,44,-4,979.0
7:27.0, ,40-44,M. Branham misses 3-pt jump shot from 26 ft,,2,40,44,-4,993.0
7:24.0,Defensive rebound by D. Hunter,40-44, ,,2,40,44,-4,996.0
7:12.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Hunter),43-44, ,,2,43,44,-1,1008.0
6:51.0, ,43-44,J. Sochan misses 2-pt layup from 3 ft,,2,43,44,-1,1029.0
6:49.0,Defensive rebound by D. Hunter,43-44, ,,2,43,44,-1,1031.0
6:39.0,D. Murray makes 2-pt layup from 3 ft,45-44, ,Lead change,2,45,44,1,1041.0
6:32.0, ,45-46,J. Sochan makes 2-pt layup from 3 ft (assist by T. Jones),Lead change,2,45,46,-1,1048.0
6:14.0,Turnover by B. Bogdanović (bad pass; steal by V. Wembanyama),45-46, ,,2,45,46,-1,1066.0
6:12.0, ,45-46,K. Johnson misses 2-pt layup from 4 ft,,2,45,46,-1,1068.0
