Time,Atlanta,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:29.0, ,78-81,M. Branham makes 2-pt layup from 2 ft (assist by K. Johnson),,3,78,81,-3,1771.0
6:17.0,T. Young makes 3-pt jump shot from 27 ft,81-81, ,Tie,3,81,81,0,1783.0
6:07.0, ,81-81,M. Branham misses 2-pt jump shot from 3 ft,,3,81,81,0,1793.0
6:06.0, ,81-81,Offensive rebound by K. Johnson,,3,81,81,0,1794.0
6:05.0, ,81-81,K. Johnson misses 2-pt layup from 3 ft (block by W. Matthews),,3,81,81,0,1795.0
6:04.0, ,81-81,Offensive rebound by K. Johnson,,3,81,81,0,1796.0
5:59.0, ,81-81,V. Wembanyama misses 2-pt jump shot from 9 ft,,3,81,81,0,1801.0
5:57.0,Defensive rebound by D. Murray,81-81, ,,3,81,81,0,1803.0
5:42.0,T. Young misses 2-pt layup from 9 ft (block by M. Branham),81-81, ,,3,81,81,0,1818.0
5:39.0, ,81-81,Defensive rebound by M. Branham,,3,81,81,0,1821.0
5:35.0, ,81-84,J. Sochan makes 3-pt jump shot from 26 ft (assist by M. Branham),,3,81,84,-3,1825.0
5:12.0,T. Young misses 3-pt jump shot from 30 ft,81-84, ,,3,81,84,-3,1848.0
5:12.0, ,81-84,Defensive rebound by K. Johnson,,3,81,84,-3,1848.0
5:02.0, ,81-84,Shooting foul by W. Matthews (drawn by J. Sochan),,3,81,84,-3,1858.0
5:02.0, ,81-84,San Antonio full timeout,,3,81,84,-3,1858.0
5:02.0,B. Bogdanović enters the game for S. Bey,81-84, ,,3,81,84,-3,1858.0
5:02.0,G. Mathews enters the game for T. Young,81-84, ,,3,81,84,-3,1858.0
5:02.0, ,81-84,T. Jones enters the game for M. Branham,,3,81,84,-3,1858.0
5:02.0, ,81-84,C. Osman enters the game for K. Johnson,,3,81,84,-3,1858.0
5:02.0, ,81-84,D. Vassell enters the game for V. Wembanyama,,3,81,84,-3,1858.0
5:02.0, ,81-85,J. Sochan makes free throw 1 of 2,,3,81,85,-4,1858.0
5:02.0, ,81-86,J. Sochan makes free throw 2 of 2,,3,81,86,-5,1858.0
4:42.0,Shooting foul by C. Osman (drawn by O. Okongwu),81-86, ,,3,81,86,-5,1878.0
4:42.0,O. Okongwu makes free throw 1 of 2,82-86, ,,3,82,86,-4,1878.0
4:42.0, ,82-86,J. Champagnie enters the game for J. Sochan,,3,82,86,-4,1878.0
4:42.0,O. Okongwu misses free throw 2 of 2,82-86, ,,3,82,86,-4,1878.0
4:40.0, ,82-86,Defensive rebound by Z. Collins,,3,82,86,-4,1880.0
4:32.0, ,82-89,J. Champagnie makes 3-pt jump shot from 26 ft (assist by T. Jones),,3,82,89,-7,1888.0
4:10.0,D. Murray makes 2-pt jump shot from 17 ft,84-89, ,,3,84,89,-5,1910.0
3:52.0, ,84-92,D. Vassell makes 3-pt jump shot from 26 ft (assist by C. Osman),,3,84,92,-8,1928.0
3:36.0,D. Murray misses 2-pt jump shot from 12 ft,84-92, ,,3,84,92,-8,1944.0
3:33.0, ,84-92,Defensive rebound by D. Vassell,,3,84,92,-8,1947.0
3:22.0, ,84-92,C. Osman misses 3-pt jump shot from 23 ft,,3,84,92,-8,1958.0
3:19.0,Defensive rebound by D. Murray,84-92, ,,3,84,92,-8,1961.0
3:13.0,Shooting foul by J. Champagnie (drawn by B. Bogdanović),84-92, ,,3,84,92,-8,1967.0
3:13.0,B. Bogdanović makes free throw 1 of 2,85-92, ,,3,85,92,-7,1967.0
3:13.0,D. Hunter enters the game for W. Matthews,85-92, ,,3,85,92,-7,1967.0
3:13.0,T. Young enters the game for D. Murray,85-92, ,,3,85,92,-7,1967.0
3:13.0,B. Bogdanović makes free throw 2 of 2,86-92, ,,3,86,92,-6,1967.0
2:59.0, ,86-95,D. Vassell makes 3-pt jump shot from 23 ft (assist by T. Jones),,3,86,95,-9,1981.0
2:43.0,G. Mathews misses 3-pt jump shot from 27 ft,86-95, ,,3,86,95,-9,1997.0
2:40.0, ,86-95,Defensive rebound by D. Vassell,,3,86,95,-9,2000.0
2:38.0, ,86-97,D. Vassell makes 2-pt layup from 2 ft,,3,86,97,-11,2002.0
2:38.0, ,86-97,Shooting foul by D. Hunter (drawn by D. Vassell),,3,86,97,-11,2002.0
2:38.0,Atlanta full timeout,86-97, ,,3,86,97,-11,2002.0
2:38.0,S. Bey enters the game for D. Hunter,86-97, ,,3,86,97,-11,2002.0
2:38.0, ,86-98,D. Vassell makes free throw 1 of 1,,3,86,98,-12,2002.0
2:15.0,S. Bey makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),89-98, ,,3,89,98,-9,2025.0
1:58.0, ,89-98,Personal foul by S. Bey (drawn by Z. Collins),,3,89,98,-9,2042.0
1:58.0, ,89-99,Z. Collins makes free throw 1 of 2,,3,89,99,-10,2042.0
1:58.0,Technical foul by Q. Snyder,89-99, ,,3,89,99,-10,2042.0
1:58.0, ,89-99,T. Jones misses technical free throw,,3,89,99,-10,2042.0
1:58.0, ,89-99,Offensive rebound by Team,,3,89,99,-10,2042.0
1:58.0, ,89-100,Z. Collins makes free throw 2 of 2,,3,89,100,-11,2042.0
1:51.0,T. Young makes 2-pt jump shot from 7 ft,91-100, ,,3,91,100,-9,2049.0
1:51.0,Shooting foul by C. Osman (drawn by T. Young),91-100, ,,3,91,100,-9,2049.0
1:51.0,T. Young makes free throw 1 of 1,92-100, ,,3,92,100,-8,2049.0
1:36.0, ,92-100,T. Jones misses 2-pt jump shot from 11 ft,,3,92,100,-8,2064.0
1:33.0, ,92-100,Offensive rebound by J. Champagnie,,3,92,100,-8,2067.0
1:29.0, ,92-100,C. Osman misses 3-pt jump shot from 26 ft,,3,92,100,-8,2071.0
1:25.0,Defensive rebound by O. Okongwu,92-100, ,,3,92,100,-8,2075.0
1:20.0,T. Young makes 2-pt jump shot from 9 ft,94-100, ,,3,94,100,-6,2080.0
1:00.0, ,94-103,T. Jones makes 3-pt jump shot from 26 ft (assist by C. Osman),,3,94,103,-9,2100.0
0:48.0,T. Young makes 3-pt jump shot from 26 ft,97-103, ,,3,97,103,-6,2112.0
0:36.0, ,97-103,D. Vassell misses 3-pt jump shot from 26 ft,,3,97,103,-6,2124.0
0:35.0,Defensive rebound by Team,97-103, ,,3,97,103,-6,2125.0
0:29.0,T. Young makes 2-pt layup from 3 ft,99-103, ,,3,99,103,-4,2131.0
0:06.0, ,99-103,Shooting foul by B. Bogdanović (drawn by D. Vassell),,3,99,103,-4,2154.0
0:06.0, ,99-104,D. Vassell makes free throw 1 of 2,,3,99,104,-5,2154.0
0:06.0, ,99-104,J. Sochan enters the game for Z. Collins,,3,99,104,-5,2154.0
0:06.0, ,99-104,V. Wembanyama enters the game for T. Jones,,3,99,104,-5,2154.0
0:06.0, ,99-105,D. Vassell makes free throw 2 of 2,,3,99,105,-6,2154.0
0:00.0,T. Young makes 2-pt jump shot from 15 ft,101-105, ,,3,101,105,-4,2160.0
0:00.0,End of 3rd quarter,101-105,,,3,101,105,-4,2160.0
12:00.0,Start of 4th quarter,101-105,,,4,101,105,-4,2160.0
11:42.0, ,101-105,Shooting foul by G. Mathews (drawn by K. Johnson),,4,101,105,-4,2178.0
11:42.0, ,101-106,K. Johnson makes free throw 1 of 2,,4,101,106,-5,2178.0
11:42.0, ,101-106,K. Johnson misses free throw 2 of 2,,4,101,106,-5,2178.0
11:39.0,Defensive rebound by S. Bey,101-106, ,,4,101,106,-5,2181.0
11:25.0,O. Okongwu makes 2-pt layup from 2 ft (assist by T. Young),103-106, ,,4,103,106,-3,2195.0
11:06.0, ,103-106,C. Osman misses 3-pt jump shot from 26 ft,,4,103,106,-3,2214.0
11:03.0,Defensive rebound by O. Okongwu,103-106, ,,4,103,106,-3,2217.0
10:53.0,T. Young makes 2-pt layup from 2 ft,105-106, ,,4,105,106,-1,2227.0
10:45.0, ,105-108,V. Wembanyama makes 2-pt layup from 2 ft (assist by T. Jones),,4,105,108,-3,2235.0
10:45.0, ,105-108,Shooting foul by S. Bey (drawn by V. Wembanyama),,4,105,108,-3,2235.0
10:45.0, ,105-108,J. Champagnie enters the game for T. Jones,,4,105,108,-3,2235.0
10:45.0, ,105-108,J. Sochan enters the game for C. Osman,,4,105,108,-3,2235.0
10:45.0, ,105-109,V. Wembanyama makes free throw 1 of 1,,4,105,109,-4,2235.0
10:28.0,Turnover by T. Young (out of bounds lost ball),105-109, ,,4,105,109,-4,2252.0
10:19.0, ,105-109,V. Wembanyama misses 3-pt jump shot from 26 ft,,4,105,109,-4,2261.0
10:16.0,Defensive rebound by O. Okongwu,105-109, ,,4,105,109,-4,2264.0
10:11.0,B. Bogdanović misses 3-pt jump shot from 30 ft,105-109, ,,4,105,109,-4,2269.0
10:10.0,Offensive rebound by S. Bey,105-109, ,,4,105,109,-4,2270.0
10:09.0,S. Bey misses 2-pt layup at rim (block by V. Wembanyama),105-109, ,,4,105,109,-4,2271.0
10:08.0, ,105-109,Defensive rebound by J. Sochan,,4,105,109,-4,2272.0
9:59.0, ,105-112,J. Champagnie makes 3-pt jump shot from 24 ft (assist by D. Vassell),,4,105,112,-7,2281.0
9:45.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),107-112, ,,4,107,112,-5,2295.0
9:28.0, ,107-112,J. Champagnie misses 3-pt jump shot from 26 ft,,4,107,112,-5,2312.0
9:26.0,Defensive rebound by O. Okongwu,107-112, ,,4,107,112,-5,2314.0
9:18.0,G. Mathews misses 3-pt jump shot from 28 ft,107-112, ,,4,107,112,-5,2322.0
9:14.0, ,107-112,Defensive rebound by J. Champagnie,,4,107,112,-5,2326.0
8:58.0, ,107-115,D. Vassell makes 3-pt jump shot from 27 ft,,4,107,115,-8,2342.0
8:43.0,O. Okongwu makes 2-pt layup from 2 ft (assist by T. Young),109-115, ,,4,109,115,-6,2357.0
8:43.0,Shooting foul by D. Vassell (drawn by O. Okongwu),109-115, ,,4,109,115,-6,2357.0
8:43.0,D. Hunter enters the game for S. Bey,109-115, ,,4,109,115,-6,2357.0
8:43.0,D. Murray enters the game for G. Mathews,109-115, ,,4,109,115,-6,2357.0
8:43.0, ,109-115,Z. Collins enters the game for V. Wembanyama,,4,109,115,-6,2357.0
8:43.0,O. Okongwu makes free throw 1 of 1,110-115, ,,4,110,115,-5,2357.0
8:30.0, ,110-117,J. Sochan makes 2-pt layup from 1 ft (assist by Z. Collins),,4,110,117,-7,2370.0
8:17.0,T. Young makes 2-pt layup from 2 ft,112-117, ,,4,112,117,-5,2383.0
8:08.0, ,112-117,Personal foul by O. Okongwu (drawn by Z. Collins),,4,112,117,-5,2392.0
8:08.0,C. Capela enters the game for O. Okongwu,112-117, ,,4,112,117,-5,2392.0
7:50.0, ,112-117,K. Johnson misses 2-pt jump shot from 5 ft,,4,112,117,-5,2410.0
7:48.0,Defensive rebound by D. Hunter,112-117, ,,4,112,117,-5,2412.0
7:45.0,B. Bogdanović misses 3-pt jump shot from 27 ft,112-117, ,,4,112,117,-5,2415.0
7:42.0, ,112-117,Defensive rebound by D. Vassell,,4,112,117,-5,2418.0
7:35.0, ,112-117,Personal foul by B. Bogdanović (drawn by Z. Collins),,4,112,117,-5,2425.0
7:35.0, ,112-117,T. Jones enters the game for D. Vassell,,4,112,117,-5,2425.0
7:26.0, ,112-117,J. Champagnie misses 3-pt jump shot from 24 ft,,4,112,117,-5,2434.0
7:23.0,Defensive rebound by C. Capela,112-117, ,,4,112,117,-5,2437.0
7:11.0,Turnover by D. Hunter (lost ball; steal by K. Johnson),112-117, ,,4,112,117,-5,2449.0
7:10.0, ,112-117,K. Johnson misses 2-pt layup from 2 ft,,4,112,117,-5,2450.0
7:09.0, ,112-117,Offensive rebound by J. Sochan,,4,112,117,-5,2451.0
7:09.0, ,112-117,J. Sochan misses 2-pt layup at rim,,4,112,117,-5,2451.0
7:07.0,Defensive rebound by B. Bogdanović,112-117, ,,4,112,117,-5,2453.0
7:00.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),114-117, ,,4,114,117,-3,2460.0
7:00.0, ,114-117,San Antonio full timeout,,4,114,117,-3,2460.0
6:57.0, ,114-117,Turnover by J. Champagnie (bad pass; steal by B. Bogdanović),,4,114,117,-3,2463.0
6:57.0,Personal foul by J. Champagnie (drawn by T. Young),114-117, ,,4,114,117,-3,2463.0
6:54.0,T. Young misses 3-pt jump shot from 27 ft,114-117, ,,4,114,117,-3,2466.0
6:50.0, ,114-117,Defensive rebound by T. Jones,,4,114,117,-3,2470.0
6:42.0, ,114-117,K. Johnson misses 2-pt dunk from 2 ft,,4,114,117,-3,2478.0
6:40.0,Defensive rebound by D. Hunter,114-117, ,,4,114,117,-3,2480.0
6:33.0,D. Hunter makes 3-pt jump shot from 26 ft (assist by D. Murray),117-117, ,Tie,4,117,117,0,2487.0
6:23.0, ,117-117,Offensive foul by T. Jones (drawn by T. Young),,4,117,117,0,2497.0
6:23.0, ,117-117,Turnover by T. Jones (offensive foul),,4,117,117,0,2497.0
6:10.0,D. Murray makes 2-pt jump shot from 11 ft,119-117, ,Lead change,4,119,117,2,2510.0
5:50.0, ,119-117,K. Johnson misses 2-pt layup from 2 ft,,4,119,117,2,2530.0
5:48.0, ,119-117,Offensive rebound by K. Johnson,,4,119,117,2,2532.0
5:46.0, ,119-117,Offensive foul by Z. Collins (drawn by C. Capela),,4,119,117,2,2534.0
5:46.0, ,119-117,Turnover by Z. Collins (offensive foul),,4,119,117,2,2534.0
5:46.0, ,119-117,V. Wembanyama enters the game for K. Johnson,,4,119,117,2,2534.0
5:30.0,D. Murray misses 3-pt jump shot from 27 ft,119-117, ,,4,119,117,2,2550.0
5:27.0, ,119-117,Defensive rebound by J. Sochan,,4,119,117,2,2553.0
5:21.0, ,119-117,J. Champagnie misses 3-pt jump shot from 24 ft,,4,119,117,2,2559.0
5:16.0,Defensive rebound by C. Capela,119-117, ,,4,119,117,2,2564.0
5:13.0,D. Murray makes 2-pt layup from 2 ft (assist by C. Capela),121-117, ,,4,121,117,4,2567.0
4:48.0, ,121-117,V. Wembanyama misses 3-pt jump shot from 26 ft,,4,121,117,4,2592.0
4:45.0,Defensive rebound by T. Young,121-117, ,,4,121,117,4,2595.0
4:40.0,T. Young misses 3-pt jump shot from 27 ft,121-117, ,,4,121,117,4,2600.0
4:37.0, ,121-117,Defensive rebound by V. Wembanyama,,4,121,117,4,2603.0
4:30.0, ,121-119,J. Sochan makes 2-pt layup from 2 ft,,4,121,119,2,2610.0
4:10.0,D. Murray misses 2-pt jump shot from 11 ft,121-119, ,,4,121,119,2,2630.0
4:06.0, ,121-119,Defensive rebound by V. Wembanyama,,4,121,119,2,2634.0
4:03.0, ,121-121,J. Sochan makes 2-pt dunk from 1 ft (assist by V. Wembanyama),Tie,4,121,121,0,2637.0
4:03.0,Atlanta full timeout,121-121, ,,4,121,121,0,2637.0
4:03.0,S. Bey enters the game for B. Bogdanović,121-121, ,,4,121,121,0,2637.0
4:03.0, ,121-121,K. Johnson enters the game for J. Champagnie,,4,121,121,0,2637.0
4:03.0, ,121-121,D. Vassell enters the game for T. Jones,,4,121,121,0,2637.0
3:51.0,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young),123-121, ,,4,123,121,2,2649.0
3:33.0, ,123-121,Shooting foul by D. Hunter (drawn by J. Sochan),,4,123,121,2,2667.0
3:33.0,B. Bogdanović enters the game for D. Hunter,123-121, ,,4,123,121,2,2667.0
3:33.0, ,123-122,J. Sochan makes free throw 1 of 2,,4,123,122,1,2667.0
3:33.0, ,123-123,J. Sochan makes free throw 2 of 2,Tie,4,123,123,0,2667.0
3:22.0,Shooting foul by J. Sochan (drawn by T. Young),123-123, ,,4,123,123,0,2678.0
3:22.0,T. Young makes free throw 1 of 2,124-123, ,,4,124,123,1,2678.0
3:22.0,T. Young makes free throw 2 of 2,125-123, ,,4,125,123,2,2678.0
2:58.0, ,125-123,Turnover by J. Sochan (bad pass; steal by B. Bogdanović),,4,125,123,2,2702.0
2:43.0,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young),127-123, ,,4,127,123,4,2717.0
2:25.0, ,127-123,Turnover by D. Vassell (bad pass; steal by S. Bey),,4,127,123,4,2735.0
2:01.0,D. Murray misses 2-pt jump shot from 18 ft,127-123, ,,4,127,123,4,2759.0
1:58.0, ,127-123,Defensive rebound by K. Johnson,,4,127,123,4,2762.0
1:54.0, ,127-126,D. Vassell makes 3-pt jump shot from 25 ft (assist by J. Sochan),,4,127,126,1,2766.0
1:34.0,D. Murray makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),130-126, ,,4,130,126,4,2786.0
1:19.0, ,130-128,Z. Collins makes 2-pt layup from 2 ft (assist by J. Sochan),,4,130,128,2,2801.0
0:59.0,T. Young makes 2-pt jump shot from 15 ft,132-128, ,,4,132,128,4,2821.0
0:59.0, ,132-128,San Antonio full timeout,,4,132,128,4,2821.0
0:54.0, ,132-128,V. Wembanyama misses 2-pt layup from 2 ft,,4,132,128,4,2826.0
0:52.0,Defensive rebound by C. Capela,132-128, ,,4,132,128,4,2828.0
0:39.0,Shooting foul by J. Sochan (drawn by T. Young),132-128, ,,4,132,128,4,2841.0
0:39.0,T. Young makes free throw 1 of 2,133-128, ,,4,133,128,5,2841.0
0:39.0,T. Young makes free throw 2 of 2,134-128, ,,4,134,128,6,2841.0
0:39.0, ,134-128,San Antonio full timeout,,4,134,128,6,2841.0
0:31.0, ,134-128,Personal foul by B. Bogdanović (drawn by Z. Collins),,4,134,128,6,2849.0
0:31.0, ,134-129,Z. Collins makes free throw 1 of 2,,4,134,129,5,2849.0
0:31.0, ,134-129,T. Jones enters the game for V. Wembanyama,,4,134,129,5,2849.0
0:31.0, ,134-130,Z. Collins makes free throw 2 of 2,,4,134,130,4,2849.0
0:31.0,Atlanta full timeout,134-130, ,,4,134,130,4,2849.0
0:31.0,O. Okongwu enters the game for C. Capela,134-130, ,,4,134,130,4,2849.0
0:31.0, ,134-130,V. Wembanyama enters the game for Z. Collins,,4,134,130,4,2849.0
0:28.0,Personal take foul by K. Johnson (drawn by T. Young),134-130, ,,4,134,130,4,2852.0
0:28.0,T. Young makes free throw 1 of 2,135-130, ,,4,135,130,5,2852.0
0:28.0,T. Young makes free throw 2 of 2,136-130, ,,4,136,130,6,2852.0
0:18.0, ,136-133,J. Sochan makes 3-pt jump shot from 24 ft (assist by T. Jones),,4,136,133,3,2862.0
0:17.0,Personal take foul by J. Sochan (drawn by T. Young),136-133, ,,4,136,133,3,2863.0
0:17.0,T. Young makes free throw 1 of 2,137-133, ,,4,137,133,4,2863.0
0:17.0,T. Young misses free throw 2 of 2,137-133, ,,4,137,133,4,2863.0
0:15.0, ,137-133,Defensive rebound by V. Wembanyama,,4,137,133,4,2865.0
0:10.0, ,137-133,V. Wembanyama misses 3-pt jump shot from 27 ft,,4,137,133,4,2870.0
0:06.0, ,137-133,Offensive rebound by K. Johnson,,4,137,133,4,2874.0
0:06.0, ,137-135,K. Johnson makes 2-pt layup from 2 ft,,4,137,135,2,2874.0
0:06.0,Atlanta full timeout,137-135, ,,4,137,135,2,2874.0
0:04.0,Turnover by S. Bey (bad pass; steal by J. Sochan),137-135, ,,4,137,135,2,2876.0
0:02.0, ,137-135,Offensive foul by J. Sochan (drawn by T. Young),,4,137,135,2,2878.0
0:02.0, ,137-135,Turnover by J. Sochan (offensive foul),,4,137,135,2,2878.0
0:00.0,End of 4th quarter,137-135,,,4,137,135,2,2880.0
