Time,Atlanta,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:39.0,G. Mathews makes free throw 3 of 3,98-102, ,,4,98,102,-4,2241.0
10:26.0, ,98-102,B. Beal misses 2-pt jump shot from 17 ft,,4,98,102,-4,2254.0
10:24.0,Defensive rebound by D. Hunter,98-102, ,,4,98,102,-4,2256.0
10:14.0,D. Hunter misses 2-pt jump shot from 16 ft,98-102, ,,4,98,102,-4,2266.0
10:12.0, ,98-102,Defensive rebound by E. Gordon,,4,98,102,-4,2268.0
10:03.0, ,98-102,J. Nurkić misses 2-pt layup from 2 ft,,4,98,102,-4,2277.0
10:02.0, ,98-102,Offensive rebound by J. Nurkić,,4,98,102,-4,2278.0
10:02.0, ,98-102,J. Nurkić misses 2-pt layup at rim,,4,98,102,-4,2278.0
10:02.0, ,98-102,Shooting foul by O. Okongwu (drawn by J. Nurkić),,4,98,102,-4,2278.0
10:02.0, ,98-102,J. Nurkić misses free throw 1 of 2,,4,98,102,-4,2278.0
10:02.0, ,98-102,Offensive rebound by Team,,4,98,102,-4,2278.0
10:02.0,W. Matthews enters the game for D. Hunter,98-102, ,,4,98,102,-4,2278.0
10:02.0, ,98-103,J. Nurkić makes free throw 2 of 2,,4,98,103,-5,2278.0
9:44.0,W. Matthews misses 2-pt jump shot from 11 ft,98-103, ,,4,98,103,-5,2296.0
9:41.0, ,98-103,Defensive rebound by R. O'Neale,,4,98,103,-5,2299.0
9:32.0, ,98-106,R. O'Neale makes 3-pt jump shot from 28 ft (assist by B. Beal),,4,98,106,-8,2308.0
9:04.0,Turnover by Team (shot clock),98-106, ,,4,98,106,-8,2336.0
8:44.0, ,98-109,B. Beal makes 3-pt jump shot from 25 ft (assist by E. Gordon),,4,98,109,-11,2356.0
8:20.0,D. Murray misses 3-pt jump shot from 26 ft,98-109, ,,4,98,109,-11,2380.0
8:17.0, ,98-109,Defensive rebound by B. Beal,,4,98,109,-11,2383.0
8:09.0, ,98-109,Personal foul by O. Okongwu (drawn by J. Nurkić),,4,98,109,-11,2391.0
7:58.0, ,98-112,B. Bol makes 3-pt jump shot from 23 ft (assist by J. Nurkić),,4,98,112,-14,2402.0
7:57.0,Atlanta full timeout,98-112, ,,4,98,112,-14,2403.0
7:57.0,V. Krejci enters the game for B. Bogdanović,98-112, ,,4,98,112,-14,2403.0
7:48.0,Shooting foul by B. Bol (drawn by G. Mathews),98-112, ,,4,98,112,-14,2412.0
7:48.0,Instant Replay (Request: Stands),98-112, ,,4,98,112,-14,2412.0
7:48.0,G. Mathews misses free throw 1 of 3,98-112, ,,4,98,112,-14,2412.0
7:48.0,Offensive rebound by Team,98-112, ,,4,98,112,-14,2412.0
7:48.0,G. Mathews makes free throw 2 of 3,99-112, ,,4,99,112,-13,2412.0
7:48.0,G. Mathews makes free throw 3 of 3,100-112, ,,4,100,112,-12,2412.0
7:38.0, ,100-112,R. O'Neale misses 3-pt jump shot from 28 ft,,4,100,112,-12,2422.0
7:34.0,Defensive rebound by G. Mathews,100-112, ,,4,100,112,-12,2426.0
7:30.0,G. Mathews makes 2-pt layup from 1 ft,102-112, ,,4,102,112,-10,2430.0
7:17.0, ,102-112,Shooting foul by O. Okongwu (drawn by J. Nurkić),,4,102,112,-10,2443.0
7:17.0, ,102-112,J. Nurkić misses free throw 1 of 2,,4,102,112,-10,2443.0
7:17.0, ,102-112,Offensive rebound by Team,,4,102,112,-10,2443.0
7:17.0, ,102-112,G. Allen enters the game for B. Beal,,4,102,112,-10,2443.0
7:17.0, ,102-112,D. Booker enters the game for B. Bol,,4,102,112,-10,2443.0
7:17.0, ,102-112,K. Durant enters the game for R. O'Neale,,4,102,112,-10,2443.0
7:17.0, ,102-113,J. Nurkić makes free throw 2 of 2,,4,102,113,-11,2443.0
7:06.0,Flagrant foul type 1 by K. Durant (drawn by D. Murray),102-113, ,,4,102,113,-11,2454.0
7:06.0,Instant Replay (Request: Ruling Stands),102-113, ,,4,102,113,-11,2454.0
7:06.0,D. Murray misses flagrant free throw 1 of 3,102-113, ,,4,102,113,-11,2454.0
7:06.0,Offensive rebound by Team,102-113, ,,4,102,113,-11,2454.0
7:06.0,D. Murray makes flagrant free throw 2 of 3,103-113, ,,4,103,113,-10,2454.0
7:06.0,D. Murray makes flagrant free throw 3 of 3,104-113, ,,4,104,113,-9,2454.0
7:00.0,D. Murray misses 2-pt layup from 9 ft (block by G. Allen),104-113, ,,4,104,113,-9,2460.0
7:00.0,Offensive rebound by Team,104-113, ,,4,104,113,-9,2460.0
6:53.0,O. Okongwu makes 2-pt dunk from 1 ft (assist by G. Mathews),106-113, ,,4,106,113,-7,2467.0
6:37.0, ,106-113,G. Allen misses 3-pt jump shot from 28 ft,,4,106,113,-7,2483.0
6:34.0,Defensive rebound by W. Matthews,106-113, ,,4,106,113,-7,2486.0
6:30.0,G. Mathews misses 3-pt jump shot from 27 ft,106-113, ,,4,106,113,-7,2490.0
6:30.0,Offensive rebound by Team,106-113, ,,4,106,113,-7,2490.0
6:30.0,B. Bogdanović enters the game for G. Mathews,106-113, ,,4,106,113,-7,2490.0
6:30.0,C. Capela enters the game for W. Matthews,106-113, ,,4,106,113,-7,2490.0
6:30.0,D. Hunter enters the game for O. Okongwu,106-113, ,,4,106,113,-7,2490.0
6:30.0, ,106-113,B. Beal enters the game for E. Gordon,,4,106,113,-7,2490.0
6:16.0,C. Capela misses 2-pt hook shot from 11 ft,106-113, ,,4,106,113,-7,2504.0
6:15.0,Offensive rebound by Team,106-113, ,,4,106,113,-7,2505.0
6:15.0,Turnover by Team (shot clock),106-113, ,,4,106,113,-7,2505.0
5:56.0, ,106-115,K. Durant makes 2-pt jump shot from 11 ft (assist by B. Beal),,4,106,115,-9,2524.0
5:51.0,Atlanta full timeout,106-115, ,,4,106,115,-9,2529.0
5:45.0,Shooting foul by B. Beal (drawn by D. Hunter),106-115, ,,4,106,115,-9,2535.0
5:45.0,D. Hunter makes free throw 1 of 2,107-115, ,,4,107,115,-8,2535.0
5:45.0,D. Hunter makes free throw 2 of 2,108-115, ,,4,108,115,-7,2535.0
5:33.0, ,108-115,Turnover by B. Beal (bad pass; steal by B. Bogdanović),,4,108,115,-7,2547.0
5:24.0,C. Capela makes 2-pt dunk from 2 ft (assist by B. Bogdanović),110-115, ,,4,110,115,-5,2556.0
5:03.0, ,110-115,J. Nurkić misses 2-pt hook shot from 3 ft (block by C. Capela),,4,110,115,-5,2577.0
5:01.0,Defensive rebound by C. Capela,110-115, ,,4,110,115,-5,2579.0
4:53.0,V. Krejci misses 3-pt jump shot from 26 ft,110-115, ,,4,110,115,-5,2587.0
4:49.0, ,110-115,Defensive rebound by G. Allen,,4,110,115,-5,2591.0
4:29.0, ,110-115,Turnover by B. Beal (step out of bounds),,4,110,115,-5,2611.0
4:11.0,C. Capela misses 2-pt layup from 4 ft (block by G. Allen),110-115, ,,4,110,115,-5,2629.0
4:09.0, ,110-115,Defensive rebound by J. Nurkić,,4,110,115,-5,2631.0
4:03.0, ,110-115,G. Allen misses 3-pt jump shot from 26 ft,,4,110,115,-5,2637.0
3:58.0, ,110-115,Offensive rebound by D. Booker,,4,110,115,-5,2642.0
3:46.0, ,110-117,K. Durant makes 2-pt jump shot from 3 ft,,4,110,117,-7,2654.0
3:26.0, ,110-117,Flagrant foul type 1 by D. Murray (drawn by B. Beal),,4,110,117,-7,2674.0
3:26.0,Turnover by D. Murray (offensive foul),110-117, ,,4,110,117,-7,2674.0
3:26.0,Instant Replay (Request: Ruling Stands),110-117, ,,4,110,117,-7,2674.0
3:26.0, ,110-118,B. Beal makes flagrant free throw 1 of 2,,4,110,118,-8,2674.0
3:26.0, ,110-119,B. Beal makes flagrant free throw 2 of 2,,4,110,119,-9,2674.0
3:15.0, ,110-119,K. Durant misses 3-pt jump shot from 23 ft,,4,110,119,-9,2685.0
3:11.0,Defensive rebound by C. Capela,110-119, ,,4,110,119,-9,2689.0
3:04.0,D. Murray misses 2-pt layup from 3 ft (block by K. Durant),110-119, ,,4,110,119,-9,2696.0
3:01.0, ,110-119,Defensive rebound by D. Booker,,4,110,119,-9,2699.0
2:49.0, ,110-122,D. Booker makes 3-pt jump shot from 26 ft,,4,110,122,-12,2711.0
2:34.0,B. Bogdanović misses 3-pt jump shot from 25 ft,110-122, ,,4,110,122,-12,2726.0
2:31.0,Offensive rebound by B. Bogdanović,110-122, ,,4,110,122,-12,2729.0
2:30.0,B. Bogdanović misses 3-pt jump shot from 25 ft,110-122, ,,4,110,122,-12,2730.0
2:28.0,Offensive rebound by D. Murray,110-122, ,,4,110,122,-12,2732.0
2:24.0,D. Murray makes 3-pt jump shot from 26 ft,113-122, ,,4,113,122,-9,2736.0
2:08.0, ,113-122,Offensive foul by B. Beal (drawn by C. Capela),,4,113,122,-9,2752.0
2:08.0, ,113-122,Turnover by B. Beal (offensive foul),,4,113,122,-9,2752.0
1:51.0,D. Murray misses 3-pt jump shot from 24 ft,113-122, ,,4,113,122,-9,2769.0
1:48.0, ,113-122,Defensive rebound by J. Nurkić,,4,113,122,-9,2772.0
1:42.0, ,113-122,Phoenix full timeout,,4,113,122,-9,2778.0
1:33.0, ,113-122,D. Booker misses 3-pt jump shot from 28 ft,,4,113,122,-9,2787.0
1:30.0,Defensive rebound by D. Hunter,113-122, ,,4,113,122,-9,2790.0
1:23.0,V. Krejci misses 3-pt jump shot from 26 ft,113-122, ,,4,113,122,-9,2797.0
1:19.0, ,113-122,Defensive rebound by B. Beal,,4,113,122,-9,2801.0
1:00.0, ,113-125,D. Booker makes 3-pt jump shot from 23 ft (assist by B. Beal),,4,113,125,-12,2820.0
0:45.0,Shooting foul by G. Allen (drawn by D. Hunter),113-125, ,,4,113,125,-12,2835.0
0:45.0,D. Hunter makes free throw 1 of 2,114-125, ,,4,114,125,-11,2835.0
0:45.0,D. Hunter makes free throw 2 of 2,115-125, ,,4,115,125,-10,2835.0
0:22.0, ,115-128,D. Booker makes 3-pt jump shot from 26 ft (assist by B. Beal),,4,115,128,-13,2858.0
0:00.0,End of 4th quarter,115-128,,,4,115,128,-13,2880.0
