Time,San Antonio,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:53.0, ,9-16,Defensive rebound by D. Murray,,1,16,9,7,427.0
4:46.0, ,9-16,D. Murray misses 2-pt layup from 1 ft,,1,16,9,7,434.0
4:42.0, ,9-16,Offensive rebound by O. Okongwu,,1,16,9,7,438.0
4:42.0, ,9-18,O. Okongwu makes 2-pt layup at rim,,1,18,9,9,438.0
4:34.0,K. Johnson misses 3-pt jump shot from 25 ft,9-18, ,,1,18,9,9,446.0
4:30.0, ,9-18,Defensive rebound by D. Murray,,1,18,9,9,450.0
4:19.0, ,9-18,S. Bey misses 3-pt jump shot from 23 ft,,1,18,9,9,461.0
4:16.0, ,9-18,Offensive rebound by T. Forrest,,1,18,9,9,464.0
4:16.0, ,9-18,T. Forrest misses 2-pt layup at rim,,1,18,9,9,464.0
4:15.0,Defensive rebound by D. Barlow,9-18, ,,1,18,9,9,465.0
4:07.0,Shooting foul by T. Forrest (drawn by D. Barlow),9-18, ,,1,18,9,9,473.0
4:07.0,D. Barlow makes free throw 1 of 2,10-18, ,,1,18,10,8,473.0
4:07.0,C. Osman enters the game for D. Vassell,10-18, ,,1,18,10,8,473.0
4:07.0, ,10-18,J. Johnson enters the game for S. Bey,,1,18,10,8,473.0
4:07.0, ,10-18,G. Mathews enters the game for T. Forrest,,1,18,10,8,473.0
4:07.0, ,10-18,T. Young enters the game for D. Murray,,1,18,10,8,473.0
4:07.0,D. Barlow misses free throw 2 of 2,10-18, ,,1,18,10,8,473.0
4:05.0, ,10-18,Defensive rebound by B. Bogdanović,,1,18,10,8,475.0
3:56.0, ,10-18,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,18,10,8,484.0
3:53.0,Defensive rebound by J. Sochan,10-18, ,,1,18,10,8,487.0
3:38.0,C. Osman misses 3-pt jump shot from 23 ft,10-18, ,,1,18,10,8,502.0
3:35.0, ,10-18,Defensive rebound by J. Johnson,,1,18,10,8,505.0
3:27.0, ,10-21,G. Mathews makes 3-pt jump shot from 25 ft (assist by J. Johnson),,1,21,10,11,513.0
3:17.0,Offensive foul by J. Sochan (drawn by G. Mathews),10-21, ,,1,21,10,11,523.0
3:17.0,Turnover by J. Sochan (offensive foul),10-21, ,,1,21,10,11,523.0
3:17.0,B. Wesley enters the game for J. Sochan,10-21, ,,1,21,10,11,523.0
3:06.0, ,10-24,T. Young makes 3-pt jump shot from 26 ft,,1,24,10,14,534.0
