Time,San Antonio,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:58.0,Defensive rebound by D. Barlow,47-73, ,,3,73,47,26,1742.0
6:45.0,Shooting foul by C. Capela (drawn by B. Wesley),47-73, ,,3,73,47,26,1755.0
6:45.0,B. Wesley misses free throw 1 of 2,47-73, ,,3,73,47,26,1755.0
6:45.0,Offensive rebound by Team,47-73, ,,3,73,47,26,1755.0
6:45.0, ,47-73,O. Okongwu enters the game for C. Capela,,3,73,47,26,1755.0
6:45.0,B. Wesley makes free throw 2 of 2,48-73, ,,3,73,48,25,1755.0
6:29.0, ,48-76,S. Bey makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,3,76,48,28,1771.0
6:15.0,J. Champagnie misses 3-pt jump shot from 25 ft,48-76, ,,3,76,48,28,1785.0
6:13.0, ,48-76,Defensive rebound by D. Murray,,3,76,48,28,1787.0
6:05.0, ,48-78,D. Murray makes 2-pt jump shot from 17 ft,,3,78,48,30,1795.0
6:03.0,San Antonio full timeout,48-78, ,,3,78,48,30,1797.0
6:03.0,K. Johnson enters the game for D. Barlow,48-78, ,,3,78,48,30,1797.0
6:03.0,T. Jones enters the game for J. Champagnie,48-78, ,,3,78,48,30,1797.0
6:03.0,D. Vassell enters the game for C. Osman,48-78, ,,3,78,48,30,1797.0
6:03.0,V. Wembanyama enters the game for B. Wesley,48-78, ,,3,78,48,30,1797.0
5:43.0,T. Jones misses 2-pt jump shot from 4 ft,48-78, ,,3,78,48,30,1817.0
5:38.0,Offensive rebound by V. Wembanyama,48-78, ,,3,78,48,30,1822.0
5:38.0,V. Wembanyama makes 2-pt dunk at rim,50-78, ,,3,78,50,28,1822.0
5:28.0, ,50-78,Turnover by O. Okongwu (bad pass; steal by T. Jones),,3,78,50,28,1832.0
5:18.0,K. Johnson misses 3-pt jump shot from 26 ft,50-78, ,,3,78,50,28,1842.0
5:15.0, ,50-78,Defensive rebound by D. Murray,,3,78,50,28,1845.0
5:12.0, ,50-78,Turnover by D. Murray (lost ball; steal by J. Sochan),,3,78,50,28,1848.0
5:07.0,K. Johnson misses 3-pt jump shot from 26 ft,50-78, ,,3,78,50,28,1853.0
5:04.0,Offensive rebound by J. Sochan,50-78, ,,3,78,50,28,1856.0
5:03.0,J. Sochan misses 2-pt hook shot from 5 ft,50-78, ,,3,78,50,28,1857.0
5:00.0, ,50-78,Defensive rebound by O. Okongwu,,3,78,50,28,1860.0
4:50.0, ,50-78,T. Forrest misses 2-pt jump shot from 9 ft,,3,78,50,28,1870.0
4:46.0, ,50-78,Offensive rebound by S. Bey,,3,78,50,28,1874.0
4:46.0, ,50-80,S. Bey makes 2-pt layup at rim,,3,80,50,30,1874.0
4:43.0,V. Wembanyama makes 2-pt dunk from 1 ft (assist by T. Jones),52-80, ,,3,80,52,28,1877.0
4:30.0, ,52-80,S. Bey misses 3-pt jump shot from 26 ft,,3,80,52,28,1890.0
4:28.0,Defensive rebound by T. Jones,52-80, ,,3,80,52,28,1892.0
4:19.0,Shooting foul by O. Okongwu (drawn by K. Johnson),52-80, ,,3,80,52,28,1901.0
4:19.0,K. Johnson misses free throw 1 of 2,52-80, ,,3,80,52,28,1901.0
4:19.0,Offensive rebound by Team,52-80, ,,3,80,52,28,1901.0
4:19.0,J. Champagnie enters the game for J. Sochan,52-80, ,,3,80,52,28,1901.0
4:19.0, ,52-80,J. Johnson enters the game for S. Bey,,3,80,52,28,1901.0
4:19.0, ,52-80,T. Young enters the game for D. Murray,,3,80,52,28,1901.0
4:19.0,K. Johnson makes free throw 2 of 2,53-80, ,,3,80,53,27,1901.0
4:08.0, ,53-83,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),,3,83,53,30,1912.0
3:45.0,J. Champagnie makes 3-pt jump shot from 25 ft (assist by T. Jones),56-83, ,,3,83,56,27,1935.0
3:20.0, ,56-83,Turnover by T. Young (bad pass; steal by K. Johnson),,3,83,56,27,1960.0
3:16.0,D. Vassell makes 2-pt dunk at rim (assist by T. Jones),58-83, ,,3,83,58,25,1964.0
2:58.0, ,58-83,O. Okongwu misses 2-pt layup from 2 ft,,3,83,58,25,1982.0
2:55.0,Defensive rebound by K. Johnson,58-83, ,,3,83,58,25,1985.0
2:53.0,V. Wembanyama makes 2-pt dunk at rim (assist by T. Jones),60-83, ,,3,83,60,23,1987.0
2:28.0, ,60-83,O. Okongwu misses 3-pt jump shot from 23 ft,,3,83,60,23,2012.0
2:26.0,Defensive rebound by V. Wembanyama,60-83, ,,3,83,60,23,2014.0
2:22.0,J. Champagnie makes 3-pt jump shot from 25 ft (assist by T. Jones),63-83, ,,3,83,63,20,2018.0
2:21.0, ,63-83,Atlanta full timeout,,3,83,63,20,2019.0
2:21.0, ,63-83,G. Mathews enters the game for T. Forrest,,3,83,63,20,2019.0
2:05.0,San Antonio full timeout,63-83, ,,3,83,63,20,2035.0
2:05.0,Instant Replay (Challenge: Ruling Stands),63-83, ,,3,83,63,20,2035.0
2:05.0, ,63-83,Turnover by T. Young (bad pass),,3,83,63,20,2035.0
1:50.0,V. Wembanyama makes 2-pt layup from 2 ft (assist by D. Vassell),65-83, ,,3,83,65,18,2050.0
1:34.0, ,65-83,T. Young misses 2-pt jump shot from 12 ft,,3,83,65,18,2066.0
1:32.0,Defensive rebound by V. Wembanyama,65-83, ,,3,83,65,18,2068.0
1:22.0,D. Vassell misses 2-pt jump shot from 7 ft,65-83, ,,3,83,65,18,2078.0
1:20.0, ,65-83,Defensive rebound by J. Johnson,,3,83,65,18,2080.0
1:14.0, ,65-83,T. Young misses 3-pt jump shot from 28 ft,,3,83,65,18,2086.0
1:09.0,Defensive rebound by V. Wembanyama,65-83, ,,3,83,65,18,2091.0
1:08.0,Turnover by T. Jones (traveling),65-83, ,,3,83,65,18,2092.0
0:53.0, ,65-83,Shooting foul by K. Johnson (drawn by T. Young),,3,83,65,18,2107.0
0:53.0, ,65-84,T. Young makes free throw 1 of 2,,3,84,65,19,2107.0
0:53.0, ,65-85,T. Young makes free throw 2 of 2,,3,85,65,20,2107.0
0:40.0,K. Johnson misses 3-pt jump shot from 23 ft,65-85, ,,3,85,65,20,2120.0
0:37.0, ,65-85,Defensive rebound by T. Young,,3,85,65,20,2123.0
0:31.0, ,65-85,Turnover by B. Bogdanović (traveling),,3,85,65,20,2129.0
0:11.0,T. Jones makes 2-pt jump shot from 7 ft,67-85, ,,3,85,67,18,2149.0
0:00.0, ,67-87,T. Young makes 2-pt jump shot from 6 ft,,3,87,67,20,2160.0
0:00.0, ,67-87,Instant Replay (Request: Ruling Stands),,3,87,67,20,2160.0
0:00.0,End of 3rd quarter,67-87,,,3,87,67,20,2160.0
12:00.0,Start of 4th quarter,67-87,,,4,87,67,20,2160.0
11:47.0, ,67-87,Personal foul by J. Sochan (drawn by T. Young),,4,87,67,20,2173.0
11:43.0, ,67-87,O. Okongwu misses 2-pt dunk from 2 ft (block by V. Wembanyama),,4,87,67,20,2177.0
11:40.0,Defensive rebound by V. Wembanyama,67-87, ,,4,87,67,20,2180.0
11:39.0,Turnover by V. Wembanyama (bad pass),67-87, ,,4,87,67,20,2181.0
11:24.0, ,67-87,G. Mathews misses 3-pt jump shot from 23 ft,,4,87,67,20,2196.0
11:20.0, ,67-87,Offensive rebound by O. Okongwu,,4,87,67,20,2200.0
11:09.0, ,67-87,B. Bogdanović misses 2-pt layup from 2 ft,,4,87,67,20,2211.0
11:08.0, ,67-87,Offensive rebound by Team,,4,87,67,20,2212.0
11:08.0, ,67-87,Turnover by Team (shot clock),,4,87,67,20,2212.0
10:54.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by V. Wembanyama),70-87, ,,4,87,70,17,2226.0
10:31.0, ,70-87,G. Mathews misses 3-pt jump shot from 25 ft,,4,87,70,17,2249.0
10:31.0,Defensive rebound by Team,70-87, ,,4,87,70,17,2249.0
10:31.0, ,70-87,Loose ball foul by O. Okongwu (drawn by V. Wembanyama),,4,87,70,17,2249.0
10:16.0,D. McDermott misses 3-pt jump shot from 26 ft,70-87, ,,4,87,70,17,2264.0
10:13.0, ,70-87,Defensive rebound by B. Bogdanović,,4,87,70,17,2267.0
9:55.0, ,70-90,G. Mathews makes 3-pt jump shot from 25 ft (assist by T. Young),,4,90,70,20,2285.0
9:43.0,V. Wembanyama makes 3-pt jump shot from 26 ft (assist by T. Jones),73-90, ,,4,90,73,17,2297.0
9:26.0, ,73-90,T. Young misses 2-pt jump shot from 12 ft,,4,90,73,17,2314.0
9:23.0,Defensive rebound by V. Wembanyama,73-90, ,,4,90,73,17,2317.0
9:16.0,V. Wembanyama makes 2-pt dunk from 1 ft (assist by T. Jones),75-90, ,,4,90,75,15,2324.0
9:15.0, ,75-90,Atlanta full timeout,,4,90,75,15,2325.0
9:15.0, ,75-90,S. Bey enters the game for J. Johnson,,4,90,75,15,2325.0
9:15.0, ,75-90,C. Capela enters the game for G. Mathews,,4,90,75,15,2325.0
9:15.0, ,75-90,T. Forrest enters the game for O. Okongwu,,4,90,75,15,2325.0
9:15.0, ,75-90,D. Murray enters the game for T. Young,,4,90,75,15,2325.0
8:57.0, ,75-90,S. Bey misses 3-pt jump shot from 23 ft,,4,90,75,15,2343.0
8:54.0,Defensive rebound by D. Vassell,75-90, ,,4,90,75,15,2346.0
8:49.0,J. Sochan makes 2-pt layup from 6 ft (assist by T. Jones),77-90, ,,4,90,77,13,2351.0
8:32.0, ,77-90,Shooting foul by V. Wembanyama (drawn by C. Capela),,4,90,77,13,2368.0
8:32.0, ,77-91,C. Capela makes free throw 1 of 2,,4,91,77,14,2368.0
8:32.0,J. Champagnie enters the game for T. Jones,77-91, ,,4,91,77,14,2368.0
8:32.0,K. Johnson enters the game for D. Vassell,77-91, ,,4,91,77,14,2368.0
8:32.0,B. Wesley enters the game for V. Wembanyama,77-91, ,,4,91,77,14,2368.0
8:32.0, ,77-91,C. Capela misses free throw 2 of 2,,4,91,77,14,2368.0
8:29.0,Defensive rebound by K. Johnson,77-91, ,,4,91,77,14,2371.0
8:13.0,B. Wesley misses 2-pt layup from 2 ft,77-91, ,,4,91,77,14,2387.0
8:12.0, ,77-91,Defensive rebound by T. Forrest,,4,91,77,14,2388.0
7:57.0, ,77-91,B. Bogdanović misses 2-pt jump shot from 8 ft,,4,91,77,14,2403.0
7:52.0, ,77-91,Offensive rebound by C. Capela,,4,91,77,14,2408.0
7:52.0, ,77-93,C. Capela makes 2-pt layup at rim,,4,93,77,16,2408.0
7:34.0,D. McDermott misses 3-pt jump shot from 26 ft,77-93, ,,4,93,77,16,2426.0
7:32.0, ,77-93,Defensive rebound by D. Murray,,4,93,77,16,2428.0
7:21.0, ,77-93,B. Bogdanović misses 2-pt layup from 1 ft (block by J. Sochan),,4,93,77,16,2439.0
7:21.0, ,77-93,Offensive rebound by C. Capela,,4,93,77,16,2439.0
7:21.0, ,77-93,Shooting foul by D. McDermott (drawn by C. Capela),,4,93,77,16,2439.0
7:21.0, ,77-94,C. Capela makes free throw 1 of 2,,4,94,77,17,2439.0
7:21.0, ,77-95,C. Capela makes free throw 2 of 2,,4,95,77,18,2439.0
7:05.0,K. Johnson misses 2-pt layup from 1 ft,77-95, ,,4,95,77,18,2455.0
7:04.0,Offensive rebound by K. Johnson,77-95, ,,4,95,77,18,2456.0
7:04.0,K. Johnson makes 2-pt layup at rim,79-95, ,,4,95,79,16,2456.0
7:04.0,Shooting foul by S. Bey (drawn by K. Johnson),79-95, ,,4,95,79,16,2456.0
7:04.0,K. Johnson makes free throw 1 of 1,80-95, ,,4,95,80,15,2456.0
6:53.0, ,80-95,Turnover by B. Bogdanović (bad pass),,4,95,80,15,2467.0
6:42.0,J. Sochan makes 2-pt layup from 2 ft,82-95, ,,4,95,82,13,2478.0
6:32.0, ,82-95,Atlanta full timeout,,4,95,82,13,2488.0
6:32.0,T. Jones enters the game for B. Wesley,82-95, ,,4,95,82,13,2488.0
6:32.0, ,82-95,J. Johnson enters the game for B. Bogdanović,,4,95,82,13,2488.0
6:32.0, ,82-95,T. Young enters the game for T. Forrest,,4,95,82,13,2488.0
6:18.0, ,82-95,T. Young misses 3-pt jump shot from 29 ft,,4,95,82,13,2502.0
6:15.0,Defensive rebound by Team,82-95, ,,4,95,82,13,2505.0
6:15.0, ,82-95,Loose ball foul by J. Johnson (drawn by D. McDermott),,4,95,82,13,2505.0
6:08.0,J. Sochan makes 2-pt layup from 1 ft,84-95, ,,4,95,84,11,2512.0
5:49.0, ,84-95,Shooting foul by J. Champagnie (drawn by J. Johnson),,4,95,84,11,2531.0
5:49.0, ,84-95,S. Bey misses free throw 1 of 2,,4,95,84,11,2531.0
5:49.0, ,84-95,Offensive rebound by Team,,4,95,84,11,2531.0
5:49.0,V. Wembanyama enters the game for J. Champagnie,84-95, ,,4,95,84,11,2531.0
5:49.0, ,84-95,O. Okongwu enters the game for C. Capela,,4,95,84,11,2531.0
5:49.0, ,84-96,S. Bey makes free throw 2 of 2,,4,96,84,12,2531.0
5:40.0,J. Sochan misses 2-pt hook shot from 4 ft,84-96, ,,4,96,84,12,2540.0
5:36.0, ,84-96,Defensive rebound by D. Murray,,4,96,84,12,2544.0
5:28.0, ,84-96,Turnover by T. Young (lost ball; steal by J. Sochan),,4,96,84,12,2552.0
5:24.0,V. Wembanyama makes 2-pt dunk from 1 ft (assist by J. Sochan),86-96, ,,4,96,86,10,2556.0
5:02.0, ,86-96,J. Johnson misses 3-pt jump shot from 26 ft,,4,96,86,10,2578.0
5:00.0,Defensive rebound by J. Sochan,86-96, ,,4,96,86,10,2580.0
4:53.0,V. Wembanyama makes 2-pt dunk from 1 ft (assist by J. Sochan),88-96, ,,4,96,88,8,2587.0
4:53.0,Shooting foul by O. Okongwu (drawn by V. Wembanyama),88-96, ,,4,96,88,8,2587.0
4:53.0,D. Vassell enters the game for D. McDermott,88-96, ,,4,96,88,8,2587.0
4:53.0, ,88-96,C. Capela enters the game for O. Okongwu,,4,96,88,8,2587.0
4:53.0,V. Wembanyama makes free throw 1 of 1,89-96, ,,4,96,89,7,2587.0
4:33.0, ,89-96,T. Young misses 2-pt jump shot from 12 ft,,4,96,89,7,2607.0
4:29.0, ,89-96,Offensive rebound by C. Capela,,4,96,89,7,2611.0
4:27.0, ,89-99,D. Murray makes 3-pt jump shot from 26 ft (assist by J. Johnson),,4,99,89,10,2613.0
4:20.0,V. Wembanyama makes 2-pt dunk from 1 ft (assist by T. Jones),91-99, ,,4,99,91,8,2620.0
4:04.0, ,91-99,T. Young misses 2-pt jump shot from 11 ft (block by V. Wembanyama),,4,99,91,8,2636.0
4:02.0,Defensive rebound by V. Wembanyama,91-99, ,,4,99,91,8,2638.0
3:56.0,V. Wembanyama makes 2-pt dunk from 2 ft (assist by T. Jones),93-99, ,,4,99,93,6,2644.0
3:47.0, ,93-99,Turnover by J. Johnson (lost ball; steal by T. Jones),,4,99,93,6,2653.0
3:44.0,K. Johnson misses 2-pt layup from 6 ft,93-99, ,,4,99,93,6,2656.0
3:42.0, ,93-99,Defensive rebound by J. Johnson,,4,99,93,6,2658.0
3:28.0, ,93-99,Offensive foul by C. Capela (drawn by T. Jones),,4,99,93,6,2672.0
3:28.0, ,93-99,Turnover by C. Capela (offensive foul),,4,99,93,6,2672.0
3:21.0,Turnover by J. Sochan (bad pass; steal by J. Johnson),93-99, ,,4,99,93,6,2679.0
3:14.0, ,93-101,J. Johnson makes 2-pt layup from 3 ft (assist by T. Young),,4,101,93,8,2686.0
3:14.0, ,93-101,Shooting foul by V. Wembanyama (drawn by J. Johnson),,4,101,93,8,2686.0
3:14.0, ,93-102,J. Johnson makes free throw 1 of 1,,4,102,93,9,2686.0
2:55.0,V. Wembanyama makes 2-pt dunk from 1 ft (assist by J. Sochan),95-102, ,,4,102,95,7,2705.0
2:37.0, ,95-104,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),,4,104,95,9,2723.0
2:24.0,K. Johnson misses 3-pt jump shot from 23 ft,95-104, ,,4,104,95,9,2736.0
2:21.0, ,95-104,Defensive rebound by C. Capela,,4,104,95,9,2739.0
2:17.0, ,95-104,J. Johnson misses 2-pt jump shot from 5 ft,,4,104,95,9,2743.0
2:14.0,Defensive rebound by V. Wembanyama,95-104, ,,4,104,95,9,2746.0
2:14.0,Turnover by V. Wembanyama (bad pass),95-104, ,,4,104,95,9,2746.0
2:12.0, ,95-104,D. Murray misses 3-pt jump shot from 22 ft,,4,104,95,9,2748.0
2:08.0,Defensive rebound by V. Wembanyama,95-104, ,,4,104,95,9,2752.0
2:04.0,Offensive foul by K. Johnson (drawn by C. Capela),95-104, ,,4,104,95,9,2756.0
2:04.0,Turnover by K. Johnson (offensive foul),95-104, ,,4,104,95,9,2756.0
1:56.0, ,95-104,Personal foul by K. Johnson (drawn by T. Young),,4,104,95,9,2764.0
1:56.0, ,95-105,T. Young makes free throw 1 of 2,,4,105,95,10,2764.0
1:56.0, ,95-106,T. Young makes free throw 2 of 2,,4,106,95,11,2764.0
1:45.0,D. Vassell misses 3-pt jump shot from 25 ft,95-106, ,,4,106,95,11,2775.0
1:42.0,Offensive rebound by K. Johnson,95-106, ,,4,106,95,11,2778.0
1:39.0,V. Wembanyama misses 3-pt jump shot from 26 ft,95-106, ,,4,106,95,11,2781.0
1:35.0, ,95-106,Defensive rebound by T. Young,,4,106,95,11,2785.0
1:35.0, ,95-106,Personal foul by K. Johnson (drawn by T. Young),,4,106,95,11,2785.0
1:35.0, ,95-106,T. Young misses free throw 1 of 2,,4,106,95,11,2785.0
1:35.0, ,95-106,Offensive rebound by Team,,4,106,95,11,2785.0
1:35.0,J. Champagnie enters the game for K. Johnson,95-106, ,,4,106,95,11,2785.0
1:35.0, ,95-107,T. Young makes free throw 2 of 2,,4,107,95,12,2785.0
1:29.0,J. Sochan misses 2-pt dunk from 1 ft (block by C. Capela),95-107, ,,4,107,95,12,2791.0
1:28.0,Offensive rebound by Team,95-107, ,,4,107,95,12,2792.0
1:22.0,T. Jones makes 2-pt layup from 2 ft (assist by V. Wembanyama),97-107, ,,4,107,97,10,2798.0
1:02.0, ,97-107,D. Murray misses 3-pt jump shot from 27 ft,,4,107,97,10,2818.0
0:59.0,Defensive rebound by J. Sochan,97-107, ,,4,107,97,10,2821.0
0:54.0,V. Wembanyama misses 3-pt jump shot from 25 ft,97-107, ,,4,107,97,10,2826.0
0:51.0, ,97-107,Defensive rebound by S. Bey,,4,107,97,10,2829.0
0:37.0, ,97-109,J. Johnson makes 2-pt dunk at rim (assist by T. Young),,4,109,97,12,2843.0
0:33.0,V. Wembanyama makes 2-pt layup from 1 ft (assist by T. Jones),99-109, ,,4,109,99,10,2847.0
0:08.0, ,99-109,Turnover by Team (shot clock),,4,109,99,10,2872.0
0:00.0,End of 4th quarter,99-109,,,4,109,99,10,2880.0
