Time,Phoenix,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:19.0,D. Booker misses free throw 2 of 2,95-93, ,,3,93,95,-2,2081.0
1:15.0,Offensive rebound by D. Booker,95-93, ,,3,93,95,-2,2085.0
1:15.0,D. Booker misses 2-pt jump shot from 17 ft,95-93, ,,3,93,95,-2,2085.0
1:13.0, ,95-93,Defensive rebound by W. Matthews,,3,93,95,-2,2087.0
1:04.0, ,95-93,Shooting foul by D. Booker (drawn by D. Murray),,3,93,95,-2,2096.0
1:04.0, ,95-93,D. Murray misses free throw 1 of 2,,3,93,95,-2,2096.0
1:04.0, ,95-93,Offensive rebound by Team,,3,93,95,-2,2096.0
1:04.0,J. Okogie enters the game for D. Booker,95-93, ,,3,93,95,-2,2096.0
1:04.0, ,95-94,D. Murray makes free throw 2 of 2,,3,94,95,-1,2096.0
0:51.0,K. Bates-Diop misses 3-pt jump shot from 24 ft,95-94, ,,3,94,95,-1,2109.0
0:49.0, ,95-94,Defensive rebound by D. Murray,,3,94,95,-1,2111.0
0:49.0,Technical foul by D. Eubanks,95-94, ,,3,94,95,-1,2111.0
0:49.0, ,95-95,B. Bogdanović makes technical free throw,Tie,3,95,95,0,2111.0
0:36.0, ,95-98,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Murray),Lead change,3,98,95,3,2124.0
0:25.0,B. Beal misses 3-pt jump shot from 26 ft,95-98, ,,3,98,95,3,2135.0
0:21.0, ,95-98,Defensive rebound by D. Murray,,3,98,95,3,2139.0
0:03.0, ,95-98,Shooting foul by B. Beal (drawn by D. Murray),,3,98,95,3,2157.0
0:03.0, ,95-99,D. Murray makes free throw 1 of 2,,3,99,95,4,2157.0
0:03.0, ,95-100,D. Murray makes free throw 2 of 2,,3,100,95,5,2157.0
0:00.0, ,95-100,Instant Replay (Request: Ruling Stands),,3,100,95,5,2160.0
0:00.0,End of 3rd quarter,95-100,,,3,100,95,5,2160.0
12:00.0,Start of 4th quarter,95-100,,,4,100,95,5,2160.0
11:45.0,Phoenix full timeout,95-100, ,,4,100,95,5,2175.0
11:45.0,Instant Replay (Challenge: Ruling Stands),95-100, ,,4,100,95,5,2175.0
11:45.0, ,95-100,Turnover by T. Young (bad pass),,4,100,95,5,2175.0
11:24.0,Turnover by B. Beal (traveling),95-100, ,,4,100,95,5,2196.0
11:14.0, ,95-102,T. Young makes 2-pt jump shot from 12 ft,,4,102,95,7,2206.0
11:00.0,K. Durant misses 3-pt jump shot from 26 ft,95-102, ,,4,102,95,7,2220.0
11:00.0, ,95-102,Defensive rebound by O. Okongwu,,4,102,95,7,2220.0
10:45.0, ,95-104,J. Johnson makes 2-pt jump shot from 10 ft (assist by T. Young),,4,104,95,9,2235.0
10:30.0,D. Eubanks makes 2-pt jump shot from 11 ft (assist by B. Beal),97-104, ,,4,104,97,7,2250.0
10:11.0, ,97-104,W. Matthews misses 3-pt jump shot from 25 ft,,4,104,97,7,2269.0
10:08.0,Defensive rebound by D. Eubanks,97-104, ,,4,104,97,7,2272.0
10:04.0,Shooting foul by W. Matthews (drawn by B. Beal),97-104, ,,4,104,97,7,2276.0
10:04.0,B. Beal makes free throw 1 of 2,98-104, ,,4,104,98,6,2276.0
10:04.0, ,98-104,D. Murray enters the game for W. Matthews,,4,104,98,6,2276.0
10:04.0,B. Beal makes free throw 2 of 2,99-104, ,,4,104,99,5,2276.0
9:46.0, ,99-106,D. Murray makes 2-pt layup from 1 ft (assist by B. Bogdanović),,4,106,99,7,2294.0
9:33.0,Turnover by K. Durant (bad pass; steal by D. Murray),99-106, ,,4,106,99,7,2307.0
9:28.0, ,99-108,D. Murray makes 2-pt layup from 1 ft,,4,108,99,9,2312.0
9:28.0,Phoenix full timeout,99-108, ,,4,108,99,9,2312.0
9:28.0,D. Booker enters the game for B. Beal,99-108, ,,4,108,99,9,2312.0
9:12.0,K. Durant makes 2-pt layup from 1 ft,101-108, ,,4,108,101,7,2328.0
8:52.0, ,101-108,T. Young misses 3-pt jump shot from 26 ft,,4,108,101,7,2348.0
8:47.0,Defensive rebound by E. Gordon,101-108, ,,4,108,101,7,2353.0
8:47.0,Turnover by E. Gordon (out of bounds lost ball),101-108, ,,4,108,101,7,2353.0
8:36.0, ,101-111,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),,4,111,101,10,2364.0
8:22.0,K. Durant makes 3-pt jump shot from 26 ft,104-111, ,,4,111,104,7,2378.0
8:00.0, ,104-111,Turnover by J. Johnson (bad pass),,4,111,104,7,2400.0
7:51.0,K. Durant misses 2-pt jump shot from 12 ft,104-111, ,,4,111,104,7,2409.0
7:47.0, ,104-111,Defensive rebound by J. Johnson,,4,111,104,7,2413.0
7:41.0, ,104-111,J. Johnson misses 2-pt layup from 4 ft (block by K. Durant),,4,111,104,7,2419.0
7:37.0,Defensive rebound by K. Durant,104-111, ,,4,111,104,7,2423.0
7:27.0,D. Eubanks makes 2-pt layup from 1 ft (assist by D. Booker),106-111, ,,4,111,106,5,2433.0
7:05.0, ,106-114,D. Murray makes 3-pt jump shot from 24 ft (assist by T. Young),,4,114,106,8,2455.0
6:53.0,Personal foul by D. Murray (drawn by D. Booker),106-114, ,,4,114,106,8,2467.0
6:53.0,J. Nurkić enters the game for D. Eubanks,106-114, ,,4,114,106,8,2467.0
6:53.0, ,106-114,C. Capela enters the game for O. Okongwu,,4,114,106,8,2467.0
6:51.0,Turnover by D. Booker (back court),106-114, ,,4,114,106,8,2469.0
6:51.0,G. Allen enters the game for E. Gordon,106-114, ,,4,114,106,8,2469.0
6:51.0,B. Beal enters the game for J. Okogie,106-114, ,,4,114,106,8,2469.0
6:41.0, ,106-114,B. Bogdanović misses 3-pt jump shot from 24 ft,,4,114,106,8,2479.0
6:39.0,Defensive rebound by G. Allen,106-114, ,,4,114,106,8,2481.0
6:36.0,B. Beal makes 2-pt layup from 1 ft (assist by G. Allen),108-114, ,,4,114,108,6,2484.0
6:36.0,Shooting foul by B. Bogdanović (drawn by B. Beal),108-114, ,,4,114,108,6,2484.0
6:36.0,B. Beal makes free throw 1 of 1,109-114, ,,4,114,109,5,2484.0
6:20.0, ,109-116,B. Bogdanović makes 2-pt jump shot from 22 ft (assist by T. Young),,4,116,109,7,2500.0
5:52.0,K. Durant makes 2-pt layup from 2 ft,111-116, ,,4,116,111,5,2528.0
5:37.0, ,111-118,T. Young makes 2-pt jump shot from 7 ft,,4,118,111,7,2543.0
5:28.0,B. Beal misses 2-pt jump shot from 17 ft,111-118, ,,4,118,111,7,2552.0
5:23.0, ,111-118,Defensive rebound by D. Murray,,4,118,111,7,2557.0
5:12.0, ,111-118,D. Murray misses 2-pt jump shot from 10 ft,,4,118,111,7,2568.0
5:09.0,Defensive rebound by D. Booker,111-118, ,,4,118,111,7,2571.0
5:08.0,Turnover by K. Durant (lost ball; steal by T. Young),111-118, ,,4,118,111,7,2572.0
5:05.0, ,111-121,T. Young makes 3-pt jump shot from 26 ft,,4,121,111,10,2575.0
4:54.0,Personal foul by B. Bogdanović (drawn by D. Booker),111-121, ,,4,121,111,10,2586.0
4:45.0,K. Durant makes 2-pt jump shot from 10 ft,113-121, ,,4,121,113,8,2595.0
4:21.0, ,113-121,D. Murray misses 3-pt jump shot from 24 ft,,4,121,113,8,2619.0
4:18.0,Defensive rebound by K. Durant,113-121, ,,4,121,113,8,2622.0
4:15.0,Personal foul by J. Johnson (drawn by K. Durant),113-121, ,,4,121,113,8,2625.0
4:15.0,K. Durant makes free throw 1 of 2,114-121, ,,4,121,114,7,2625.0
4:15.0,E. Gordon enters the game for J. Nurkić,114-121, ,,4,121,114,7,2625.0
4:15.0, ,114-121,O. Okongwu enters the game for C. Capela,,4,121,114,7,2625.0
4:15.0,K. Durant makes free throw 2 of 2,115-121, ,,4,121,115,6,2625.0
3:57.0, ,115-121,Turnover by T. Young (bad pass; steal by E. Gordon),,4,121,115,6,2643.0
3:50.0,E. Gordon misses 3-pt jump shot from 26 ft,115-121, ,,4,121,115,6,2650.0
3:47.0, ,115-121,Defensive rebound by Team,,4,121,115,6,2653.0
3:47.0, ,115-121,Atlanta full timeout,,4,121,115,6,2653.0
3:36.0, ,115-121,D. Murray misses 2-pt layup from 1 ft,,4,121,115,6,2664.0
3:31.0, ,115-121,Offensive rebound by O. Okongwu,,4,121,115,6,2669.0
3:31.0, ,115-123,O. Okongwu makes 2-pt dunk at rim,,4,123,115,8,2669.0
3:17.0,K. Durant makes 3-pt jump shot from 26 ft (assist by G. Allen),118-123, ,,4,123,118,5,2683.0
3:00.0, ,118-125,D. Murray makes 2-pt jump shot from 10 ft,,4,125,118,7,2700.0
2:41.0,Turnover by E. Gordon (step out of bounds),118-125, ,,4,125,118,7,2719.0
2:24.0, ,118-125,Shooting foul by K. Durant (drawn by D. Murray),,4,125,118,7,2736.0
2:24.0, ,118-126,D. Murray makes free throw 1 of 2,,4,126,118,8,2736.0
2:24.0, ,118-126,Instant Replay,,4,126,118,8,2736.0
2:24.0, ,118-127,D. Murray makes free throw 2 of 2,,4,127,118,9,2736.0
2:14.0,K. Durant makes 2-pt layup from 2 ft,120-127, ,,4,127,120,7,2746.0
1:57.0,Phoenix full timeout,120-127, ,,4,127,120,7,2763.0
1:57.0,Instant Replay (Challenge: Ruling Stands),120-127, ,,4,127,120,7,2763.0
1:57.0, ,120-127,J. Johnson misses 2-pt layup from 3 ft (block by G. Allen),,4,127,120,7,2763.0
1:57.0,Defensive rebound by Team,120-127, ,,4,127,120,7,2763.0
1:43.0,B. Beal misses 3-pt jump shot from 25 ft,120-127, ,,4,127,120,7,2777.0
1:39.0, ,120-127,Defensive rebound by J. Johnson,,4,127,120,7,2781.0
1:19.0, ,120-127,D. Murray misses 3-pt jump shot from 26 ft,,4,127,120,7,2801.0
1:14.0, ,120-127,Offensive rebound by O. Okongwu,,4,127,120,7,2806.0
1:09.0, ,120-127,Turnover by T. Young (lost ball; steal by K. Durant),,4,127,120,7,2811.0
0:56.0,G. Allen misses 3-pt jump shot from 27 ft,120-127, ,,4,127,120,7,2824.0
0:52.0, ,120-127,Defensive rebound by O. Okongwu,,4,127,120,7,2828.0
0:35.0, ,120-129,D. Murray makes 2-pt layup from 1 ft,,4,129,120,9,2845.0
0:29.0,Turnover by K. Durant (bad pass; steal by J. Johnson),120-129, ,,4,129,120,9,2851.0
0:05.0, ,120-129,Turnover by Team (shot clock),,4,129,120,9,2875.0
0:02.0,Turnover by G. Allen (lost ball; steal by T. Young),120-129, ,,4,129,120,9,2878.0
0:00.0,End of 4th quarter,120-129,,,4,129,120,9,2880.0
