Time,Atlanta,Score,Toronto,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. J. Poeltl (D. Schröder gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-2,J. Poeltl makes 2-pt layup from 1 ft (assist by O. Anunoby),,1,0,2,-2,22.0
11:19.0,T. Young misses 2-pt jump shot from 11 ft,0-2, ,,1,0,2,-2,41.0
11:17.0,Offensive rebound by C. Capela,0-2, ,,1,0,2,-2,43.0
11:15.0,T. Young misses 3-pt jump shot from 22 ft,0-2, ,,1,0,2,-2,45.0
11:12.0, ,0-2,Defensive rebound by O. Anunoby,,1,0,2,-2,48.0
11:03.0, ,0-2,Personal foul by D. Murray (drawn by J. Poeltl),,1,0,2,-2,57.0
10:54.0, ,0-5,S. Barnes makes 3-pt jump shot from 24 ft (assist by O. Anunoby),,1,0,5,-5,66.0
10:30.0,D. Murray misses 3-pt jump shot from 26 ft,0-5, ,,1,0,5,-5,90.0
10:25.0, ,0-5,Defensive rebound by D. Schröder,,1,0,5,-5,95.0
10:14.0, ,0-5,S. Barnes misses 3-pt jump shot from 23 ft,,1,0,5,-5,106.0
10:12.0,Defensive rebound by T. Young,0-5, ,,1,0,5,-5,108.0
10:03.0,D. Murray misses 2-pt layup from 2 ft,0-5, ,,1,0,5,-5,117.0
10:01.0,Offensive rebound by S. Bey,0-5, ,,1,0,5,-5,119.0
9:58.0,C. Capela makes 2-pt hook shot from 5 ft (assist by S. Bey),2-5, ,,1,2,5,-3,122.0
9:45.0, ,2-5,Turnover by O. Anunoby (traveling),,1,2,5,-3,135.0
9:28.0,C. Capela makes 2-pt hook shot from 3 ft (assist by D. Murray),4-5, ,,1,4,5,-1,152.0
9:20.0, ,4-7,S. Barnes makes 2-pt jump shot from 6 ft (assist by D. Schröder),,1,4,7,-3,160.0
9:05.0,D. Murray makes 3-pt jump shot from 25 ft (assist by T. Young),7-7, ,Tie,1,7,7,0,175.0
8:51.0, ,7-7,S. Barnes misses 3-pt jump shot from 23 ft,,1,7,7,0,189.0
8:48.0,Defensive rebound by D. Murray,7-7, ,,1,7,7,0,192.0
8:35.0,D. Murray misses 3-pt jump shot from 24 ft,7-7, ,,1,7,7,0,205.0
8:32.0,Offensive rebound by C. Capela,7-7, ,,1,7,7,0,208.0
8:24.0,S. Bey misses 2-pt layup from 3 ft,7-7, ,,1,7,7,0,216.0
8:22.0, ,7-7,Defensive rebound by J. Poeltl,,1,7,7,0,218.0
8:17.0, ,7-7,D. Schröder misses 3-pt jump shot from 23 ft,,1,7,7,0,223.0
8:14.0, ,7-7,Offensive rebound by S. Barnes,,1,7,7,0,226.0
8:12.0, ,7-10,O. Anunoby makes 3-pt jump shot from 27 ft (assist by S. Barnes),,1,7,10,-3,228.0
7:58.0,Turnover by T. Young (bad pass),7-10, ,,1,7,10,-3,242.0
7:44.0, ,7-12,J. Poeltl makes 2-pt layup at rim (assist by S. Barnes),,1,7,12,-5,256.0
7:22.0,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),9-12, ,,1,9,12,-3,278.0
7:10.0, ,9-12,O. Anunoby misses 3-pt jump shot from 26 ft,,1,9,12,-3,290.0
7:07.0,Defensive rebound by O. Okongwu,9-12, ,,1,9,12,-3,293.0
6:58.0,Turnover by T. Young (lost ball; steal by D. Schröder),9-12, ,,1,9,12,-3,302.0
6:55.0, ,9-12,Turnover by D. Schröder (bad pass),,1,9,12,-3,305.0
6:55.0, ,9-12,Toronto full timeout,,1,9,12,-3,305.0
6:55.0,B. Bogdanović enters the game for O. Okongwu,9-12, ,,1,9,12,-3,305.0
6:55.0,T. Forrest enters the game for T. Young,9-12, ,,1,9,12,-3,305.0
6:55.0, ,9-12,M. Flynn enters the game for D. Schröder,,1,9,12,-3,305.0
6:32.0,C. Capela makes 2-pt hook shot from 3 ft (assist by B. Bogdanović),11-12, ,,1,11,12,-1,328.0
6:14.0, ,11-12,Turnover by S. Barnes (lost ball; steal by T. Forrest),,1,11,12,-1,346.0
6:10.0,D. Murray makes 2-pt layup from 2 ft (assist by S. Bey),13-12, ,Lead change,1,13,12,1,350.0
5:54.0, ,13-12,S. Barnes misses 2-pt jump shot from 6 ft,,1,13,12,1,366.0
5:52.0,Defensive rebound by C. Capela,13-12, ,,1,13,12,1,368.0
5:42.0,B. Bogdanović misses 2-pt jump shot from 16 ft,13-12, ,,1,13,12,1,378.0
5:39.0,Offensive rebound by S. Bey,13-12, ,,1,13,12,1,381.0
5:36.0,T. Forrest misses 2-pt jump shot from 4 ft,13-12, ,,1,13,12,1,384.0
5:34.0, ,13-12,Defensive rebound by S. Barnes,,1,13,12,1,386.0
5:31.0, ,13-12,Shooting foul by T. Forrest (drawn by S. Barnes),,1,13,12,1,389.0
5:31.0, ,13-13,S. Barnes makes free throw 1 of 2,Tie,1,13,13,0,389.0
5:31.0,G. Mathews enters the game for S. Bey,13-13, ,,1,13,13,0,389.0
5:31.0, ,13-13,S. Barnes misses free throw 2 of 2,,1,13,13,0,389.0
5:29.0,Defensive rebound by C. Capela,13-13, ,,1,13,13,0,391.0
5:27.0,Personal foul by M. Flynn (drawn by D. Murray),13-13, ,,1,13,13,0,393.0
5:27.0, ,13-13,G. Trent enters the game for S. Barnes,,1,13,13,0,393.0
5:16.0,B. Bogdanović makes 2-pt jump shot from 23 ft (assist by D. Murray),15-13, ,,1,15,13,2,404.0
4:58.0, ,15-13,P. Siakam misses 2-pt jump shot from 16 ft,,1,15,13,2,422.0
4:55.0,Defensive rebound by C. Capela,15-13, ,,1,15,13,2,425.0
4:47.0,B. Bogdanović misses 3-pt jump shot from 28 ft,15-13, ,,1,15,13,2,433.0
4:44.0, ,15-13,Defensive rebound by P. Siakam,,1,15,13,2,436.0
4:38.0, ,15-15,J. Poeltl makes 2-pt hook shot from 5 ft (assist by O. Anunoby),Tie,1,15,15,0,442.0
4:21.0,C. Capela makes 2-pt hook shot from 5 ft (assist by D. Murray),17-15, ,,1,17,15,2,459.0
4:00.0, ,17-15,P. Siakam misses 2-pt jump shot from 8 ft,,1,17,15,2,480.0
3:58.0,Defensive rebound by T. Forrest,17-15, ,,1,17,15,2,482.0
3:55.0,T. Forrest misses 2-pt layup from 4 ft,17-15, ,,1,17,15,2,485.0
3:53.0, ,17-15,Defensive rebound by G. Trent,,1,17,15,2,487.0
3:51.0, ,17-17,P. Siakam makes 2-pt layup from 1 ft (assist by G. Trent),Tie,1,17,17,0,489.0
3:33.0,D. Murray makes 2-pt jump shot from 7 ft,19-17, ,,1,19,17,2,507.0
3:12.0, ,19-19,J. Poeltl makes 2-pt jump shot from 11 ft (assist by M. Flynn),Tie,1,19,19,0,528.0
2:47.0,D. Murray misses 2-pt jump shot from 8 ft,19-19, ,,1,19,19,0,553.0
2:46.0, ,19-19,Defensive rebound by Team,,1,19,19,0,554.0
2:46.0,Atlanta full timeout,19-19, ,,1,19,19,0,554.0
2:46.0,Instant Replay,19-19, ,,1,19,19,0,554.0
2:46.0,S. Bey enters the game for C. Capela,19-19, ,,1,19,19,0,554.0
2:46.0,O. Okongwu enters the game for T. Forrest,19-19, ,,1,19,19,0,554.0
2:46.0,T. Young enters the game for D. Murray,19-19, ,,1,19,19,0,554.0
2:46.0, ,19-19,P. Achiuwa enters the game for O. Anunoby,,1,19,19,0,554.0
2:46.0, ,19-19,D. Schröder enters the game for J. Poeltl,,1,19,19,0,554.0
2:29.0, ,19-19,Offensive foul by P. Siakam (drawn by G. Mathews),,1,19,19,0,571.0
2:29.0, ,19-19,Turnover by P. Siakam (offensive foul),,1,19,19,0,571.0
2:12.0,T. Young misses 2-pt layup from 3 ft,19-19, ,,1,19,19,0,588.0
2:09.0, ,19-19,Defensive rebound by M. Flynn,,1,19,19,0,591.0
1:57.0, ,19-19,P. Siakam misses 3-pt jump shot from 27 ft,,1,19,19,0,603.0
1:54.0,Defensive rebound by O. Okongwu,19-19, ,,1,19,19,0,606.0
1:49.0,B. Bogdanović misses 3-pt jump shot from 26 ft (block by M. Flynn),19-19, ,,1,19,19,0,611.0
1:45.0, ,19-19,Defensive rebound by G. Trent,,1,19,19,0,615.0
1:39.0, ,19-19,P. Achiuwa misses 2-pt layup from 5 ft (block by O. Okongwu),,1,19,19,0,621.0
1:37.0,Defensive rebound by O. Okongwu,19-19, ,,1,19,19,0,623.0
1:23.0,Personal foul by M. Flynn (drawn by G. Mathews),19-19, ,,1,19,19,0,637.0
1:23.0, ,19-19,S. Barnes enters the game for P. Siakam,,1,19,19,0,637.0
1:18.0,Shooting foul by P. Achiuwa (drawn by T. Young),19-19, ,,1,19,19,0,642.0
1:18.0,T. Young makes free throw 1 of 2,20-19, ,,1,20,19,1,642.0
1:18.0,T. Young misses free throw 2 of 2,20-19, ,,1,20,19,1,642.0
1:16.0, ,20-19,Defensive rebound by S. Barnes,,1,20,19,1,644.0
1:09.0, ,20-22,M. Flynn makes 3-pt jump shot from 23 ft (assist by P. Achiuwa),Lead change,1,20,22,-2,651.0
0:49.0,G. Mathews makes 3-pt jump shot from 23 ft (assist by S. Bey),23-22, ,Lead change,1,23,22,1,671.0
0:40.0, ,23-24,M. Flynn makes 2-pt layup from 1 ft,Lead change,1,23,24,-1,680.0
0:36.0,T. Young makes 3-pt jump shot from 31 ft,26-24, ,Lead change,1,26,24,2,684.0
0:32.0, ,26-24,Offensive foul by S. Barnes (drawn by G. Mathews),,1,26,24,2,688.0
0:32.0, ,26-24,Turnover by S. Barnes (offensive foul),,1,26,24,2,688.0
0:32.0, ,26-24,O. Anunoby enters the game for M. Flynn,,1,26,24,2,688.0
0:28.0,T. Young makes 2-pt layup from 5 ft,28-24, ,,1,28,24,4,692.0
0:06.0, ,28-24,G. Trent misses 2-pt hook shot from 8 ft,,1,28,24,4,714.0
0:04.0,Defensive rebound by S. Bey,28-24, ,,1,28,24,4,716.0
0:00.0,S. Bey makes 2-pt layup from 1 ft,30-24, ,,1,30,24,6,720.0
0:00.0,End of 1st quarter,30-24,,,1,30,24,6,720.0
12:00.0,Start of 2nd quarter,30-24,,,2,30,24,6,720.0
11:47.0,O. Okongwu makes 2-pt dunk from 1 ft (assist by T. Young),32-24, ,,2,32,24,8,733.0
11:20.0, ,32-26,P. Achiuwa makes 2-pt jump shot from 7 ft,,2,32,26,6,760.0
11:07.0,S. Bey misses 3-pt jump shot from 26 ft,32-26, ,,2,32,26,6,773.0
11:06.0, ,32-26,Defensive rebound by D. Schröder,,2,32,26,6,774.0
10:59.0, ,32-28,D. Schröder makes 2-pt layup from 1 ft,,2,32,28,4,781.0
10:48.0,B. Bogdanović misses 2-pt jump shot from 5 ft,32-28, ,,2,32,28,4,792.0
10:46.0, ,32-28,Defensive rebound by S. Barnes,,2,32,28,4,794.0
10:44.0, ,32-30,D. Schröder makes 2-pt layup at rim (assist by S. Barnes),,2,32,30,2,796.0
