Time,Charlotte,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Richards vs. C. Capela (D. Murray gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-3,D. Murray makes 3-pt jump shot from 26 ft (assist by D. Hunter),,1,3,0,3,21.0
11:11.0,N. Richards makes 2-pt jump shot from 13 ft (assist by T. Mann),2-3, ,,1,3,2,1,49.0
10:43.0, ,2-5,B. Bogdanović makes 2-pt jump shot from 10 ft,,1,5,2,3,77.0
10:30.0,Turnover by B. Miller (step out of bounds),2-5, ,,1,5,2,3,90.0
10:11.0, ,2-7,C. Capela makes 2-pt dunk from 1 ft (assist by V. Krejci),,1,7,2,5,109.0
9:55.0,T. Mann makes 2-pt layup from 10 ft,4-7, ,,1,7,4,3,125.0
9:41.0, ,4-7,D. Hunter misses 3-pt jump shot from 25 ft,,1,7,4,3,139.0
9:38.0,Defensive rebound by T. Mann,4-7, ,,1,7,4,3,142.0
9:21.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by V. Micić),7-7, ,Tie,1,7,7,0,159.0
9:05.0, ,7-10,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Murray),,1,10,7,3,175.0
8:47.0,M. Bridges makes 2-pt jump shot from 18 ft (assist by T. Mann),9-10, ,,1,10,9,1,193.0
8:32.0, ,9-10,C. Capela misses 2-pt layup from 1 ft,,1,10,9,1,208.0
8:30.0,Defensive rebound by V. Micić,9-10, ,,1,10,9,1,210.0
8:21.0,M. Bridges misses 2-pt jump shot from 12 ft,9-10, ,,1,10,9,1,219.0
8:18.0, ,9-10,Defensive rebound by B. Bogdanović,,1,10,9,1,222.0
8:13.0, ,9-10,D. Hunter misses 3-pt jump shot from 23 ft,,1,10,9,1,227.0
8:09.0,Defensive rebound by B. Miller,9-10, ,,1,10,9,1,231.0
7:57.0,M. Bridges misses 2-pt layup from 2 ft,9-10, ,,1,10,9,1,243.0
7:56.0, ,9-10,Defensive rebound by Team,,1,10,9,1,244.0
7:37.0, ,9-10,Turnover by D. Murray (bad pass; steal by T. Mann),,1,10,9,1,263.0
7:30.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by T. Mann),12-10, ,Lead change,1,10,12,-2,270.0
7:11.0, ,12-12,D. Hunter makes 2-pt jump shot from 20 ft,Tie,1,12,12,0,289.0
6:55.0,B. Miller makes 2-pt layup from 1 ft (assist by T. Mann),14-12, ,,1,12,14,-2,305.0
6:54.0, ,14-12,Atlanta full timeout,,1,12,14,-2,306.0
6:54.0, ,14-12,G. Mathews enters the game for B. Bogdanović,,1,12,14,-2,306.0
6:38.0, ,14-12,D. Hunter misses 2-pt jump shot from 13 ft,,1,12,14,-2,322.0
6:35.0,Defensive rebound by N. Richards,14-12, ,,1,12,14,-2,325.0
6:26.0,T. Mann makes 2-pt layup from 2 ft,16-12, ,,1,12,16,-4,334.0
6:10.0, ,16-15,G. Mathews makes 3-pt jump shot from 26 ft (assist by D. Murray),,1,15,16,-1,350.0
6:10.0,A. Pokusevski enters the game for T. Mann,16-15, ,,1,15,16,-1,350.0
6:10.0, ,16-15,B. Fernando enters the game for C. Capela,,1,15,16,-1,350.0
5:49.0,A. Pokusevski misses 3-pt jump shot from 23 ft,16-15, ,,1,15,16,-1,371.0
5:46.0, ,16-15,Defensive rebound by D. Murray,,1,15,16,-1,374.0
5:41.0, ,16-15,D. Hunter misses 2-pt jump shot from 7 ft,,1,15,16,-1,379.0
5:36.0, ,16-15,Offensive rebound by B. Fernando,,1,15,16,-1,384.0
5:28.0,Violation by Team (kicked ball),16-15, ,,1,15,16,-1,392.0
5:16.0, ,16-15,G. Mathews misses 3-pt jump shot from 26 ft,,1,15,16,-1,404.0
5:12.0,Defensive rebound by N. Richards,16-15, ,,1,15,16,-1,408.0
5:06.0,Shooting foul by V. Krejci (drawn by A. Pokusevski),16-15, ,,1,15,16,-1,414.0
5:06.0,A. Pokusevski makes free throw 1 of 2,17-15, ,,1,15,17,-2,414.0
5:06.0,G. Williams enters the game for N. Richards,17-15, ,,1,15,17,-2,414.0
5:06.0,A. Pokusevski makes free throw 2 of 2,18-15, ,,1,15,18,-3,414.0
4:51.0, ,18-17,B. Fernando makes 2-pt layup from 1 ft (assist by D. Murray),,1,17,18,-1,429.0
4:31.0,A. Pokusevski misses 3-pt jump shot from 23 ft,18-17, ,,1,17,18,-1,449.0
4:30.0,Offensive rebound by M. Bridges,18-17, ,,1,17,18,-1,450.0
4:29.0,M. Bridges makes 2-pt dunk at rim,20-17, ,,1,17,20,-3,451.0
4:17.0, ,20-19,D. Murray makes 2-pt jump shot from 16 ft,,1,19,20,-1,463.0
3:53.0,G. Williams misses 3-pt jump shot from 26 ft,20-19, ,,1,19,20,-1,487.0
3:50.0,Offensive rebound by A. Pokusevski,20-19, ,,1,19,20,-1,490.0
3:49.0,Shooting foul by B. Fernando (drawn by A. Pokusevski),20-19, ,,1,19,20,-1,491.0
3:49.0,A. Pokusevski makes free throw 1 of 2,21-19, ,,1,19,21,-2,491.0
3:49.0,A. Pokusevski makes free throw 2 of 2,22-19, ,,1,19,22,-3,491.0
3:40.0, ,22-19,Turnover by D. Murray (bad pass; steal by A. Pokusevski),,1,19,22,-3,500.0
3:32.0,M. Bridges misses 2-pt layup from 1 ft,22-19, ,,1,19,22,-3,508.0
3:30.0, ,22-19,Defensive rebound by V. Krejci,,1,19,22,-3,510.0
3:18.0, ,22-19,Shooting foul by A. Pokusevski (drawn by G. Mathews),,1,19,22,-3,522.0
3:18.0,Charlotte full timeout,22-19, ,,1,19,22,-3,522.0
3:18.0,Instant Replay (Challenge: Ruling Stands),22-19, ,,1,19,22,-3,522.0
3:18.0, ,22-19,B. Bogdanović enters the game for D. Hunter,,1,19,22,-3,522.0
3:18.0, ,22-19,T. Forrest enters the game for V. Krejci,,1,19,22,-3,522.0
3:18.0, ,22-19,D. Windler enters the game for D. Murray,,1,19,22,-3,522.0
3:18.0, ,22-20,G. Mathews makes free throw 1 of 3,,1,20,22,-2,522.0
3:18.0, ,22-21,G. Mathews makes free throw 2 of 3,,1,21,22,-1,522.0
3:18.0, ,22-22,G. Mathews makes free throw 3 of 3,Tie,1,22,22,0,522.0
2:57.0,M. Bridges makes 2-pt jump shot from 19 ft,24-22, ,,1,22,24,-2,543.0
2:40.0, ,24-22,Personal foul by G. Williams (drawn by B. Fernando),,1,22,24,-2,560.0
2:40.0,D. Bertāns enters the game for V. Micić,24-22, ,,1,22,24,-2,560.0
2:40.0,T. Mann enters the game for B. Miller,24-22, ,,1,22,24,-2,560.0
2:35.0, ,24-22,T. Forrest misses 2-pt jump shot from 11 ft,,1,22,24,-2,565.0
2:32.0,Defensive rebound by G. Williams,24-22, ,,1,22,24,-2,568.0
2:15.0,M. Bridges misses 2-pt jump shot from 13 ft,24-22, ,,1,22,24,-2,585.0
2:11.0, ,24-22,Defensive rebound by D. Windler,,1,22,24,-2,589.0
1:54.0, ,24-22,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,22,24,-2,606.0
1:51.0,Defensive rebound by G. Williams,24-22, ,,1,22,24,-2,609.0
1:37.0,A. Pokusevski makes 2-pt layup from 1 ft (assist by T. Mann),26-22, ,,1,22,26,-4,623.0
1:22.0, ,26-24,B. Fernando makes 2-pt layup from 7 ft (assist by G. Mathews),,1,24,26,-2,638.0
1:04.0,Turnover by D. Bertāns (out of bounds lost ball),26-24, ,,1,24,26,-2,656.0
0:52.0, ,26-26,B. Fernando makes 2-pt layup from 3 ft (assist by B. Bogdanović),Tie,1,26,26,0,668.0
0:38.0,Turnover by M. Bridges (lost ball; steal by T. Forrest),26-26, ,,1,26,26,0,682.0
0:36.0, ,26-28,T. Forrest makes 2-pt layup from 1 ft,Lead change,1,28,26,2,684.0
0:19.0,G. Williams makes 2-pt layup from 1 ft (assist by A. Pokusevski),28-28, ,Tie,1,28,28,0,701.0
0:01.0, ,28-30,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by T. Forrest),,1,30,28,2,719.0
0:00.0,End of 1st quarter,28-30,,,1,30,28,2,720.0
12:00.0,Start of 2nd quarter,28-30,,,2,30,28,2,720.0
11:45.0,G. Williams makes 3-pt jump shot from 26 ft (assist by T. Mann),31-30, ,Lead change,2,30,31,-1,735.0
11:24.0, ,31-33,D. Windler makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),Lead change,2,33,31,2,756.0
11:05.0,G. Williams misses 2-pt jump shot from 10 ft (block by W. Matthews),31-33, ,,2,33,31,2,775.0
11:04.0, ,31-33,Defensive rebound by D. Windler,,2,33,31,2,776.0
10:57.0, ,31-33,W. Matthews misses 3-pt jump shot from 25 ft,,2,33,31,2,783.0
10:57.0,Defensive rebound by N. Richards,31-33, ,,2,33,31,2,783.0
10:40.0,B. Miller misses 2-pt jump shot from 18 ft,31-33, ,,2,33,31,2,800.0
10:37.0, ,31-33,Defensive rebound by W. Matthews,,2,33,31,2,803.0
10:28.0, ,31-35,B. Fernando makes 2-pt layup from 1 ft (assist by T. Forrest),,2,35,31,4,812.0
10:16.0,Personal foul by B. Fernando (drawn by T. Mann),31-35, ,,2,35,31,4,824.0
