A,B,C,D,E,F,Event
2:09.0,J. Richardson enters the game for K. Lowry, ,29-21, , ,
2:09.0,J. Butler misses technical free throw, ,29-21, , ,
2:09.0,Offensive rebound by Team, ,29-21, , ,
1:54.0,J. Butler makes 2-pt layup from 6 ft,+2,31-21, , ,
1:28.0, , ,31-21, ,T. Craig misses 2-pt jump shot from 10 ft,
1:26.0,Defensive rebound by C. Martin, ,31-21, , ,
1:21.0,K. Love misses 3-pt jump shot from 27 ft, ,31-21, , ,
1:17.0, , ,31-21, ,Defensive rebound by A. Dosunmu,
1:02.0, , ,31-21, ,J. Carter misses 2-pt jump shot from 11 ft,
1:01.0,Defensive rebound by K. Love, ,31-21, , ,
0:54.0,J. Richardson misses 2-pt layup from 1 ft, ,31-21, , ,
0:52.0, , ,31-21, ,Defensive rebound by D. DeRozan,
0:45.0, , ,31-21, ,A. Drummond misses 2-pt jump shot from 7 ft,
0:45.0, , ,31-21, ,Offensive rebound by A. Dosunmu,
0:45.0, , ,31-21, ,Shooting foul by K. Love (drawn by A. Dosunmu),
0:45.0, , ,31-22,+1,A. Dosunmu makes free throw 1 of 2,
0:45.0,B. Adebayo enters the game for J. Butler, ,31-22, , ,
0:45.0,D. Robinson enters the game for K. Love, ,31-22, , ,
0:45.0, , ,31-23,+1,A. Dosunmu makes free throw 2 of 2,
0:30.0,J. Richardson misses 2-pt jump shot from 22 ft, ,31-23, , ,
0:28.0, , ,31-23, ,Defensive rebound by D. DeRozan,
0:26.0, , ,31-25,+2,A. Drummond makes 2-pt dunk from 1 ft (assist by D. DeRozan),
0:11.0,J. Jaquez makes 2-pt layup from 1 ft,+2,33-25, , ,
0:00.0, , ,33-27,+2,A. Dosunmu makes 2-pt jump shot from 16 ft (assist by D. DeRozan),
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Chicago,
12:00.0,Start of 2nd quarter,
11:51.0, , ,33-27, ,Turnover by J. Carter (bad pass),
11:36.0,Shooting foul by A. Dosunmu (drawn by B. Adebayo), ,33-27, , ,
11:36.0,B. Adebayo makes free throw 1 of 2,+1,34-27, , ,
11:36.0, , ,34-27, ,C. White enters the game for A. Dosunmu,
11:36.0,B. Adebayo misses free throw 2 of 2, ,34-27, , ,
11:33.0,Offensive rebound by Team, ,34-27, , ,
11:23.0,Turnover by J. Richardson (traveling), ,34-27, , ,
10:59.0, , ,34-29,+2,D. DeRozan makes 2-pt jump shot from 15 ft,
10:46.0,D. Robinson misses 2-pt layup from 3 ft (block by A. Drummond), ,34-29, , ,
10:46.0, , ,34-29, ,Defensive rebound by P. Williams,
10:36.0, , ,34-31,+2,P. Williams makes 2-pt layup at rim,
10:22.0,B. Adebayo makes 2-pt jump shot from 4 ft (assist by C. Martin),+2,36-31, , ,
10:05.0, , ,36-34,+3,P. Williams makes 3-pt jump shot from 23 ft (assist by C. White),
9:54.0,J. Jaquez misses 2-pt jump shot from 4 ft (block by P. Williams), ,36-34, , ,
9:54.0,Offensive rebound by Team, ,36-34, , ,
