A,B,C,D,E,F,Event
2:53.0,C. Martin misses 2-pt layup from 3 ft, ,14-18, , ,
2:49.0, , ,14-18, ,Defensive rebound by T. Maxey,
2:49.0, , ,14-20,+2,K. Lowry makes 2-pt layup from 3 ft (assist by T. Maxey),
2:49.0,Violation by Team (def goaltending), ,14-20, , ,
2:27.0,K. Love misses 3-pt jump shot from 25 ft, ,14-20, , ,
2:27.0,Offensive rebound by H. Highsmith, ,14-20, , ,
2:27.0,Shooting foul by K. Lowry (drawn by H. Highsmith), ,14-20, , ,
2:27.0,H. Highsmith misses free throw 1 of 2, ,14-20, , ,
2:27.0,Offensive rebound by Team, ,14-20, , ,
2:27.0,D. Wright enters the game for C. Martin, ,14-20, , ,
2:27.0, , ,14-20, ,B. Hield enters the game for T. Harris,
2:27.0, , ,14-20, ,K. Oubre enters the game for K. Lowry,
2:27.0,H. Highsmith makes free throw 2 of 2,+1,15-20, , ,
2:03.0, , ,15-20, ,Turnover by T. Maxey (bad pass; steal by J. Jaquez),
1:58.0,T. Herro misses 2-pt layup from 1 ft (block by K. Oubre), ,15-20, , ,
1:55.0, , ,15-20, ,Defensive rebound by Team,
1:55.0,Loose ball foul by J. Jaquez (drawn by K. Oubre), ,15-20, , ,
1:55.0, , ,15-20, ,J. Embiid enters the game for P. Reed,
1:43.0, , ,15-20, ,Turnover by T. Maxey (bad pass; steal by D. Wright),
1:33.0,T. Herro makes 2-pt jump shot from 7 ft (assist by D. Wright),+2,17-20, , ,
1:11.0, , ,17-20, ,Turnover by B. Hield (bad pass),
1:11.0,J. Butler enters the game for T. Herro, ,17-20, , ,
0:57.0,J. Jaquez makes 3-pt jump shot from 27 ft (assist by J. Butler),+3,20-20, , ,Tie
0:37.0, , ,20-20, ,B. Hield misses 3-pt jump shot from 27 ft,
0:33.0,Defensive rebound by K. Love, ,20-20, , ,
0:28.0,Personal foul by K. Oubre (drawn by K. Love), ,20-20, , ,
0:28.0,K. Love makes free throw 1 of 2,+1,21-20, , ,Lead change
0:28.0,K. Love makes free throw 2 of 2,+1,22-20, , ,
0:04.0, , ,22-22,+2,T. Maxey makes 2-pt jump shot from 9 ft (assist by B. Hield),Tie
0:01.0,Shooting foul by K. Oubre (drawn by J. Butler), ,22-22, , ,
0:01.0,Instant Replay (Request: Stands), ,22-22, , ,
0:01.0,Miami full timeout, ,22-22, , ,
0:01.0,J. Butler makes free throw 1 of 2,+1,23-22, , ,
0:01.0, , ,23-22, ,T. Harris enters the game for K. Oubre,
0:01.0,J. Butler misses free throw 2 of 2, ,23-22, , ,
0:01.0, , ,23-22, ,Defensive rebound by J. Embiid,
0:00.0, , ,23-22, ,J. Embiid misses 3-pt jump shot from 71 ft,
0:00.0, , ,23-22, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Philadelphia,
12:00.0,Start of 2nd quarter,
11:44.0,Def 3 sec tech foul by Team, ,23-22, , ,
11:44.0,J. Butler makes technical free throw,+1,24-22, , ,
11:34.0,Shooting foul by J. Embiid (drawn by J. Butler), ,24-22, , ,
11:34.0,J. Butler makes free throw 1 of 2,+1,25-22, , ,
11:34.0,J. Butler makes free throw 2 of 2,+1,26-22, , ,
11:15.0, , ,26-22, ,Turnover by N. Batum (bad pass; steal by J. Butler),
11:12.0,Turnover by J. Jaquez (dbl dribble), ,26-22, , ,
10:57.0, , ,26-22, ,Turnover by J. Embiid (lost ball; steal by K. Love),
10:40.0,J. Jaquez makes 2-pt hook shot from 5 ft,+2,28-22, , ,
10:23.0, , ,28-22, ,B. Hield misses 3-pt jump shot from 27 ft,
10:22.0, , ,28-22, ,Offensive rebound by N. Batum,
10:21.0, , ,28-22, ,T. Harris misses 3-pt jump shot from 26 ft,
10:19.0,Defensive rebound by Team, ,28-22, , ,
10:19.0, , ,28-22, ,T. Maxey enters the game for B. Hield,
9:56.0,J. Butler misses 2-pt jump shot from 10 ft, ,28-22, , ,
9:53.0, , ,28-22, ,Defensive rebound by J. Embiid,
9:51.0, , ,28-22, ,Shooting foul by J. Jaquez (drawn by T. Maxey),
9:51.0, , ,28-23,+1,T. Maxey makes free throw 1 of 2,
9:51.0, , ,28-24,+1,T. Maxey makes free throw 2 of 2,
9:41.0,J. Butler misses 3-pt jump shot from 27 ft, ,28-24, , ,
9:37.0, , ,28-24, ,Defensive rebound by J. Embiid,
