A,B,C,D,E,F,Event
3:54.0, , ,19-23,+1,B. Coulibaly makes free throw 1 of 1,
3:37.0,J. Butler makes 2-pt layup from 6 ft,+2,21-23, , ,
3:25.0, , ,21-26,+3,C. Kispert makes 3-pt jump shot from 27 ft (assist by T. Jones),
3:13.0,J. Butler makes 2-pt layup from 5 ft,+2,23-26, , ,
3:03.0, , ,23-26, ,K. Kuzma misses 3-pt jump shot from 24 ft,
2:59.0,Defensive rebound by J. Butler, ,23-26, , ,
2:54.0,T. Rozier misses 3-pt jump shot from 24 ft, ,23-26, , ,
2:49.0, , ,23-26, ,Defensive rebound by D. Avdija,
2:44.0, , ,23-26, ,C. Kispert misses 3-pt jump shot from 26 ft,
2:41.0,Defensive rebound by K. Love, ,23-26, , ,
2:28.0,Miami full timeout, ,23-26, , ,
2:28.0,J. Richardson enters the game for T. Rozier, ,23-26, , ,
2:28.0, , ,23-26, ,J. Davis enters the game for D. Avdija,
2:28.0, , ,23-26, ,D. Gafford enters the game for T. Jones,
2:28.0, , ,23-26, ,J. Poole enters the game for K. Kuzma,
2:22.0,Turnover by K. Love (bad pass; steal by B. Coulibaly), ,23-26, , ,
2:14.0, , ,23-28,+2,J. Davis makes 2-pt layup from 1 ft (assist by J. Poole),
1:59.0,Turnover by J. Butler (bad pass; steal by J. Poole), ,23-28, , ,
1:55.0, , ,23-31,+3,C. Kispert makes 3-pt jump shot from 27 ft (assist by J. Poole),
1:42.0,K. Love makes 3-pt jump shot from 27 ft (assist by J. Richardson),+3,26-31, , ,
1:16.0, , ,26-31, ,J. Poole misses 3-pt jump shot from 27 ft,
1:13.0,Defensive rebound by K. Love, ,26-31, , ,
0:56.0,C. Martin makes 2-pt layup from 3 ft (assist by K. Love),+2,28-31, , ,
0:48.0, , ,28-31, ,Shooting foul by J. Richardson (drawn by B. Coulibaly),
0:48.0, , ,28-32,+1,B. Coulibaly makes free throw 1 of 2,
0:48.0,T. Herro enters the game for J. Butler, ,28-32, , ,
0:48.0, , ,28-32, ,D. Avdija enters the game for D. Gafford,
0:48.0, , ,28-33,+1,B. Coulibaly makes free throw 2 of 2,
0:29.0,Personal foul by B. Coulibaly (drawn by K. Love), ,28-33, , ,
0:29.0,K. Love misses free throw 1 of 2, ,28-33, , ,
0:29.0,Offensive rebound by Team, ,28-33, , ,
0:29.0, , ,28-33, ,L. Shamet enters the game for J. Davis,
0:29.0,K. Love makes free throw 2 of 2,+1,29-33, , ,
0:22.0, , ,29-33, ,Turnover by D. Avdija (lost ball; steal by C. Martin),
0:21.0,J. Jaquez makes 2-pt dunk from 2 ft (assist by C. Martin),+2,31-33, , ,
0:00.0, , ,31-33, ,L. Shamet misses 2-pt jump shot from 13 ft,
0:00.0, , ,31-33, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Washington,
12:00.0,Start of 2nd quarter,
11:35.0, , ,31-33, ,Shooting foul by B. Adebayo (drawn by L. Shamet),
11:35.0, , ,31-34,+1,L. Shamet makes free throw 1 of 2,
11:35.0, , ,31-35,+1,L. Shamet makes free throw 2 of 2,
