Time,Boston,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. M. Robinson (D. White gains possession),0-0,,,1,0,0,0,0.0
11:48.0,K. Porziņģis misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,12.0
11:46.0, ,0-0,Defensive rebound by J. Randle,,1,0,0,0,14.0
11:31.0, ,0-0,J. Brunson misses 2-pt jump shot from 11 ft,,1,0,0,0,29.0
11:29.0,Defensive rebound by K. Porziņģis,0-0, ,,1,0,0,0,31.0
11:10.0,J. Brown misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,50.0
11:08.0, ,0-0,Defensive rebound by J. Brunson,,1,0,0,0,52.0
10:56.0, ,0-0,J. Randle misses 2-pt layup from 2 ft,,1,0,0,0,64.0
10:55.0, ,0-0,Offensive rebound by J. Randle,,1,0,0,0,65.0
10:54.0, ,0-0,J. Randle misses 2-pt layup from 1 ft,,1,0,0,0,66.0
10:53.0, ,0-0,Offensive rebound by J. Randle,,1,0,0,0,67.0
10:52.0, ,0-0,J. Randle misses 2-pt layup at rim,,1,0,0,0,68.0
10:51.0,Defensive rebound by J. Holiday,0-0, ,,1,0,0,0,69.0
10:42.0,J. Tatum makes 2-pt jump shot from 3 ft,2-0, ,,1,2,0,2,78.0
10:20.0, ,2-0,J. Randle misses 2-pt layup from 1 ft (block by J. Holiday),,1,2,0,2,100.0
10:18.0, ,2-0,Offensive rebound by Team,,1,2,0,2,102.0
10:17.0, ,2-0,R. Barrett misses 2-pt jump shot from 22 ft (block by J. Holiday),,1,2,0,2,103.0
10:16.0, ,2-0,Offensive rebound by Team,,1,2,0,2,104.0
10:15.0, ,2-0,Turnover by Team (shot clock),,1,2,0,2,105.0
10:05.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by D. White),4-0, ,,1,4,0,4,115.0
9:52.0, ,4-0,J. Brunson misses 2-pt jump shot from 4 ft,,1,4,0,4,128.0
9:50.0,Defensive rebound by J. Tatum,4-0, ,,1,4,0,4,130.0
9:43.0,J. Brown misses 3-pt jump shot from 25 ft,4-0, ,,1,4,0,4,137.0
9:41.0, ,4-0,Defensive rebound by M. Robinson,,1,4,0,4,139.0
9:37.0, ,4-0,Shooting foul by K. Porziņģis (drawn by J. Randle),,1,4,0,4,143.0
9:37.0, ,4-0,J. Randle misses free throw 1 of 2,,1,4,0,4,143.0
9:37.0, ,4-0,Offensive rebound by Team,,1,4,0,4,143.0
9:37.0, ,4-0,J. Randle misses free throw 2 of 2,,1,4,0,4,143.0
9:35.0,Defensive rebound by J. Tatum,4-0, ,,1,4,0,4,145.0
9:23.0,Jump ball: J. Tatum vs. Q. Grimes (J. Holiday gains possession),4-0,,,1,4,0,4,157.0
9:21.0,J. Holiday misses 3-pt jump shot from 25 ft,4-0, ,,1,4,0,4,159.0
9:19.0, ,4-0,Defensive rebound by M. Robinson,,1,4,0,4,161.0
9:05.0, ,4-2,M. Robinson makes 2-pt dunk from 1 ft (assist by J. Randle),,1,4,2,2,175.0
8:46.0,K. Porziņģis misses 2-pt layup from 1 ft,4-2, ,,1,4,2,2,194.0
8:44.0, ,4-2,Defensive rebound by J. Brunson,,1,4,2,2,196.0
8:40.0, ,4-2,J. Brunson misses 2-pt jump shot from 4 ft,,1,4,2,2,200.0
8:39.0,Defensive rebound by Team,4-2, ,,1,4,2,2,201.0
8:24.0,Turnover by J. Tatum (bad pass; steal by J. Brunson),4-2, ,,1,4,2,2,216.0
8:20.0, ,4-4,R. Barrett makes 2-pt dunk from 1 ft (assist by J. Brunson),Tie,1,4,4,0,220.0
8:07.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Brown),6-4, ,,1,6,4,2,233.0
7:45.0, ,6-4,J. Randle misses 2-pt jump shot from 8 ft,,1,6,4,2,255.0
7:43.0,Defensive rebound by D. White,6-4, ,,1,6,4,2,257.0
7:40.0,Offensive foul by D. White (drawn by J. Brunson),6-4, ,,1,6,4,2,260.0
7:40.0,Turnover by D. White (offensive foul),6-4, ,,1,6,4,2,260.0
7:30.0, ,6-4,R. Barrett misses 2-pt jump shot from 6 ft,,1,6,4,2,270.0
7:28.0,Defensive rebound by D. White,6-4, ,,1,6,4,2,272.0
7:19.0,J. Tatum makes 3-pt jump shot from 25 ft,9-4, ,,1,9,4,5,281.0
7:04.0, ,9-4,R. Barrett misses 2-pt layup from 2 ft,,1,9,4,5,296.0
7:03.0, ,9-4,Offensive rebound by J. Randle,,1,9,4,5,297.0
6:57.0, ,9-4,Shooting foul by D. White (drawn by R. Barrett),,1,9,4,5,303.0
6:57.0, ,9-4,New York full timeout,,1,9,4,5,303.0
6:57.0,A. Horford enters the game for D. White,9-4, ,,1,9,4,5,303.0
6:57.0, ,9-4,R. Barrett misses free throw 1 of 3,,1,9,4,5,303.0
6:57.0, ,9-4,Offensive rebound by Team,,1,9,4,5,303.0
6:57.0, ,9-5,R. Barrett makes free throw 2 of 3,,1,9,5,4,303.0
6:57.0, ,9-6,R. Barrett makes free throw 3 of 3,,1,9,6,3,303.0
6:37.0,J. Tatum makes 2-pt jump shot from 16 ft,11-6, ,,1,11,6,5,323.0
6:18.0, ,11-8,R. Barrett makes 2-pt layup from 2 ft,,1,11,8,3,342.0
