Time,Denver,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:01.0,Defensive rebound by K. Caldwell-Pope,81-82, ,,3,82,81,1,2159.0
0:00.0,End of 3rd quarter,81-82,,,3,82,81,1,2160.0
12:00.0,Start of 4th quarter,81-82,,,4,82,81,1,2160.0
11:41.0, ,81-84,L. Kornet makes 2-pt layup from 2 ft (assist by J. Tatum),,4,84,81,3,2179.0
11:26.0,J. Murray makes 2-pt layup from 3 ft,83-84, ,,4,84,83,1,2194.0
11:26.0,Shooting foul by K. Porziņģis (drawn by J. Murray),83-84, ,,4,84,83,1,2194.0
11:26.0,J. Murray makes free throw 1 of 1,84-84, ,Tie,4,84,84,0,2194.0
11:15.0, ,84-84,Turnover by J. Holiday (traveling),,4,84,84,0,2205.0
11:00.0,J. Murray makes 2-pt layup from 3 ft,86-84, ,Lead change,4,84,86,-2,2220.0
10:39.0, ,86-84,K. Porziņģis misses 2-pt jump shot from 19 ft,,4,84,86,-2,2241.0
10:36.0, ,86-84,Offensive rebound by P. Pritchard,,4,84,86,-2,2244.0
10:30.0, ,86-86,J. Holiday makes 2-pt layup from 7 ft,Tie,4,86,86,0,2250.0
10:15.0,J. Murray misses 3-pt jump shot from 26 ft,86-86, ,,4,86,86,0,2265.0
10:13.0,Offensive rebound by K. Caldwell-Pope,86-86, ,,4,86,86,0,2267.0
10:01.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,86-86, ,,4,86,86,0,2279.0
9:56.0, ,86-86,Defensive rebound by L. Kornet,,4,86,86,0,2284.0
9:41.0, ,86-88,J. Tatum makes 2-pt jump shot from 14 ft,Lead change,4,88,86,2,2299.0
9:24.0,J. Murray makes 2-pt jump shot from 16 ft,88-88, ,Tie,4,88,88,0,2316.0
9:06.0, ,88-88,Shooting foul by J. Murray (drawn by K. Porziņģis),,4,88,88,0,2334.0
9:06.0, ,88-89,K. Porziņģis makes free throw 1 of 2,,4,89,88,1,2334.0
9:06.0, ,88-89,K. Porziņģis misses free throw 2 of 2,,4,89,88,1,2334.0
9:06.0,Defensive rebound by P. Watson,88-89, ,,4,89,88,1,2334.0
8:50.0,R. Jackson misses 3-pt jump shot from 27 ft,88-89, ,,4,89,88,1,2350.0
8:47.0, ,88-89,Defensive rebound by J. Tatum,,4,89,88,1,2353.0
8:31.0, ,88-89,J. Tatum misses 3-pt jump shot from 26 ft,,4,89,88,1,2369.0
8:30.0,Defensive rebound by Team,88-89, ,,4,89,88,1,2370.0
8:27.0, ,88-89,Loose ball foul by J. Tatum (drawn by P. Watson),,4,89,88,1,2373.0
8:16.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by A. Gordon),91-89, ,Lead change,4,89,91,-2,2384.0
8:13.0, ,91-89,Boston full timeout,,4,89,91,-2,2387.0
8:13.0, ,91-89,A. Horford enters the game for L. Kornet,,4,89,91,-2,2387.0
7:49.0, ,91-89,J. Tatum misses 2-pt jump shot from 12 ft,,4,89,91,-2,2411.0
7:46.0,Defensive rebound by K. Caldwell-Pope,91-89, ,,4,89,91,-2,2414.0
7:38.0,P. Watson misses 2-pt jump shot from 19 ft,91-89, ,,4,89,91,-2,2422.0
7:35.0, ,91-89,Defensive rebound by K. Porziņģis,,4,89,91,-2,2425.0
7:17.0, ,91-89,K. Porziņģis misses 2-pt jump shot from 16 ft,,4,89,91,-2,2443.0
7:15.0,Defensive rebound by J. Murray,91-89, ,,4,89,91,-2,2445.0
7:06.0,J. Murray makes 2-pt jump shot from 19 ft,93-89, ,,4,89,93,-4,2454.0
6:52.0, ,93-91,J. Holiday makes 2-pt jump shot from 11 ft,,4,91,93,-2,2468.0
6:52.0,N. Jokić enters the game for R. Jackson,93-91, ,,4,91,93,-2,2468.0
6:52.0,M. Porter enters the game for P. Watson,93-91, ,,4,91,93,-2,2468.0
6:52.0, ,93-91,J. Brown enters the game for J. Holiday,,4,91,93,-2,2468.0
6:52.0, ,93-91,D. White enters the game for P. Pritchard,,4,91,93,-2,2468.0
6:28.0,J. Murray makes 2-pt jump shot from 22 ft,95-91, ,,4,91,95,-4,2492.0
6:12.0, ,95-94,D. White makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),,4,94,95,-1,2508.0
5:53.0,J. Murray misses 3-pt jump shot from 27 ft,95-94, ,,4,94,95,-1,2527.0
5:50.0, ,95-94,Defensive rebound by D. White,,4,94,95,-1,2530.0
5:29.0, ,95-96,J. Tatum makes 2-pt jump shot from 15 ft,Lead change,4,96,95,1,2551.0
5:06.0,N. Jokić misses 2-pt jump shot from 9 ft,95-96, ,,4,96,95,1,2574.0
5:03.0, ,95-96,Defensive rebound by A. Horford,,4,96,95,1,2577.0
4:51.0, ,95-98,J. Brown makes 2-pt layup from 6 ft (assist by D. White),,4,98,95,3,2589.0
4:50.0,Denver full timeout,95-98, ,,4,98,95,3,2590.0
4:29.0,N. Jokić makes 2-pt jump shot from 14 ft,97-98, ,,4,98,97,1,2611.0
4:14.0, ,97-98,J. Tatum misses 2-pt dunk from 4 ft,,4,98,97,1,2626.0
4:12.0,Defensive rebound by J. Murray,97-98, ,,4,98,97,1,2628.0
4:07.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,97-98, ,,4,98,97,1,2633.0
4:04.0, ,97-98,Defensive rebound by Team,,4,98,97,1,2636.0
3:54.0, ,97-98,A. Horford misses 3-pt jump shot from 27 ft,,4,98,97,1,2646.0
3:51.0,Defensive rebound by N. Jokić,97-98, ,,4,98,97,1,2649.0
3:36.0,N. Jokić makes 2-pt hook shot from 8 ft (assist by J. Murray),99-98, ,Lead change,4,98,99,-1,2664.0
3:18.0, ,99-98,J. Tatum misses 2-pt jump shot from 15 ft,,4,98,99,-1,2682.0
3:15.0,Defensive rebound by N. Jokić,99-98, ,,4,98,99,-1,2685.0
3:09.0,Personal foul by A. Horford (drawn by N. Jokić),99-98, ,,4,98,99,-1,2691.0
2:55.0,N. Jokić misses 3-pt jump shot from 26 ft,99-98, ,,4,98,99,-1,2705.0
2:52.0,Offensive rebound by M. Porter,99-98, ,,4,98,99,-1,2708.0
2:50.0,M. Porter makes 2-pt jump shot from 6 ft,101-98, ,,4,98,101,-3,2710.0
2:27.0, ,101-98,Shooting foul by A. Gordon (drawn by J. Brown),,4,98,101,-3,2733.0
2:27.0, ,101-98,J. Brown misses free throw 1 of 2,,4,98,101,-3,2733.0
2:27.0, ,101-98,Offensive rebound by Team,,4,98,101,-3,2733.0
2:27.0, ,101-98,J. Holiday enters the game for A. Horford,,4,98,101,-3,2733.0
2:27.0, ,101-98,J. Brown misses free throw 2 of 2,,4,98,101,-3,2733.0
2:25.0, ,101-98,Offensive rebound by K. Porziņģis,,4,98,101,-3,2735.0
2:23.0, ,101-98,J. Brown misses 3-pt jump shot from 28 ft,,4,98,101,-3,2737.0
2:19.0, ,101-98,Offensive rebound by J. Holiday,,4,98,101,-3,2741.0
2:18.0, ,101-98,D. White misses 3-pt jump shot from 26 ft,,4,98,101,-3,2742.0
2:15.0,Defensive rebound by N. Jokić,101-98, ,,4,98,101,-3,2745.0
1:52.0,M. Porter misses 2-pt jump shot from 20 ft,101-98, ,,4,98,101,-3,2768.0
1:50.0, ,101-98,Defensive rebound by J. Tatum,,4,98,101,-3,2770.0
1:41.0, ,101-100,J. Tatum makes 2-pt dunk from 2 ft,,4,100,101,-1,2779.0
1:19.0,N. Jokić misses 3-pt jump shot from 25 ft (block by K. Porziņģis),101-100, ,,4,100,101,-1,2801.0
1:17.0,Offensive rebound by Team,101-100, ,,4,100,101,-1,2803.0
1:15.0,N. Jokić misses 2-pt jump shot from 19 ft,101-100, ,,4,100,101,-1,2805.0
1:15.0,Offensive rebound by Team,101-100, ,,4,100,101,-1,2805.0
1:15.0,Turnover by Team (shot clock),101-100, ,,4,100,101,-1,2805.0
0:58.0, ,101-100,D. White misses 3-pt jump shot from 24 ft,,4,100,101,-1,2822.0
0:56.0,Defensive rebound by Team,101-100, ,,4,100,101,-1,2824.0
0:56.0, ,101-100,Loose ball foul by K. Porziņģis (drawn by N. Jokić),,4,100,101,-1,2824.0
0:38.0,J. Murray misses 2-pt jump shot from 14 ft,101-100, ,,4,100,101,-1,2842.0
0:35.0,Offensive rebound by A. Gordon,101-100, ,,4,100,101,-1,2845.0
0:26.0,A. Gordon misses 3-pt jump shot from 25 ft,101-100, ,,4,100,101,-1,2854.0
0:22.0, ,101-100,Defensive rebound by J. Tatum,,4,100,101,-1,2858.0
0:17.0, ,101-100,J. Tatum misses 2-pt layup from 5 ft,,4,100,101,-1,2863.0
0:17.0,Defensive rebound by A. Gordon,101-100, ,,4,100,101,-1,2863.0
0:17.0,Personal take foul by D. White (drawn by A. Gordon),101-100, ,,4,100,101,-1,2863.0
0:17.0,A. Gordon makes free throw 1 of 2,102-100, ,,4,100,102,-2,2863.0
0:17.0, ,102-100,Violation by J. Brown (double lane),,4,100,102,-2,2863.0
0:17.0,Violation by N. Jokić (double lane),102-100, ,,4,100,102,-2,2863.0
0:17.0,Jump ball: K. Porziņģis vs. N. Jokić (J. Tatum gains possession),102-100,,,4,100,102,-2,2863.0
0:13.0, ,102-100,Boston full timeout,,4,100,102,-2,2867.0
0:04.0, ,102-100,Boston full timeout,,4,100,102,-2,2876.0
0:03.0, ,102-100,J. Tatum misses 2-pt jump shot from 17 ft,,4,100,102,-2,2877.0
0:02.0,Defensive rebound by J. Murray,102-100, ,,4,100,102,-2,2878.0
0:00.0,End of 4th quarter,102-100,,,4,100,102,-2,2880.0
