Time,Boston,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:43.0,S. Hauser misses 3-pt jump shot from 30 ft,110-81, ,,4,110,81,29,2357.0
8:43.0, ,110-81,Defensive rebound by Team,,4,110,81,29,2357.0
8:43.0,Loose ball foul by L. Kornet (drawn by R. Rollins),110-81, ,,4,110,81,29,2357.0
8:32.0, ,110-81,A. Gill misses 2-pt hook shot from 4 ft,,4,110,81,29,2368.0
8:29.0,Defensive rebound by P. Pritchard,110-81, ,,4,110,81,29,2371.0
8:14.0,Turnover by P. Pritchard (bad pass; steal by B. Coulibaly),110-81, ,,4,110,81,29,2386.0
8:11.0, ,110-81,Shooting foul by D. Banton (drawn by A. Gill),,4,110,81,29,2389.0
8:11.0, ,110-82,A. Gill makes free throw 1 of 2,,4,110,82,28,2389.0
8:11.0, ,110-83,A. Gill makes free throw 2 of 2,,4,110,83,27,2389.0
7:48.0,D. Banton misses 3-pt jump shot from 23 ft,110-83, ,,4,110,83,27,2412.0
7:46.0,Offensive rebound by O. Brissett,110-83, ,,4,110,83,27,2414.0
7:42.0,Personal foul by J. Davis (drawn by P. Pritchard),110-83, ,,4,110,83,27,2418.0
7:33.0,P. Pritchard misses 2-pt jump shot from 18 ft,110-83, ,,4,110,83,27,2427.0
7:30.0, ,110-83,Defensive rebound by A. Gill,,4,110,83,27,2430.0
7:26.0, ,110-83,A. Gill misses 2-pt layup from 5 ft,,4,110,83,27,2434.0
7:22.0, ,110-83,Offensive rebound by E. Omoruyi,,4,110,83,27,2438.0
7:21.0, ,110-85,E. Omoruyi makes 2-pt layup from 3 ft,,4,110,85,25,2439.0
6:58.0,O. Brissett misses 3-pt jump shot from 23 ft,110-85, ,,4,110,85,25,2462.0
6:55.0,Offensive rebound by S. Hauser,110-85, ,,4,110,85,25,2465.0
6:54.0,S. Hauser makes 2-pt layup from 1 ft,112-85, ,,4,112,85,27,2466.0
6:45.0, ,112-85,J. Davis misses 2-pt jump shot from 6 ft,,4,112,85,27,2475.0
6:43.0,Defensive rebound by S. Hauser,112-85, ,,4,112,85,27,2477.0
6:35.0,S. Hauser misses 3-pt jump shot from 24 ft,112-85, ,,4,112,85,27,2485.0
6:33.0, ,112-85,Defensive rebound by Team,,4,112,85,27,2487.0
6:33.0, ,112-85,Washington full timeout,,4,112,85,27,2487.0
6:21.0, ,112-85,B. Coulibaly misses 3-pt jump shot from 23 ft,,4,112,85,27,2499.0
6:17.0, ,112-85,Offensive rebound by E. Omoruyi,,4,112,85,27,2503.0
6:16.0, ,112-85,Shooting foul by S. Hauser (drawn by E. Omoruyi),,4,112,85,27,2504.0
6:16.0, ,112-86,E. Omoruyi makes free throw 1 of 2,,4,112,86,26,2504.0
6:16.0, ,112-87,E. Omoruyi makes free throw 2 of 2,,4,112,87,25,2504.0
5:59.0,Turnover by L. Kornet (bad pass; steal by R. Rollins),112-87, ,,4,112,87,25,2521.0
5:55.0, ,112-87,R. Rollins misses 2-pt layup from 10 ft,,4,112,87,25,2525.0
5:51.0, ,112-87,Offensive rebound by E. Omoruyi,,4,112,87,25,2529.0
5:49.0, ,112-89,E. Omoruyi makes 2-pt layup from 6 ft,,4,112,89,23,2531.0
5:33.0,P. Pritchard misses 3-pt jump shot from 26 ft,112-89, ,,4,112,89,23,2547.0
5:31.0,Offensive rebound by Team,112-89, ,,4,112,89,23,2549.0
5:31.0,Boston full timeout,112-89, ,,4,112,89,23,2549.0
5:31.0,Instant Replay (Challenge: Ruling Stands),112-89, ,,4,112,89,23,2549.0
5:31.0,L. Stevens enters the game for O. Brissett,112-89, ,,4,112,89,23,2549.0
5:31.0, ,112-89,P. Baldwin enters the game for J. Davis,,4,112,89,23,2549.0
5:31.0, ,112-89,J. Butler enters the game for A. Gill,,4,112,89,23,2549.0
5:23.0,P. Pritchard misses 3-pt jump shot from 27 ft,112-89, ,,4,112,89,23,2557.0
5:16.0, ,112-89,Defensive rebound by E. Omoruyi,,4,112,89,23,2564.0
5:08.0, ,112-92,E. Omoruyi makes 3-pt jump shot from 26 ft (assist by R. Rollins),,4,112,92,20,2572.0
4:53.0,Turnover by P. Pritchard (bad pass; steal by R. Rollins),112-92, ,,4,112,92,20,2587.0
4:50.0, ,112-92,Shooting foul by P. Pritchard (drawn by R. Rollins),,4,112,92,20,2590.0
4:50.0, ,112-93,R. Rollins makes free throw 1 of 2,,4,112,93,19,2590.0
4:50.0,S. Mykhailiuk enters the game for P. Pritchard,112-93, ,,4,112,93,19,2590.0
4:50.0, ,112-94,R. Rollins makes free throw 2 of 2,,4,112,94,18,2590.0
4:31.0,L. Stevens makes 2-pt jump shot from 18 ft (assist by D. Banton),114-94, ,,4,114,94,20,2609.0
4:15.0, ,114-94,R. Rollins misses 2-pt jump shot from 13 ft,,4,114,94,20,2625.0
4:13.0,Defensive rebound by L. Kornet,114-94, ,,4,114,94,20,2627.0
4:02.0,S. Hauser makes 3-pt jump shot from 27 ft (assist by S. Mykhailiuk),117-94, ,,4,117,94,23,2638.0
3:44.0, ,117-94,J. Butler misses 3-pt jump shot from 28 ft,,4,117,94,23,2656.0
3:41.0,Defensive rebound by S. Hauser,117-94, ,,4,117,94,23,2659.0
3:36.0,S. Hauser misses 3-pt jump shot from 29 ft,117-94, ,,4,117,94,23,2664.0
3:32.0,Offensive rebound by L. Stevens,117-94, ,,4,117,94,23,2668.0
3:32.0,Turnover by L. Stevens (bad pass),117-94, ,,4,117,94,23,2668.0
3:12.0, ,117-97,B. Coulibaly makes 3-pt jump shot from 26 ft (assist by E. Omoruyi),,4,117,97,20,2688.0
2:54.0,S. Mykhailiuk misses 3-pt jump shot from 30 ft,117-97, ,,4,117,97,20,2706.0
2:52.0,Offensive rebound by L. Stevens,117-97, ,,4,117,97,20,2708.0
2:51.0,Turnover by L. Stevens (bad pass),117-97, ,,4,117,97,20,2709.0
2:41.0, ,117-99,E. Omoruyi makes 2-pt layup from 2 ft (assist by J. Butler),,4,117,99,18,2719.0
2:23.0,Turnover by D. Banton (bad pass; steal by R. Rollins),117-99, ,,4,117,99,18,2737.0
2:20.0, ,117-101,B. Coulibaly makes 2-pt dunk from 1 ft (assist by P. Baldwin),,4,117,101,16,2740.0
2:19.0,Boston full timeout,117-101, ,,4,117,101,16,2741.0
2:19.0,P. Pritchard enters the game for D. Banton,117-101, ,,4,117,101,16,2741.0
1:56.0,L. Stevens makes 3-pt jump shot from 26 ft (assist by S. Hauser),120-101, ,,4,120,101,19,2764.0
1:46.0, ,120-101,Shooting foul by L. Stevens (drawn by R. Rollins),,4,120,101,19,2774.0
1:46.0, ,120-102,R. Rollins makes free throw 1 of 2,,4,120,102,18,2774.0
1:46.0, ,120-103,R. Rollins makes free throw 2 of 2,,4,120,103,17,2774.0
1:36.0,Turnover by L. Stevens (lost ball; steal by R. Rollins),120-103, ,,4,120,103,17,2784.0
1:32.0, ,120-105,E. Omoruyi makes 2-pt layup from 4 ft (assist by R. Rollins),,4,120,105,15,2788.0
1:17.0,S. Mykhailiuk makes 3-pt jump shot from 27 ft,123-105, ,,4,123,105,18,2803.0
1:08.0, ,123-105,J. Butler misses 3-pt jump shot from 26 ft,,4,123,105,18,2812.0
1:06.0, ,123-105,Offensive rebound by B. Coulibaly,,4,123,105,18,2814.0
1:06.0, ,123-105,B. Coulibaly misses 2-pt layup at rim,,4,123,105,18,2814.0
1:06.0, ,123-105,Offensive rebound by R. Rollins,,4,123,105,18,2814.0
1:06.0, ,123-105,Personal foul by S. Hauser (drawn by R. Rollins),,4,123,105,18,2814.0
1:06.0, ,123-106,R. Rollins makes free throw 1 of 2,,4,123,106,17,2814.0
1:06.0, ,123-107,R. Rollins makes free throw 2 of 2,,4,123,107,16,2814.0
0:50.0,S. Hauser misses 3-pt jump shot from 25 ft,123-107, ,,4,123,107,16,2830.0
0:47.0, ,123-107,Defensive rebound by B. Coulibaly,,4,123,107,16,2833.0
0:43.0, ,123-107,P. Baldwin misses 3-pt jump shot from 26 ft,,4,123,107,16,2837.0
0:40.0,Defensive rebound by S. Hauser,123-107, ,,4,123,107,16,2840.0
0:33.0,Personal foul by R. Rollins (drawn by P. Pritchard),123-107, ,,4,123,107,16,2847.0
0:20.0,S. Hauser makes 3-pt jump shot from 27 ft (assist by L. Kornet),126-107, ,,4,126,107,19,2860.0
0:07.0, ,126-107,Turnover by J. Butler (bad pass; steal by S. Mykhailiuk),,4,126,107,19,2873.0
0:00.0,End of 4th quarter,126-107,,,4,126,107,19,2880.0
