Time,Boston,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:39.0, ,27-17,D. McDermott misses 3-pt jump shot from 25 ft,,1,27,17,10,561.0
2:35.0,Defensive rebound by J. Brown,27-17, ,,1,27,17,10,565.0
2:30.0,Turnover by J. Brown (lost ball; steal by C. Osman),27-17, ,,1,27,17,10,570.0
2:25.0, ,27-19,T. Jones makes 2-pt layup from 1 ft (assist by C. Osman),,1,27,19,8,575.0
2:24.0,Boston full timeout,27-19, ,,1,27,19,8,576.0
2:24.0,P. Pritchard enters the game for J. Brown,27-19, ,,1,27,19,8,576.0
2:24.0,J. Tatum enters the game for D. White,27-19, ,,1,27,19,8,576.0
2:24.0, ,27-19,B. Wesley enters the game for D. Vassell,,1,27,19,8,576.0
2:03.0,J. Tatum misses 2-pt layup from 1 ft,27-19, ,,1,27,19,8,597.0
2:01.0, ,27-19,Defensive rebound by T. Jones,,1,27,19,8,599.0
1:56.0, ,27-19,C. Osman misses 3-pt jump shot from 25 ft,,1,27,19,8,604.0
1:53.0,Defensive rebound by S. Hauser,27-19, ,,1,27,19,8,607.0
1:46.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by P. Pritchard),30-19, ,,1,30,19,11,614.0
1:32.0, ,30-22,S. Mamukelashvili makes 3-pt jump shot from 26 ft (assist by B. Wesley),,1,30,22,8,628.0
1:12.0,P. Pritchard misses 3-pt jump shot from 24 ft,30-22, ,,1,30,22,8,648.0
1:09.0, ,30-22,Defensive rebound by Team,,1,30,22,8,651.0
0:50.0, ,30-22,S. Mamukelashvili misses 3-pt jump shot from 27 ft,,1,30,22,8,670.0
0:47.0,Defensive rebound by O. Brissett,30-22, ,,1,30,22,8,673.0
0:33.0,K. Porziņģis misses 3-pt jump shot from 28 ft,30-22, ,,1,30,22,8,687.0
0:30.0, ,30-22,Defensive rebound by S. Mamukelashvili,,1,30,22,8,690.0
0:09.0, ,30-22,S. Mamukelashvili misses 2-pt dunk at rim (block by K. Porziņģis),,1,30,22,8,711.0
0:06.0,Defensive rebound by J. Tatum,30-22, ,,1,30,22,8,714.0
0:02.0,Personal foul by T. Jones (drawn by J. Tatum),30-22, ,,1,30,22,8,718.0
0:00.0,End of 1st quarter,30-22,,,1,30,22,8,720.0
12:00.0,Start of 2nd quarter,30-22,,,2,30,22,8,720.0
11:44.0,P. Pritchard makes 3-pt jump shot from 28 ft (assist by J. Tatum),33-22, ,,2,33,22,11,736.0
11:23.0, ,33-24,C. Osman makes 2-pt layup from 1 ft (assist by B. Wesley),,2,33,24,9,757.0
11:10.0,A. Horford makes 3-pt jump shot from 23 ft (assist by S. Hauser),36-24, ,,2,36,24,12,770.0
10:50.0, ,36-24,V. Wembanyama misses 3-pt jump shot from 25 ft,,2,36,24,12,790.0
10:47.0,Defensive rebound by A. Horford,36-24, ,,2,36,24,12,793.0
10:32.0,P. Pritchard makes 2-pt layup from 1 ft,38-24, ,,2,38,24,14,808.0
10:23.0, ,38-26,V. Wembanyama makes 2-pt dunk from 1 ft (assist by T. Jones),,2,38,26,12,817.0
10:19.0,Turnover by S. Hauser (bad pass),38-26, ,,2,38,26,12,821.0
10:19.0, ,38-26,J. Sochan enters the game for C. Osman,,2,38,26,12,821.0
10:15.0, ,38-29,V. Wembanyama makes 3-pt jump shot from 25 ft (assist by B. Wesley),,2,38,29,9,825.0
9:55.0,J. Tatum makes 2-pt jump shot from 17 ft (assist by P. Pritchard),40-29, ,,2,40,29,11,845.0
9:36.0, ,40-31,J. Sochan makes 2-pt layup from 4 ft (assist by B. Wesley),,2,40,31,9,864.0
9:20.0,P. Pritchard misses 3-pt jump shot from 26 ft,40-31, ,,2,40,31,9,880.0
9:17.0,Offensive rebound by L. Kornet,40-31, ,,2,40,31,9,883.0
9:06.0,A. Horford makes 2-pt jump shot from 12 ft (assist by P. Pritchard),42-31, ,,2,42,31,11,894.0
8:50.0, ,42-33,T. Jones makes 2-pt jump shot from 7 ft,,2,42,33,9,910.0
8:34.0,S. Hauser misses 3-pt jump shot from 28 ft,42-33, ,,2,42,33,9,926.0
8:30.0, ,42-33,Defensive rebound by B. Wesley,,2,42,33,9,930.0
8:22.0, ,42-35,V. Wembanyama makes 2-pt jump shot from 18 ft (assist by D. McDermott),,2,42,35,7,938.0
8:08.0,Personal foul by T. Jones (drawn by J. Tatum),42-35, ,,2,42,35,7,952.0
