Time,Boston,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:27.0,O. Brissett misses 2-pt layup at rim,96-70, ,,3,96,70,26,2013.0
2:26.0, ,96-70,Defensive rebound by D. Barlow,,3,96,70,26,2014.0
2:19.0, ,96-70,Shooting foul by O. Brissett (drawn by D. Barlow),,3,96,70,26,2021.0
2:19.0, ,96-70,D. Barlow misses free throw 1 of 2,,3,96,70,26,2021.0
2:19.0, ,96-70,Offensive rebound by Team,,3,96,70,26,2021.0
2:19.0,P. Pritchard enters the game for J. Brown,96-70, ,,3,96,70,26,2021.0
2:19.0,J. Tatum enters the game for D. White,96-70, ,,3,96,70,26,2021.0
2:19.0, ,96-70,D. McDermott enters the game for M. Branham,,3,96,70,26,2021.0
2:19.0, ,96-70,B. Wesley enters the game for D. Vassell,,3,96,70,26,2021.0
2:19.0, ,96-71,D. Barlow makes free throw 2 of 2,,3,96,71,25,2021.0
2:05.0,J. Tatum makes 3-pt jump shot from 25 ft,99-71, ,,3,99,71,28,2035.0
1:41.0, ,99-71,C. Osman misses 2-pt layup from 3 ft (block by K. Porziņģis),,3,99,71,28,2059.0
1:39.0, ,99-71,Offensive rebound by T. Jones,,3,99,71,28,2061.0
1:39.0, ,99-71,Turnover by Team (shot clock),,3,99,71,28,2061.0
1:24.0,J. Tatum makes 2-pt layup from 2 ft,101-71, ,,3,101,71,30,2076.0
1:15.0, ,101-71,D. McDermott misses 3-pt jump shot from 26 ft,,3,101,71,30,2085.0
1:15.0,Defensive rebound by K. Porziņģis,101-71, ,,3,101,71,30,2085.0
1:12.0,Turnover by J. Tatum (traveling),101-71, ,,3,101,71,30,2088.0
1:03.0, ,101-73,T. Jones makes 2-pt layup from 1 ft,,3,101,73,28,2097.0
0:52.0,J. Tatum misses 3-pt jump shot from 25 ft,101-73, ,,3,101,73,28,2108.0
0:50.0, ,101-73,Defensive rebound by T. Jones,,3,101,73,28,2110.0
0:47.0, ,101-73,D. Barlow misses 2-pt layup from 1 ft,,3,101,73,28,2113.0
0:44.0,Defensive rebound by J. Tatum,101-73, ,,3,101,73,28,2116.0
0:42.0,Turnover by J. Tatum (bad pass; steal by D. Barlow),101-73, ,,3,101,73,28,2118.0
0:34.0, ,101-73,D. Barlow misses 2-pt jump shot at rim,,3,101,73,28,2126.0
0:34.0,Defensive rebound by S. Hauser,101-73, ,,3,101,73,28,2126.0
0:34.0,Personal foul by C. Osman (drawn by K. Porziņģis),101-73, ,,3,101,73,28,2126.0
0:29.0,J. Tatum makes 2-pt jump shot from 15 ft,103-73, ,,3,103,73,30,2131.0
0:06.0, ,103-76,C. Osman makes 3-pt jump shot from 25 ft (assist by B. Wesley),,3,103,76,27,2154.0
0:00.0,P. Pritchard makes 2-pt jump shot from 12 ft,105-76, ,,3,105,76,29,2160.0
0:00.0,End of 3rd quarter,105-76,,,3,105,76,29,2160.0
12:00.0,Start of 4th quarter,105-76,,,4,105,76,29,2160.0
11:47.0, ,105-76,V. Wembanyama misses 3-pt jump shot from 26 ft,,4,105,76,29,2173.0
11:43.0,Defensive rebound by O. Brissett,105-76, ,,4,105,76,29,2177.0
11:23.0,P. Pritchard makes 2-pt layup from 1 ft,107-76, ,,4,107,76,31,2197.0
11:12.0, ,107-76,T. Jones misses 3-pt jump shot from 26 ft,,4,107,76,31,2208.0
11:12.0,Defensive rebound by Team,107-76, ,,4,107,76,31,2208.0
11:12.0, ,107-76,Loose ball foul by C. Osman (drawn by P. Pritchard),,4,107,76,31,2208.0
10:55.0,S. Hauser makes 3-pt jump shot from 25 ft (assist by P. Pritchard),110-76, ,,4,110,76,34,2225.0
10:40.0, ,110-76,T. Jones misses 3-pt jump shot from 24 ft,,4,110,76,34,2240.0
10:40.0, ,110-76,Offensive rebound by V. Wembanyama,,4,110,76,34,2240.0
10:40.0, ,110-76,Turnover by V. Wembanyama (bad pass; steal by O. Brissett),,4,110,76,34,2240.0
10:34.0,O. Brissett makes 2-pt layup from 1 ft,112-76, ,,4,112,76,36,2246.0
10:34.0,Shooting foul by T. Jones (drawn by O. Brissett),112-76, ,,4,112,76,36,2246.0
10:34.0,D. Banton enters the game for J. Tatum,112-76, ,,4,112,76,36,2246.0
10:34.0,O. Brissett misses free throw 1 of 1,112-76, ,,4,112,76,36,2246.0
10:31.0, ,112-76,Defensive rebound by V. Wembanyama,,4,112,76,36,2249.0
10:27.0, ,112-76,Personal foul by L. Kornet (drawn by D. McDermott),,4,112,76,36,2253.0
10:22.0, ,112-79,D. Vassell makes 3-pt jump shot from 25 ft (assist by C. Osman),,4,112,79,33,2258.0
10:01.0,L. Kornet makes 2-pt dunk from 1 ft (assist by P. Pritchard),114-79, ,,4,114,79,35,2279.0
9:48.0, ,114-79,Personal foul by D. Banton (drawn by V. Wembanyama),,4,114,79,35,2292.0
9:45.0, ,114-79,T. Jones misses 3-pt jump shot from 26 ft,,4,114,79,35,2295.0
9:42.0,Defensive rebound by P. Pritchard,114-79, ,,4,114,79,35,2298.0
9:37.0,P. Pritchard misses 3-pt jump shot from 27 ft,114-79, ,,4,114,79,35,2303.0
9:36.0, ,114-79,Defensive rebound by Team,,4,114,79,35,2304.0
9:26.0, ,114-79,T. Jones misses 3-pt jump shot from 24 ft,,4,114,79,35,2314.0
9:23.0,Defensive rebound by D. Banton,114-79, ,,4,114,79,35,2317.0
9:05.0,S. Hauser misses 3-pt jump shot from 23 ft,114-79, ,,4,114,79,35,2335.0
9:05.0,Offensive rebound by L. Kornet,114-79, ,,4,114,79,35,2335.0
9:04.0,L. Kornet misses 2-pt layup from 3 ft (block by V. Wembanyama),114-79, ,,4,114,79,35,2336.0
9:04.0, ,114-79,Defensive rebound by V. Wembanyama,,4,114,79,35,2336.0
8:53.0, ,114-81,D. Vassell makes 2-pt jump shot from 6 ft,,4,114,81,33,2347.0
8:53.0, ,114-81,Shooting foul by D. Banton (drawn by D. Vassell),,4,114,81,33,2347.0
8:53.0, ,114-81,S. Mamukelashvili enters the game for V. Wembanyama,,4,114,81,33,2347.0
8:53.0, ,114-82,D. Vassell makes free throw 1 of 1,,4,114,82,32,2347.0
8:36.0,S. Hauser makes 2-pt dunk from 1 ft (assist by L. Kornet),116-82, ,,4,116,82,34,2364.0
8:22.0, ,116-82,Personal foul by S. Hauser (drawn by D. Vassell),,4,116,82,34,2378.0
8:16.0, ,116-82,Turnover by D. Vassell (bad pass),,4,116,82,34,2384.0
8:02.0,S. Hauser makes 3-pt jump shot from 25 ft (assist by L. Kornet),119-82, ,,4,119,82,37,2398.0
8:00.0, ,119-82,San Antonio full timeout,,4,119,82,37,2400.0
8:00.0,S. Mykhailiuk enters the game for S. Hauser,119-82, ,,4,119,82,37,2400.0
8:00.0, ,119-82,D. Barlow enters the game for T. Jones,,4,119,82,37,2400.0
8:00.0, ,119-82,S. Cissoko enters the game for D. McDermott,,4,119,82,37,2400.0
8:00.0, ,119-82,D. Graham enters the game for C. Osman,,4,119,82,37,2400.0
8:00.0, ,119-82,B. Wesley enters the game for D. Vassell,,4,119,82,37,2400.0
7:49.0, ,119-82,Turnover by D. Graham (bad pass),,4,119,82,37,2411.0
7:35.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft,119-82, ,,4,119,82,37,2425.0
7:32.0, ,119-82,Defensive rebound by D. Graham,,4,119,82,37,2428.0
7:26.0, ,119-82,S. Cissoko misses 3-pt jump shot from 24 ft,,4,119,82,37,2434.0
7:24.0, ,119-82,Offensive rebound by S. Mamukelashvili,,4,119,82,37,2436.0
7:21.0, ,119-82,D. Graham misses 2-pt jump shot from 16 ft,,4,119,82,37,2439.0
7:18.0,Defensive rebound by P. Pritchard,119-82, ,,4,119,82,37,2442.0
7:10.0,L. Kornet misses 2-pt dunk from 1 ft,119-82, ,,4,119,82,37,2450.0
7:07.0, ,119-82,Defensive rebound by S. Mamukelashvili,,4,119,82,37,2453.0
7:04.0, ,119-84,D. Graham makes 2-pt layup from 1 ft (assist by S. Mamukelashvili),,4,119,84,35,2456.0
7:04.0, ,119-84,Shooting foul by S. Mykhailiuk (drawn by D. Graham),,4,119,84,35,2456.0
7:04.0,L. Stevens enters the game for O. Brissett,119-84, ,,4,119,84,35,2456.0
7:04.0, ,119-85,D. Graham makes free throw 1 of 1,,4,119,85,34,2456.0
6:47.0,L. Kornet makes 2-pt dunk from 2 ft (assist by P. Pritchard),121-85, ,,4,121,85,36,2473.0
6:32.0, ,121-85,D. Barlow misses 2-pt jump shot from 12 ft,,4,121,85,36,2488.0
6:30.0,Defensive rebound by D. Banton,121-85, ,,4,121,85,36,2490.0
6:20.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,121-85, ,,4,121,85,36,2500.0
6:16.0, ,121-85,Defensive rebound by S. Cissoko,,4,121,85,36,2504.0
6:00.0, ,121-87,S. Mamukelashvili makes 2-pt jump shot from 10 ft,,4,121,87,34,2520.0
5:41.0,S. Mykhailiuk misses 3-pt jump shot from 23 ft,121-87, ,,4,121,87,34,2539.0
5:36.0,Offensive rebound by D. Banton,121-87, ,,4,121,87,34,2544.0
5:34.0,Turnover by D. Banton (bad pass; steal by D. Barlow),121-87, ,,4,121,87,34,2546.0
5:30.0, ,121-89,D. Barlow makes 2-pt layup from 1 ft (assist by D. Graham),,4,121,89,32,2550.0
5:17.0,Shooting foul by B. Wesley (drawn by P. Pritchard),121-89, ,,4,121,89,32,2563.0
5:17.0,P. Pritchard misses free throw 1 of 2,121-89, ,,4,121,89,32,2563.0
5:17.0,Offensive rebound by Team,121-89, ,,4,121,89,32,2563.0
5:17.0,N. Queta enters the game for L. Kornet,121-89, ,,4,121,89,32,2563.0
5:17.0,P. Pritchard misses free throw 2 of 2,121-89, ,,4,121,89,32,2563.0
5:14.0, ,121-89,Defensive rebound by D. Barlow,,4,121,89,32,2566.0
5:06.0, ,121-91,D. Barlow makes 2-pt dunk from 2 ft (assist by S. Mamukelashvili),,4,121,91,30,2574.0
4:53.0,Shooting foul by B. Wesley (drawn by D. Banton),121-91, ,,4,121,91,30,2587.0
4:53.0,D. Banton makes free throw 1 of 2,122-91, ,,4,122,91,31,2587.0
4:53.0,D. Banton makes free throw 2 of 2,123-91, ,,4,123,91,32,2587.0
4:37.0, ,123-91,S. Mamukelashvili misses 3-pt jump shot from 24 ft,,4,123,91,32,2603.0
4:35.0,Defensive rebound by D. Banton,123-91, ,,4,123,91,32,2605.0
4:31.0,Shooting foul by D. Barlow (drawn by D. Banton),123-91, ,,4,123,91,32,2609.0
4:31.0,D. Banton makes free throw 1 of 2,124-91, ,,4,124,91,33,2609.0
4:31.0,D. Banton makes free throw 2 of 2,125-91, ,,4,125,91,34,2609.0
4:20.0,Violation by Team (kicked ball),125-91, ,,4,125,91,34,2620.0
4:08.0, ,125-91,S. Mamukelashvili misses 2-pt dunk from 2 ft (block by N. Queta),,4,125,91,34,2632.0
4:06.0, ,125-91,Offensive rebound by D. Graham,,4,125,91,34,2634.0
4:06.0, ,125-91,Turnover by Team (shot clock),,4,125,91,34,2634.0
3:53.0,D. Banton misses 2-pt layup from 2 ft,125-91, ,,4,125,91,34,2647.0
3:51.0, ,125-91,Defensive rebound by S. Cissoko,,4,125,91,34,2649.0
3:47.0, ,125-94,D. Graham makes 3-pt jump shot from 26 ft (assist by S. Mamukelashvili),,4,125,94,31,2653.0
3:28.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,125-94, ,,4,125,94,31,2672.0
3:28.0,Offensive rebound by P. Pritchard,125-94, ,,4,125,94,31,2672.0
3:18.0,N. Queta makes 2-pt layup from 2 ft (assist by L. Stevens),127-94, ,,4,127,94,33,2682.0
3:18.0,Shooting foul by D. Barlow (drawn by N. Queta),127-94, ,,4,127,94,33,2682.0
3:18.0,O. Brissett enters the game for P. Pritchard,127-94, ,,4,127,94,33,2682.0
3:18.0,N. Queta makes free throw 1 of 1,128-94, ,,4,128,94,34,2682.0
2:59.0, ,128-97,D. Barlow makes 3-pt jump shot from 23 ft (assist by B. Wesley),,4,128,97,31,2701.0
2:44.0,Turnover by D. Banton (bad pass),128-97, ,,4,128,97,31,2716.0
2:44.0,Boston full timeout,128-97, ,,4,128,97,31,2716.0
2:35.0, ,128-97,Shooting foul by O. Brissett (drawn by B. Wesley),,4,128,97,31,2725.0
2:35.0, ,128-98,B. Wesley makes free throw 1 of 2,,4,128,98,30,2725.0
2:35.0, ,128-98,B. Wesley misses free throw 2 of 2,,4,128,98,30,2725.0
2:32.0,Defensive rebound by N. Queta,128-98, ,,4,128,98,30,2728.0
2:20.0,N. Queta makes 2-pt layup from 1 ft (assist by L. Stevens),130-98, ,,4,130,98,32,2740.0
2:06.0, ,130-98,Turnover by B. Wesley (bad pass; steal by S. Mykhailiuk),,4,130,98,32,2754.0
2:00.0,Turnover by S. Mykhailiuk (bad pass; steal by S. Cissoko),130-98, ,,4,130,98,32,2760.0
1:55.0, ,130-98,B. Wesley misses 3-pt jump shot from 24 ft,,4,130,98,32,2765.0
1:52.0,Defensive rebound by L. Stevens,130-98, ,,4,130,98,32,2768.0
1:49.0,L. Stevens makes 2-pt layup from 1 ft,132-98, ,,4,132,98,34,2771.0
1:38.0, ,132-98,S. Mamukelashvili misses 3-pt jump shot from 26 ft,,4,132,98,34,2782.0
1:33.0, ,132-98,Offensive rebound by B. Wesley,,4,132,98,34,2787.0
1:31.0, ,132-98,B. Wesley misses 3-pt jump shot from 25 ft,,4,132,98,34,2789.0
1:31.0,Defensive rebound by L. Stevens,132-98, ,,4,132,98,34,2789.0
1:20.0,D. Banton misses 2-pt layup from 3 ft,132-98, ,,4,132,98,34,2800.0
1:17.0, ,132-98,Defensive rebound by S. Mamukelashvili,,4,132,98,34,2803.0
1:14.0, ,132-101,D. Graham makes 3-pt jump shot from 28 ft (assist by S. Mamukelashvili),,4,132,101,31,2806.0
0:55.0,O. Brissett makes 2-pt layup from 1 ft (assist by D. Banton),134-101, ,,4,134,101,33,2825.0
0:49.0, ,134-101,B. Wesley misses 2-pt layup from 1 ft,,4,134,101,33,2831.0
0:47.0,Defensive rebound by N. Queta,134-101, ,,4,134,101,33,2833.0
0:26.0,Turnover by Team (shot clock),134-101, ,,4,134,101,33,2854.0
0:16.0, ,134-101,S. Cissoko misses 3-pt jump shot from 26 ft,,4,134,101,33,2864.0
0:14.0, ,134-101,Offensive rebound by D. Barlow,,4,134,101,33,2866.0
0:11.0, ,134-101,S. Mamukelashvili misses 3-pt jump shot from 26 ft,,4,134,101,33,2869.0
0:06.0,Defensive rebound by S. Mykhailiuk,134-101, ,,4,134,101,33,2874.0
0:00.0,End of 4th quarter,134-101,,,4,134,101,33,2880.0
