Time,Indiana,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:09.0, ,112-120,Turnover by K. Porziņģis (offensive foul),,4,120,112,8,2511.0
6:09.0, ,112-120,D. White enters the game for S. Hauser,,4,120,112,8,2511.0
5:50.0,P. Siakam misses 2-pt jump shot from 20 ft,112-120, ,,4,120,112,8,2530.0
5:47.0, ,112-120,Defensive rebound by J. Brown,,4,120,112,8,2533.0
5:32.0, ,112-120,Shooting foul by A. Nesmith (drawn by K. Porziņģis),,4,120,112,8,2548.0
5:32.0, ,112-121,K. Porziņģis makes free throw 1 of 2,,4,121,112,9,2548.0
5:32.0,M. Turner enters the game for J. Smith,112-121, ,,4,121,112,9,2548.0
5:32.0, ,112-122,K. Porziņģis makes free throw 2 of 2,,4,122,112,10,2548.0
5:12.0,Turnover by O. Toppin (bad pass; steal by D. White),112-122, ,,4,122,112,10,2568.0
5:05.0, ,112-122,D. White misses 2-pt layup from 6 ft,,4,122,112,10,2575.0
5:03.0,Defensive rebound by A. Nesmith,112-122, ,,4,122,112,10,2577.0
5:03.0,B. Hield enters the game for O. Toppin,112-122, ,,4,122,112,10,2577.0
4:49.0,B. Hield misses 2-pt layup from 9 ft,112-122, ,,4,122,112,10,2591.0
4:47.0,Offensive rebound by P. Siakam,112-122, ,,4,122,112,10,2593.0
4:46.0,P. Siakam makes 2-pt layup from 1 ft,114-122, ,,4,122,114,8,2594.0
4:25.0, ,114-122,Personal foul by P. Siakam (drawn by K. Porziņģis),,4,122,114,8,2615.0
4:25.0, ,114-123,K. Porziņģis makes free throw 1 of 2,,4,123,114,9,2615.0
4:25.0, ,114-123,K. Porziņģis misses free throw 2 of 2,,4,123,114,9,2615.0
4:23.0,Defensive rebound by M. Turner,114-123, ,,4,123,114,9,2617.0
4:13.0,P. Siakam makes 2-pt jump shot from 15 ft,116-123, ,,4,123,116,7,2627.0
3:58.0, ,116-123,Shooting foul by M. Turner (drawn by J. Tatum),,4,123,116,7,2642.0
3:58.0, ,116-124,J. Tatum makes free throw 1 of 2,,4,124,116,8,2642.0
3:58.0, ,116-125,J. Tatum makes free throw 2 of 2,,4,125,116,9,2642.0
3:36.0,M. Turner makes 2-pt layup from 5 ft (assist by A. Nembhard),118-125, ,,4,125,118,7,2664.0
3:16.0, ,118-125,K. Porziņģis misses 3-pt jump shot from 27 ft,,4,125,118,7,2684.0
3:13.0,Defensive rebound by M. Turner,118-125, ,,4,125,118,7,2687.0
3:06.0,A. Nembhard misses 2-pt jump shot from 16 ft,118-125, ,,4,125,118,7,2694.0
3:03.0, ,118-125,Defensive rebound by K. Porziņģis,,4,125,118,7,2697.0
2:50.0, ,118-125,Boston full timeout,,4,125,118,7,2710.0
2:44.0, ,118-127,K. Porziņģis makes 2-pt jump shot from 5 ft (assist by J. Holiday),,4,127,118,9,2716.0
2:29.0,P. Siakam misses 2-pt hook shot from 6 ft,118-127, ,,4,127,118,9,2731.0
2:26.0, ,118-127,Defensive rebound by J. Tatum,,4,127,118,9,2734.0
2:08.0, ,118-127,J. Tatum misses 2-pt jump shot from 19 ft,,4,127,118,9,2752.0
2:05.0, ,118-127,Offensive rebound by K. Porziņģis,,4,127,118,9,2755.0
1:58.0, ,118-127,J. Tatum misses 3-pt jump shot from 27 ft,,4,127,118,9,2762.0
1:54.0,Defensive rebound by P. Siakam,118-127, ,,4,127,118,9,2766.0
1:49.0,B. Hield makes 2-pt layup from 2 ft (assist by A. Nesmith),120-127, ,,4,127,120,7,2771.0
1:40.0, ,120-127,Turnover by  (8 sec),,4,127,120,7,2780.0
1:32.0,A. Nembhard makes 2-pt jump shot from 7 ft,122-127, ,,4,127,122,5,2788.0
1:14.0, ,122-127,D. White misses 3-pt jump shot from 27 ft,,4,127,122,5,2806.0
1:11.0,Defensive rebound by M. Turner,122-127, ,,4,127,122,5,2809.0
1:04.0,A. Nesmith makes 2-pt layup from 5 ft (assist by A. Nembhard),124-127, ,,4,127,124,3,2816.0
0:51.0, ,124-127,Turnover by K. Porziņģis (lost ball; steal by B. Hield),,4,127,124,3,2829.0
0:49.0,Personal foul by D. White (drawn by B. Hield),124-127, ,,4,127,124,3,2831.0
0:31.0,A. Nesmith misses 3-pt jump shot from 24 ft (block by D. White),124-127, ,,4,127,124,3,2849.0
0:31.0,Offensive rebound by Team,124-127, ,,4,127,124,3,2849.0
0:29.0,M. Turner misses 2-pt layup from 2 ft (block by J. Tatum),124-127, ,,4,127,124,3,2851.0
0:28.0,Offensive rebound by Team,124-127, ,,4,127,124,3,2852.0
0:28.0,Turnover by Team (shot clock),124-127, ,,4,127,124,3,2852.0
0:16.0, ,124-127,Personal foul by M. Turner (drawn by J. Holiday),,4,127,124,3,2864.0
0:16.0, ,124-128,J. Holiday makes free throw 1 of 2,,4,128,124,4,2864.0
0:16.0,O. Toppin enters the game for M. Turner,124-128, ,,4,128,124,4,2864.0
0:16.0, ,124-128,P. Pritchard enters the game for K. Porziņģis,,4,128,124,4,2864.0
0:16.0, ,124-129,J. Holiday makes free throw 2 of 2,,4,129,124,5,2864.0
0:11.0,A. Nesmith misses 2-pt layup from 4 ft (block by J. Tatum),124-129, ,,4,129,124,5,2869.0
0:11.0,Offensive rebound by Team,124-129, ,,4,129,124,5,2869.0
0:11.0, ,124-129,Boston full timeout,,4,129,124,5,2869.0
0:11.0, ,124-129,Instant Replay (Challenge: Ruling Stands),,4,129,124,5,2869.0
0:11.0, ,124-129,K. Porziņģis enters the game for P. Pritchard,,4,129,124,5,2869.0
0:11.0,Jump ball: O. Toppin vs. J. Tatum (P. Siakam gains possession),124-129,,,4,129,124,5,2869.0
0:05.0,O. Toppin misses 3-pt jump shot from 26 ft,124-129, ,,4,129,124,5,2875.0
0:03.0, ,124-129,Defensive rebound by Team,,4,129,124,5,2877.0
0:03.0, ,124-129,Boston full timeout,,4,129,124,5,2877.0
0:00.0,End of 4th quarter,124-129,,,4,129,124,5,2880.0
