Time,Atlanta,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:27.0,A. Griffin enters the game for T. Young,13-16, ,,1,16,13,3,393.0
5:27.0, ,13-16,S. Hauser enters the game for D. Banton,,1,16,13,3,393.0
5:27.0, ,13-16,L. Kornet enters the game for A. Horford,,1,16,13,3,393.0
5:27.0, ,13-16,P. Pritchard enters the game for J. Tatum,,1,16,13,3,393.0
5:27.0,C. Capela makes free throw 2 of 2,14-16, ,,1,16,14,2,393.0
5:08.0, ,14-19,S. Hauser makes 3-pt jump shot from 24 ft (assist by D. White),,1,19,14,5,412.0
4:58.0,A. Griffin misses 3-pt jump shot from 26 ft,14-19, ,,1,19,14,5,422.0
4:55.0,Offensive rebound by C. Capela,14-19, ,,1,19,14,5,425.0
4:50.0,A. Griffin misses 2-pt layup from 5 ft,14-19, ,,1,19,14,5,430.0
4:49.0,Offensive rebound by D. Murray,14-19, ,,1,19,14,5,431.0
4:47.0,B. Bogdanović makes 3-pt jump shot from 29 ft (assist by D. Murray),17-19, ,,1,19,17,2,433.0
4:22.0, ,17-22,P. Pritchard makes 3-pt jump shot from 31 ft (assist by S. Hauser),,1,22,17,5,458.0
4:07.0,D. Hunter misses 2-pt jump shot from 19 ft,17-22, ,,1,22,17,5,473.0
4:02.0,Offensive rebound by C. Capela,17-22, ,,1,22,17,5,478.0
3:55.0,Shooting foul by L. Kornet (drawn by C. Capela),17-22, ,,1,22,17,5,485.0
3:55.0,C. Capela misses free throw 1 of 2,17-22, ,,1,22,17,5,485.0
3:55.0,Offensive rebound by Team,17-22, ,,1,22,17,5,485.0
3:55.0,C. Capela misses free throw 2 of 2,17-22, ,,1,22,17,5,485.0
3:55.0, ,17-22,Defensive rebound by J. Brown,,1,22,17,5,485.0
3:40.0, ,17-22,J. Brown misses 3-pt jump shot from 26 ft,,1,22,17,5,500.0
3:37.0,Defensive rebound by A. Griffin,17-22, ,,1,22,17,5,503.0
3:26.0,C. Capela misses 2-pt layup from 4 ft,17-22, ,,1,22,17,5,514.0
3:24.0, ,17-22,Defensive rebound by L. Kornet,,1,22,17,5,516.0
3:18.0, ,17-24,D. White makes 2-pt jump shot from 9 ft (assist by J. Brown),,1,24,17,7,522.0
3:15.0,Atlanta full timeout,17-24, ,,1,24,17,7,525.0
3:15.0,S. Bey enters the game for C. Capela,17-24, ,,1,24,17,7,525.0
3:15.0,W. Matthews enters the game for A. Griffin,17-24, ,,1,24,17,7,525.0
3:15.0,O. Okongwu enters the game for D. Hunter,17-24, ,,1,24,17,7,525.0
3:15.0,T. Young enters the game for D. Murray,17-24, ,,1,24,17,7,525.0
3:15.0, ,17-24,J. Tatum enters the game for D. White,,1,24,17,7,525.0
2:55.0,B. Bogdanović makes 2-pt jump shot from 13 ft,19-24, ,,1,24,19,5,545.0
2:40.0, ,19-24,J. Brown misses 3-pt jump shot from 25 ft,,1,24,19,5,560.0
2:37.0, ,19-24,Offensive rebound by L. Kornet,,1,24,19,5,563.0
2:36.0, ,19-26,L. Kornet makes 2-pt layup from 10 ft,,1,26,19,7,564.0
2:16.0,W. Matthews makes 2-pt layup from 11 ft (assist by T. Young),21-26, ,,1,26,21,5,584.0
2:05.0, ,21-28,L. Kornet makes 2-pt layup from 2 ft (assist by J. Tatum),,1,28,21,7,595.0
1:55.0,T. Young misses 2-pt jump shot from 16 ft,21-28, ,,1,28,21,7,605.0
1:52.0, ,21-28,Defensive rebound by J. Tatum,,1,28,21,7,608.0
1:42.0, ,21-28,Shooting foul by W. Matthews (drawn by J. Tatum),,1,28,21,7,618.0
1:42.0,Technical foul by W. Matthews,21-28, ,,1,28,21,7,618.0
1:42.0, ,21-29,J. Tatum makes technical free throw,,1,29,21,8,618.0
1:42.0, ,21-30,J. Tatum makes free throw 1 of 2,,1,30,21,9,618.0
1:42.0, ,21-30,D. Banton enters the game for J. Brown,,1,30,21,9,618.0
1:42.0, ,21-31,J. Tatum makes free throw 2 of 2,,1,31,21,10,618.0
1:26.0,Turnover by B. Bogdanović (bad pass; steal by L. Kornet),21-31, ,,1,31,21,10,634.0
1:10.0, ,21-33,J. Tatum makes 2-pt layup from 2 ft,,1,33,21,12,650.0
0:58.0,W. Matthews misses 3-pt jump shot from 28 ft,21-33, ,,1,33,21,12,662.0
0:56.0,Offensive rebound by T. Young,21-33, ,,1,33,21,12,664.0
0:55.0,T. Young makes 2-pt layup from 3 ft,23-33, ,,1,33,23,10,665.0
0:37.0, ,23-33,P. Pritchard misses 3-pt jump shot from 24 ft,,1,33,23,10,683.0
0:34.0,Defensive rebound by S. Bey,23-33, ,,1,33,23,10,686.0
0:20.0,T. Young makes 3-pt jump shot from 27 ft,26-33, ,,1,33,26,7,700.0
0:01.0, ,26-33,J. Tatum misses 3-pt jump shot from 26 ft,,1,33,26,7,719.0
0:00.0, ,26-33,Offensive rebound by Team,,1,33,26,7,720.0
0:00.0,End of 1st quarter,26-33,,,1,33,26,7,720.0
12:00.0,Start of 2nd quarter,26-33,,,2,33,26,7,720.0
11:47.0,T. Young misses 2-pt jump shot from 6 ft,26-33, ,,2,33,26,7,733.0
11:44.0, ,26-33,Defensive rebound by A. Horford,,2,33,26,7,736.0
11:25.0, ,26-33,N. Queta misses 2-pt hook shot from 4 ft,,2,33,26,7,755.0
11:23.0, ,26-33,Offensive rebound by N. Queta,,2,33,26,7,757.0
11:22.0, ,26-33,N. Queta misses 2-pt layup at rim,,2,33,26,7,758.0
11:19.0, ,26-33,Offensive rebound by N. Queta,,2,33,26,7,761.0
11:10.0, ,26-33,N. Queta misses 2-pt hook shot from 3 ft,,2,33,26,7,770.0
11:08.0,Defensive rebound by Team,26-33, ,,2,33,26,7,772.0
10:55.0,W. Matthews misses 3-pt jump shot from 28 ft,26-33, ,,2,33,26,7,785.0
10:52.0,Offensive rebound by S. Bey,26-33, ,,2,33,26,7,788.0
10:50.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by S. Bey),29-33, ,,2,33,29,4,790.0
10:32.0, ,29-33,Turnover by J. Tatum (lost ball; steal by O. Okongwu),,2,33,29,4,808.0
10:25.0,T. Young misses 3-pt jump shot from 27 ft,29-33, ,,2,33,29,4,815.0
10:22.0, ,29-33,Defensive rebound by S. Hauser,,2,33,29,4,818.0
10:15.0, ,29-33,P. Pritchard misses 3-pt jump shot from 27 ft,,2,33,29,4,825.0
10:13.0, ,29-33,Offensive rebound by A. Horford,,2,33,29,4,827.0
10:11.0, ,29-35,A. Horford makes 2-pt layup from 4 ft,,2,35,29,6,829.0
10:00.0,B. Bogdanović makes 3-pt jump shot from 27 ft,32-35, ,,2,35,32,3,840.0
10:00.0, ,32-35,Boston full timeout,,2,35,32,3,840.0
10:00.0, ,32-35,D. White enters the game for P. Pritchard,,2,35,32,3,840.0
9:43.0, ,32-37,N. Queta makes 2-pt hook shot from 6 ft (assist by D. White),,2,37,32,5,857.0
9:28.0,T. Young misses 3-pt jump shot from 27 ft,32-37, ,,2,37,32,5,872.0
9:25.0, ,32-37,Defensive rebound by N. Queta,,2,37,32,5,875.0
9:17.0, ,32-37,A. Horford misses 3-pt jump shot from 23 ft,,2,37,32,5,883.0
9:14.0, ,32-37,Offensive rebound by N. Queta,,2,37,32,5,886.0
9:13.0, ,32-37,N. Queta misses 2-pt layup at rim,,2,37,32,5,887.0
9:11.0, ,32-37,Offensive rebound by S. Hauser,,2,37,32,5,889.0
9:04.0, ,32-37,Turnover by J. Tatum (bad pass; steal by O. Okongwu),,2,37,32,5,896.0
9:00.0,S. Bey makes 2-pt layup from 4 ft (assist by T. Young),34-37, ,,2,37,34,3,900.0
8:44.0, ,34-40,J. Tatum makes 3-pt jump shot from 25 ft (assist by D. White),,2,40,34,6,916.0
8:36.0,Personal foul by S. Hauser (drawn by B. Bogdanović),34-40, ,,2,40,34,6,924.0
8:36.0,A. Griffin enters the game for S. Bey,34-40, ,,2,40,34,6,924.0
8:36.0,D. Hunter enters the game for W. Matthews,34-40, ,,2,40,34,6,924.0
8:32.0,Shooting foul by D. White (drawn by T. Young),34-40, ,,2,40,34,6,928.0
8:32.0,T. Young makes free throw 1 of 2,35-40, ,,2,40,35,5,928.0
8:32.0,T. Young makes free throw 2 of 2,36-40, ,,2,40,36,4,928.0
8:18.0, ,36-43,J. Tatum makes 3-pt jump shot from 25 ft (assist by D. White),,2,43,36,7,942.0
8:08.0,Offensive foul by D. Hunter (drawn by D. White),36-43, ,,2,43,36,7,952.0
8:08.0,Turnover by D. Hunter (offensive foul),36-43, ,,2,43,36,7,952.0
8:08.0,D. Murray enters the game for T. Young,36-43, ,,2,43,36,7,952.0
7:49.0, ,36-43,J. Tatum misses 3-pt jump shot from 30 ft,,2,43,36,7,971.0
7:46.0, ,36-43,Offensive rebound by A. Horford,,2,43,36,7,974.0
7:45.0, ,36-45,D. White makes 2-pt layup from 3 ft (assist by A. Horford),,2,45,36,9,975.0
7:45.0, ,36-45,Shooting foul by O. Okongwu (drawn by D. White),,2,45,36,9,975.0
7:45.0, ,36-46,D. White makes free throw 1 of 1,,2,46,36,10,975.0
7:28.0,Turnover by D. Murray (bad pass; steal by A. Horford),36-46, ,,2,46,36,10,992.0
7:16.0, ,36-48,J. Tatum makes 2-pt layup from 2 ft,,2,48,36,12,1004.0
7:14.0,Atlanta full timeout,36-48, ,,2,48,36,12,1006.0
7:14.0, ,36-48,J. Brown enters the game for S. Hauser,,2,48,36,12,1006.0
7:14.0, ,36-48,P. Pritchard enters the game for A. Horford,,2,48,36,12,1006.0
7:01.0,D. Hunter makes 3-pt jump shot from 28 ft,39-48, ,,2,48,39,9,1019.0
6:38.0, ,39-48,J. Tatum misses 2-pt jump shot from 7 ft,,2,48,39,9,1042.0
6:36.0, ,39-48,Offensive rebound by J. Tatum,,2,48,39,9,1044.0
6:35.0, ,39-48,J. Tatum misses 2-pt layup from 3 ft (block by O. Okongwu),,2,48,39,9,1045.0
6:34.0,Defensive rebound by O. Okongwu,39-48, ,,2,48,39,9,1046.0
