Time,Portland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:30.0,Defensive rebound by J. Walker,13-13, ,,1,13,13,0,390.0
5:19.0,Turnover by K. Murray (bad pass; steal by K. Porziņģis),13-13, ,,1,13,13,0,401.0
5:10.0, ,13-13,D. White misses 3-pt jump shot from 26 ft,,1,13,13,0,410.0
5:09.0,Defensive rebound by K. Murray,13-13, ,,1,13,13,0,411.0
5:02.0,Offensive foul by S. Henderson (drawn by J. Holiday),13-13, ,,1,13,13,0,418.0
5:02.0,Turnover by S. Henderson (offensive foul),13-13, ,,1,13,13,0,418.0
5:02.0, ,13-13,Boston full timeout,,1,13,13,0,418.0
5:02.0,D. Banton enters the game for K. Murray,13-13, ,,1,13,13,0,418.0
5:02.0, ,13-13,S. Hauser enters the game for J. Holiday,,1,13,13,0,418.0
5:02.0, ,13-13,L. Kornet enters the game for A. Horford,,1,13,13,0,418.0
5:02.0, ,13-13,P. Pritchard enters the game for D. White,,1,13,13,0,418.0
4:39.0, ,13-15,S. Hauser makes 2-pt jump shot from 21 ft,Lead change,1,15,13,2,441.0
4:25.0,D. Ayton misses 2-pt jump shot from 17 ft,13-15, ,,1,15,13,2,455.0
4:24.0,Offensive rebound by D. Ayton,13-15, ,,1,15,13,2,456.0
4:17.0,D. Ayton makes 2-pt jump shot from 13 ft (assist by R. Rupert),15-15, ,Tie,1,15,15,0,463.0
4:08.0, ,15-15,J. Brown misses 2-pt layup from 4 ft,,1,15,15,0,472.0
4:07.0,Defensive rebound by J. Walker,15-15, ,,1,15,15,0,473.0
4:01.0,S. Henderson misses 2-pt jump shot from 6 ft,15-15, ,,1,15,15,0,479.0
3:58.0, ,15-15,Defensive rebound by S. Hauser,,1,15,15,0,482.0
3:55.0, ,15-17,J. Brown makes 2-pt dunk from 3 ft (assist by S. Hauser),,1,17,15,2,485.0
3:41.0,D. Ayton misses 2-pt jump shot from 17 ft,15-17, ,,1,17,15,2,499.0
3:40.0, ,15-17,Defensive rebound by L. Kornet,,1,17,15,2,500.0
3:30.0, ,15-20,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by S. Hauser),,1,20,15,5,510.0
3:00.0,J. Walker makes 2-pt layup from 3 ft (assist by D. Banton),17-20, ,,1,20,17,3,540.0
2:40.0, ,17-20,Shooting foul by R. Rupert (drawn by K. Porziņģis),,1,20,17,3,560.0
2:40.0,Portland full timeout,17-20, ,,1,20,17,3,560.0
2:40.0,K. Murray enters the game for D. Ayton,17-20, ,,1,20,17,3,560.0
2:40.0,D. Reath enters the game for S. Henderson,17-20, ,,1,20,17,3,560.0
2:40.0, ,17-21,K. Porziņģis makes free throw 1 of 2,,1,21,17,4,560.0
2:40.0, ,17-22,K. Porziņģis makes free throw 2 of 2,,1,22,17,5,560.0
2:26.0,Turnover by D. Banton (bad pass; steal by K. Porziņģis),17-22, ,,1,22,17,5,574.0
2:20.0, ,17-22,J. Brown misses 2-pt layup from 3 ft,,1,22,17,5,580.0
2:19.0,Defensive rebound by D. Reath,17-22, ,,1,22,17,5,581.0
2:11.0,K. Murray makes 3-pt jump shot from 24 ft (assist by R. Rupert),20-22, ,,1,22,20,2,589.0
1:55.0, ,20-22,S. Hauser misses 3-pt jump shot from 26 ft,,1,22,20,2,605.0
1:53.0,Defensive rebound by D. Banton,20-22, ,,1,22,20,2,607.0
1:49.0,D. Banton misses 2-pt layup from 3 ft (block by J. Brown),20-22, ,,1,22,20,2,611.0
1:48.0,Offensive rebound by D. Banton,20-22, ,,1,22,20,2,612.0
1:46.0,D. Banton makes 2-pt layup from 1 ft,22-22, ,Tie,1,22,22,0,614.0
1:29.0, ,22-24,J. Brown makes 2-pt jump shot from 16 ft (assist by P. Pritchard),,1,24,22,2,631.0
1:05.0,D. Banton misses 3-pt jump shot from 26 ft,22-24, ,,1,24,22,2,655.0
1:03.0, ,22-24,Defensive rebound by Team,,1,24,22,2,657.0
1:03.0,Loose ball foul by R. Rupert (drawn by K. Porziņģis),22-24, ,,1,24,22,2,657.0
0:58.0, ,22-26,P. Pritchard makes 2-pt jump shot from 11 ft,,1,26,22,4,662.0
0:43.0,J. Walker misses 2-pt layup from 5 ft,22-26, ,,1,26,22,4,677.0
0:42.0,Offensive rebound by J. Walker,22-26, ,,1,26,22,4,678.0
0:41.0,J. Walker makes 2-pt layup at rim,24-26, ,,1,26,24,2,679.0
0:37.0, ,24-26,Personal foul by J. Walker (drawn by K. Porziņģis),,1,26,24,2,683.0
0:37.0, ,24-27,K. Porziņģis makes free throw 1 of 2,,1,27,24,3,683.0
0:37.0, ,24-27,J. Springer enters the game for L. Kornet,,1,27,24,3,683.0
0:37.0, ,24-27,K. Porziņģis misses free throw 2 of 2,,1,27,24,3,683.0
0:37.0,Defensive rebound by J. Walker,24-27, ,,1,27,24,3,683.0
0:30.0,Turnover by D. Banton (lost ball; steal by J. Springer),24-27, ,,1,27,24,3,690.0
0:28.0, ,24-27,Turnover by J. Springer (bad pass; steal by J. Walker),,1,27,24,3,692.0
0:24.0,K. Murray misses 3-pt jump shot from 27 ft,24-27, ,,1,27,24,3,696.0
0:22.0,Offensive rebound by J. Walker,24-27, ,,1,27,24,3,698.0
0:18.0,J. Walker misses 3-pt jump shot from 25 ft,24-27, ,,1,27,24,3,702.0
0:17.0,Offensive rebound by K. Murray,24-27, ,,1,27,24,3,703.0
0:17.0,K. Murray misses 2-pt layup at rim,24-27, ,,1,27,24,3,703.0
0:14.0, ,24-27,Defensive rebound by S. Hauser,,1,27,24,3,706.0
0:01.0, ,24-30,J. Brown makes 3-pt jump shot from 26 ft,,1,30,24,6,719.0
0:00.0,End of 1st quarter,24-30,,,1,30,24,6,720.0
12:00.0,Start of 2nd quarter,24-30,,,2,30,24,6,720.0
11:40.0,R. Rupert misses 3-pt jump shot from 26 ft,24-30, ,,2,30,24,6,740.0
11:38.0,Offensive rebound by K. Murray,24-30, ,,2,30,24,6,742.0
11:38.0,K. Murray makes 2-pt layup at rim,26-30, ,,2,30,26,4,742.0
11:24.0, ,26-30,D. White misses 2-pt jump shot from 16 ft,,2,30,26,4,756.0
11:23.0,Defensive rebound by D. Reath,26-30, ,,2,30,26,4,757.0
11:10.0,K. Murray makes 3-pt jump shot from 24 ft (assist by D. Ayton),29-30, ,,2,30,29,1,770.0
10:55.0, ,29-30,J. Holiday misses 2-pt jump shot from 17 ft,,2,30,29,1,785.0
10:54.0,Defensive rebound by D. Ayton,29-30, ,,2,30,29,1,786.0
10:43.0,D. Ayton misses 2-pt jump shot from 19 ft,29-30, ,,2,30,29,1,797.0
10:42.0, ,29-30,Defensive rebound by A. Horford,,2,30,29,1,798.0
10:34.0, ,29-33,A. Horford makes 3-pt jump shot from 25 ft (assist by D. White),,2,33,29,4,806.0
10:17.0,D. Ayton makes 2-pt jump shot from 12 ft (assist by D. Banton),31-33, ,,2,33,31,2,823.0
10:02.0, ,31-36,D. White makes 3-pt jump shot from 26 ft,,2,36,31,5,838.0
9:48.0,D. Banton misses 2-pt layup from 6 ft,31-36, ,,2,36,31,5,852.0
9:47.0,Offensive rebound by D. Ayton,31-36, ,,2,36,31,5,853.0
9:47.0,D. Ayton makes 2-pt dunk at rim,33-36, ,,2,36,33,3,853.0
9:29.0, ,33-39,P. Pritchard makes 3-pt jump shot from 27 ft (assist by A. Horford),,2,39,33,6,871.0
9:10.0,D. Reath misses 3-pt jump shot from 24 ft,33-39, ,,2,39,33,6,890.0
9:08.0, ,33-39,Defensive rebound by J. Holiday,,2,39,33,6,892.0
8:51.0, ,33-41,J. Holiday makes 2-pt layup from 4 ft,,2,41,33,8,909.0
8:30.0,D. Reath misses 3-pt jump shot from 23 ft,33-41, ,,2,41,33,8,930.0
8:28.0,Offensive rebound by D. Ayton,33-41, ,,2,41,33,8,932.0
8:26.0,D. Ayton makes 2-pt jump shot from 12 ft,35-41, ,,2,41,35,6,934.0
8:12.0, ,35-44,D. White makes 3-pt jump shot from 26 ft (assist by P. Pritchard),,2,44,35,9,948.0
8:11.0,Portland full timeout,35-44, ,,2,44,35,9,949.0
8:11.0,S. Henderson enters the game for K. Murray,35-44, ,,2,44,35,9,949.0
8:11.0,J. Minaya enters the game for D. Reath,35-44, ,,2,44,35,9,949.0
8:11.0, ,35-44,X. Tillman enters the game for L. Kornet,,2,44,35,9,949.0
7:53.0,D. Banton misses 3-pt jump shot from 26 ft,35-44, ,,2,44,35,9,967.0
7:52.0,Offensive rebound by D. Ayton,35-44, ,,2,44,35,9,968.0
7:48.0,R. Rupert misses 2-pt jump shot from 20 ft,35-44, ,,2,44,35,9,972.0
7:46.0,Offensive rebound by D. Ayton,35-44, ,,2,44,35,9,974.0
7:43.0,D. Ayton misses 2-pt jump shot from 3 ft,35-44, ,,2,44,35,9,977.0
7:42.0, ,35-44,Defensive rebound by A. Horford,,2,44,35,9,978.0
7:36.0, ,35-46,P. Pritchard makes 2-pt layup from 3 ft,,2,46,35,11,984.0
7:10.0,D. Banton makes 3-pt jump shot from 26 ft (assist by S. Henderson),38-46, ,,2,46,38,8,1010.0
6:54.0, ,38-49,P. Pritchard makes 3-pt jump shot from 23 ft (assist by X. Tillman),,2,49,38,11,1026.0
6:42.0,D. Banton makes 2-pt layup from 4 ft (assist by S. Henderson),40-49, ,,2,49,40,9,1038.0
6:24.0, ,40-49,Personal foul by D. Ayton (drawn by A. Horford),,2,49,40,9,1056.0
6:24.0,J. Walker enters the game for R. Rupert,40-49, ,,2,49,40,9,1056.0
6:19.0, ,40-51,X. Tillman makes 2-pt dunk from 4 ft (assist by J. Holiday),,2,51,40,11,1061.0
6:02.0,D. Banton makes 3-pt jump shot from 27 ft (assist by S. Henderson),43-51, ,,2,51,43,8,1078.0
6:02.0,D. Reath enters the game for D. Ayton,43-51, ,,2,51,43,8,1078.0
6:02.0, ,43-51,J. Brown enters the game for J. Holiday,,2,51,43,8,1078.0
6:02.0, ,43-51,S. Hauser enters the game for A. Horford,,2,51,43,8,1078.0
6:02.0, ,43-51,K. Porziņģis enters the game for P. Pritchard,,2,51,43,8,1078.0
5:36.0, ,43-51,D. White misses 3-pt jump shot from 28 ft,,2,51,43,8,1104.0
5:35.0,Defensive rebound by D. Banton,43-51, ,,2,51,43,8,1105.0
5:26.0,J. Minaya makes 3-pt jump shot from 26 ft (assist by D. Banton),46-51, ,,2,51,46,5,1114.0
5:01.0, ,46-51,X. Tillman misses 2-pt layup from 3 ft,,2,51,46,5,1139.0
5:00.0,Defensive rebound by J. Walker,46-51, ,,2,51,46,5,1140.0
4:54.0,D. Reath misses 3-pt jump shot from 23 ft,46-51, ,,2,51,46,5,1146.0
4:53.0,Offensive rebound by Team,46-51, ,,2,51,46,5,1147.0
4:53.0, ,46-51,Loose ball foul by S. Hauser (drawn by J. Walker),,2,51,46,5,1147.0
4:42.0,D. Banton misses 3-pt jump shot from 26 ft,46-51, ,,2,51,46,5,1158.0
4:40.0,Offensive rebound by J. Minaya,46-51, ,,2,51,46,5,1160.0
4:30.0,D. Banton misses 2-pt jump shot from 15 ft,46-51, ,,2,51,46,5,1170.0
4:29.0, ,46-51,Defensive rebound by J. Brown,,2,51,46,5,1171.0
4:23.0, ,46-51,Personal foul by J. Walker (drawn by J. Brown),,2,51,46,5,1177.0
4:14.0, ,46-53,X. Tillman makes 2-pt layup from 3 ft (assist by J. Brown),,2,53,46,7,1186.0
3:50.0,J. Minaya makes 3-pt jump shot from 25 ft (assist by D. Banton),49-53, ,,2,53,49,4,1210.0
3:33.0, ,49-55,J. Brown makes 2-pt layup from 4 ft (assist by K. Porziņģis),,2,55,49,6,1227.0
3:14.0,J. Walker misses 2-pt layup from 6 ft (block by X. Tillman),49-55, ,,2,55,49,6,1246.0
3:13.0,Offensive rebound by D. Reath,49-55, ,,2,55,49,6,1247.0
3:12.0,D. Reath misses 2-pt layup from 4 ft (block by K. Porziņģis),49-55, ,,2,55,49,6,1248.0
3:11.0,Offensive rebound by D. Reath,49-55, ,,2,55,49,6,1249.0
3:07.0,J. Walker misses 2-pt jump shot from 4 ft (block by K. Porziņģis),49-55, ,,2,55,49,6,1253.0
3:05.0, ,49-55,Defensive rebound by X. Tillman,,2,55,49,6,1255.0
2:59.0, ,49-55,Personal foul by J. Walker (drawn by K. Porziņģis),,2,55,49,6,1261.0
2:59.0, ,49-55,Boston full timeout,,2,55,49,6,1261.0
2:59.0,D. Ayton enters the game for D. Reath,49-55, ,,2,55,49,6,1261.0
2:59.0,K. Murray enters the game for J. Walker,49-55, ,,2,55,49,6,1261.0
