Time,Portland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:09.0, ,75-83,L. Kornet makes 2-pt dunk from 4 ft (assist by D. White),,3,83,75,8,1911.0
3:46.0,D. Banton makes 2-pt layup from 3 ft,77-83, ,,3,83,77,6,1934.0
3:21.0, ,77-85,J. Brown makes 2-pt jump shot from 12 ft,,3,85,77,8,1959.0
3:11.0,Personal foul by J. Brown (drawn by S. Henderson),77-85, ,,3,85,77,8,1969.0
3:11.0,D. Reath enters the game for D. Ayton,77-85, ,,3,85,77,8,1969.0
2:57.0,S. Henderson misses 3-pt jump shot from 25 ft,77-85, ,,3,85,77,8,1983.0
2:56.0, ,77-85,Defensive rebound by J. Brown,,3,85,77,8,1984.0
2:47.0, ,77-85,D. White misses 3-pt jump shot from 26 ft,,3,85,77,8,1993.0
2:46.0,Defensive rebound by J. Walker,77-85, ,,3,85,77,8,1994.0
2:32.0,J. Walker makes 2-pt dunk from 2 ft (assist by S. Henderson),79-85, ,,3,85,79,6,2008.0
2:32.0, ,79-85,Boston full timeout,,3,85,79,6,2008.0
2:32.0, ,79-85,P. Pritchard enters the game for K. Porziņģis,,3,85,79,6,2008.0
2:12.0, ,79-85,D. White misses 3-pt jump shot from 27 ft,,3,85,79,6,2028.0
2:11.0,Defensive rebound by J. Walker,79-85, ,,3,85,79,6,2029.0
2:01.0,D. Reath misses 2-pt jump shot from 8 ft,79-85, ,,3,85,79,6,2039.0
2:00.0,Offensive rebound by J. Walker,79-85, ,,3,85,79,6,2040.0
1:57.0,Shooting foul by D. White (drawn by J. Walker),79-85, ,,3,85,79,6,2043.0
1:57.0,J. Walker makes free throw 1 of 2,80-85, ,,3,85,80,5,2043.0
1:57.0,J. Walker makes free throw 2 of 2,81-85, ,,3,85,81,4,2043.0
1:41.0, ,81-85,P. Pritchard misses 3-pt jump shot from 26 ft,,3,85,81,4,2059.0
1:39.0, ,81-85,Offensive rebound by L. Kornet,,3,85,81,4,2061.0
1:34.0, ,81-88,S. Hauser makes 3-pt jump shot from 26 ft (assist by D. White),,3,88,81,7,2066.0
1:12.0,Personal foul by S. Hauser (drawn by S. Henderson),81-88, ,,3,88,81,7,2088.0
1:12.0,S. Henderson makes free throw 1 of 2,82-88, ,,3,88,82,6,2088.0
1:12.0,S. Henderson makes free throw 2 of 2,83-88, ,,3,88,83,5,2088.0
0:54.0, ,83-90,D. White makes 2-pt jump shot from 14 ft,,3,90,83,7,2106.0
0:38.0,D. Banton makes 2-pt jump shot from 7 ft (assist by D. Reath),85-90, ,,3,90,85,5,2122.0
0:27.0, ,85-93,J. Brown makes 3-pt jump shot from 26 ft (assist by D. White),,3,93,85,8,2133.0
0:08.0,D. Banton misses 3-pt jump shot from 28 ft,85-93, ,,3,93,85,8,2152.0
0:06.0, ,85-93,Defensive rebound by L. Kornet,,3,93,85,8,2154.0
0:00.0, ,85-93,J. Brown misses 3-pt jump shot from 27 ft,,3,93,85,8,2160.0
0:00.0, ,85-93,Offensive rebound by Team,,3,93,85,8,2160.0
0:00.0,End of 3rd quarter,85-93,,,3,93,85,8,2160.0
12:00.0,Start of 4th quarter,85-93,,,4,93,85,8,2160.0
11:43.0, ,85-93,X. Tillman misses 3-pt jump shot from 23 ft,,4,93,85,8,2177.0
11:41.0, ,85-93,Offensive rebound by L. Kornet,,4,93,85,8,2179.0
11:33.0, ,85-93,Turnover by P. Pritchard (bad pass),,4,93,85,8,2187.0
11:17.0,D. Banton misses 2-pt jump shot from 17 ft,85-93, ,,4,93,85,8,2203.0
11:16.0, ,85-93,Defensive rebound by S. Mykhailiuk,,4,93,85,8,2204.0
11:07.0, ,85-95,P. Pritchard makes 2-pt jump shot from 13 ft (assist by S. Mykhailiuk),,4,95,85,10,2213.0
10:55.0,D. Ayton misses 2-pt jump shot from 16 ft,85-95, ,,4,95,85,10,2225.0
10:53.0, ,85-95,Defensive rebound by P. Pritchard,,4,95,85,10,2227.0
10:47.0, ,85-97,P. Pritchard makes 2-pt jump shot from 10 ft,,4,97,85,12,2233.0
10:31.0,J. Minaya misses 3-pt jump shot from 26 ft,85-97, ,,4,97,85,12,2249.0
10:29.0, ,85-97,Defensive rebound by X. Tillman,,4,97,85,12,2251.0
10:21.0, ,85-97,P. Pritchard misses 2-pt layup from 5 ft (block by J. Minaya),,4,97,85,12,2259.0
10:20.0, ,85-97,Offensive rebound by L. Kornet,,4,97,85,12,2260.0
10:13.0, ,85-97,S. Hauser misses 3-pt jump shot from 26 ft,,4,97,85,12,2267.0
10:12.0,Defensive rebound by D. Reath,85-97, ,,4,97,85,12,2268.0
9:56.0,R. Rupert makes 3-pt jump shot from 26 ft,88-97, ,,4,97,88,9,2284.0
9:31.0, ,88-100,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by L. Kornet),,4,100,88,12,2309.0
9:17.0,D. Ayton makes 2-pt jump shot from 11 ft (assist by D. Banton),90-100, ,,4,100,90,10,2323.0
8:54.0, ,90-100,P. Pritchard misses 2-pt layup from 7 ft,,4,100,90,10,2346.0
8:53.0,Defensive rebound by Team,90-100, ,,4,100,90,10,2347.0
8:53.0,K. Murray enters the game for D. Reath,90-100, ,,4,100,90,10,2347.0
8:53.0, ,90-100,O. Brissett enters the game for L. Kornet,,4,100,90,10,2347.0
8:37.0,D. Ayton misses 2-pt jump shot from 16 ft,90-100, ,,4,100,90,10,2363.0
8:36.0, ,90-100,Defensive rebound by O. Brissett,,4,100,90,10,2364.0
8:24.0, ,90-100,O. Brissett misses 3-pt jump shot from 27 ft,,4,100,90,10,2376.0
8:21.0,Defensive rebound by D. Ayton,90-100, ,,4,100,90,10,2379.0
8:12.0,D. Banton misses 3-pt jump shot from 27 ft,90-100, ,,4,100,90,10,2388.0
8:11.0,Offensive rebound by D. Ayton,90-100, ,,4,100,90,10,2389.0
7:58.0,D. Banton misses 3-pt jump shot from 32 ft,90-100, ,,4,100,90,10,2402.0
7:56.0, ,90-100,Defensive rebound by P. Pritchard,,4,100,90,10,2404.0
7:47.0, ,90-100,Offensive foul by S. Mykhailiuk (drawn by R. Rupert),,4,100,90,10,2413.0
7:47.0, ,90-100,Turnover by S. Mykhailiuk (offensive foul),,4,100,90,10,2413.0
7:29.0,D. Ayton makes 2-pt jump shot from 15 ft (assist by D. Banton),92-100, ,,4,100,92,8,2431.0
7:11.0, ,92-102,O. Brissett makes 2-pt layup from 2 ft (assist by P. Pritchard),,4,102,92,10,2449.0
6:59.0,Turnover by D. Banton (lost ball; steal by S. Hauser),92-102, ,,4,102,92,10,2461.0
6:55.0, ,92-104,S. Hauser makes 2-pt layup from 5 ft (assist by P. Pritchard),,4,104,92,12,2465.0
6:55.0,Portland full timeout,92-104, ,,4,104,92,12,2465.0
6:55.0,S. Henderson enters the game for J. Minaya,92-104, ,,4,104,92,12,2465.0
6:55.0,J. Walker enters the game for K. Murray,92-104, ,,4,104,92,12,2465.0
6:47.0,Turnover by S. Henderson (bad pass; steal by P. Pritchard),92-104, ,,4,104,92,12,2473.0
6:42.0, ,92-104,Turnover by P. Pritchard (bad pass; steal by S. Henderson),,4,104,92,12,2478.0
6:38.0,Turnover by S. Henderson (bad pass; steal by X. Tillman),92-104, ,,4,104,92,12,2482.0
6:32.0, ,92-104,P. Pritchard misses 3-pt jump shot from 25 ft,,4,104,92,12,2488.0
6:27.0,Defensive rebound by J. Walker,92-104, ,,4,104,92,12,2493.0
6:18.0,D. Ayton misses 2-pt hook shot from 11 ft,92-104, ,,4,104,92,12,2502.0
6:17.0, ,92-104,Defensive rebound by X. Tillman,,4,104,92,12,2503.0
5:58.0, ,92-104,Turnover by O. Brissett (lost ball; steal by D. Ayton),,4,104,92,12,2522.0
5:44.0,D. Ayton makes 2-pt jump shot from 5 ft (assist by S. Henderson),94-104, ,,4,104,94,10,2536.0
5:28.0, ,94-104,S. Mykhailiuk misses 2-pt jump shot from 13 ft,,4,104,94,10,2552.0
5:27.0,Defensive rebound by D. Ayton,94-104, ,,4,104,94,10,2553.0
5:18.0,S. Henderson misses 2-pt layup from 6 ft (block by X. Tillman),94-104, ,,4,104,94,10,2562.0
5:17.0, ,94-104,Defensive rebound by X. Tillman,,4,104,94,10,2563.0
5:10.0, ,94-106,P. Pritchard makes 2-pt layup from 5 ft (assist by S. Mykhailiuk),,4,106,94,12,2570.0
5:05.0,Turnover by S. Henderson (traveling),94-106, ,,4,106,94,12,2575.0
4:55.0, ,94-109,S. Hauser makes 3-pt jump shot from 27 ft (assist by O. Brissett),,4,109,94,15,2585.0
4:28.0,D. Banton misses 2-pt jump shot from 20 ft,94-109, ,,4,109,94,15,2612.0
4:28.0, ,94-109,Defensive rebound by P. Pritchard,,4,109,94,15,2612.0
4:16.0, ,94-112,X. Tillman makes 3-pt jump shot from 27 ft (assist by P. Pritchard),,4,112,94,18,2624.0
4:14.0,Portland full timeout,94-112, ,,4,112,94,18,2626.0
4:14.0,K. Murray enters the game for D. Ayton,94-112, ,,4,112,94,18,2626.0
4:02.0,Turnover by J. Walker (lost ball; steal by O. Brissett),94-112, ,,4,112,94,18,2638.0
3:57.0, ,94-112,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,4,112,94,18,2643.0
3:55.0,Defensive rebound by Team,94-112, ,,4,112,94,18,2645.0
3:46.0,K. Murray makes 2-pt layup from 4 ft (assist by D. Banton),96-112, ,,4,112,96,16,2654.0
3:25.0, ,96-112,O. Brissett misses 2-pt layup from 3 ft,,4,112,96,16,2675.0
3:24.0,Defensive rebound by J. Walker,96-112, ,,4,112,96,16,2676.0
3:14.0,D. Banton makes 2-pt layup from 3 ft (assist by S. Henderson),98-112, ,,4,112,98,14,2686.0
2:54.0, ,98-114,O. Brissett makes 2-pt dunk from 5 ft (assist by P. Pritchard),,4,114,98,16,2706.0
2:46.0,D. Banton makes 2-pt hook shot from 7 ft,100-114, ,,4,114,100,14,2714.0
2:46.0,Shooting foul by O. Brissett (drawn by D. Banton),100-114, ,,4,114,100,14,2714.0
2:46.0,D. Banton makes free throw 1 of 1,101-114, ,,4,114,101,13,2714.0
2:33.0, ,101-116,P. Pritchard makes 2-pt jump shot from 9 ft,,4,116,101,15,2727.0
2:20.0,J. Walker misses 2-pt layup from 3 ft,101-116, ,,4,116,101,15,2740.0
2:17.0, ,101-116,Defensive rebound by X. Tillman,,4,116,101,15,2743.0
2:14.0, ,101-118,O. Brissett makes 2-pt dunk from 5 ft (assist by P. Pritchard),,4,118,101,17,2746.0
2:01.0,D. Banton makes 2-pt jump shot from 20 ft,103-118, ,,4,118,103,15,2759.0
1:49.0, ,103-120,P. Pritchard makes 2-pt layup from 2 ft,,4,120,103,17,2771.0
1:41.0,D. Banton misses 2-pt layup from 6 ft,103-120, ,,4,120,103,17,2779.0
1:39.0, ,103-120,Defensive rebound by S. Mykhailiuk,,4,120,103,17,2781.0
1:30.0, ,103-120,X. Tillman misses 2-pt layup from 4 ft,,4,120,103,17,2790.0
1:29.0,Defensive rebound by R. Rupert,103-120, ,,4,120,103,17,2791.0
1:25.0,Turnover by R. Rupert (out of bounds lost ball),103-120, ,,4,120,103,17,2795.0
1:25.0,J. Minaya enters the game for D. Banton,103-120, ,,4,120,103,17,2795.0
1:07.0, ,103-122,X. Tillman makes 2-pt hook shot from 6 ft (assist by S. Hauser),,4,122,103,19,2813.0
1:00.0,Shooting foul by S. Mykhailiuk (drawn by S. Henderson),103-122, ,,4,122,103,19,2820.0
1:00.0,S. Henderson makes free throw 1 of 2,104-122, ,,4,122,104,18,2820.0
1:00.0,S. Henderson makes free throw 2 of 2,105-122, ,,4,122,105,17,2820.0
0:42.0, ,105-124,S. Mykhailiuk makes 2-pt layup from 2 ft (assist by P. Pritchard),,4,124,105,19,2838.0
0:34.0,Personal foul by P. Pritchard (drawn by S. Henderson),105-124, ,,4,124,105,19,2846.0
0:34.0,S. Henderson makes free throw 1 of 2,106-124, ,,4,124,106,18,2846.0
0:34.0,S. Henderson makes free throw 2 of 2,107-124, ,,4,124,107,17,2846.0
0:10.0, ,107-124,Turnover by Team (shot clock),,4,124,107,17,2870.0
0:00.0,End of 4th quarter,107-124,,,4,124,107,17,2880.0
