Time,Toronto,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:29.0,O. Porter misses 3-pt jump shot from 27 ft,66-88, ,,3,88,66,22,2071.0
1:26.0, ,66-88,Defensive rebound by K. Porziņģis,,3,88,66,22,2074.0
1:23.0, ,66-88,Turnover by K. Porziņģis (bad pass; steal by D. Schröder),,3,88,66,22,2077.0
1:16.0,P. Achiuwa misses 3-pt jump shot from 24 ft,66-88, ,,3,88,66,22,2084.0
1:13.0, ,66-88,Defensive rebound by J. Brown,,3,88,66,22,2087.0
1:03.0, ,66-88,J. Brown misses 3-pt jump shot from 26 ft,,3,88,66,22,2097.0
1:00.0,Defensive rebound by O. Porter,66-88, ,,3,88,66,22,2100.0
0:49.0,Shooting foul by J. Holiday (drawn by D. Schröder),66-88, ,,3,88,66,22,2111.0
0:49.0,D. Schröder makes free throw 1 of 2,67-88, ,,3,88,67,21,2111.0
0:49.0,O. Anunoby enters the game for S. Barnes,67-88, ,,3,88,67,21,2111.0
0:49.0,C. Boucher enters the game for O. Porter,67-88, ,,3,88,67,21,2111.0
0:49.0,G. Dick enters the game for P. Siakam,67-88, ,,3,88,67,21,2111.0
0:49.0, ,67-88,P. Pritchard enters the game for J. Holiday,,3,88,67,21,2111.0
0:49.0, ,67-88,J. Tatum enters the game for K. Porziņģis,,3,88,67,21,2111.0
0:49.0,D. Schröder makes free throw 2 of 2,68-88, ,,3,88,68,20,2111.0
0:29.0, ,68-88,J. Tatum misses 3-pt jump shot from 26 ft,,3,88,68,20,2131.0
0:28.0,Defensive rebound by P. Achiuwa,68-88, ,,3,88,68,20,2132.0
0:24.0,O. Anunoby makes 3-pt jump shot from 26 ft (assist by D. Schröder),71-88, ,,3,88,71,17,2136.0
0:03.0, ,71-88,J. Brown misses 2-pt layup from 4 ft,,3,88,71,17,2157.0
0:01.0,Defensive rebound by C. Boucher,71-88, ,,3,88,71,17,2159.0
0:00.0,D. Schröder misses 3-pt jump shot from 47 ft,71-88, ,,3,88,71,17,2160.0
0:00.0,Offensive rebound by Team,71-88, ,,3,88,71,17,2160.0
0:00.0,End of 3rd quarter,71-88,,,3,88,71,17,2160.0
12:00.0,Start of 4th quarter,71-88,,,4,88,71,17,2160.0
11:36.0,O. Anunoby misses 2-pt jump shot from 20 ft,71-88, ,,4,88,71,17,2184.0
11:34.0,Offensive rebound by Team,71-88, ,,4,88,71,17,2186.0
11:30.0,J. Poeltl misses 2-pt layup from 5 ft,71-88, ,,4,88,71,17,2190.0
11:30.0, ,71-88,Defensive rebound by L. Kornet,,4,88,71,17,2190.0
11:15.0, ,71-88,P. Pritchard misses 3-pt jump shot from 23 ft,,4,88,71,17,2205.0
11:11.0, ,71-88,Offensive rebound by Team,,4,88,71,17,2209.0
11:06.0, ,71-90,D. White makes 2-pt layup from 2 ft (assist by L. Kornet),,4,90,71,19,2214.0
11:06.0, ,71-90,Shooting foul by G. Dick (drawn by D. White),,4,90,71,19,2214.0
11:06.0, ,71-90,D. White misses free throw 1 of 1,,4,90,71,19,2214.0
11:05.0, ,71-90,Offensive rebound by P. Pritchard,,4,90,71,19,2215.0
11:01.0, ,71-90,D. White misses 3-pt jump shot from 26 ft,,4,90,71,19,2219.0
10:58.0, ,71-90,Offensive rebound by P. Pritchard,,4,90,71,19,2222.0
10:51.0, ,71-90,A. Horford misses 3-pt jump shot from 25 ft,,4,90,71,19,2229.0
10:47.0,Defensive rebound by Team,71-90, ,,4,90,71,19,2233.0
10:29.0,O. Anunoby misses 2-pt jump shot from 12 ft,71-90, ,,4,90,71,19,2251.0
10:24.0,Offensive rebound by J. Poeltl,71-90, ,,4,90,71,19,2256.0
10:24.0,J. Poeltl misses 2-pt layup at rim,71-90, ,,4,90,71,19,2256.0
10:24.0, ,71-90,Defensive rebound by J. Tatum,,4,90,71,19,2256.0
10:14.0, ,71-93,J. Tatum makes 3-pt jump shot from 31 ft (assist by P. Pritchard),,4,93,71,22,2266.0
10:00.0,O. Anunoby misses 3-pt jump shot from 28 ft,71-93, ,,4,93,71,22,2280.0
9:58.0, ,71-93,Defensive rebound by L. Kornet,,4,93,71,22,2282.0
9:48.0, ,71-96,J. Tatum makes 3-pt jump shot from 30 ft (assist by P. Pritchard),,4,96,71,25,2292.0
9:42.0,Toronto full timeout,71-96, ,,4,96,71,25,2298.0
9:25.0,M. Flynn misses 3-pt jump shot from 27 ft,71-96, ,,4,96,71,25,2315.0
9:24.0, ,71-96,Defensive rebound by Team,,4,96,71,25,2316.0
9:11.0, ,71-96,J. Tatum misses 2-pt layup from 3 ft,,4,96,71,25,2329.0
9:08.0,Defensive rebound by C. Boucher,71-96, ,,4,96,71,25,2332.0
8:56.0,Personal foul by P. Pritchard (drawn by C. Boucher),71-96, ,,4,96,71,25,2344.0
8:56.0,P. Achiuwa enters the game for O. Anunoby,71-96, ,,4,96,71,25,2344.0
8:56.0,J. McDaniels enters the game for J. Poeltl,71-96, ,,4,96,71,25,2344.0
8:56.0, ,71-96,J. Brown enters the game for L. Kornet,,4,96,71,25,2344.0
8:46.0,M. Flynn makes 2-pt layup from 3 ft (assist by P. Achiuwa),73-96, ,,4,96,73,23,2354.0
8:46.0, ,73-96,Violation by Team (def goaltending),,4,96,73,23,2354.0
8:46.0,Shooting foul by A. Horford (drawn by M. Flynn),73-96, ,,4,96,73,23,2354.0
8:46.0,M. Flynn misses free throw 1 of 1,73-96, ,,4,96,73,23,2354.0
8:44.0, ,73-96,Defensive rebound by J. Brown,,4,96,73,23,2356.0
8:37.0, ,73-99,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Brown),,4,99,73,26,2363.0
8:19.0,G. Dick misses 3-pt jump shot from 24 ft,73-99, ,,4,99,73,26,2381.0
8:16.0, ,73-99,Defensive rebound by A. Horford,,4,99,73,26,2384.0
8:13.0, ,73-101,J. Brown makes 2-pt dunk from 2 ft (assist by J. Tatum),,4,101,73,28,2387.0
7:56.0,C. Boucher misses 3-pt jump shot from 23 ft,73-101, ,,4,101,73,28,2404.0
7:53.0, ,73-101,Defensive rebound by P. Pritchard,,4,101,73,28,2407.0
7:42.0, ,73-101,J. Tatum misses 3-pt jump shot from 24 ft,,4,101,73,28,2418.0
7:40.0,Defensive rebound by C. Boucher,73-101, ,,4,101,73,28,2420.0
7:35.0,Turnover by G. Dick (traveling),73-101, ,,4,101,73,28,2425.0
7:20.0, ,73-101,Shooting foul by J. McDaniels (drawn by J. Tatum),,4,101,73,28,2440.0
7:20.0, ,73-101,J. Tatum misses free throw 1 of 2,,4,101,73,28,2440.0
7:20.0, ,73-101,Offensive rebound by Team,,4,101,73,28,2440.0
7:20.0, ,73-101,J. Tatum misses free throw 2 of 2,,4,101,73,28,2440.0
7:18.0,Defensive rebound by P. Achiuwa,73-101, ,,4,101,73,28,2442.0
7:04.0,C. Boucher misses 2-pt layup from 4 ft,73-101, ,,4,101,73,28,2456.0
7:02.0, ,73-101,Defensive rebound by A. Horford,,4,101,73,28,2458.0
6:46.0, ,73-103,J. Brown makes 2-pt dunk from 1 ft (assist by A. Horford),,4,103,73,30,2474.0
6:24.0,C. Boucher makes 3-pt jump shot from 28 ft (assist by G. Dick),76-103, ,,4,103,76,27,2496.0
6:10.0, ,76-103,J. Brown misses 3-pt jump shot from 25 ft,,4,103,76,27,2510.0
6:07.0,Defensive rebound by J. McDaniels,76-103, ,,4,103,76,27,2513.0
6:03.0,Shooting foul by J. Brown (drawn by G. Dick),76-103, ,,4,103,76,27,2517.0
6:03.0,G. Dick makes free throw 1 of 2,77-103, ,,4,103,77,26,2517.0
6:03.0, ,77-103,D. Banton enters the game for D. White,,4,103,77,26,2517.0
6:03.0,G. Dick makes free throw 2 of 2,78-103, ,,4,103,78,25,2517.0
5:43.0, ,78-105,J. Brown makes 2-pt layup from 3 ft (assist by A. Horford),,4,105,78,27,2537.0
5:43.0, ,78-105,Shooting foul by C. Boucher (drawn by J. Brown),,4,105,78,27,2537.0
5:43.0, ,78-105,L. Kornet enters the game for A. Horford,,4,105,78,27,2537.0
5:43.0, ,78-106,J. Brown makes free throw 1 of 1,,4,106,78,28,2537.0
5:31.0,M. Flynn makes 3-pt jump shot from 26 ft (assist by P. Achiuwa),81-106, ,,4,106,81,25,2549.0
5:11.0, ,81-108,J. Tatum makes 2-pt layup from 3 ft,,4,108,81,27,2569.0
4:57.0,G. Dick misses 2-pt jump shot from 10 ft,81-108, ,,4,108,81,27,2583.0
4:54.0, ,81-108,Defensive rebound by P. Pritchard,,4,108,81,27,2586.0
4:48.0, ,81-111,P. Pritchard makes 3-pt jump shot from 26 ft,,4,111,81,30,2592.0
4:47.0,Toronto full timeout,81-111, ,,4,111,81,30,2593.0
4:47.0, ,81-111,O. Brissett enters the game for J. Brown,,4,111,81,30,2593.0
4:47.0, ,81-111,S. Mykhailiuk enters the game for J. Tatum,,4,111,81,30,2593.0
4:28.0,C. Boucher makes 3-pt jump shot from 27 ft (assist by P. Achiuwa),84-111, ,,4,111,84,27,2612.0
4:13.0, ,84-113,P. Pritchard makes 2-pt layup from 2 ft,,4,113,84,29,2627.0
4:01.0,Personal foul by L. Kornet (drawn by P. Achiuwa),84-113, ,,4,113,84,29,2639.0
4:01.0,G. Temple enters the game for P. Achiuwa,84-113, ,,4,113,84,29,2639.0
4:01.0,T. Young enters the game for G. Dick,84-113, ,,4,113,84,29,2639.0
3:50.0,M. Flynn makes 2-pt jump shot from 7 ft (assist by T. Young),86-113, ,,4,113,86,27,2650.0
3:39.0, ,86-113,Boston full timeout,,4,113,86,27,2661.0
3:39.0, ,86-113,Instant Replay (Challenge: Ruling Stands),,4,113,86,27,2661.0
3:31.0, ,86-115,L. Kornet makes 2-pt layup from 1 ft (assist by P. Pritchard),,4,115,86,29,2669.0
3:15.0,J. McDaniels misses 2-pt jump shot from 16 ft,86-115, ,,4,115,86,29,2685.0
3:12.0, ,86-115,Defensive rebound by L. Kornet,,4,115,86,29,2688.0
3:01.0, ,86-115,S. Mykhailiuk misses 3-pt jump shot from 23 ft,,4,115,86,29,2699.0
3:00.0,Defensive rebound by Team,86-115, ,,4,115,86,29,2700.0
2:43.0,T. Young makes 2-pt jump shot from 11 ft (assist by C. Boucher),88-115, ,,4,115,88,27,2717.0
2:26.0, ,88-115,P. Pritchard misses 3-pt jump shot from 26 ft,,4,115,88,27,2734.0
2:20.0,Defensive rebound by G. Temple,88-115, ,,4,115,88,27,2740.0
2:08.0,M. Flynn makes 2-pt layup from 4 ft (assist by T. Young),90-115, ,,4,115,90,25,2752.0
1:57.0, ,90-115,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,4,115,90,25,2763.0
1:52.0,Defensive rebound by C. Boucher,90-115, ,,4,115,90,25,2768.0
1:36.0,G. Temple misses 2-pt jump shot from 20 ft,90-115, ,,4,115,90,25,2784.0
1:33.0, ,90-115,Defensive rebound by L. Kornet,,4,115,90,25,2787.0
1:24.0, ,90-115,Turnover by S. Mykhailiuk (bad pass; steal by G. Temple),,4,115,90,25,2796.0
1:21.0,G. Temple makes 2-pt dunk from 3 ft,92-115, ,,4,115,92,23,2799.0
1:14.0, ,92-115,Shooting foul by J. McDaniels (drawn by P. Pritchard),,4,115,92,23,2806.0
1:14.0, ,92-116,P. Pritchard makes free throw 1 of 2,,4,116,92,24,2806.0
1:14.0, ,92-117,P. Pritchard makes free throw 2 of 2,,4,117,92,25,2806.0
0:59.0,J. McDaniels misses 2-pt jump shot from 15 ft,92-117, ,,4,117,92,25,2821.0
0:54.0,Offensive rebound by T. Young,92-117, ,,4,117,92,25,2826.0
0:54.0,T. Young misses 2-pt layup at rim,92-117, ,,4,117,92,25,2826.0
0:53.0, ,92-117,Defensive rebound by L. Kornet,,4,117,92,25,2827.0
0:49.0, ,92-117,D. Banton misses 3-pt jump shot from 28 ft,,4,117,92,25,2831.0
0:47.0,Defensive rebound by Team,92-117, ,,4,117,92,25,2833.0
0:37.0,T. Young makes 2-pt jump shot from 14 ft,94-117, ,,4,117,94,23,2843.0
0:13.0, ,94-117,Turnover by Team (shot clock),,4,117,94,23,2867.0
0:00.0,End of 4th quarter,94-117,,,4,117,94,23,2880.0
