Time,Boston,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:51.0,J. Tatum misses 3-pt jump shot from 26 ft,81-68, ,,3,81,68,13,1989.0
2:48.0, ,81-68,Defensive rebound by T. Murphy,,3,81,68,13,1992.0
2:44.0, ,81-68,New Orleans full timeout,,3,81,68,13,1996.0
2:44.0,S. Hauser enters the game for J. Brown,81-68, ,,3,81,68,13,1996.0
2:44.0,P. Pritchard enters the game for D. White,81-68, ,,3,81,68,13,1996.0
2:44.0, ,81-68,D. Daniels enters the game for H. Jones,,3,81,68,13,1996.0
2:44.0, ,81-68,C. McCollum enters the game for Z. Williamson,,3,81,68,13,1996.0
2:28.0, ,81-68,J. Valančiūnas misses 2-pt jump shot from 7 ft,,3,81,68,13,2012.0
2:26.0,Defensive rebound by P. Pritchard,81-68, ,,3,81,68,13,2014.0
2:03.0,A. Horford misses 2-pt hook shot from 10 ft,81-68, ,,3,81,68,13,2037.0
2:00.0, ,81-68,Defensive rebound by T. Murphy,,3,81,68,13,2040.0
1:44.0, ,81-68,C. McCollum misses 3-pt jump shot from 25 ft,,3,81,68,13,2056.0
1:40.0,Defensive rebound by S. Hauser,81-68, ,,3,81,68,13,2060.0
1:35.0,X. Tillman misses 2-pt layup from 2 ft,81-68, ,,3,81,68,13,2065.0
1:32.0, ,81-68,Defensive rebound by T. Murphy,,3,81,68,13,2068.0
1:27.0, ,81-68,Turnover by D. Daniels (bad pass; steal by A. Horford),,3,81,68,13,2073.0
1:05.0,J. Tatum makes 2-pt jump shot from 15 ft,83-68, ,,3,83,68,15,2095.0
0:37.0, ,83-68,T. Murphy misses 2-pt layup from 7 ft,,3,83,68,15,2123.0
0:34.0,Defensive rebound by J. Tatum,83-68, ,,3,83,68,15,2126.0
0:15.0,J. Tatum misses 3-pt jump shot from 28 ft,83-68, ,,3,83,68,15,2145.0
0:11.0, ,83-68,Defensive rebound by N. Marshall,,3,83,68,15,2149.0
0:06.0, ,83-68,Personal foul by P. Pritchard (drawn by C. McCollum),,3,83,68,15,2154.0
0:06.0, ,83-68,J. Hawkins enters the game for D. Daniels,,3,83,68,15,2154.0
0:01.0, ,83-68,Turnover by C. McCollum (lost ball; steal by S. Hauser),,3,83,68,15,2159.0
0:00.0,P. Pritchard misses 3-pt jump shot from 26 ft,83-68, ,,3,83,68,15,2160.0
0:00.0,Offensive rebound by Team,83-68, ,,3,83,68,15,2160.0
0:00.0,End of 3rd quarter,83-68,,,3,83,68,15,2160.0
12:00.0,Start of 4th quarter,83-68,,,4,83,68,15,2160.0
11:41.0,S. Hauser makes 3-pt jump shot from 28 ft (assist by K. Porziņģis),86-68, ,,4,86,68,18,2179.0
11:18.0, ,86-70,Z. Williamson makes 2-pt jump shot from 6 ft (assist by C. McCollum),,4,86,70,16,2202.0
10:54.0,K. Porziņģis misses 2-pt jump shot from 11 ft,86-70, ,,4,86,70,16,2226.0
10:53.0,Offensive rebound by P. Pritchard,86-70, ,,4,86,70,16,2227.0
10:51.0,P. Pritchard makes 2-pt layup from 2 ft,88-70, ,,4,88,70,18,2229.0
10:39.0, ,88-70,Z. Williamson misses 2-pt jump shot from 14 ft,,4,88,70,18,2241.0
10:36.0,Defensive rebound by A. Horford,88-70, ,,4,88,70,18,2244.0
10:20.0,K. Porziņģis misses 3-pt jump shot from 28 ft,88-70, ,,4,88,70,18,2260.0
10:16.0, ,88-70,Defensive rebound by H. Jones,,4,88,70,18,2264.0
10:10.0, ,88-70,H. Jones misses 3-pt jump shot from 26 ft,,4,88,70,18,2270.0
10:07.0,Defensive rebound by S. Hauser,88-70, ,,4,88,70,18,2273.0
9:54.0,K. Porziņģis misses 2-pt layup from 2 ft (block by C. McCollum),88-70, ,,4,88,70,18,2286.0
9:54.0,Offensive rebound by Team,88-70, ,,4,88,70,18,2286.0
9:43.0,K. Porziņģis misses 2-pt jump shot from 11 ft,88-70, ,,4,88,70,18,2297.0
9:41.0, ,88-70,Defensive rebound by Z. Williamson,,4,88,70,18,2299.0
9:35.0, ,88-70,H. Jones misses 2-pt layup from 6 ft,,4,88,70,18,2305.0
9:33.0,Defensive rebound by S. Hauser,88-70, ,,4,88,70,18,2307.0
9:18.0,A. Horford makes 2-pt hook shot from 6 ft,90-70, ,,4,90,70,20,2322.0
9:05.0, ,90-70,C. McCollum misses 2-pt jump shot from 8 ft,,4,90,70,20,2335.0
9:02.0,Defensive rebound by A. Horford,90-70, ,,4,90,70,20,2338.0
8:46.0,Shooting foul by C. McCollum (drawn by K. Porziņģis),90-70, ,,4,90,70,20,2354.0
8:46.0,K. Porziņģis makes free throw 1 of 2,91-70, ,,4,91,70,21,2354.0
8:46.0,K. Porziņģis makes free throw 2 of 2,92-70, ,,4,92,70,22,2354.0
8:27.0, ,92-72,Z. Williamson makes 2-pt layup from 2 ft (assist by H. Jones),,4,92,72,20,2373.0
8:27.0, ,92-72,Shooting foul by K. Porziņģis (drawn by Z. Williamson),,4,92,72,20,2373.0
8:27.0, ,92-72,Z. Williamson misses free throw 1 of 1,,4,92,72,20,2373.0
8:24.0,Defensive rebound by A. Horford,92-72, ,,4,92,72,20,2376.0
8:03.0,Turnover by K. Porziņģis (lost ball),92-72, ,,4,92,72,20,2397.0
8:03.0,Loose ball foul by K. Porziņģis (drawn by H. Jones),92-72, ,,4,92,72,20,2397.0
8:03.0,J. Brown enters the game for K. Porziņģis,92-72, ,,4,92,72,20,2397.0
7:48.0, ,92-72,Shooting foul by A. Horford (drawn by Z. Williamson),,4,92,72,20,2412.0
7:48.0, ,92-73,Z. Williamson makes free throw 1 of 2,,4,92,73,19,2412.0
7:48.0, ,92-73,Z. Williamson misses free throw 2 of 2,,4,92,73,19,2412.0
7:46.0,Defensive rebound by A. Horford,92-73, ,,4,92,73,19,2414.0
7:32.0,Turnover by J. Holiday (lost ball; steal by C. McCollum),92-73, ,,4,92,73,19,2428.0
7:29.0, ,92-75,C. McCollum makes 2-pt layup from 2 ft,,4,92,75,17,2431.0
7:21.0,A. Horford misses 3-pt jump shot from 24 ft,92-75, ,,4,92,75,17,2439.0
7:18.0, ,92-75,Defensive rebound by N. Marshall,,4,92,75,17,2442.0
7:18.0, ,92-75,Personal foul by J. Holiday (drawn by H. Jones),,4,92,75,17,2442.0
7:07.0, ,92-75,H. Jones misses 3-pt jump shot from 26 ft,,4,92,75,17,2453.0
7:05.0, ,92-75,Offensive rebound by Z. Williamson,,4,92,75,17,2455.0
7:05.0, ,92-77,Z. Williamson makes 2-pt layup from 2 ft,,4,92,77,15,2455.0
7:05.0,Boston full timeout,92-77, ,,4,92,77,15,2455.0
7:05.0,J. Tatum enters the game for S. Hauser,92-77, ,,4,92,77,15,2455.0
7:05.0,D. White enters the game for P. Pritchard,92-77, ,,4,92,77,15,2455.0
7:05.0, ,92-77,T. Murphy enters the game for C. McCollum,,4,92,77,15,2455.0
6:44.0,J. Brown misses 2-pt jump shot from 11 ft,92-77, ,,4,92,77,15,2476.0
6:42.0, ,92-77,Defensive rebound by Z. Williamson,,4,92,77,15,2478.0
6:34.0, ,92-77,Shooting foul by J. Holiday (drawn by Z. Williamson),,4,92,77,15,2486.0
6:34.0, ,92-78,Z. Williamson makes free throw 1 of 2,,4,92,78,14,2486.0
6:34.0, ,92-78,Z. Williamson misses free throw 2 of 2,,4,92,78,14,2486.0
6:30.0,Defensive rebound by J. Holiday,92-78, ,,4,92,78,14,2490.0
6:15.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Holiday),95-78, ,,4,95,78,17,2505.0
5:52.0, ,95-78,M. Ryan misses 3-pt jump shot from 25 ft,,4,95,78,17,2528.0
5:49.0,Defensive rebound by J. Brown,95-78, ,,4,95,78,17,2531.0
5:34.0,J. Brown misses 2-pt layup from 2 ft,95-78, ,,4,95,78,17,2546.0
5:32.0, ,95-78,Defensive rebound by H. Jones,,4,95,78,17,2548.0
5:18.0, ,95-78,N. Marshall misses 2-pt layup from 2 ft,,4,95,78,17,2562.0
5:17.0,Defensive rebound by J. Brown,95-78, ,,4,95,78,17,2563.0
5:10.0,J. Brown misses 2-pt layup from 2 ft,95-78, ,,4,95,78,17,2570.0
5:08.0, ,95-78,Defensive rebound by N. Marshall,,4,95,78,17,2572.0
5:03.0, ,95-78,Shooting foul by J. Tatum (drawn by Z. Williamson),,4,95,78,17,2577.0
5:03.0, ,95-79,Z. Williamson makes free throw 1 of 2,,4,95,79,16,2577.0
5:03.0, ,95-79,C. McCollum enters the game for M. Ryan,,4,95,79,16,2577.0
5:03.0, ,95-80,Z. Williamson makes free throw 2 of 2,,4,95,80,15,2577.0
4:41.0,J. Tatum misses 2-pt jump shot from 18 ft,95-80, ,,4,95,80,15,2599.0
4:39.0, ,95-80,Defensive rebound by Team,,4,95,80,15,2601.0
4:39.0, ,95-80,New Orleans full timeout,,4,95,80,15,2601.0
4:39.0,K. Porziņģis enters the game for A. Horford,95-80, ,,4,95,80,15,2601.0
4:27.0, ,95-83,C. McCollum makes 3-pt jump shot from 26 ft (assist by Z. Williamson),,4,95,83,12,2613.0
4:12.0,Shooting foul by C. McCollum (drawn by D. White),95-83, ,,4,95,83,12,2628.0
4:12.0,D. White makes free throw 1 of 2,96-83, ,,4,96,83,13,2628.0
4:12.0,D. White makes free throw 2 of 2,97-83, ,,4,97,83,14,2628.0
3:55.0, ,97-83,Turnover by N. Marshall (bad pass; steal by K. Porziņģis),,4,97,83,14,2645.0
3:37.0,J. Brown makes 2-pt dunk at rim (assist by K. Porziņģis),99-83, ,,4,99,83,16,2663.0
3:22.0, ,99-86,C. McCollum makes 3-pt jump shot from 26 ft (assist by H. Jones),,4,99,86,13,2678.0
2:57.0,D. White misses 3-pt jump shot from 26 ft,99-86, ,,4,99,86,13,2703.0
2:54.0, ,99-86,Defensive rebound by T. Murphy,,4,99,86,13,2706.0
2:47.0, ,99-86,C. McCollum misses 2-pt layup from 3 ft (block by J. Holiday),,4,99,86,13,2713.0
2:44.0,Defensive rebound by J. Holiday,99-86, ,,4,99,86,13,2716.0
2:29.0,J. Tatum makes 2-pt layup from 1 ft,101-86, ,,4,101,86,15,2731.0
2:13.0, ,101-88,N. Marshall makes 2-pt jump shot from 23 ft,,4,101,88,13,2747.0
1:47.0,Turnover by K. Porziņģis (bad pass; steal by H. Jones),101-88, ,,4,101,88,13,2773.0
1:45.0, ,101-88,Personal foul by D. White (drawn by H. Jones),,4,101,88,13,2775.0
1:45.0,Boston full timeout,101-88, ,,4,101,88,13,2775.0
1:45.0,Instant Replay (Challenge: Stands),101-88, ,,4,101,88,13,2775.0
1:45.0, ,101-89,H. Jones makes free throw 1 of 2,,4,101,89,12,2775.0
1:45.0, ,101-90,H. Jones makes free throw 2 of 2,,4,101,90,11,2775.0
1:21.0,D. White makes 3-pt jump shot from 26 ft (assist by J. Tatum),104-90, ,,4,104,90,14,2799.0
1:11.0, ,104-92,H. Jones makes 2-pt jump shot from 21 ft,,4,104,92,12,2809.0
0:49.0,J. Tatum misses 3-pt jump shot from 26 ft,104-92, ,,4,104,92,12,2831.0
0:46.0, ,104-92,Defensive rebound by N. Marshall,,4,104,92,12,2834.0
0:40.0, ,104-92,Turnover by T. Murphy (out of bounds lost ball),,4,104,92,12,2840.0
0:40.0,P. Pritchard enters the game for K. Porziņģis,104-92, ,,4,104,92,12,2840.0
0:38.0,Personal take foul by C. McCollum (drawn by P. Pritchard),104-92, ,,4,104,92,12,2842.0
0:30.0,Turnover by  (8 sec),104-92, ,,4,104,92,12,2850.0
0:22.0, ,104-92,C. McCollum misses 2-pt layup from 3 ft,,4,104,92,12,2858.0
0:21.0,Defensive rebound by J. Holiday,104-92, ,,4,104,92,12,2859.0
0:00.0,End of 4th quarter,104-92,,,4,104,92,12,2880.0
