Time,Boston,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:49.0,J. Tatum makes 2-pt layup from 2 ft,11-11, ,Tie,1,11,11,0,251.0
7:39.0, ,11-14,H. Jones makes 3-pt jump shot from 23 ft (assist by C. McCollum),,1,11,14,-3,261.0
7:24.0,Shooting foul by T. Murphy (drawn by K. Porziņģis),11-14, ,,1,11,14,-3,276.0
7:24.0,K. Porziņģis makes free throw 1 of 2,12-14, ,,1,12,14,-2,276.0
7:24.0,K. Porziņģis makes free throw 2 of 2,13-14, ,,1,13,14,-1,276.0
7:16.0,Violation by Team (kicked ball),13-14, ,,1,13,14,-1,284.0
7:08.0, ,13-14,J. Valančiūnas misses 3-pt jump shot from 25 ft,,1,13,14,-1,292.0
7:03.0,Defensive rebound by J. Tatum,13-14, ,,1,13,14,-1,297.0
6:58.0,Turnover by J. Tatum (lost ball; steal by Z. Williamson),13-14, ,,1,13,14,-1,302.0
6:53.0, ,13-16,Z. Williamson makes 2-pt dunk at rim,,1,13,16,-3,307.0
6:41.0,K. Porziņģis misses 3-pt jump shot from 26 ft,13-16, ,,1,13,16,-3,319.0
6:41.0, ,13-16,Defensive rebound by J. Valančiūnas,,1,13,16,-3,319.0
6:20.0, ,13-18,C. McCollum makes 2-pt dunk at rim,,1,13,18,-5,340.0
6:01.0,J. Holiday misses 2-pt layup from 1 ft,13-18, ,,1,13,18,-5,359.0
6:00.0,Offensive rebound by J. Holiday,13-18, ,,1,13,18,-5,360.0
6:00.0,J. Holiday misses 2-pt layup from 4 ft,13-18, ,,1,13,18,-5,360.0
5:57.0, ,13-18,Defensive rebound by J. Valančiūnas,,1,13,18,-5,363.0
5:53.0, ,13-21,C. McCollum makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,1,13,21,-8,367.0
5:53.0,Boston full timeout,13-21, ,,1,13,21,-8,367.0
5:53.0,S. Hauser enters the game for J. Holiday,13-21, ,,1,13,21,-8,367.0
5:53.0,A. Horford enters the game for J. Tatum,13-21, ,,1,13,21,-8,367.0
5:53.0, ,13-21,L. Nance enters the game for J. Valančiūnas,,1,13,21,-8,367.0
5:37.0,J. Brown misses 3-pt jump shot from 25 ft,13-21, ,,1,13,21,-8,383.0
5:34.0, ,13-21,Defensive rebound by Z. Williamson,,1,13,21,-8,386.0
5:22.0, ,13-23,Z. Williamson makes 2-pt layup from 2 ft (assist by C. McCollum),,1,13,23,-10,398.0
5:05.0,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Brown),16-23, ,,1,16,23,-7,415.0
4:48.0, ,16-23,C. McCollum misses 3-pt jump shot from 26 ft,,1,16,23,-7,432.0
4:45.0,Defensive rebound by J. Brown,16-23, ,,1,16,23,-7,435.0
