Time,Boston,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:45.0,J. Tatum misses 3-pt jump shot from 23 ft,109-111, ,,4,109,111,-2,2835.0
0:40.0, ,109-111,Defensive rebound by N. Jokić,,4,109,111,-2,2840.0
0:40.0, ,109-111,Personal foul by K. Porziņģis (drawn by N. Jokić),,4,109,111,-2,2840.0
0:19.0, ,109-113,A. Gordon makes 2-pt dunk from 1 ft (assist by N. Jokić),,4,109,113,-4,2861.0
0:19.0,Boston full timeout,109-113, ,,4,109,113,-4,2861.0
0:19.0, ,109-113,P. Watson enters the game for M. Porter,,4,109,113,-4,2861.0
0:17.0,D. White misses 3-pt jump shot from 24 ft,109-113, ,,4,109,113,-4,2863.0
0:14.0, ,109-113,Defensive rebound by Team,,4,109,113,-4,2866.0
0:14.0, ,109-113,M. Porter enters the game for P. Watson,,4,109,113,-4,2866.0
0:09.0, ,109-113,Personal take foul by D. White (drawn by K. Caldwell-Pope),,4,109,113,-4,2871.0
0:09.0, ,109-114,K. Caldwell-Pope makes free throw 1 of 2,,4,109,114,-5,2871.0
0:09.0, ,109-114,P. Watson enters the game for M. Porter,,4,109,114,-5,2871.0
0:09.0, ,109-115,K. Caldwell-Pope makes free throw 2 of 2,,4,109,115,-6,2871.0
0:09.0,Boston full timeout,109-115, ,,4,109,115,-6,2871.0
0:07.0,J. Brown misses 3-pt jump shot from 25 ft,109-115, ,,4,109,115,-6,2873.0
0:05.0,Offensive rebound by Team,109-115, ,,4,109,115,-6,2875.0
0:02.0,J. Brown misses 3-pt jump shot from 26 ft,109-115, ,,4,109,115,-6,2878.0
0:02.0,Offensive rebound by K. Porziņģis,109-115, ,,4,109,115,-6,2878.0
0:00.0,K. Porziņģis misses 2-pt layup at rim,109-115, ,,4,109,115,-6,2880.0
0:00.0, ,109-115,Defensive rebound by P. Watson,,4,109,115,-6,2880.0
0:00.0,End of 4th quarter,109-115,,,4,109,115,-6,2880.0
