Time,Boston,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:29.0,Defensive rebound by L. Kornet,65-67, ,,3,65,67,-2,1891.0
4:25.0,Turnover by D. White (bad pass),65-67, ,,3,65,67,-2,1895.0
4:11.0, ,65-67,Turnover by F. Wagner (bad pass; steal by L. Kornet),,3,65,67,-2,1909.0
3:58.0,D. White makes 3-pt jump shot from 27 ft (assist by J. Brown),68-67, ,Lead change,3,68,67,1,1922.0
3:46.0, ,68-67,J. Suggs misses 2-pt jump shot from 10 ft,,3,68,67,1,1934.0
3:42.0,Defensive rebound by L. Kornet,68-67, ,,3,68,67,1,1938.0
3:41.0,D. White misses 3-pt jump shot from 26 ft,68-67, ,,3,68,67,1,1939.0
3:41.0, ,68-67,Defensive rebound by M. Wagner,,3,68,67,1,1939.0
3:36.0, ,68-67,Orlando full timeout,,3,68,67,1,1944.0
3:36.0, ,68-67,C. Anthony enters the game for G. Harris,,3,68,67,1,1944.0
3:36.0, ,68-67,C. Houstan enters the game for J. Suggs,,3,68,67,1,1944.0
3:36.0, ,68-67,J. Ingles enters the game for F. Wagner,,3,68,67,1,1944.0
3:27.0, ,68-69,P. Banchero makes 2-pt layup from 2 ft (assist by J. Ingles),Lead change,3,68,69,-1,1953.0
3:13.0,J. Brown misses 3-pt jump shot from 25 ft,68-69, ,,3,68,69,-1,1967.0
3:11.0, ,68-69,Defensive rebound by Team,,3,68,69,-1,1969.0
2:48.0, ,68-69,Turnover by C. Anthony (bad pass; steal by J. Brown),,3,68,69,-1,1992.0
2:45.0,J. Brown misses 2-pt layup from 3 ft,68-69, ,,3,68,69,-1,1995.0
2:38.0,Offensive rebound by S. Hauser,68-69, ,,3,68,69,-1,2002.0
2:38.0,S. Hauser makes 2-pt layup at rim,70-69, ,Lead change,3,70,69,1,2002.0
2:35.0, ,70-69,Shooting foul by D. White (drawn by M. Wagner),,3,70,69,1,2005.0
2:35.0, ,70-70,M. Wagner makes free throw 1 of 2,Tie,3,70,70,0,2005.0
2:35.0, ,70-71,M. Wagner makes free throw 2 of 2,Lead change,3,70,71,-1,2005.0
2:20.0,J. Brown misses 2-pt jump shot from 13 ft,70-71, ,,3,70,71,-1,2020.0
2:18.0, ,70-71,Defensive rebound by P. Banchero,,3,70,71,-1,2022.0
2:11.0, ,70-73,P. Banchero makes 2-pt jump shot from 8 ft,,3,70,73,-3,2029.0
1:52.0,S. Hauser makes 2-pt dunk from 1 ft (assist by L. Kornet),72-73, ,,3,72,73,-1,2048.0
1:31.0, ,72-75,C. Anthony makes 2-pt jump shot from 14 ft,,3,72,75,-3,2069.0
1:30.0,Boston full timeout,72-75, ,,3,72,75,-3,2070.0
1:30.0,J. Tatum enters the game for S. Hauser,72-75, ,,3,72,75,-3,2070.0
1:30.0, ,72-75,J. Isaac enters the game for P. Banchero,,3,72,75,-3,2070.0
1:14.0,J. Tatum makes 2-pt jump shot from 20 ft (assist by P. Pritchard),74-75, ,,3,74,75,-1,2086.0
0:57.0, ,74-75,M. Wagner misses 2-pt layup from 3 ft,,3,74,75,-1,2103.0
0:54.0, ,74-75,Offensive rebound by J. Isaac,,3,74,75,-1,2106.0
0:54.0, ,74-77,J. Isaac makes 2-pt layup at rim,,3,74,77,-3,2106.0
0:37.0,Personal foul by J. Isaac (drawn by J. Brown),74-77, ,,3,74,77,-3,2123.0
0:37.0,J. Brown misses free throw 1 of 2,74-77, ,,3,74,77,-3,2123.0
0:37.0,Offensive rebound by Team,74-77, ,,3,74,77,-3,2123.0
0:37.0,J. Brown misses free throw 2 of 2,74-77, ,,3,74,77,-3,2123.0
0:34.0, ,74-77,Defensive rebound by J. Isaac,,3,74,77,-3,2126.0
0:16.0, ,74-77,C. Anthony misses 2-pt jump shot from 20 ft,,3,74,77,-3,2144.0
0:11.0,Defensive rebound by P. Pritchard,74-77, ,,3,74,77,-3,2149.0
0:00.0,J. Brown misses 3-pt jump shot from 30 ft,74-77, ,,3,74,77,-3,2160.0
0:00.0,Offensive rebound by Team,74-77, ,,3,74,77,-3,2160.0
0:00.0,End of 3rd quarter,74-77,,,3,74,77,-3,2160.0
12:00.0,Start of 4th quarter,74-77,,,4,74,77,-3,2160.0
11:46.0,Personal foul by J. Isaac (drawn by J. Brown),74-77, ,,4,74,77,-3,2174.0
11:46.0,J. Tatum enters the game for J. Brown,74-77, ,,4,74,77,-3,2174.0
11:38.0,Shooting foul by C. Anthony (drawn by O. Brissett),74-77, ,,4,74,77,-3,2182.0
11:38.0,O. Brissett misses free throw 1 of 2,74-77, ,,4,74,77,-3,2182.0
11:38.0,Offensive rebound by Team,74-77, ,,4,74,77,-3,2182.0
11:38.0,O. Brissett misses free throw 2 of 2,74-77, ,,4,74,77,-3,2182.0
11:36.0, ,74-77,Defensive rebound by J. Isaac,,4,74,77,-3,2184.0
11:26.0, ,74-79,C. Anthony makes 2-pt layup from 1 ft,,4,74,79,-5,2194.0
11:07.0,A. Horford misses 3-pt jump shot from 26 ft,74-79, ,,4,74,79,-5,2213.0
11:04.0, ,74-79,Defensive rebound by C. Houstan,,4,74,79,-5,2216.0
10:53.0, ,74-79,C. Anthony misses 2-pt jump shot from 18 ft,,4,74,79,-5,2227.0
10:52.0, ,74-79,Offensive rebound by Team,,4,74,79,-5,2228.0
10:42.0, ,74-79,Shooting foul by O. Brissett (drawn by M. Wagner),,4,74,79,-5,2238.0
10:42.0,Boston full timeout,74-79, ,,4,74,79,-5,2238.0
10:42.0,Instant Replay (Challenge: Stands),74-79, ,,4,74,79,-5,2238.0
10:42.0, ,74-80,M. Wagner makes free throw 1 of 2,,4,74,80,-6,2238.0
10:42.0, ,74-81,M. Wagner makes free throw 2 of 2,,4,74,81,-7,2238.0
10:29.0,P. Pritchard misses 2-pt jump shot from 14 ft,74-81, ,,4,74,81,-7,2251.0
10:26.0, ,74-81,Defensive rebound by J. Ingles,,4,74,81,-7,2254.0
10:14.0, ,74-83,M. Wagner makes 2-pt layup from 4 ft (assist by J. Ingles),,4,74,83,-9,2266.0
9:54.0,Turnover by A. Horford (traveling),74-83, ,,4,74,83,-9,2286.0
9:38.0, ,74-83,C. Anthony misses 3-pt jump shot from 25 ft,,4,74,83,-9,2302.0
9:36.0, ,74-83,Offensive rebound by M. Wagner,,4,74,83,-9,2304.0
9:35.0, ,74-85,M. Wagner makes 2-pt layup from 2 ft,,4,74,85,-11,2305.0
9:35.0,Boston full timeout,74-85, ,,4,74,85,-11,2305.0
9:35.0,J. Brown enters the game for O. Brissett,74-85, ,,4,74,85,-11,2305.0
9:35.0,L. Kornet enters the game for P. Pritchard,74-85, ,,4,74,85,-11,2305.0
9:24.0,Turnover by S. Hauser (lost ball; steal by C. Houstan),74-85, ,,4,74,85,-11,2316.0
9:21.0, ,74-87,M. Wagner makes 2-pt layup from 1 ft (assist by C. Anthony),,4,74,87,-13,2319.0
9:15.0,Shooting foul by C. Anthony (drawn by J. Brown),74-87, ,,4,74,87,-13,2325.0
9:15.0,J. Brown makes free throw 1 of 2,75-87, ,,4,75,87,-12,2325.0
9:15.0,J. Brown makes free throw 2 of 2,76-87, ,,4,76,87,-11,2325.0
8:59.0, ,76-89,M. Wagner makes 2-pt layup from 1 ft (assist by C. Anthony),,4,76,89,-13,2341.0
8:48.0,J. Brown misses 2-pt jump shot from 10 ft,76-89, ,,4,76,89,-13,2352.0
8:48.0,Offensive rebound by L. Kornet,76-89, ,,4,76,89,-13,2352.0
8:46.0,L. Kornet makes 2-pt layup from 3 ft,78-89, ,,4,78,89,-11,2354.0
8:31.0, ,78-89,C. Anthony misses 2-pt jump shot from 1 ft,,4,78,89,-11,2369.0
8:30.0,Defensive rebound by J. Tatum,78-89, ,,4,78,89,-11,2370.0
8:24.0,S. Hauser makes 3-pt jump shot from 24 ft (assist by A. Horford),81-89, ,,4,81,89,-8,2376.0
8:05.0, ,81-89,C. Anthony misses 3-pt jump shot from 26 ft,,4,81,89,-8,2395.0
8:05.0, ,81-89,Offensive rebound by J. Isaac,,4,81,89,-8,2395.0
8:05.0, ,81-89,Shooting foul by J. Brown (drawn by J. Isaac),,4,81,89,-8,2395.0
8:05.0, ,81-89,F. Wagner enters the game for C. Anthony,,4,81,89,-8,2395.0
8:05.0, ,81-90,J. Isaac makes free throw 1 of 2,,4,81,90,-9,2395.0
8:05.0, ,81-90,J. Isaac misses free throw 2 of 2,,4,81,90,-9,2395.0
8:04.0,Defensive rebound by L. Kornet,81-90, ,,4,81,90,-9,2396.0
7:56.0,S. Hauser misses 3-pt jump shot from 26 ft,81-90, ,,4,81,90,-9,2404.0
7:55.0, ,81-90,Defensive rebound by J. Ingles,,4,81,90,-9,2405.0
7:31.0, ,81-90,F. Wagner misses 3-pt jump shot from 28 ft,,4,81,90,-9,2429.0
7:29.0, ,81-90,Offensive rebound by C. Houstan,,4,81,90,-9,2431.0
7:26.0, ,81-93,M. Wagner makes 3-pt jump shot from 22 ft (assist by F. Wagner),,4,81,93,-12,2434.0
7:07.0,J. Tatum misses 3-pt jump shot from 27 ft,81-93, ,,4,81,93,-12,2453.0
7:07.0, ,81-93,Defensive rebound by F. Wagner,,4,81,93,-12,2453.0
6:50.0, ,81-95,F. Wagner makes 2-pt layup from 3 ft,,4,81,95,-14,2470.0
6:50.0,Boston full timeout,81-95, ,,4,81,95,-14,2470.0
6:50.0,D. White enters the game for S. Hauser,81-95, ,,4,81,95,-14,2470.0
6:50.0, ,81-95,P. Banchero enters the game for C. Houstan,,4,81,95,-14,2470.0
6:50.0, ,81-95,J. Suggs enters the game for J. Isaac,,4,81,95,-14,2470.0
6:35.0,Shooting foul by M. Wagner (drawn by J. Tatum),81-95, ,,4,81,95,-14,2485.0
6:35.0,J. Tatum makes free throw 1 of 2,82-95, ,,4,82,95,-13,2485.0
6:35.0,J. Tatum makes free throw 2 of 2,83-95, ,,4,83,95,-12,2485.0
6:18.0, ,83-95,Turnover by F. Wagner (lost ball; steal by J. Tatum),,4,83,95,-12,2502.0
6:12.0,J. Brown misses 2-pt layup from 5 ft,83-95, ,,4,83,95,-12,2508.0
6:09.0, ,83-95,Defensive rebound by P. Banchero,,4,83,95,-12,2511.0
6:05.0, ,83-95,M. Wagner misses 3-pt jump shot from 24 ft,,4,83,95,-12,2515.0
5:59.0, ,83-95,Offensive rebound by J. Ingles,,4,83,95,-12,2521.0
5:59.0, ,83-97,J. Ingles makes 2-pt layup at rim,,4,83,97,-14,2521.0
5:46.0,J. Tatum makes 2-pt jump shot from 7 ft,85-97, ,,4,85,97,-12,2534.0
5:27.0, ,85-99,P. Banchero makes 2-pt layup from 1 ft,,4,85,99,-14,2553.0
5:13.0,Personal foul by P. Banchero (drawn by D. White),85-99, ,,4,85,99,-14,2567.0
5:13.0,D. White makes free throw 1 of 2,86-99, ,,4,86,99,-13,2567.0
5:13.0,S. Hauser enters the game for L. Kornet,86-99, ,,4,86,99,-13,2567.0
5:13.0, ,86-99,C. Anthony enters the game for J. Ingles,,4,86,99,-13,2567.0
5:13.0,D. White makes free throw 2 of 2,87-99, ,,4,87,99,-12,2567.0
4:59.0, ,87-99,F. Wagner misses 3-pt jump shot from 28 ft,,4,87,99,-12,2581.0
4:56.0,Defensive rebound by D. White,87-99, ,,4,87,99,-12,2584.0
4:50.0,J. Brown misses 3-pt jump shot from 24 ft,87-99, ,,4,87,99,-12,2590.0
4:47.0, ,87-99,Defensive rebound by Team,,4,87,99,-12,2593.0
4:28.0, ,87-99,Turnover by F. Wagner (lost ball; steal by J. Brown),,4,87,99,-12,2612.0
4:24.0,J. Brown misses 2-pt layup from 4 ft (block by C. Anthony),87-99, ,,4,87,99,-12,2616.0
4:24.0,Offensive rebound by Team,87-99, ,,4,87,99,-12,2616.0
4:20.0,A. Horford misses 3-pt jump shot from 26 ft,87-99, ,,4,87,99,-12,2620.0
4:18.0, ,87-99,Defensive rebound by P. Banchero,,4,87,99,-12,2622.0
4:01.0, ,87-99,P. Banchero misses 3-pt jump shot from 26 ft,,4,87,99,-12,2639.0
3:58.0,Defensive rebound by D. White,87-99, ,,4,87,99,-12,2642.0
3:53.0,D. White misses 2-pt layup from 4 ft,87-99, ,,4,87,99,-12,2647.0
3:51.0, ,87-99,Defensive rebound by F. Wagner,,4,87,99,-12,2649.0
3:46.0, ,87-99,Orlando full timeout,,4,87,99,-12,2654.0
3:40.0, ,87-99,Shooting foul by A. Horford (drawn by P. Banchero),,4,87,99,-12,2660.0
3:40.0, ,87-99,P. Banchero misses free throw 1 of 2,,4,87,99,-12,2660.0
3:40.0, ,87-99,Offensive rebound by Team,,4,87,99,-12,2660.0
3:40.0, ,87-100,P. Banchero makes free throw 2 of 2,,4,87,100,-13,2660.0
3:29.0,J. Tatum makes 2-pt layup from 3 ft (assist by A. Horford),89-100, ,,4,89,100,-11,2671.0
3:09.0, ,89-100,Turnover by C. Anthony (bad pass; steal by J. Brown),,4,89,100,-11,2691.0
3:05.0,Shooting foul by C. Anthony (drawn by D. White),89-100, ,,4,89,100,-11,2695.0
3:05.0,D. White misses free throw 1 of 2,89-100, ,,4,89,100,-11,2695.0
3:05.0,Offensive rebound by Team,89-100, ,,4,89,100,-11,2695.0
3:05.0,D. White makes free throw 2 of 2,90-100, ,,4,90,100,-10,2695.0
2:50.0, ,90-102,C. Anthony makes 2-pt layup from 2 ft (assist by F. Wagner),,4,90,102,-12,2710.0
2:36.0,J. Brown misses 3-pt jump shot from 28 ft,90-102, ,,4,90,102,-12,2724.0
2:34.0, ,90-102,Defensive rebound by F. Wagner,,4,90,102,-12,2726.0
2:26.0, ,90-102,M. Wagner misses 2-pt layup from 1 ft (block by J. Brown),,4,90,102,-12,2734.0
2:24.0,Defensive rebound by J. Tatum,90-102, ,,4,90,102,-12,2736.0
2:24.0,Personal foul by M. Wagner (drawn by J. Tatum),90-102, ,,4,90,102,-12,2736.0
2:24.0,J. Tatum makes free throw 1 of 2,91-102, ,,4,91,102,-11,2736.0
2:24.0, ,91-102,J. Isaac enters the game for M. Wagner,,4,91,102,-11,2736.0
2:24.0,J. Tatum makes free throw 2 of 2,92-102, ,,4,92,102,-10,2736.0
2:08.0, ,92-104,P. Banchero makes 2-pt jump shot from 16 ft (assist by C. Anthony),,4,92,104,-12,2752.0
2:00.0,Personal foul by F. Wagner (drawn by J. Tatum),92-104, ,,4,92,104,-12,2760.0
2:00.0,J. Tatum misses free throw 1 of 2,92-104, ,,4,92,104,-12,2760.0
2:00.0,Offensive rebound by Team,92-104, ,,4,92,104,-12,2760.0
2:00.0,J. Tatum makes free throw 2 of 2,93-104, ,,4,93,104,-11,2760.0
1:39.0, ,93-106,F. Wagner makes 2-pt jump shot from 5 ft (assist by P. Banchero),,4,93,106,-13,2781.0
1:31.0,Personal foul by J. Isaac (drawn by J. Tatum),93-106, ,,4,93,106,-13,2789.0
1:31.0,J. Tatum makes free throw 1 of 2,94-106, ,,4,94,106,-12,2789.0
1:31.0,J. Tatum makes free throw 2 of 2,95-106, ,,4,95,106,-11,2789.0
1:14.0,Violation by Team (kicked ball),95-106, ,,4,95,106,-11,2806.0
1:02.0, ,95-109,J. Suggs makes 3-pt jump shot from 24 ft (assist by P. Banchero),,4,95,109,-14,2818.0
0:53.0,J. Brown misses 2-pt jump shot from 20 ft,95-109, ,,4,95,109,-14,2827.0
0:50.0, ,95-109,Defensive rebound by C. Anthony,,4,95,109,-14,2830.0
0:37.0, ,95-111,P. Banchero makes 2-pt jump shot from 4 ft (assist by C. Anthony),,4,95,111,-16,2843.0
0:32.0,Shooting foul by J. Suggs (drawn by D. White),95-111, ,,4,95,111,-16,2848.0
0:32.0,D. White misses free throw 1 of 2,95-111, ,,4,95,111,-16,2848.0
0:32.0,Offensive rebound by Team,95-111, ,,4,95,111,-16,2848.0
0:32.0,D. Banton enters the game for J. Brown,95-111, ,,4,95,111,-16,2848.0
0:32.0,O. Brissett enters the game for A. Horford,95-111, ,,4,95,111,-16,2848.0
0:32.0,L. Stevens enters the game for J. Tatum,95-111, ,,4,95,111,-16,2848.0
0:32.0,D. White makes free throw 2 of 2,96-111, ,,4,96,111,-15,2848.0
0:09.0, ,96-113,F. Wagner makes 2-pt layup from 3 ft,,4,96,113,-17,2871.0
0:03.0,D. Banton misses 2-pt layup from 1 ft,96-113, ,,4,96,113,-17,2877.0
0:02.0, ,96-113,Defensive rebound by J. Suggs,,4,96,113,-17,2878.0
0:00.0,End of 4th quarter,96-113,,,4,96,113,-17,2880.0
