Time,Boston,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:11.0, ,24-16,P. Banchero misses 3-pt jump shot from 25 ft,,1,24,16,8,589.0
2:08.0,Defensive rebound by S. Hauser,24-16, ,,1,24,16,8,592.0
2:08.0,Boston full timeout,24-16, ,,1,24,16,8,592.0
2:08.0,P. Pritchard enters the game for S. Hauser,24-16, ,,1,24,16,8,592.0
2:08.0,J. Tatum enters the game for D. White,24-16, ,,1,24,16,8,592.0
2:08.0, ,24-16,J. Isaac enters the game for P. Banchero,,1,24,16,8,592.0
2:08.0, ,24-16,M. Wagner enters the game for G. Bitadze,,1,24,16,8,592.0
1:50.0,K. Porziņģis misses 2-pt jump shot from 19 ft,24-16, ,,1,24,16,8,610.0
1:47.0, ,24-16,Defensive rebound by J. Isaac,,1,24,16,8,613.0
1:29.0, ,24-16,C. Anthony misses 2-pt jump shot from 9 ft,,1,24,16,8,631.0
1:27.0,Defensive rebound by J. Tatum,24-16, ,,1,24,16,8,633.0
1:22.0,Offensive foul by K. Porziņģis (drawn by M. Wagner),24-16, ,,1,24,16,8,638.0
1:22.0,Turnover by K. Porziņģis (offensive foul),24-16, ,,1,24,16,8,638.0
1:09.0, ,24-16,Turnover by C. Anthony (bad pass; steal by L. Kornet),,1,24,16,8,651.0
1:04.0,P. Pritchard makes 2-pt layup from 1 ft (assist by J. Tatum),26-16, ,,1,26,16,10,656.0
0:48.0, ,26-19,G. Harris makes 3-pt jump shot from 26 ft,,1,26,19,7,672.0
0:41.0,Shooting foul by M. Wagner (drawn by L. Kornet),26-19, ,,1,26,19,7,679.0
0:41.0,L. Kornet makes free throw 1 of 2,27-19, ,,1,27,19,8,679.0
0:41.0,L. Kornet makes free throw 2 of 2,28-19, ,,1,28,19,9,679.0
0:35.0, ,28-19,Turnover by J. Ingles (bad pass),,1,28,19,9,685.0
0:31.0,Turnover by J. Tatum (bad pass),28-19, ,,1,28,19,9,689.0
0:18.0, ,28-19,J. Isaac misses 3-pt jump shot from 27 ft,,1,28,19,9,702.0
0:13.0, ,28-19,Turnover by G. Harris (bad pass; steal by J. Tatum),,1,28,19,9,707.0
0:13.0, ,28-19,Offensive rebound by G. Harris,,1,28,19,9,707.0
0:13.0,S. Hauser enters the game for L. Kornet,28-19, ,,1,28,19,9,707.0
0:13.0, ,28-19,F. Wagner enters the game for J. Ingles,,1,28,19,9,707.0
0:02.0,K. Porziņģis makes 2-pt dunk at rim (assist by J. Tatum),30-19, ,,1,30,19,11,718.0
0:00.0,End of 1st quarter,30-19,,,1,30,19,11,720.0
12:00.0,Start of 2nd quarter,30-19,,,2,30,19,11,720.0
11:47.0, ,30-19,Offensive foul by M. Wagner (drawn by J. Tatum),,2,30,19,11,733.0
11:47.0, ,30-19,Turnover by M. Wagner (offensive foul),,2,30,19,11,733.0
11:47.0,Boston full timeout,30-19, ,,2,30,19,11,733.0
11:47.0,Instant Replay (Challenge: Ruling Stands),30-19, ,,2,30,19,11,733.0
11:34.0,J. Tatum misses 2-pt jump shot from 15 ft,30-19, ,,2,30,19,11,746.0
11:34.0, ,30-19,Defensive rebound by Team,,2,30,19,11,746.0
11:12.0, ,30-19,Shooting foul by O. Brissett (drawn by M. Wagner),,2,30,19,11,768.0
11:12.0, ,30-20,M. Wagner makes free throw 1 of 2,,2,30,20,10,768.0
11:12.0, ,30-21,M. Wagner makes free throw 2 of 2,,2,30,21,9,768.0
