Time,Minnesota,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:27.0, ,83-79,J. Tatum misses 3-pt jump shot from 27 ft,,3,79,83,-4,2073.0
1:23.0, ,83-79,Offensive rebound by J. Holiday,,3,79,83,-4,2077.0
1:23.0, ,83-79,Turnover by J. Holiday (bad pass),,3,79,83,-4,2077.0
1:23.0,Minnesota full timeout,83-79, ,,3,79,83,-4,2077.0
1:23.0,Instant Replay (Challenge: Ruling Stands),83-79, ,,3,79,83,-4,2077.0
0:59.0,K. Anderson misses 2-pt jump shot from 8 ft,83-79, ,,3,79,83,-4,2101.0
0:57.0, ,83-79,Defensive rebound by L. Kornet,,3,79,83,-4,2103.0
0:49.0, ,83-79,J. Holiday misses 3-pt jump shot from 26 ft,,3,79,83,-4,2111.0
0:46.0,Defensive rebound by K. Anderson,83-79, ,,3,79,83,-4,2114.0
0:39.0,K. Anderson misses 2-pt layup from 4 ft,83-79, ,,3,79,83,-4,2121.0
0:38.0, ,83-79,Defensive rebound by L. Kornet,,3,79,83,-4,2122.0
0:22.0, ,83-79,S. Hauser misses 2-pt layup from 8 ft (block by K. Anderson),,3,79,83,-4,2138.0
0:19.0,Defensive rebound by S. Milton,83-79, ,,3,79,83,-4,2141.0
0:03.0,Shooting foul by S. Hauser (drawn by A. Edwards),83-79, ,,3,79,83,-4,2157.0
0:03.0,A. Edwards makes free throw 1 of 2,84-79, ,,3,79,84,-5,2157.0
0:03.0,A. Edwards makes free throw 2 of 2,85-79, ,,3,79,85,-6,2157.0
0:00.0, ,85-79,P. Pritchard misses 3-pt jump shot from 26 ft,,3,79,85,-6,2160.0
0:00.0, ,85-79,Offensive rebound by Team,,3,79,85,-6,2160.0
0:00.0,End of 3rd quarter,85-79,,,3,79,85,-6,2160.0
12:00.0,Start of 4th quarter,85-79,,,4,79,85,-6,2160.0
11:42.0, ,85-79,D. White misses 2-pt jump shot from 12 ft,,4,79,85,-6,2178.0
11:40.0, ,85-79,Offensive rebound by D. White,,4,79,85,-6,2180.0
11:39.0, ,85-79,D. White misses 2-pt layup from 6 ft,,4,79,85,-6,2181.0
11:37.0,Defensive rebound by N. Alexander-Walker,85-79, ,,4,79,85,-6,2183.0
11:18.0,N. Reid misses 3-pt jump shot from 24 ft,85-79, ,,4,79,85,-6,2202.0
11:16.0, ,85-79,Defensive rebound by J. Brown,,4,79,85,-6,2204.0
11:09.0, ,85-79,P. Pritchard misses 2-pt layup from 3 ft (block by N. Reid),,4,79,85,-6,2211.0
11:07.0,Defensive rebound by J. McLaughlin,85-79, ,,4,79,85,-6,2213.0
11:03.0,J. McLaughlin misses 2-pt layup from 3 ft,85-79, ,,4,79,85,-6,2217.0
11:03.0, ,85-79,Defensive rebound by J. Brown,,4,79,85,-6,2217.0
10:47.0, ,85-79,P. Pritchard misses 3-pt jump shot from 28 ft,,4,79,85,-6,2233.0
10:42.0,Defensive rebound by N. Alexander-Walker,85-79, ,,4,79,85,-6,2238.0
10:30.0,J. McLaughlin misses 3-pt jump shot from 27 ft,85-79, ,,4,79,85,-6,2250.0
10:27.0, ,85-79,Defensive rebound by S. Hauser,,4,79,85,-6,2253.0
10:25.0, ,85-79,Personal foul by N. Reid (drawn by L. Kornet),,4,79,85,-6,2255.0
10:17.0, ,85-82,S. Hauser makes 3-pt jump shot from 28 ft (assist by D. White),,4,82,85,-3,2263.0
9:57.0,N. Alexander-Walker makes 3-pt jump shot from 26 ft (assist by K. Towns),88-82, ,,4,82,88,-6,2283.0
9:43.0, ,88-85,S. Hauser makes 3-pt jump shot from 26 ft (assist by J. Brown),,4,85,88,-3,2297.0
9:25.0,N. Reid makes 3-pt jump shot from 27 ft (assist by N. Alexander-Walker),91-85, ,,4,85,91,-6,2315.0
9:18.0, ,91-85,Personal foul by J. McDaniels (drawn by J. Brown),,4,85,91,-6,2322.0
9:18.0,K. Anderson enters the game for J. McDaniels,91-85, ,,4,85,91,-6,2322.0
9:10.0, ,91-87,D. White makes 2-pt layup from 3 ft,,4,87,91,-4,2330.0
8:44.0,J. McLaughlin misses 2-pt layup from 1 ft,91-87, ,,4,87,91,-4,2356.0
8:42.0, ,91-87,Defensive rebound by S. Hauser,,4,87,91,-4,2358.0
8:36.0, ,91-87,Turnover by D. White (lost ball; steal by N. Alexander-Walker),,4,87,91,-4,2364.0
8:25.0,N. Reid misses 3-pt jump shot from 26 ft,91-87, ,,4,87,91,-4,2375.0
8:23.0, ,91-87,Defensive rebound by S. Hauser,,4,87,91,-4,2377.0
8:18.0, ,91-87,S. Hauser misses 3-pt jump shot from 26 ft,,4,87,91,-4,2382.0
8:15.0,Defensive rebound by N. Reid,91-87, ,,4,87,91,-4,2385.0
8:14.0,Minnesota full timeout,91-87, ,,4,87,91,-4,2386.0
8:14.0,A. Edwards enters the game for J. McLaughlin,91-87, ,,4,87,91,-4,2386.0
8:14.0, ,91-87,A. Horford enters the game for S. Hauser,,4,87,91,-4,2386.0
8:14.0, ,91-87,J. Tatum enters the game for P. Pritchard,,4,87,91,-4,2386.0
8:09.0,Personal foul by J. Brown (drawn by K. Anderson),91-87, ,,4,87,91,-4,2391.0
8:05.0,K. Anderson makes 2-pt layup from 8 ft (assist by N. Alexander-Walker),93-87, ,,4,87,93,-6,2395.0
7:50.0, ,93-90,J. Tatum makes 3-pt jump shot from 25 ft,,4,90,93,-3,2410.0
7:28.0,K. Anderson makes 2-pt jump shot from 11 ft,95-90, ,,4,90,95,-5,2432.0
7:08.0, ,95-90,J. Tatum misses 3-pt jump shot from 27 ft,,4,90,95,-5,2452.0
7:03.0, ,95-90,Offensive rebound by L. Kornet,,4,90,95,-5,2457.0
6:57.0, ,95-92,J. Brown makes 2-pt jump shot from 15 ft,,4,92,95,-3,2463.0
6:34.0,A. Edwards makes 3-pt jump shot from 25 ft (assist by N. Reid),98-92, ,,4,92,98,-6,2486.0
6:23.0, ,98-94,J. Tatum makes 2-pt layup from 3 ft,,4,94,98,-4,2497.0
6:23.0, ,98-94,Shooting foul by K. Anderson (drawn by J. Tatum),,4,94,98,-4,2497.0
6:23.0, ,98-94,J. Holiday enters the game for L. Kornet,,4,94,98,-4,2497.0
6:23.0, ,98-95,J. Tatum makes free throw 1 of 1,,4,95,98,-3,2497.0
6:03.0,A. Edwards misses 3-pt jump shot from 25 ft,98-95, ,,4,95,98,-3,2517.0
5:59.0, ,98-95,Defensive rebound by J. Holiday,,4,95,98,-3,2521.0
5:53.0, ,98-95,J. Tatum misses 2-pt jump shot from 8 ft,,4,95,98,-3,2527.0
5:50.0,Defensive rebound by A. Edwards,98-95, ,,4,95,98,-3,2530.0
5:44.0,K. Anderson makes 2-pt layup from 5 ft (assist by K. Towns),100-95, ,,4,95,100,-5,2536.0
5:31.0, ,100-95,D. White misses 3-pt jump shot from 27 ft,,4,95,100,-5,2549.0
5:27.0,Defensive rebound by K. Towns,100-95, ,,4,95,100,-5,2553.0
5:07.0,Personal foul by D. White (drawn by N. Alexander-Walker),100-95, ,,4,95,100,-5,2573.0
4:56.0,K. Anderson makes 2-pt jump shot from 5 ft,102-95, ,,4,95,102,-7,2584.0
4:32.0, ,102-95,J. Brown misses 2-pt jump shot from 17 ft,,4,95,102,-7,2608.0
4:30.0,Defensive rebound by N. Reid,102-95, ,,4,95,102,-7,2610.0
4:12.0,Jump ball: A. Edwards vs. J. Tatum (N. Alexander-Walker gains possession),102-95,,,4,95,102,-7,2628.0
4:09.0,N. Alexander-Walker makes 2-pt layup from 2 ft,104-95, ,,4,95,104,-9,2631.0
4:09.0, ,104-95,Boston full timeout,,4,95,104,-9,2631.0
4:09.0,J. McDaniels enters the game for K. Towns,104-95, ,,4,95,104,-9,2631.0
3:53.0, ,104-97,J. Tatum makes 2-pt layup from 3 ft (assist by J. Holiday),,4,97,104,-7,2647.0
3:35.0,N. Alexander-Walker makes 2-pt layup from 3 ft,106-97, ,,4,97,106,-9,2665.0
3:24.0, ,106-100,A. Horford makes 3-pt jump shot from 24 ft (assist by D. White),,4,100,106,-6,2676.0
3:22.0,Minnesota full timeout,106-100, ,,4,100,106,-6,2678.0
3:22.0,K. Towns enters the game for N. Reid,106-100, ,,4,100,106,-6,2678.0
3:06.0,Turnover by A. Edwards (lost ball; steal by J. Brown),106-100, ,,4,100,106,-6,2694.0
3:00.0, ,106-100,Shooting foul by K. Towns (drawn by J. Brown),,4,100,106,-6,2700.0
3:00.0, ,106-101,J. Brown makes free throw 1 of 2,,4,101,106,-5,2700.0
3:00.0, ,106-102,J. Brown makes free throw 2 of 2,,4,102,106,-4,2700.0
2:46.0,N. Alexander-Walker makes 3-pt jump shot from 28 ft,109-102, ,,4,102,109,-7,2714.0
2:38.0, ,109-102,J. Brown misses 3-pt jump shot from 25 ft,,4,102,109,-7,2722.0
2:37.0,Defensive rebound by K. Anderson,109-102, ,,4,102,109,-7,2723.0
2:18.0,A. Edwards misses 3-pt jump shot from 26 ft,109-102, ,,4,102,109,-7,2742.0
2:14.0,Offensive rebound by N. Alexander-Walker,109-102, ,,4,102,109,-7,2746.0
2:13.0,A. Edwards misses 2-pt jump shot from 15 ft (block by J. Holiday),109-102, ,,4,102,109,-7,2747.0
2:12.0, ,109-102,Defensive rebound by Team,,4,102,109,-7,2748.0
2:12.0, ,109-102,Boston full timeout,,4,102,109,-7,2748.0
2:12.0, ,109-102,Instant Replay (Challenge: Ruling Stands),,4,102,109,-7,2748.0
2:01.0, ,109-104,J. Tatum makes 2-pt layup from 3 ft,,4,104,109,-5,2759.0
1:55.0,Offensive foul by N. Alexander-Walker (drawn by D. White),109-104, ,,4,104,109,-5,2765.0
1:55.0,Turnover by N. Alexander-Walker (offensive foul),109-104, ,,4,104,109,-5,2765.0
1:41.0, ,109-107,J. Tatum makes 3-pt jump shot from 27 ft,,4,107,109,-2,2779.0
1:18.0,K. Anderson misses 2-pt jump shot from 7 ft,109-107, ,,4,107,109,-2,2802.0
1:17.0, ,109-107,Defensive rebound by A. Horford,,4,107,109,-2,2803.0
1:06.0, ,109-107,J. Tatum misses 2-pt jump shot from 18 ft,,4,107,109,-2,2814.0
1:02.0,Defensive rebound by K. Towns,109-107, ,,4,107,109,-2,2818.0
0:42.0,J. McDaniels misses 2-pt jump shot from 23 ft,109-107, ,,4,107,109,-2,2838.0
0:41.0, ,109-107,Defensive rebound by Team,,4,107,109,-2,2839.0
0:41.0, ,109-107,Boston full timeout,,4,107,109,-2,2839.0
0:36.0, ,109-107,Shooting foul by K. Towns (drawn by J. Tatum),,4,107,109,-2,2844.0
0:36.0, ,109-108,J. Tatum makes free throw 1 of 2,,4,108,109,-1,2844.0
0:36.0, ,109-108,J. Tatum misses free throw 2 of 2,,4,108,109,-1,2844.0
0:36.0, ,109-108,Offensive rebound by D. White,,4,108,109,-1,2844.0
0:25.0, ,109-111,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),Lead change,4,111,109,2,2855.0
0:25.0,Minnesota full timeout,109-111, ,,4,111,109,2,2855.0
0:25.0,N. Reid enters the game for J. McDaniels,109-111, ,,4,111,109,2,2855.0
0:08.0,Shooting foul by D. White (drawn by A. Edwards),109-111, ,,4,111,109,2,2872.0
0:08.0, ,109-111,Boston full timeout,,4,111,109,2,2872.0
0:08.0, ,109-111,Instant Replay (Challenge: Ruling Stands),,4,111,109,2,2872.0
0:08.0,A. Edwards makes free throw 1 of 2,110-111, ,,4,111,110,1,2872.0
0:08.0,A. Edwards makes free throw 2 of 2,111-111, ,Tie,4,111,111,0,2872.0
0:08.0,J. McDaniels enters the game for K. Towns,111-111, ,,4,111,111,0,2872.0
0:01.0, ,111-111,J. Tatum misses 2-pt jump shot from 20 ft,,4,111,111,0,2879.0
0:00.0, ,111-111,Offensive rebound by Team,,4,111,111,0,2880.0
0:00.0,End of 4th quarter,111-111,,,4,111,111,0,2880.0
5:00.0,Start of 1st overtime,111-111,,,5,111,111,0,2880.0
5:00.0,Jump ball: K. Towns vs. A. Horford (K. Anderson gains possession),111-111,,,5,111,111,0,2880.0
4:43.0,K. Towns makes 2-pt layup from 5 ft,113-111, ,Lead change,5,111,113,-2,2897.0
4:43.0,Shooting foul by J. Tatum (drawn by K. Towns),113-111, ,,5,111,113,-2,2897.0
4:43.0,K. Towns makes free throw 1 of 1,114-111, ,,5,111,114,-3,2897.0
4:23.0, ,114-111,A. Horford misses 2-pt hook shot from 5 ft,,5,111,114,-3,2917.0
4:22.0,Defensive rebound by K. Towns,114-111, ,,5,111,114,-3,2918.0
4:16.0,Turnover by A. Edwards (bad pass; steal by J. Tatum),114-111, ,,5,111,114,-3,2924.0
4:16.0, ,114-111,Personal foul by J. McDaniels (drawn by J. Tatum),,5,111,114,-3,2924.0
4:16.0,N. Reid enters the game for J. McDaniels,114-111, ,,5,111,114,-3,2924.0
4:16.0, ,114-112,J. Tatum makes free throw 1 of 1,,5,112,114,-2,2924.0
4:06.0, ,114-114,J. Tatum makes 2-pt dunk from 1 ft,Tie,5,114,114,0,2934.0
3:48.0,K. Towns makes 3-pt jump shot from 26 ft (assist by A. Edwards),117-114, ,,5,114,117,-3,2952.0
3:32.0, ,117-114,J. Tatum misses 2-pt layup from 5 ft (block by N. Reid),,5,114,117,-3,2968.0
3:30.0, ,117-114,Offensive rebound by A. Horford,,5,114,117,-3,2970.0
3:30.0, ,117-114,Shooting foul by K. Towns (drawn by J. Brown),,5,114,117,-3,2970.0
3:30.0, ,117-115,J. Brown makes free throw 1 of 2,,5,115,117,-2,2970.0
3:30.0, ,117-116,J. Brown makes free throw 2 of 2,,5,116,117,-1,2970.0
3:08.0,A. Edwards misses 2-pt jump shot from 23 ft,117-116, ,,5,116,117,-1,2992.0
3:06.0, ,117-116,Defensive rebound by J. Brown,,5,116,117,-1,2994.0
3:00.0, ,117-116,Shooting foul by N. Reid (drawn by J. Brown),,5,116,117,-1,3000.0
3:00.0, ,117-117,J. Brown makes free throw 1 of 2,Tie,5,117,117,0,3000.0
3:00.0, ,117-118,J. Brown makes free throw 2 of 2,Lead change,5,118,117,1,3000.0
2:44.0,N. Alexander-Walker makes 3-pt jump shot from 24 ft (assist by A. Edwards),120-118, ,Lead change,5,118,120,-2,3016.0
2:25.0, ,120-118,J. Holiday misses 3-pt jump shot from 23 ft,,5,118,120,-2,3035.0
2:22.0, ,120-118,Offensive rebound by J. Brown,,5,118,120,-2,3038.0
2:15.0, ,120-118,J. Holiday misses 3-pt jump shot from 27 ft,,5,118,120,-2,3045.0
2:10.0,Defensive rebound by Team,120-118, ,,5,118,120,-2,3050.0
1:46.0,N. Reid misses 3-pt jump shot from 27 ft,120-118, ,,5,118,120,-2,3074.0
1:44.0, ,120-118,Defensive rebound by J. Tatum,,5,118,120,-2,3076.0
1:33.0, ,120-118,Personal foul by N. Reid (drawn by J. Tatum),,5,118,120,-2,3087.0
1:33.0, ,120-119,J. Tatum makes free throw 1 of 2,,5,119,120,-1,3087.0
1:33.0, ,120-120,J. Tatum makes free throw 2 of 2,Tie,5,120,120,0,3087.0
1:23.0,K. Towns misses 3-pt jump shot from 26 ft,120-120, ,,5,120,120,0,3097.0
1:20.0, ,120-120,Defensive rebound by J. Brown,,5,120,120,0,3100.0
1:04.0, ,120-122,J. Tatum makes 2-pt layup from 5 ft,Lead change,5,122,120,2,3116.0
0:56.0,Turnover by A. Edwards (bad pass; steal by J. Holiday),120-122, ,,5,122,120,2,3124.0
0:51.0, ,120-125,J. Tatum makes 3-pt jump shot from 25 ft (assist by J. Holiday),,5,125,120,5,3129.0
0:49.0,Minnesota full timeout,120-125, ,,5,125,120,5,3131.0
0:46.0,A. Edwards misses 3-pt jump shot from 28 ft,120-125, ,,5,125,120,5,3134.0
0:44.0,Offensive rebound by N. Alexander-Walker,120-125, ,,5,125,120,5,3136.0
0:40.0,K. Towns misses 2-pt jump shot from 19 ft,120-125, ,,5,125,120,5,3140.0
0:36.0, ,120-125,Defensive rebound by J. Brown,,5,125,120,5,3144.0
0:30.0, ,120-125,Boston full timeout,,5,125,120,5,3150.0
0:30.0,J. McLaughlin enters the game for K. Towns,120-125, ,,5,125,120,5,3150.0
0:23.0, ,120-125,Turnover by J. Brown (bad pass),,5,125,120,5,3157.0
0:23.0,K. Towns enters the game for J. McLaughlin,120-125, ,,5,125,120,5,3157.0
0:18.0,A. Edwards misses 2-pt jump shot from 11 ft,120-125, ,,5,125,120,5,3162.0
0:16.0, ,120-125,Defensive rebound by J. Brown,,5,125,120,5,3164.0
0:12.0, ,120-125,Personal take foul by K. Anderson (drawn by J. Tatum),,5,125,120,5,3168.0
0:12.0, ,120-126,J. Tatum makes free throw 1 of 2,,5,126,120,6,3168.0
0:12.0, ,120-127,J. Tatum makes free throw 2 of 2,,5,127,120,7,3168.0
0:12.0,Minnesota full timeout,120-127, ,,5,127,120,7,3168.0
0:10.0,Offensive foul by K. Towns (drawn by J. Brown),120-127, ,,5,127,120,7,3170.0
0:10.0,Turnover by K. Towns (offensive foul),120-127, ,,5,127,120,7,3170.0
0:00.0,End of 1st overtime,120-127,,,5,127,120,7,3180.0
