Time,Minnesota,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:51.0, ,7-13,J. Tatum misses 3-pt jump shot from 26 ft,,1,13,7,6,309.0
6:48.0,Defensive rebound by A. Edwards,7-13, ,,1,13,7,6,312.0
6:33.0,J. McDaniels makes 2-pt jump shot from 10 ft,9-13, ,,1,13,9,4,327.0
6:11.0, ,9-13,A. Horford misses 2-pt hook shot from 10 ft,,1,13,9,4,349.0
6:09.0,Defensive rebound by N. Reid,9-13, ,,1,13,9,4,351.0
6:00.0,N. Alexander-Walker misses 2-pt jump shot from 10 ft,9-13, ,,1,13,9,4,360.0
5:58.0,Offensive rebound by N. Reid,9-13, ,,1,13,9,4,362.0
5:58.0,N. Reid makes 2-pt layup at rim,11-13, ,,1,13,11,2,362.0
5:58.0, ,11-13,Boston full timeout,,1,13,11,2,362.0
5:58.0,J. McLaughlin enters the game for N. Alexander-Walker,11-13, ,,1,13,11,2,362.0
5:58.0, ,11-13,L. Kornet enters the game for J. Tatum,,1,13,11,2,362.0
5:41.0, ,11-15,L. Kornet makes 2-pt layup from 3 ft (assist by A. Horford),,1,15,11,4,379.0
5:23.0,A. Edwards makes 2-pt layup from 7 ft (assist by K. Towns),13-15, ,,1,15,13,2,397.0
5:11.0, ,13-18,A. Horford makes 3-pt jump shot from 25 ft (assist by D. White),,1,18,13,5,409.0
4:52.0,N. Reid misses 3-pt jump shot from 24 ft,13-18, ,,1,18,13,5,428.0
4:49.0, ,13-18,Defensive rebound by J. Brown,,1,18,13,5,431.0
4:44.0, ,13-18,D. White misses 3-pt jump shot from 26 ft,,1,18,13,5,436.0
4:42.0,Defensive rebound by K. Towns,13-18, ,,1,18,13,5,438.0
4:28.0,J. McLaughlin makes 3-pt jump shot from 24 ft (assist by N. Reid),16-18, ,,1,18,16,2,452.0
4:15.0, ,16-18,Personal foul by J. McDaniels (drawn by A. Horford),,1,18,16,2,465.0
4:15.0,K. Anderson enters the game for J. McDaniels,16-18, ,,1,18,16,2,465.0
4:15.0,T. Brown enters the game for K. Towns,16-18, ,,1,18,16,2,465.0
4:15.0, ,16-18,P. Pritchard enters the game for A. Horford,,1,18,16,2,465.0
4:07.0, ,16-20,J. Brown makes 2-pt jump shot from 20 ft,,1,20,16,4,473.0
3:44.0,K. Anderson misses 2-pt hook shot from 7 ft,16-20, ,,1,20,16,4,496.0
3:41.0, ,16-20,Defensive rebound by D. White,,1,20,16,4,499.0
3:36.0, ,16-22,J. Brown makes 2-pt layup from 5 ft,,1,22,16,6,504.0
3:23.0,A. Edwards makes 2-pt layup from 5 ft (assist by K. Anderson),18-22, ,,1,22,18,4,517.0
3:14.0, ,18-25,J. Brown makes 3-pt jump shot from 27 ft,,1,25,18,7,526.0
2:50.0,A. Edwards misses 2-pt jump shot from 15 ft,18-25, ,,1,25,18,7,550.0
2:48.0, ,18-25,Defensive rebound by L. Kornet,,1,25,18,7,552.0
2:39.0, ,18-28,P. Pritchard makes 3-pt jump shot from 26 ft (assist by D. White),,1,28,18,10,561.0
2:16.0,N. Reid makes 2-pt hook shot from 11 ft (assist by K. Anderson),20-28, ,,1,28,20,8,584.0
2:03.0, ,20-28,J. Brown misses 3-pt jump shot from 25 ft,,1,28,20,8,597.0
2:00.0,Defensive rebound by T. Brown,20-28, ,,1,28,20,8,600.0
1:56.0,N. Reid makes 2-pt dunk from 2 ft (assist by T. Brown),22-28, ,,1,28,22,6,604.0
1:40.0, ,22-28,S. Hauser misses 3-pt jump shot from 26 ft,,1,28,22,6,620.0
1:38.0,Defensive rebound by N. Reid,22-28, ,,1,28,22,6,622.0
1:30.0,Personal foul by D. White (drawn by N. Reid),22-28, ,,1,28,22,6,630.0
1:30.0,Minnesota full timeout,22-28, ,,1,28,22,6,630.0
1:30.0, ,22-28,J. Tatum enters the game for J. Brown,,1,28,22,6,630.0
1:15.0,K. Anderson makes 2-pt jump shot from 10 ft,24-28, ,,1,28,24,4,645.0
0:58.0, ,24-30,D. White makes 2-pt jump shot from 16 ft,,1,30,24,6,662.0
0:49.0,T. Brown misses 3-pt jump shot from 26 ft,24-30, ,,1,30,24,6,671.0
0:47.0, ,24-30,Defensive rebound by D. White,,1,30,24,6,673.0
0:33.0, ,24-30,J. Tatum misses 3-pt jump shot from 26 ft,,1,30,24,6,687.0
0:31.0, ,24-30,Offensive rebound by Team,,1,30,24,6,689.0
0:31.0,Loose ball foul by K. Anderson (drawn by L. Kornet),24-30, ,,1,30,24,6,689.0
0:31.0, ,24-31,L. Kornet makes free throw 1 of 2,,1,31,24,7,689.0
0:31.0, ,24-32,L. Kornet makes free throw 2 of 2,,1,32,24,8,689.0
0:14.0,J. McLaughlin makes 3-pt jump shot from 26 ft (assist by K. Anderson),27-32, ,,1,32,27,5,706.0
0:01.0, ,27-32,Turnover by D. White (bad pass; steal by K. Anderson),,1,32,27,5,719.0
0:00.0,End of 1st quarter,27-32,,,1,32,27,5,720.0
12:00.0,Start of 2nd quarter,27-32,,,2,32,27,5,720.0
11:48.0,N. Reid makes 3-pt jump shot from 27 ft (assist by J. McDaniels),30-32, ,,2,32,30,2,732.0
11:27.0, ,30-34,L. Kornet makes 2-pt dunk from 1 ft (assist by J. Holiday),,2,34,30,4,753.0
11:18.0,T. Brown makes 2-pt layup from 4 ft,32-34, ,,2,34,32,2,762.0
10:56.0, ,32-34,J. Tatum misses 2-pt jump shot from 19 ft,,2,34,32,2,784.0
10:54.0,Defensive rebound by N. Reid,32-34, ,,2,34,32,2,786.0
10:46.0,K. Towns misses 3-pt jump shot from 26 ft,32-34, ,,2,34,32,2,794.0
10:43.0, ,32-34,Defensive rebound by P. Pritchard,,2,34,32,2,797.0
10:40.0, ,32-34,Personal foul by J. McLaughlin (drawn by P. Pritchard),,2,34,32,2,800.0
10:29.0, ,32-36,J. Holiday makes 2-pt hook shot from 8 ft,,2,36,32,4,811.0
10:15.0,T. Brown misses 3-pt jump shot from 25 ft,32-36, ,,2,36,32,4,825.0
10:13.0,Offensive rebound by N. Reid,32-36, ,,2,36,32,4,827.0
10:11.0,N. Reid misses 2-pt hook shot from 12 ft,32-36, ,,2,36,32,4,829.0
10:07.0,Offensive rebound by K. Towns,32-36, ,,2,36,32,4,833.0
10:07.0,K. Towns makes 2-pt layup from 2 ft,34-36, ,,2,36,34,2,833.0
9:49.0, ,34-38,L. Kornet makes 2-pt layup from 1 ft (assist by P. Pritchard),,2,38,34,4,851.0
9:28.0,K. Towns misses 2-pt jump shot from 13 ft,34-38, ,,2,38,34,4,872.0
9:26.0, ,34-38,Defensive rebound by J. Tatum,,2,38,34,4,874.0
9:20.0, ,34-38,S. Hauser misses 3-pt jump shot from 24 ft,,2,38,34,4,880.0
9:15.0, ,34-38,Offensive rebound by L. Kornet,,2,38,34,4,885.0
9:15.0, ,34-38,L. Kornet misses 2-pt layup at rim,,2,38,34,4,885.0
9:14.0,Defensive rebound by J. McLaughlin,34-38, ,,2,38,34,4,886.0
9:08.0,J. McDaniels misses 3-pt jump shot from 26 ft,34-38, ,,2,38,34,4,892.0
9:05.0, ,34-38,Defensive rebound by J. Tatum,,2,38,34,4,895.0
9:02.0, ,34-40,J. Holiday makes 2-pt layup from 1 ft (assist by J. Tatum),,2,40,34,6,898.0
8:47.0,N. Reid misses 2-pt layup from 12 ft (block by L. Kornet),34-40, ,,2,40,34,6,913.0
8:44.0,Offensive rebound by N. Reid,34-40, ,,2,40,34,6,916.0
8:43.0,Turnover by N. Reid (bad pass; steal by J. Holiday),34-40, ,,2,40,34,6,917.0
8:30.0, ,34-43,J. Tatum makes 3-pt jump shot from 26 ft,,2,43,34,9,930.0
8:29.0,Minnesota full timeout,34-43, ,,2,43,34,9,931.0
8:29.0,N. Alexander-Walker enters the game for T. Brown,34-43, ,,2,43,34,9,931.0
8:29.0,K. Anderson enters the game for J. McLaughlin,34-43, ,,2,43,34,9,931.0
8:29.0,A. Edwards enters the game for N. Reid,34-43, ,,2,43,34,9,931.0
8:29.0, ,34-43,O. Brissett enters the game for S. Hauser,,2,43,34,9,931.0
8:29.0, ,34-43,A. Horford enters the game for L. Kornet,,2,43,34,9,931.0
8:18.0,K. Towns misses 2-pt hook shot from 13 ft,34-43, ,,2,43,34,9,942.0
8:14.0,Offensive rebound by K. Anderson,34-43, ,,2,43,34,9,946.0
8:14.0,K. Anderson makes 2-pt layup at rim,36-43, ,,2,43,36,7,946.0
7:56.0, ,36-43,J. Holiday misses 3-pt jump shot from 26 ft,,2,43,36,7,964.0
7:54.0,Defensive rebound by K. Towns,36-43, ,,2,43,36,7,966.0
7:45.0,A. Edwards makes 2-pt dunk from 2 ft (assist by K. Towns),38-43, ,,2,43,38,5,975.0
7:28.0, ,38-43,Shooting foul by J. McDaniels (drawn by J. Tatum),,2,43,38,5,992.0
7:28.0, ,38-44,J. Tatum makes free throw 1 of 2,,2,44,38,6,992.0
7:28.0, ,38-45,J. Tatum makes free throw 2 of 2,,2,45,38,7,992.0
7:14.0,A. Edwards misses 2-pt jump shot from 13 ft,38-45, ,,2,45,38,7,1006.0
7:12.0, ,38-45,Defensive rebound by O. Brissett,,2,45,38,7,1008.0
7:00.0, ,38-45,A. Horford misses 3-pt jump shot from 26 ft,,2,45,38,7,1020.0
6:58.0,Defensive rebound by A. Edwards,38-45, ,,2,45,38,7,1022.0
6:51.0,Personal foul by O. Brissett (drawn by K. Towns),38-45, ,,2,45,38,7,1029.0
6:51.0, ,38-45,Personal foul by K. Towns (drawn by O. Brissett),,2,45,38,7,1029.0
6:51.0, ,38-45,J. Brown enters the game for P. Pritchard,,2,45,38,7,1029.0
6:47.0,Jump ball: K. Towns vs. A. Horford (K. Anderson gains possession),38-45,,,2,45,38,7,1033.0
6:34.0,K. Towns misses 3-pt jump shot from 26 ft,38-45, ,,2,45,38,7,1046.0
6:32.0, ,38-45,Defensive rebound by O. Brissett,,2,45,38,7,1048.0
6:21.0, ,38-45,Personal foul by J. McDaniels (drawn by O. Brissett),,2,45,38,7,1059.0
6:12.0, ,38-45,J. Tatum misses 2-pt jump shot from 17 ft,,2,45,38,7,1068.0
6:09.0,Defensive rebound by K. Towns,38-45, ,,2,45,38,7,1071.0
5:53.0,J. McDaniels misses 3-pt jump shot from 27 ft,38-45, ,,2,45,38,7,1087.0
5:50.0, ,38-45,Defensive rebound by J. Brown,,2,45,38,7,1090.0
5:45.0, ,38-45,Turnover by J. Brown (bad pass; steal by K. Towns),,2,45,38,7,1095.0
5:36.0,A. Edwards makes 2-pt dunk from 2 ft (assist by K. Anderson),40-45, ,,2,45,40,5,1104.0
5:36.0, ,40-45,Boston full timeout,,2,45,40,5,1104.0
5:36.0,N. Reid enters the game for J. McDaniels,40-45, ,,2,45,40,5,1104.0
5:36.0, ,40-45,D. White enters the game for J. Tatum,,2,45,40,5,1104.0
5:23.0, ,40-45,D. White misses 3-pt jump shot from 27 ft,,2,45,40,5,1117.0
5:19.0,Defensive rebound by K. Anderson,40-45, ,,2,45,40,5,1121.0
5:08.0,K. Towns misses 3-pt jump shot from 27 ft,40-45, ,,2,45,40,5,1132.0
5:04.0, ,40-45,Defensive rebound by D. White,,2,45,40,5,1136.0
4:54.0, ,40-45,Offensive foul by A. Horford (drawn by K. Anderson),,2,45,40,5,1146.0
4:54.0, ,40-45,Turnover by A. Horford (offensive foul),,2,45,40,5,1146.0
4:31.0,Shooting foul by A. Horford (drawn by K. Anderson),40-45, ,,2,45,40,5,1169.0
4:31.0,K. Anderson makes free throw 1 of 2,41-45, ,,2,45,41,4,1169.0
4:31.0,K. Anderson makes free throw 2 of 2,42-45, ,,2,45,42,3,1169.0
4:08.0, ,42-45,J. Holiday misses 3-pt jump shot from 26 ft,,2,45,42,3,1192.0
4:05.0,Defensive rebound by A. Edwards,42-45, ,,2,45,42,3,1195.0
3:57.0,A. Edwards misses 2-pt jump shot from 18 ft,42-45, ,,2,45,42,3,1203.0
3:54.0, ,42-45,Defensive rebound by A. Horford,,2,45,42,3,1206.0
3:40.0, ,42-45,A. Horford misses 3-pt jump shot from 24 ft,,2,45,42,3,1220.0
3:38.0,Defensive rebound by A. Edwards,42-45, ,,2,45,42,3,1222.0
3:22.0,A. Edwards makes 2-pt jump shot from 17 ft,44-45, ,,2,45,44,1,1238.0
3:05.0, ,44-45,Shooting foul by N. Alexander-Walker (drawn by D. White),,2,45,44,1,1255.0
3:05.0, ,44-46,D. White makes free throw 1 of 2,,2,46,44,2,1255.0
3:05.0, ,44-46,J. Tatum enters the game for O. Brissett,,2,46,44,2,1255.0
3:05.0, ,44-47,D. White makes free throw 2 of 2,,2,47,44,3,1255.0
2:47.0,A. Edwards misses 2-pt jump shot from 19 ft,44-47, ,,2,47,44,3,1273.0
2:45.0, ,44-47,Defensive rebound by A. Horford,,2,47,44,3,1275.0
2:29.0, ,44-50,J. Holiday makes 3-pt jump shot from 27 ft (assist by D. White),,2,50,44,6,1291.0
2:06.0,Turnover by A. Edwards (bad pass),44-50, ,,2,50,44,6,1314.0
1:49.0, ,44-50,J. Holiday misses 2-pt layup from 2 ft (block by N. Reid),,2,50,44,6,1331.0
1:48.0,Defensive rebound by N. Reid,44-50, ,,2,50,44,6,1332.0
1:38.0,Shooting foul by D. White (drawn by N. Alexander-Walker),44-50, ,,2,50,44,6,1342.0
1:38.0,N. Alexander-Walker makes free throw 1 of 2,45-50, ,,2,50,45,5,1342.0
