Time,Milwaukee,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Lopez vs. K. Porziņģis (A. Horford gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,J. Tatum misses 2-pt jump shot from 14 ft,,1,0,0,0,22.0
11:36.0,Defensive rebound by M. Beasley,0-0, ,,1,0,0,0,24.0
11:24.0,D. Lillard misses 2-pt layup from 5 ft,0-0, ,,1,0,0,0,36.0
11:23.0, ,0-0,Defensive rebound by A. Horford,,1,0,0,0,37.0
11:18.0, ,0-2,D. White makes 2-pt layup from 2 ft,,1,2,0,2,42.0
10:57.0,J. Crowder makes 2-pt jump shot from 17 ft (assist by K. Middleton),2-2, ,Tie,1,2,2,0,63.0
10:48.0, ,2-5,J. Brown makes 3-pt jump shot from 25 ft (assist by D. White),,1,5,2,3,72.0
10:26.0,D. Lillard makes 2-pt jump shot from 22 ft (assist by J. Crowder),4-5, ,,1,5,4,1,94.0
10:12.0, ,4-5,J. Brown misses 3-pt jump shot from 25 ft,,1,5,4,1,108.0
10:11.0,Defensive rebound by M. Beasley,4-5, ,,1,5,4,1,109.0
10:03.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by K. Middleton),7-5, ,Lead change,1,5,7,-2,117.0
9:50.0, ,7-8,J. Tatum makes 3-pt jump shot from 25 ft (assist by D. White),Lead change,1,8,7,1,130.0
9:38.0,D. Lillard misses 3-pt jump shot from 27 ft,7-8, ,,1,8,7,1,142.0
9:37.0, ,7-8,Defensive rebound by J. Tatum,,1,8,7,1,143.0
9:23.0, ,7-10,K. Porziņģis makes 2-pt jump shot from 18 ft (assist by D. White),,1,10,7,3,157.0
9:07.0,K. Middleton makes 3-pt jump shot from 27 ft,10-10, ,Tie,1,10,10,0,173.0
8:49.0, ,10-10,K. Porziņģis misses 2-pt jump shot from 18 ft,,1,10,10,0,191.0
8:48.0,Defensive rebound by J. Crowder,10-10, ,,1,10,10,0,192.0
8:39.0,B. Lopez misses 3-pt jump shot from 29 ft,10-10, ,,1,10,10,0,201.0
8:37.0, ,10-10,Defensive rebound by J. Tatum,,1,10,10,0,203.0
8:27.0, ,10-12,J. Tatum makes 2-pt layup from 1 ft (assist by D. White),,1,12,10,2,213.0
8:16.0,D. Lillard misses 3-pt jump shot from 28 ft,10-12, ,,1,12,10,2,224.0
8:14.0, ,10-12,Defensive rebound by J. Tatum,,1,12,10,2,226.0
8:02.0, ,10-15,J. Tatum makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),,1,15,10,5,238.0
8:01.0,Milwaukee full timeout,10-15, ,,1,15,10,5,239.0
8:01.0,Turnover by J. Crowder (bad pass),10-15, ,,1,15,10,5,239.0
7:59.0, ,10-15,Shooting foul by K. Middleton (drawn by J. Tatum),,1,15,10,5,241.0
7:59.0, ,10-16,J. Tatum makes free throw 1 of 2,,1,16,10,6,241.0
7:59.0, ,10-17,J. Tatum makes free throw 2 of 2,,1,17,10,7,241.0
7:46.0,J. Crowder makes 2-pt layup from 3 ft (assist by K. Middleton),12-17, ,,1,17,12,5,254.0
7:31.0, ,12-17,J. Brown misses 2-pt layup from 7 ft (block by B. Lopez),,1,17,12,5,269.0
