Time,Sacramento,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:07.0,D. Fox enters the game for K. Murray,67-72, ,,3,72,67,5,1973.0
3:07.0, ,67-73,J. Tatum makes free throw 2 of 2,,3,73,67,6,1973.0
2:55.0,K. Edwards misses 3-pt jump shot from 26 ft,67-73, ,,3,73,67,6,1985.0
2:54.0, ,67-73,Defensive rebound by J. Tatum,,3,73,67,6,1986.0
2:42.0, ,67-73,P. Pritchard misses 3-pt jump shot from 27 ft,,3,73,67,6,1998.0
2:41.0,Defensive rebound by K. Edwards,67-73, ,,3,73,67,6,1999.0
2:34.0,D. Sabonis misses 2-pt layup from 3 ft,67-73, ,,3,73,67,6,2006.0
2:33.0, ,67-73,Defensive rebound by J. Holiday,,3,73,67,6,2007.0
2:28.0, ,67-73,S. Hauser misses 3-pt jump shot from 28 ft,,3,73,67,6,2012.0
2:26.0,Defensive rebound by D. Sabonis,67-73, ,,3,73,67,6,2014.0
2:19.0,T. Lyles misses 3-pt jump shot from 26 ft,67-73, ,,3,73,67,6,2021.0
2:18.0, ,67-73,Defensive rebound by J. Tatum,,3,73,67,6,2022.0
2:15.0, ,67-73,Shooting foul by D. Fox (drawn by K. Porziņģis),,3,73,67,6,2025.0
2:15.0, ,67-74,K. Porziņģis makes free throw 1 of 2,,3,74,67,7,2025.0
2:15.0,A. Vezenkov enters the game for D. Sabonis,67-74, ,,3,74,67,7,2025.0
2:15.0, ,67-75,K. Porziņģis makes free throw 2 of 2,,3,75,67,8,2025.0
2:01.0,A. Vezenkov makes 3-pt jump shot from 23 ft (assist by D. Mitchell),70-75, ,,3,75,70,5,2039.0
1:42.0, ,70-78,P. Pritchard makes 3-pt jump shot from 24 ft (assist by J. Holiday),,3,78,70,8,2058.0
1:21.0,K. Edwards misses 2-pt layup from 6 ft,70-78, ,,3,78,70,8,2079.0
1:19.0, ,70-78,Defensive rebound by K. Porziņģis,,3,78,70,8,2081.0
1:04.0, ,70-78,Personal foul by A. Vezenkov (drawn by J. Tatum),,3,78,70,8,2096.0
1:04.0, ,70-78,J. Tatum misses free throw 1 of 2,,3,78,70,8,2096.0
1:04.0, ,70-78,Offensive rebound by Team,,3,78,70,8,2096.0
1:04.0,K. Ellis enters the game for D. Mitchell,70-78, ,,3,78,70,8,2096.0
1:04.0, ,70-79,J. Tatum makes free throw 2 of 2,,3,79,70,9,2096.0
0:46.0,Turnover by K. Ellis (bad pass; steal by P. Pritchard),70-79, ,,3,79,70,9,2114.0
0:41.0, ,70-81,K. Porziņģis makes 2-pt dunk at rim (assist by S. Hauser),,3,81,70,11,2119.0
0:27.0,K. Edwards misses 3-pt jump shot from 24 ft,70-81, ,,3,81,70,11,2133.0
0:24.0,Offensive rebound by K. Ellis,70-81, ,,3,81,70,11,2136.0
0:23.0,D. Fox makes 2-pt layup from 3 ft (assist by K. Ellis),72-81, ,,3,81,72,9,2137.0
0:02.0, ,72-84,J. Tatum makes 3-pt jump shot from 28 ft (assist by P. Pritchard),,3,84,72,12,2158.0
0:00.0,T. Lyles misses 3-pt jump shot from 55 ft,72-84, ,,3,84,72,12,2160.0
0:00.0,Offensive rebound by Team,72-84, ,,3,84,72,12,2160.0
0:00.0,End of 3rd quarter,72-84,,,3,84,72,12,2160.0
12:00.0,Start of 4th quarter,72-84,,,4,84,72,12,2160.0
11:42.0, ,72-86,L. Kornet makes 2-pt layup from 1 ft (assist by J. Tatum),,4,86,72,14,2178.0
11:29.0,Turnover by D. Mitchell (lost ball; steal by L. Kornet),72-86, ,,4,86,72,14,2191.0
11:24.0, ,72-86,J. Tatum misses 2-pt layup from 2 ft,,4,86,72,14,2196.0
11:21.0, ,72-86,Offensive rebound by P. Pritchard,,4,86,72,14,2199.0
11:09.0, ,72-86,J. Tatum misses 2-pt jump shot from 17 ft,,4,86,72,14,2211.0
11:06.0,Defensive rebound by T. Lyles,72-86, ,,4,86,72,14,2214.0
11:00.0,A. Vezenkov misses 3-pt jump shot from 24 ft,72-86, ,,4,86,72,14,2220.0
10:59.0,Offensive rebound by K. Murray,72-86, ,,4,86,72,14,2221.0
10:59.0,K. Murray makes 2-pt layup from 2 ft,74-86, ,,4,86,74,12,2221.0
10:35.0, ,74-88,P. Pritchard makes 2-pt jump shot from 19 ft,,4,88,74,14,2245.0
10:27.0,D. Fox misses 3-pt jump shot from 26 ft,74-88, ,,4,88,74,14,2253.0
10:25.0,Offensive rebound by D. Mitchell,74-88, ,,4,88,74,14,2255.0
10:10.0,K. Murray misses 3-pt jump shot from 25 ft,74-88, ,,4,88,74,14,2270.0
10:09.0, ,74-88,Defensive rebound by J. Tatum,,4,88,74,14,2271.0
9:57.0, ,74-88,P. Pritchard misses 3-pt jump shot from 29 ft,,4,88,74,14,2283.0
9:54.0,Defensive rebound by D. Mitchell,74-88, ,,4,88,74,14,2286.0
9:48.0,K. Murray misses 3-pt jump shot from 26 ft,74-88, ,,4,88,74,14,2292.0
9:45.0,Offensive rebound by K. Murray,74-88, ,,4,88,74,14,2295.0
9:41.0,K. Murray makes 2-pt jump shot from 15 ft,76-88, ,,4,88,76,12,2299.0
9:28.0, ,76-88,X. Tillman misses 3-pt jump shot from 23 ft,,4,88,76,12,2312.0
9:24.0, ,76-88,Offensive rebound by S. Mykhailiuk,,4,88,76,12,2316.0
9:24.0, ,76-90,S. Mykhailiuk makes 2-pt layup from 3 ft,,4,90,76,14,2316.0
9:24.0,Sacramento full timeout,76-90, ,,4,90,76,14,2316.0
9:24.0,D. Sabonis enters the game for T. Lyles,76-90, ,,4,90,76,14,2316.0
9:24.0, ,76-90,J. Walsh enters the game for J. Tatum,,4,90,76,14,2316.0
9:06.0,K. Murray misses 2-pt jump shot from 18 ft,76-90, ,,4,90,76,14,2334.0
9:04.0, ,76-90,Defensive rebound by L. Kornet,,4,90,76,14,2336.0
8:40.0, ,76-90,L. Kornet misses 2-pt layup from 7 ft,,4,90,76,14,2360.0
8:38.0, ,76-90,Offensive rebound by J. Walsh,,4,90,76,14,2362.0
8:32.0, ,76-90,J. Walsh misses 3-pt jump shot from 26 ft,,4,90,76,14,2368.0
8:31.0,Defensive rebound by K. Murray,76-90, ,,4,90,76,14,2369.0
8:18.0,A. Vezenkov misses 2-pt layup from 9 ft,76-90, ,,4,90,76,14,2382.0
8:17.0,Offensive rebound by D. Sabonis,76-90, ,,4,90,76,14,2383.0
8:10.0,D. Sabonis misses 2-pt layup from 8 ft,76-90, ,,4,90,76,14,2390.0
8:09.0, ,76-90,Defensive rebound by X. Tillman,,4,90,76,14,2391.0
7:53.0, ,76-92,P. Pritchard makes 2-pt jump shot from 19 ft,,4,92,76,16,2407.0
7:35.0,A. Vezenkov makes 3-pt jump shot from 27 ft (assist by D. Sabonis),79-92, ,,4,92,79,13,2425.0
7:23.0, ,79-92,Personal foul by A. Vezenkov (drawn by P. Pritchard),,4,92,79,13,2437.0
7:14.0, ,79-94,X. Tillman makes 2-pt layup from 1 ft (assist by S. Mykhailiuk),,4,94,79,15,2446.0
7:00.0,K. Murray misses 3-pt jump shot from 25 ft,79-94, ,,4,94,79,15,2460.0
6:59.0, ,79-94,Defensive rebound by L. Kornet,,4,94,79,15,2461.0
6:44.0, ,79-97,P. Pritchard makes 3-pt jump shot from 26 ft (assist by L. Kornet),,4,97,79,18,2476.0
6:42.0,Sacramento full timeout,79-97, ,,4,97,79,18,2478.0
6:42.0,H. Barnes enters the game for A. Vezenkov,79-97, ,,4,97,79,18,2478.0
6:42.0, ,79-97,O. Brissett enters the game for S. Mykhailiuk,,4,97,79,18,2478.0
6:42.0, ,79-97,S. Hauser enters the game for X. Tillman,,4,97,79,18,2478.0
6:31.0,D. Fox misses 2-pt jump shot from 15 ft,79-97, ,,4,97,79,18,2489.0
6:30.0,Offensive rebound by D. Sabonis,79-97, ,,4,97,79,18,2490.0
6:30.0,D. Sabonis misses 2-pt layup at rim,79-97, ,,4,97,79,18,2490.0
6:28.0, ,79-97,Defensive rebound by Team,,4,97,79,18,2492.0
6:09.0, ,79-97,P. Pritchard misses 3-pt jump shot from 32 ft,,4,97,79,18,2511.0
6:08.0, ,79-97,Offensive rebound by O. Brissett,,4,97,79,18,2512.0
6:06.0, ,79-97,Shooting foul by D. Mitchell (drawn by O. Brissett),,4,97,79,18,2514.0
6:06.0, ,79-98,O. Brissett makes free throw 1 of 2,,4,98,79,19,2514.0
6:06.0, ,79-98,O. Brissett misses free throw 2 of 2,,4,98,79,19,2514.0
6:06.0,Defensive rebound by H. Barnes,79-98, ,,4,98,79,19,2514.0
5:49.0,Shooting foul by J. Walsh (drawn by H. Barnes),79-98, ,,4,98,79,19,2531.0
5:49.0,H. Barnes makes free throw 1 of 2,80-98, ,,4,98,80,18,2531.0
5:49.0,C. Jones enters the game for D. Mitchell,80-98, ,,4,98,80,18,2531.0
5:49.0,H. Barnes misses free throw 2 of 2,80-98, ,,4,98,80,18,2531.0
5:49.0, ,80-98,Defensive rebound by S. Hauser,,4,98,80,18,2531.0
5:31.0, ,80-98,S. Hauser misses 3-pt jump shot from 24 ft,,4,98,80,18,2549.0
5:30.0,Defensive rebound by K. Murray,80-98, ,,4,98,80,18,2550.0
5:22.0,C. Jones makes 2-pt jump shot from 7 ft (assist by K. Murray),82-98, ,,4,98,82,16,2558.0
5:05.0, ,82-98,Personal foul by C. Jones (drawn by S. Hauser),,4,98,82,16,2575.0
5:02.0, ,82-98,Turnover by O. Brissett (bad pass; steal by D. Sabonis),,4,98,82,16,2578.0
4:59.0,D. Sabonis makes 2-pt dunk from 1 ft,84-98, ,,4,98,84,14,2581.0
4:37.0, ,84-98,Personal foul by C. Jones (drawn by S. Hauser),,4,98,84,14,2603.0
4:25.0, ,84-98,S. Hauser misses 2-pt jump shot from 16 ft,,4,98,84,14,2615.0
4:24.0, ,84-98,Offensive rebound by O. Brissett,,4,98,84,14,2616.0
4:14.0, ,84-98,P. Pritchard misses 2-pt jump shot from 16 ft (block by C. Jones),,4,98,84,14,2626.0
4:13.0, ,84-98,Offensive rebound by S. Hauser,,4,98,84,14,2627.0
4:10.0, ,84-98,S. Hauser misses 3-pt jump shot from 38 ft,,4,98,84,14,2630.0
4:09.0, ,84-98,Offensive rebound by Team,,4,98,84,14,2631.0
4:09.0, ,84-98,Turnover by Team (shot clock),,4,98,84,14,2631.0
3:59.0,D. Fox makes 2-pt jump shot from 10 ft,86-98, ,,4,98,86,12,2641.0
3:35.0, ,86-98,P. Pritchard misses 2-pt jump shot from 13 ft,,4,98,86,12,2665.0
3:32.0,Defensive rebound by D. Sabonis,86-98, ,,4,98,86,12,2668.0
3:26.0,Shooting foul by L. Kornet (drawn by D. Sabonis),86-98, ,,4,98,86,12,2674.0
3:26.0,D. Sabonis misses free throw 1 of 2,86-98, ,,4,98,86,12,2674.0
3:26.0,Offensive rebound by Team,86-98, ,,4,98,86,12,2674.0
3:26.0, ,86-98,X. Tillman enters the game for L. Kornet,,4,98,86,12,2674.0
3:26.0,D. Sabonis makes free throw 2 of 2,87-98, ,,4,98,87,11,2674.0
3:11.0, ,87-98,X. Tillman misses 2-pt hook shot from 11 ft,,4,98,87,11,2689.0
3:10.0,Defensive rebound by C. Jones,87-98, ,,4,98,87,11,2690.0
3:04.0,Personal foul by O. Brissett (drawn by D. Sabonis),87-98, ,,4,98,87,11,2696.0
2:58.0,D. Fox makes 2-pt layup from 6 ft,89-98, ,,4,98,89,9,2702.0
2:58.0, ,89-98,Boston full timeout,,4,98,89,9,2702.0
2:58.0, ,89-98,S. Mykhailiuk enters the game for J. Walsh,,4,98,89,9,2702.0
2:40.0, ,89-98,X. Tillman misses 3-pt jump shot from 25 ft,,4,98,89,9,2720.0
2:37.0,Defensive rebound by H. Barnes,89-98, ,,4,98,89,9,2723.0
2:27.0,D. Fox makes 3-pt jump shot from 26 ft,92-98, ,,4,98,92,6,2733.0
2:13.0, ,92-98,Shooting foul by C. Jones (drawn by O. Brissett),,4,98,92,6,2747.0
2:13.0, ,92-98,O. Brissett misses free throw 1 of 2,,4,98,92,6,2747.0
2:13.0, ,92-98,Offensive rebound by Team,,4,98,92,6,2747.0
2:13.0, ,92-99,O. Brissett makes free throw 2 of 2,,4,99,92,7,2747.0
2:00.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Fox),95-99, ,,4,99,95,4,2760.0
1:40.0, ,95-99,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,4,99,95,4,2780.0
1:38.0, ,95-99,Offensive rebound by O. Brissett,,4,99,95,4,2782.0
1:33.0, ,95-99,S. Hauser misses 2-pt jump shot from 7 ft,,4,99,95,4,2787.0
1:31.0,Defensive rebound by D. Sabonis,95-99, ,,4,99,95,4,2789.0
1:22.0,D. Fox misses 2-pt jump shot from 16 ft,95-99, ,,4,99,95,4,2798.0
1:21.0, ,95-99,Defensive rebound by O. Brissett,,4,99,95,4,2799.0
1:05.0, ,95-99,S. Hauser misses 3-pt jump shot from 26 ft,,4,99,95,4,2815.0
1:04.0,Defensive rebound by D. Sabonis,95-99, ,,4,99,95,4,2816.0
1:03.0,Personal foul by O. Brissett (drawn by D. Sabonis),95-99, ,,4,99,95,4,2817.0
0:56.0,D. Fox makes 2-pt layup from 5 ft,97-99, ,,4,99,97,2,2824.0
0:35.0, ,97-99,P. Pritchard misses 2-pt jump shot from 15 ft (block by D. Sabonis),,4,99,97,2,2845.0
0:33.0,Defensive rebound by C. Jones,97-99, ,,4,99,97,2,2847.0
0:27.0,D. Fox makes 3-pt jump shot from 27 ft,100-99, ,Lead change,4,99,100,-1,2853.0
0:12.0, ,100-99,S. Hauser misses 2-pt jump shot from 8 ft (block by K. Murray),,4,99,100,-1,2868.0
0:11.0,Defensive rebound by K. Murray,100-99, ,,4,99,100,-1,2869.0
0:10.0,Turnover by K. Murray (lost ball; steal by S. Hauser),100-99, ,,4,99,100,-1,2870.0
0:07.0, ,100-101,X. Tillman makes 2-pt jump shot from 13 ft,Lead change,4,101,100,1,2873.0
0:07.0,Sacramento full timeout,100-101, ,,4,101,100,1,2873.0
0:05.0,D. Fox misses 2-pt jump shot from 17 ft,100-101, ,,4,101,100,1,2875.0
0:03.0,Offensive rebound by K. Murray,100-101, ,,4,101,100,1,2877.0
0:03.0,K. Murray misses 2-pt layup from 7 ft,100-101, ,,4,101,100,1,2877.0
0:01.0,Offensive rebound by C. Jones,100-101, ,,4,101,100,1,2879.0
0:01.0,C. Jones misses 2-pt layup from 4 ft,100-101, ,,4,101,100,1,2879.0
0:00.0,Offensive rebound by Team,100-101, ,,4,101,100,1,2880.0
0:00.0,End of 4th quarter,100-101,,,4,101,100,1,2880.0
