Time,Sacramento,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:29.0, ,3-2,A. Horford misses free throw 1 of 2,,1,2,3,-1,211.0
8:29.0, ,3-2,Offensive rebound by Team,,1,2,3,-1,211.0
8:29.0, ,3-3,A. Horford makes free throw 2 of 2,Tie,1,3,3,0,211.0
8:12.0,D. Sabonis misses 2-pt jump shot from 15 ft,3-3, ,,1,3,3,0,228.0
8:10.0, ,3-3,Defensive rebound by A. Horford,,1,3,3,0,230.0
8:02.0, ,3-3,Turnover by J. Tatum (bad pass; steal by K. Murray),,1,3,3,0,238.0
7:51.0,Turnover by D. Sabonis (traveling),3-3, ,,1,3,3,0,249.0
7:31.0, ,3-3,J. Tatum misses 3-pt jump shot from 26 ft,,1,3,3,0,269.0
7:30.0,Defensive rebound by D. Sabonis,3-3, ,,1,3,3,0,270.0
7:19.0,Shooting foul by K. Porziņģis (drawn by H. Barnes),3-3, ,,1,3,3,0,281.0
7:19.0,H. Barnes misses free throw 1 of 2,3-3, ,,1,3,3,0,281.0
7:19.0,Offensive rebound by Team,3-3, ,,1,3,3,0,281.0
7:19.0,H. Barnes makes free throw 2 of 2,4-3, ,,1,3,4,-1,281.0
7:06.0, ,4-3,S. Hauser misses 3-pt jump shot from 25 ft,,1,3,4,-1,294.0
7:05.0,Defensive rebound by K. Ellis,4-3, ,,1,3,4,-1,295.0
6:52.0,D. Fox misses 3-pt jump shot from 26 ft,4-3, ,,1,3,4,-1,308.0
6:51.0, ,4-3,Defensive rebound by J. Tatum,,1,3,4,-1,309.0
6:41.0, ,4-3,Turnover by J. Tatum (lost ball; steal by D. Fox),,1,3,4,-1,319.0
6:33.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by K. Murray),6-3, ,,1,3,6,-3,327.0
6:31.0, ,6-3,Boston full timeout,,1,3,6,-3,329.0
6:16.0, ,6-3,K. Porziņģis misses 2-pt jump shot from 7 ft,,1,3,6,-3,344.0
