Time,LA Clippers,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:15.0,Shooting foul by J. Holiday (drawn by T. Mann),5-7, ,,1,7,5,2,285.0
7:15.0,T. Mann misses free throw 1 of 2,5-7, ,,1,7,5,2,285.0
7:15.0,Offensive rebound by Team,5-7, ,,1,7,5,2,285.0
7:15.0,T. Mann makes free throw 2 of 2,6-7, ,,1,7,6,1,285.0
7:03.0, ,6-9,J. Tatum makes 2-pt layup from 4 ft (assist by A. Horford),,1,9,6,3,297.0
7:01.0,LA Clippers full timeout,6-9, ,,1,9,6,3,299.0
6:40.0,J. Harden misses 3-pt jump shot from 24 ft,6-9, ,,1,9,6,3,320.0
6:37.0,Offensive rebound by T. Mann,6-9, ,,1,9,6,3,323.0
6:35.0,K. Leonard makes 3-pt jump shot from 28 ft (assist by T. Mann),9-9, ,Tie,1,9,9,0,325.0
6:13.0, ,9-9,Turnover by J. Tatum (bad pass; steal by K. Leonard),,1,9,9,0,347.0
6:11.0,K. Leonard makes 2-pt layup from 1 ft,11-9, ,Lead change,1,9,11,-2,349.0
6:02.0, ,11-9,J. Holiday misses 3-pt jump shot from 27 ft,,1,9,11,-2,358.0
6:00.0,Defensive rebound by P. George,11-9, ,,1,9,11,-2,360.0
5:49.0,T. Mann makes 2-pt dunk from 2 ft (assist by J. Harden),13-9, ,,1,9,13,-4,371.0
5:35.0, ,13-9,J. Brown misses 3-pt jump shot from 27 ft,,1,9,13,-4,385.0
5:33.0,Defensive rebound by J. Harden,13-9, ,,1,9,13,-4,387.0
5:27.0,Shooting foul by A. Horford (drawn by P. George),13-9, ,,1,9,13,-4,393.0
5:27.0,P. George makes free throw 1 of 2,14-9, ,,1,9,14,-5,393.0
5:27.0,R. Westbrook enters the game for T. Mann,14-9, ,,1,9,14,-5,393.0
5:27.0, ,14-9,S. Hauser enters the game for J. Holiday,,1,9,14,-5,393.0
5:27.0, ,14-9,L. Kornet enters the game for J. Tatum,,1,9,14,-5,393.0
5:27.0,P. George makes free throw 2 of 2,15-9, ,,1,9,15,-6,393.0
5:09.0, ,15-9,L. Kornet misses 2-pt dunk from 3 ft (block by M. Plumlee),,1,9,15,-6,411.0
5:07.0,Defensive rebound by R. Westbrook,15-9, ,,1,9,15,-6,413.0
4:58.0,Offensive foul by J. Harden (drawn by D. White),15-9, ,,1,9,15,-6,422.0
4:58.0,Turnover by J. Harden (offensive foul),15-9, ,,1,9,15,-6,422.0
4:58.0,A. Coffey enters the game for P. George,15-9, ,,1,9,15,-6,422.0
4:58.0,N. Powell enters the game for J. Harden,15-9, ,,1,9,15,-6,422.0
4:45.0, ,15-9,D. White misses 2-pt jump shot from 10 ft,,1,9,15,-6,435.0
4:43.0,Defensive rebound by N. Powell,15-9, ,,1,9,15,-6,437.0
4:36.0,R. Westbrook makes 2-pt jump shot from 8 ft,17-9, ,,1,9,17,-8,444.0
4:26.0, ,17-9,J. Brown misses 2-pt jump shot from 4 ft,,1,9,17,-8,454.0
4:26.0,Defensive rebound by R. Westbrook,17-9, ,,1,9,17,-8,454.0
4:26.0,Personal foul by J. Brown (drawn by R. Westbrook),17-9, ,,1,9,17,-8,454.0
4:26.0, ,17-9,P. Pritchard enters the game for A. Horford,,1,9,17,-8,454.0
4:05.0,K. Leonard misses 2-pt jump shot from 13 ft,17-9, ,,1,9,17,-8,475.0
4:02.0, ,17-9,Defensive rebound by D. White,,1,9,17,-8,478.0
3:56.0, ,17-9,Shooting foul by M. Plumlee (drawn by J. Brown),,1,9,17,-8,484.0
3:56.0, ,17-10,J. Brown makes free throw 1 of 2,,1,10,17,-7,484.0
3:56.0, ,17-11,J. Brown makes free throw 2 of 2,,1,11,17,-6,484.0
3:35.0,M. Plumlee makes 2-pt dunk from 3 ft (assist by A. Coffey),19-11, ,,1,11,19,-8,505.0
3:34.0, ,19-11,Boston full timeout,,1,11,19,-8,506.0
3:34.0,D. Theis enters the game for M. Plumlee,19-11, ,,1,11,19,-8,506.0
3:21.0, ,19-11,D. White misses 3-pt jump shot from 26 ft,,1,11,19,-8,519.0
3:17.0,Defensive rebound by N. Powell,19-11, ,,1,11,19,-8,523.0
