Time,LA Clippers,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:35.0,N. Powell enters the game for P. George,76-46, ,,3,46,76,-30,1885.0
4:35.0,R. Westbrook enters the game for T. Mann,76-46, ,,3,46,76,-30,1885.0
4:31.0, ,76-46,Personal foul by N. Powell (drawn by J. Tatum),,3,46,76,-30,1889.0
4:23.0, ,76-46,J. Tatum misses 2-pt jump shot from 14 ft,,3,46,76,-30,1897.0
4:19.0, ,76-46,Offensive rebound by L. Kornet,,3,46,76,-30,1901.0
4:18.0, ,76-46,P. Pritchard misses 3-pt jump shot from 23 ft,,3,46,76,-30,1902.0
4:16.0,Defensive rebound by J. Harden,76-46, ,,3,46,76,-30,1904.0
4:06.0,J. Harden misses 2-pt jump shot from 12 ft,76-46, ,,3,46,76,-30,1914.0
4:05.0,Offensive rebound by M. Plumlee,76-46, ,,3,46,76,-30,1915.0
4:04.0,M. Plumlee makes 2-pt layup at rim,78-46, ,,3,46,78,-32,1916.0
3:49.0, ,78-46,J. Tatum misses 2-pt jump shot from 13 ft (block by K. Leonard),,3,46,78,-32,1931.0
3:48.0, ,78-46,Offensive rebound by J. Tatum,,3,46,78,-32,1932.0
3:46.0, ,78-46,J. Tatum misses 2-pt jump shot from 5 ft,,3,46,78,-32,1934.0
3:45.0, ,78-46,Offensive rebound by J. Tatum,,3,46,78,-32,1935.0
3:44.0, ,78-46,J. Tatum misses 2-pt layup at rim,,3,46,78,-32,1936.0
3:43.0, ,78-46,Offensive rebound by J. Tatum,,3,46,78,-32,1937.0
3:43.0, ,78-46,J. Tatum misses 2-pt layup at rim,,3,46,78,-32,1937.0
3:43.0,Defensive rebound by R. Westbrook,78-46, ,,3,46,78,-32,1937.0
3:43.0, ,78-46,Technical foul by J. Tatum,,3,46,78,-32,1937.0
3:43.0,K. Leonard makes technical free throw,79-46, ,,3,46,79,-33,1937.0
3:43.0,A. Coffey enters the game for J. Harden,79-46, ,,3,46,79,-33,1937.0
3:24.0,N. Powell misses 2-pt jump shot from 16 ft (block by J. Tatum),79-46, ,,3,46,79,-33,1956.0
3:22.0, ,79-46,Defensive rebound by J. Tatum,,3,46,79,-33,1958.0
3:18.0, ,79-48,L. Kornet makes 2-pt layup from 1 ft (assist by P. Pritchard),,3,48,79,-31,1962.0
3:03.0,K. Leonard makes 2-pt layup from 4 ft,81-48, ,,3,48,81,-33,1977.0
2:55.0, ,81-48,J. Holiday misses 2-pt jump shot from 8 ft,,3,48,81,-33,1985.0
2:53.0, ,81-48,Offensive rebound by L. Kornet,,3,48,81,-33,1987.0
2:53.0, ,81-50,L. Kornet makes 2-pt layup from 1 ft,,3,50,81,-31,1987.0
2:53.0, ,81-50,Shooting foul by M. Plumlee (drawn by L. Kornet),,3,50,81,-31,1987.0
2:53.0,D. Theis enters the game for M. Plumlee,81-50, ,,3,50,81,-31,1987.0
2:53.0, ,81-51,L. Kornet makes free throw 1 of 1,,3,51,81,-30,1987.0
2:40.0,D. Theis makes 2-pt layup from 4 ft (assist by R. Westbrook),83-51, ,,3,51,83,-32,2000.0
2:22.0, ,83-51,Personal foul by D. Theis (drawn by J. Tatum),,3,51,83,-32,2018.0
2:22.0, ,83-52,J. Tatum makes free throw 1 of 2,,3,52,83,-31,2018.0
2:22.0, ,83-52,D. White enters the game for J. Holiday,,3,52,83,-31,2018.0
2:22.0, ,83-53,J. Tatum makes free throw 2 of 2,,3,53,83,-30,2018.0
2:04.0,R. Westbrook misses 2-pt layup from 5 ft,83-53, ,,3,53,83,-30,2036.0
2:02.0,Offensive rebound by K. Leonard,83-53, ,,3,53,83,-30,2038.0
2:00.0,D. Theis makes 2-pt jump shot from 12 ft (assist by R. Westbrook),85-53, ,,3,53,85,-32,2040.0
1:43.0, ,85-53,L. Kornet misses 2-pt layup from 4 ft (block by A. Coffey),,3,53,85,-32,2057.0
1:41.0,Defensive rebound by A. Coffey,85-53, ,,3,53,85,-32,2059.0
1:37.0,A. Coffey misses 2-pt jump shot from 6 ft,85-53, ,,3,53,85,-32,2063.0
1:33.0,Offensive rebound by A. Coffey,85-53, ,,3,53,85,-32,2067.0
1:27.0,K. Leonard makes 3-pt jump shot from 28 ft,88-53, ,,3,53,88,-35,2073.0
1:12.0, ,88-53,J. Tatum misses 2-pt layup from 3 ft (block by A. Coffey),,3,53,88,-35,2088.0
1:12.0, ,88-53,Offensive rebound by Team,,3,53,88,-35,2088.0
1:12.0,P. George enters the game for K. Leonard,88-53, ,,3,53,88,-35,2088.0
1:12.0, ,88-53,J. Brown enters the game for J. Tatum,,3,53,88,-35,2088.0
1:04.0, ,88-53,D. White misses 2-pt jump shot from 9 ft,,3,53,88,-35,2096.0
1:02.0, ,88-53,Offensive rebound by Team,,3,53,88,-35,2098.0
0:59.0, ,88-53,D. White misses 3-pt jump shot from 24 ft,,3,53,88,-35,2101.0
0:57.0,Defensive rebound by P. George,88-53, ,,3,53,88,-35,2103.0
0:53.0,N. Powell misses 2-pt layup from 4 ft,88-53, ,,3,53,88,-35,2107.0
0:51.0, ,88-53,Defensive rebound by L. Kornet,,3,53,88,-35,2109.0
0:47.0, ,88-55,P. Pritchard makes 2-pt layup from 1 ft,,3,55,88,-33,2113.0
0:32.0,P. George makes 3-pt jump shot from 27 ft,91-55, ,,3,55,91,-36,2128.0
0:14.0, ,91-55,Shooting foul by P. George (drawn by D. White),,3,55,91,-36,2146.0
0:14.0, ,91-56,D. White makes free throw 1 of 2,,3,56,91,-35,2146.0
0:14.0, ,91-56,N. Queta enters the game for L. Kornet,,3,56,91,-35,2146.0
0:14.0, ,91-57,D. White makes free throw 2 of 2,,3,57,91,-34,2146.0
0:11.0,Turnover by R. Westbrook (step out of bounds),91-57, ,,3,57,91,-34,2149.0
0:11.0,T. Mann enters the game for D. Theis,91-57, ,,3,57,91,-34,2149.0
0:04.0, ,91-60,P. Pritchard makes 3-pt jump shot from 27 ft,,3,60,91,-31,2156.0
0:00.0,End of 3rd quarter,91-60,,,3,60,91,-31,2160.0
12:00.0,Start of 4th quarter,91-60,,,4,60,91,-31,2160.0
11:40.0, ,91-60,Turnover by O. Brissett (lost ball; steal by N. Powell),,4,60,91,-31,2180.0
11:36.0,A. Coffey makes 2-pt layup from 5 ft (assist by R. Westbrook),93-60, ,,4,60,93,-33,2184.0
11:26.0, ,93-60,S. Hauser misses 2-pt layup from 3 ft (block by D. Theis),,4,60,93,-33,2194.0
11:24.0,Defensive rebound by P. George,93-60, ,,4,60,93,-33,2196.0
11:23.0,Shooting foul by P. Pritchard (drawn by A. Coffey),93-60, ,,4,60,93,-33,2197.0
11:23.0,A. Coffey makes free throw 1 of 2,94-60, ,,4,60,94,-34,2197.0
11:23.0,T. Mann enters the game for P. George,94-60, ,,4,60,94,-34,2197.0
11:23.0,A. Coffey makes free throw 2 of 2,95-60, ,,4,60,95,-35,2197.0
11:12.0, ,95-63,S. Hauser makes 3-pt jump shot from 28 ft (assist by N. Queta),,4,63,95,-32,2208.0
10:53.0,N. Powell misses 2-pt layup from 4 ft,95-63, ,,4,63,95,-32,2227.0
10:53.0,Offensive rebound by R. Westbrook,95-63, ,,4,63,95,-32,2227.0
10:53.0,R. Westbrook makes 2-pt dunk at rim,97-63, ,,4,63,97,-34,2227.0
10:53.0,Technical foul by R. Westbrook,97-63, ,,4,63,97,-34,2227.0
10:53.0, ,97-64,P. Pritchard makes technical free throw,,4,64,97,-33,2227.0
10:34.0, ,97-64,O. Brissett misses 3-pt jump shot from 25 ft,,4,64,97,-33,2246.0
10:31.0,Defensive rebound by D. Theis,97-64, ,,4,64,97,-33,2249.0
10:27.0,N. Powell makes 2-pt dunk from 2 ft (assist by D. Theis),99-64, ,,4,64,99,-35,2253.0
10:27.0, ,99-64,Boston full timeout,,4,64,99,-35,2253.0
10:27.0,B. Boston enters the game for T. Mann,99-64, ,,4,64,99,-35,2253.0
10:27.0,K. Brown enters the game for N. Powell,99-64, ,,4,64,99,-35,2253.0
10:27.0,B. Hyland enters the game for R. Westbrook,99-64, ,,4,64,99,-35,2253.0
10:06.0, ,99-64,Shooting foul by D. Theis (drawn by O. Brissett),,4,64,99,-35,2274.0
10:06.0, ,99-64,O. Brissett misses free throw 1 of 2,,4,64,99,-35,2274.0
10:06.0, ,99-64,Offensive rebound by Team,,4,64,99,-35,2274.0
10:06.0, ,99-65,O. Brissett makes free throw 2 of 2,,4,65,99,-34,2274.0
9:53.0,B. Boston misses 2-pt layup from 8 ft (block by S. Hauser),99-65, ,,4,65,99,-34,2287.0
9:50.0, ,99-65,Defensive rebound by S. Hauser,,4,65,99,-34,2290.0
9:35.0, ,99-65,O. Brissett misses 2-pt layup from 2 ft,,4,65,99,-34,2305.0
9:34.0, ,99-65,Offensive rebound by N. Queta,,4,65,99,-34,2306.0
9:33.0, ,99-67,N. Queta makes 2-pt layup at rim,,4,67,99,-32,2307.0
9:19.0,B. Boston misses 2-pt layup from 4 ft (block by N. Queta),99-67, ,,4,67,99,-32,2321.0
9:16.0,Offensive rebound by D. Theis,99-67, ,,4,67,99,-32,2324.0
9:14.0,A. Coffey misses 3-pt jump shot from 24 ft,99-67, ,,4,67,99,-32,2326.0
9:12.0, ,99-67,Defensive rebound by N. Queta,,4,67,99,-32,2328.0
9:03.0, ,99-67,D. Banton misses 3-pt jump shot from 26 ft,,4,67,99,-32,2337.0
9:02.0, ,99-67,Offensive rebound by N. Queta,,4,67,99,-32,2338.0
9:02.0, ,99-67,Personal foul by B. Hyland (drawn by N. Queta),,4,67,99,-32,2338.0
8:51.0, ,99-67,O. Brissett misses 2-pt layup from 3 ft,,4,67,99,-32,2349.0
8:46.0,Defensive rebound by B. Hyland,99-67, ,,4,67,99,-32,2354.0
8:44.0,A. Coffey makes 2-pt dunk from 3 ft (assist by B. Hyland),101-67, ,,4,67,101,-34,2356.0
8:30.0, ,101-70,P. Pritchard makes 3-pt jump shot from 29 ft (assist by S. Hauser),,4,70,101,-31,2370.0
8:12.0,B. Hyland misses 3-pt jump shot from 28 ft,101-70, ,,4,70,101,-31,2388.0
8:09.0,Offensive rebound by B. Boston,101-70, ,,4,70,101,-31,2391.0
8:08.0,D. Theis misses 3-pt jump shot from 28 ft,101-70, ,,4,70,101,-31,2392.0
8:08.0,Offensive rebound by B. Boston,101-70, ,,4,70,101,-31,2392.0
7:56.0,D. Theis makes 2-pt jump shot from 15 ft (assist by B. Hyland),103-70, ,,4,70,103,-33,2404.0
7:46.0, ,103-70,Personal foul by B. Hyland (drawn by P. Pritchard),,4,70,103,-33,2414.0
7:46.0, ,103-70,S. Mykhailiuk enters the game for S. Hauser,,4,70,103,-33,2414.0
7:46.0, ,103-70,L. Stevens enters the game for P. Pritchard,,4,70,103,-33,2414.0
7:37.0, ,103-72,N. Queta makes 2-pt dunk from 2 ft (assist by S. Mykhailiuk),,4,72,103,-31,2423.0
7:10.0,K. Brown misses 3-pt jump shot from 29 ft,103-72, ,,4,72,103,-31,2450.0
7:08.0, ,103-72,Defensive rebound by N. Queta,,4,72,103,-31,2452.0
6:49.0, ,103-72,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,4,72,103,-31,2471.0
6:45.0, ,103-72,Offensive rebound by L. Stevens,,4,72,103,-31,2475.0
6:44.0, ,103-72,L. Stevens misses 2-pt layup from 3 ft,,4,72,103,-31,2476.0
6:41.0,Defensive rebound by K. Brown,103-72, ,,4,72,103,-31,2479.0
6:40.0,D. Theis makes 2-pt dunk from 4 ft (assist by K. Brown),105-72, ,,4,72,105,-33,2480.0
6:32.0,LA Clippers full timeout,105-72, ,,4,72,105,-33,2488.0
6:25.0, ,105-72,S. Mykhailiuk misses 3-pt jump shot from 25 ft,,4,72,105,-33,2495.0
6:23.0, ,105-72,Offensive rebound by L. Stevens,,4,72,105,-33,2497.0
6:22.0, ,105-74,L. Stevens makes 2-pt layup from 1 ft,,4,74,105,-31,2498.0
6:03.0,B. Hyland misses 3-pt jump shot from 26 ft,105-74, ,,4,74,105,-31,2517.0
6:00.0, ,105-74,Defensive rebound by N. Queta,,4,74,105,-31,2520.0
5:52.0, ,105-76,N. Queta makes 2-pt dunk from 2 ft (assist by D. Banton),,4,76,105,-29,2528.0
5:37.0,B. Boston misses 2-pt jump shot from 15 ft,105-76, ,,4,76,105,-29,2543.0
5:35.0, ,105-76,Defensive rebound by L. Stevens,,4,76,105,-29,2545.0
5:30.0, ,105-78,L. Stevens makes 2-pt layup from 2 ft,,4,78,105,-27,2550.0
5:07.0,K. Brown misses 3-pt jump shot from 28 ft,105-78, ,,4,78,105,-27,2573.0
5:05.0,Offensive rebound by K. Brown,105-78, ,,4,78,105,-27,2575.0
5:03.0,A. Coffey misses 3-pt jump shot from 24 ft,105-78, ,,4,78,105,-27,2577.0
4:59.0,Offensive rebound by K. Brown,105-78, ,,4,78,105,-27,2581.0
4:57.0,B. Hyland misses 3-pt jump shot from 28 ft,105-78, ,,4,78,105,-27,2583.0
4:55.0, ,105-78,Defensive rebound by O. Brissett,,4,78,105,-27,2585.0
4:51.0, ,105-80,O. Brissett makes 2-pt dunk from 2 ft,,4,80,105,-25,2589.0
4:28.0,B. Hyland misses 3-pt jump shot from 28 ft,105-80, ,,4,80,105,-25,2612.0
4:25.0, ,105-80,Defensive rebound by O. Brissett,,4,80,105,-25,2615.0
4:22.0, ,105-83,S. Mykhailiuk makes 3-pt jump shot from 27 ft (assist by O. Brissett),,4,83,105,-22,2618.0
3:52.0,D. Theis makes 3-pt jump shot from 24 ft (assist by B. Hyland),108-83, ,,4,83,108,-25,2648.0
3:37.0, ,108-85,N. Queta makes 2-pt layup from 1 ft (assist by L. Stevens),,4,85,108,-23,2663.0
3:08.0,B. Hyland misses 3-pt jump shot from 24 ft,108-85, ,,4,85,108,-23,2692.0
3:07.0, ,108-85,Defensive rebound by Team,,4,85,108,-23,2693.0
3:07.0,Loose ball foul by D. Theis (drawn by O. Brissett),108-85, ,,4,85,108,-23,2693.0
3:07.0,Violation by Team (delay of game),108-85, ,,4,85,108,-23,2693.0
2:56.0, ,108-87,D. Banton makes 2-pt layup from 2 ft,,4,87,108,-21,2704.0
2:38.0,B. Boston misses 2-pt layup from 3 ft,108-87, ,,4,87,108,-21,2722.0
2:35.0, ,108-87,Defensive rebound by L. Stevens,,4,87,108,-21,2725.0
2:33.0, ,108-87,Turnover by L. Stevens (lost ball; steal by B. Hyland),,4,87,108,-21,2727.0
2:29.0,B. Hyland makes 2-pt layup from 2 ft,110-87, ,,4,87,110,-23,2731.0
2:21.0, ,110-87,D. Banton misses 2-pt jump shot from 3 ft,,4,87,110,-23,2739.0
2:21.0,Defensive rebound by D. Theis,110-87, ,,4,87,110,-23,2739.0
2:00.0,Turnover by B. Hyland (lost ball; steal by S. Mykhailiuk),110-87, ,,4,87,110,-23,2760.0
1:53.0, ,110-87,Turnover by D. Banton (bad pass; steal by B. Hyland),,4,87,110,-23,2767.0
1:39.0,Offensive foul by K. Brown (drawn by S. Mykhailiuk),110-87, ,,4,87,110,-23,2781.0
1:39.0,Turnover by K. Brown (offensive foul),110-87, ,,4,87,110,-23,2781.0
1:33.0, ,110-87,S. Mykhailiuk misses 3-pt jump shot from 26 ft (block by B. Boston),,4,87,110,-23,2787.0
1:29.0, ,110-87,Offensive rebound by O. Brissett,,4,87,110,-23,2791.0
1:29.0, ,110-90,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by O. Brissett),,4,90,110,-20,2791.0
1:16.0,D. Theis makes 2-pt layup from 4 ft (assist by B. Hyland),112-90, ,,4,90,112,-22,2804.0
1:06.0, ,112-92,O. Brissett makes 2-pt dunk from 1 ft (assist by D. Banton),,4,92,112,-20,2814.0
0:43.0,B. Boston makes 3-pt jump shot from 23 ft (assist by D. Theis),115-92, ,,4,92,115,-23,2837.0
0:35.0, ,115-92,D. Banton misses 3-pt jump shot from 26 ft,,4,92,115,-23,2845.0
0:32.0, ,115-92,Offensive rebound by L. Stevens,,4,92,115,-23,2848.0
0:32.0, ,115-92,Shooting foul by B. Boston (drawn by L. Stevens),,4,92,115,-23,2848.0
0:32.0, ,115-92,L. Stevens misses free throw 1 of 2,,4,92,115,-23,2848.0
0:32.0, ,115-92,Offensive rebound by Team,,4,92,115,-23,2848.0
0:32.0, ,115-93,L. Stevens makes free throw 2 of 2,,4,93,115,-22,2848.0
0:10.0,B. Hyland misses 2-pt jump shot from 13 ft (block by N. Queta),115-93, ,,4,93,115,-22,2870.0
0:07.0, ,115-93,Defensive rebound by S. Mykhailiuk,,4,93,115,-22,2873.0
0:05.0, ,115-95,L. Stevens makes 2-pt layup from 2 ft (assist by D. Banton),,4,95,115,-20,2875.0
0:05.0, ,115-95,Shooting foul by K. Brown (drawn by L. Stevens),,4,95,115,-20,2875.0
0:05.0, ,115-96,L. Stevens makes free throw 1 of 1,,4,96,115,-19,2875.0
0:00.0,B. Hyland misses 3-pt jump shot from 42 ft,115-96, ,,4,96,115,-19,2880.0
0:00.0,Offensive rebound by Team,115-96, ,,4,96,115,-19,2880.0
0:00.0,End of 4th quarter,115-96,,,4,96,115,-19,2880.0
