Time,Boston,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:01.0,Defensive rebound by J. Brown,102-78, ,,3,102,78,24,1859.0
4:49.0,J. Brown misses 3-pt jump shot from 25 ft,102-78, ,,3,102,78,24,1871.0
4:44.0, ,102-78,Defensive rebound by T. Lyles,,3,102,78,24,1876.0
4:40.0, ,102-78,K. Ellis misses 3-pt jump shot from 25 ft,,3,102,78,24,1880.0
4:39.0,Defensive rebound by Team,102-78, ,,3,102,78,24,1881.0
4:39.0,Boston full timeout,102-78, ,,3,102,78,24,1881.0
4:39.0,Instant Replay (Challenge: Ruling Stands),102-78, ,,3,102,78,24,1881.0
4:26.0,Personal foul by D. Sabonis (drawn by K. Porziņģis),102-78, ,,3,102,78,24,1894.0
4:26.0,K. Porziņģis makes free throw 1 of 2,103-78, ,,3,103,78,25,1894.0
4:26.0,K. Porziņģis makes free throw 2 of 2,104-78, ,,3,104,78,26,1894.0
4:10.0, ,104-78,M. Monk misses 2-pt jump shot from 7 ft,,3,104,78,26,1910.0
4:08.0,Defensive rebound by J. Brown,104-78, ,,3,104,78,26,1912.0
4:01.0,J. Brown makes 2-pt dunk from 2 ft (assist by D. White),106-78, ,,3,106,78,28,1919.0
3:42.0, ,106-78,Shooting foul by K. Porziņģis (drawn by D. Sabonis),,3,106,78,28,1938.0
3:42.0, ,106-78,D. Sabonis misses free throw 1 of 2,,3,106,78,28,1938.0
3:42.0, ,106-78,Offensive rebound by Team,,3,106,78,28,1938.0
3:42.0, ,106-78,D. Sabonis misses free throw 2 of 2,,3,106,78,28,1938.0
3:38.0, ,106-78,Offensive rebound by D. Sabonis,,3,106,78,28,1942.0
3:35.0, ,106-80,K. Murray makes 2-pt dunk from 1 ft (assist by D. Sabonis),,3,106,80,26,1945.0
3:10.0,K. Porziņģis misses 2-pt jump shot from 18 ft,106-80, ,,3,106,80,26,1970.0
3:08.0, ,106-80,Defensive rebound by K. Ellis,,3,106,80,26,1972.0
3:06.0, ,106-82,M. Monk makes 2-pt dunk from 1 ft (assist by K. Ellis),,3,106,82,24,1974.0
2:51.0,Personal foul by K. Murray (drawn by J. Brown),106-82, ,,3,106,82,24,1989.0
2:51.0,J. Brown makes free throw 1 of 2,107-82, ,,3,107,82,25,1989.0
2:51.0, ,107-82,H. Barnes enters the game for K. Murray,,3,107,82,25,1989.0
2:51.0, ,107-82,J. McGee enters the game for D. Sabonis,,3,107,82,25,1989.0
2:51.0,J. Brown makes free throw 2 of 2,108-82, ,,3,108,82,26,1989.0
2:35.0, ,108-82,Turnover by M. Monk (bad pass; steal by P. Pritchard),,3,108,82,26,2005.0
2:30.0,J. Brown misses 2-pt layup from 3 ft (block by K. Ellis),108-82, ,,3,108,82,26,2010.0
2:30.0,Offensive rebound by Team,108-82, ,,3,108,82,26,2010.0
2:21.0,P. Pritchard misses 3-pt jump shot from 26 ft,108-82, ,,3,108,82,26,2019.0
2:17.0, ,108-82,Defensive rebound by T. Lyles,,3,108,82,26,2023.0
2:08.0, ,108-85,H. Barnes makes 3-pt jump shot from 26 ft (assist by K. Ellis),,3,108,85,23,2032.0
1:50.0,J. Brown misses 2-pt dunk from 6 ft (block by J. McGee),108-85, ,,3,108,85,23,2050.0
1:47.0,Offensive rebound by D. White,108-85, ,,3,108,85,23,2053.0
1:46.0,D. White makes 3-pt jump shot from 23 ft,111-85, ,,3,111,85,26,2054.0
1:36.0, ,111-87,J. McGee makes 2-pt layup from 6 ft (assist by K. Ellis),,3,111,87,24,2064.0
1:24.0,J. Brown makes 2-pt jump shot from 12 ft,113-87, ,,3,113,87,26,2076.0
1:14.0, ,113-90,T. Lyles makes 3-pt jump shot from 25 ft (assist by M. Monk),,3,113,90,23,2086.0
0:53.0,D. White misses 3-pt jump shot from 26 ft,113-90, ,,3,113,90,23,2107.0
0:53.0,Offensive rebound by K. Porziņģis,113-90, ,,3,113,90,23,2107.0
0:38.0,P. Pritchard misses 2-pt jump shot from 17 ft,113-90, ,,3,113,90,23,2122.0
0:34.0, ,113-90,Defensive rebound by K. Ellis,,3,113,90,23,2126.0
0:22.0, ,113-90,M. Monk misses 2-pt layup from 3 ft,,3,113,90,23,2138.0
0:19.0,Defensive rebound by P. Pritchard,113-90, ,,3,113,90,23,2141.0
0:02.0,D. White misses 3-pt jump shot from 26 ft,113-90, ,,3,113,90,23,2158.0
0:02.0, ,113-90,Defensive rebound by J. McGee,,3,113,90,23,2158.0
0:00.0,End of 3rd quarter,113-90,,,3,113,90,23,2160.0
12:00.0,Start of 4th quarter,113-90,,,4,113,90,23,2160.0
11:46.0,J. Holiday makes 3-pt jump shot from 25 ft,116-90, ,,4,116,90,26,2174.0
11:34.0, ,116-90,Shooting foul by N. Queta (drawn by M. Monk),,4,116,90,26,2186.0
11:34.0, ,116-91,M. Monk makes free throw 1 of 2,,4,116,91,25,2186.0
11:34.0, ,116-92,M. Monk makes free throw 2 of 2,,4,116,92,24,2186.0
11:34.0, ,116-92,Instant Replay,,4,116,92,24,2186.0
11:15.0,J. Holiday misses 3-pt jump shot from 26 ft,116-92, ,,4,116,92,24,2205.0
11:11.0, ,116-92,Defensive rebound by M. Monk,,4,116,92,24,2209.0
11:04.0, ,116-95,K. Ellis makes 3-pt jump shot from 25 ft (assist by T. Lyles),,4,116,95,21,2216.0
10:45.0,S. Hauser makes 3-pt jump shot from 25 ft (assist by J. Holiday),119-95, ,,4,119,95,24,2235.0
10:27.0, ,119-95,T. Lyles misses 3-pt jump shot from 25 ft,,4,119,95,24,2253.0
10:24.0, ,119-95,Offensive rebound by H. Barnes,,4,119,95,24,2256.0
10:15.0, ,119-98,H. Barnes makes 3-pt jump shot from 26 ft (assist by J. McGee),,4,119,98,21,2265.0
9:57.0,J. Holiday misses 2-pt layup from 4 ft (block by J. McGee),119-98, ,,4,119,98,21,2283.0
9:52.0,Offensive rebound by N. Queta,119-98, ,,4,119,98,21,2288.0
9:50.0,P. Pritchard makes 3-pt jump shot from 26 ft (assist by S. Hauser),122-98, ,,4,122,98,24,2290.0
9:35.0, ,122-98,J. McGee misses 2-pt jump shot from 8 ft,,4,122,98,24,2305.0
9:35.0, ,122-98,Offensive rebound by T. Lyles,,4,122,98,24,2305.0
9:30.0, ,122-100,T. Lyles makes 2-pt dunk at rim,,4,122,100,22,2310.0
9:16.0,N. Queta misses 2-pt hook shot from 5 ft,122-100, ,,4,122,100,22,2324.0
9:12.0, ,122-100,Defensive rebound by J. McGee,,4,122,100,22,2328.0
9:09.0, ,122-100,Turnover by J. McGee (bad pass; steal by N. Queta),,4,122,100,22,2331.0
9:05.0,P. Pritchard makes 3-pt jump shot from 23 ft (assist by J. Holiday),125-100, ,,4,125,100,25,2335.0
8:51.0, ,125-102,J. McGee makes 2-pt dunk at rim (assist by M. Monk),,4,125,102,23,2349.0
8:29.0,J. Holiday makes 2-pt layup from 4 ft,127-102, ,,4,127,102,25,2371.0
8:26.0, ,127-102,Sacramento full timeout,,4,127,102,25,2374.0
8:26.0, ,127-102,D. Fox enters the game for K. Ellis,,4,127,102,25,2374.0
8:17.0, ,127-102,Shooting foul by S. Hauser (drawn by D. Fox),,4,127,102,25,2383.0
8:17.0, ,127-103,D. Fox makes free throw 1 of 2,,4,127,103,24,2383.0
8:17.0, ,127-104,D. Fox makes free throw 2 of 2,,4,127,104,23,2383.0
7:56.0,Shooting foul by D. Fox (drawn by J. Holiday),127-104, ,,4,127,104,23,2404.0
7:56.0,J. Holiday makes free throw 1 of 2,128-104, ,,4,128,104,24,2404.0
7:56.0,J. Holiday makes free throw 2 of 2,129-104, ,,4,129,104,25,2404.0
7:49.0, ,129-104,Turnover by D. Fox (bad pass; steal by J. Holiday),,4,129,104,25,2411.0
7:45.0,S. Mykhailiuk makes 2-pt dunk from 1 ft (assist by J. Holiday),131-104, ,,4,131,104,27,2415.0
7:30.0, ,131-104,Shooting foul by S. Mykhailiuk (drawn by H. Barnes),,4,131,104,27,2430.0
7:30.0, ,131-105,H. Barnes makes free throw 1 of 2,,4,131,105,26,2430.0
7:30.0, ,131-105,H. Barnes misses free throw 2 of 2,,4,131,105,26,2430.0
7:28.0,Defensive rebound by S. Hauser,131-105, ,,4,131,105,26,2432.0
7:16.0,Shooting foul by M. Monk (drawn by P. Pritchard),131-105, ,,4,131,105,26,2444.0
7:16.0,P. Pritchard misses free throw 1 of 3,131-105, ,,4,131,105,26,2444.0
7:16.0,Offensive rebound by Team,131-105, ,,4,131,105,26,2444.0
7:16.0,P. Pritchard makes free throw 2 of 3,132-105, ,,4,132,105,27,2444.0
7:16.0, ,132-105,K. Ellis enters the game for H. Barnes,,4,132,105,27,2444.0
7:16.0, ,132-105,A. Vezenkov enters the game for D. Fox,,4,132,105,27,2444.0
7:16.0,P. Pritchard makes free throw 3 of 3,133-105, ,,4,133,105,28,2444.0
6:51.0, ,133-108,K. Ellis makes 3-pt jump shot from 23 ft (assist by T. Lyles),,4,133,108,25,2469.0
6:29.0,S. Hauser makes 2-pt jump shot from 14 ft (assist by P. Pritchard),135-108, ,,4,135,108,27,2491.0
6:11.0, ,135-108,Shooting foul by N. Queta (drawn by M. Monk),,4,135,108,27,2509.0
6:11.0, ,135-109,M. Monk makes free throw 1 of 2,,4,135,109,26,2509.0
6:11.0, ,135-109,K. Edwards enters the game for T. Lyles,,4,135,109,26,2509.0
6:11.0, ,135-110,M. Monk makes free throw 2 of 2,,4,135,110,25,2509.0
5:59.0,S. Hauser misses 3-pt jump shot from 26 ft,135-110, ,,4,135,110,25,2521.0
5:55.0, ,135-110,Defensive rebound by K. Edwards,,4,135,110,25,2525.0
5:48.0, ,135-112,K. Edwards makes 2-pt layup from 1 ft (assist by M. Monk),,4,135,112,23,2532.0
5:22.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,135-112, ,,4,135,112,23,2558.0
5:18.0, ,135-112,Defensive rebound by J. McGee,,4,135,112,23,2562.0
5:14.0, ,135-114,M. Monk makes 2-pt dunk from 1 ft (assist by K. Ellis),,4,135,114,21,2566.0
4:48.0,N. Queta misses 2-pt layup from 3 ft (block by J. McGee),135-114, ,,4,135,114,21,2592.0
4:44.0,Offensive rebound by N. Queta,135-114, ,,4,135,114,21,2596.0
4:44.0,N. Queta misses 2-pt layup from 2 ft (block by J. McGee),135-114, ,,4,135,114,21,2596.0
4:42.0, ,135-114,Defensive rebound by A. Vezenkov,,4,135,114,21,2598.0
4:42.0,Boston full timeout,135-114, ,,4,135,114,21,2598.0
4:42.0,Instant Replay (Challenge: Stands),135-114, ,,4,135,114,21,2598.0
4:42.0, ,135-114,C. Duarte enters the game for K. Ellis,,4,135,114,21,2598.0
4:42.0, ,135-114,D. Mitchell enters the game for M. Monk,,4,135,114,21,2598.0
4:34.0, ,135-114,D. Mitchell misses 2-pt jump shot from 12 ft,,4,135,114,21,2606.0
4:31.0,Defensive rebound by J. Holiday,135-114, ,,4,135,114,21,2609.0
4:11.0,P. Pritchard misses 3-pt jump shot from 26 ft,135-114, ,,4,135,114,21,2629.0
4:09.0, ,135-114,Defensive rebound by Team,,4,135,114,21,2631.0
4:04.0, ,135-114,Shooting foul by N. Queta (drawn by J. McGee),,4,135,114,21,2636.0
4:04.0, ,135-114,J. McGee misses free throw 1 of 2,,4,135,114,21,2636.0
4:04.0, ,135-114,Offensive rebound by Team,,4,135,114,21,2636.0
4:04.0,O. Brissett enters the game for J. Holiday,135-114, ,,4,135,114,21,2636.0
4:04.0, ,135-114,J. McGee misses free throw 2 of 2,,4,135,114,21,2636.0
4:01.0,Defensive rebound by N. Queta,135-114, ,,4,135,114,21,2639.0
3:43.0,S. Hauser makes 2-pt jump shot from 4 ft (assist by P. Pritchard),137-114, ,,4,137,114,23,2657.0
3:34.0, ,137-114,A. Vezenkov misses 2-pt jump shot from 21 ft,,4,137,114,23,2666.0
3:31.0,Defensive rebound by O. Brissett,137-114, ,,4,137,114,23,2669.0
3:18.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft,137-114, ,,4,137,114,23,2682.0
3:13.0, ,137-114,Defensive rebound by K. Edwards,,4,137,114,23,2687.0
3:11.0, ,137-114,K. Edwards misses 2-pt jump shot from 7 ft,,4,137,114,23,2689.0
3:08.0, ,137-114,Offensive rebound by A. Vezenkov,,4,137,114,23,2692.0
3:00.0, ,137-114,Personal foul by S. Hauser (drawn by D. Mitchell),,4,137,114,23,2700.0
3:00.0, ,137-114,D. Mitchell misses free throw 1 of 2,,4,137,114,23,2700.0
3:00.0, ,137-114,Offensive rebound by Team,,4,137,114,23,2700.0
3:00.0, ,137-114,J. Toscano-Anderson enters the game for J. McGee,,4,137,114,23,2700.0
3:00.0, ,137-114,D. Mitchell misses free throw 2 of 2,,4,137,114,23,2700.0
2:57.0,Defensive rebound by N. Queta,137-114, ,,4,137,114,23,2703.0
2:45.0,N. Queta makes 2-pt dunk from 1 ft (assist by S. Mykhailiuk),139-114, ,,4,139,114,25,2715.0
2:25.0, ,139-114,J. Toscano-Anderson misses 3-pt jump shot from 23 ft,,4,139,114,25,2735.0
2:22.0,Defensive rebound by O. Brissett,139-114, ,,4,139,114,25,2738.0
2:20.0, ,139-114,Violation by Team (kicked ball),,4,139,114,25,2740.0
2:20.0,L. Stevens enters the game for S. Hauser,139-114, ,,4,139,114,25,2740.0
2:10.0,L. Stevens makes 2-pt layup from 3 ft (assist by S. Mykhailiuk),141-114, ,,4,141,114,27,2750.0
1:55.0, ,141-114,C. Duarte misses 2-pt jump shot from 17 ft,,4,141,114,27,2765.0
1:52.0,Defensive rebound by P. Pritchard,141-114, ,,4,141,114,27,2768.0
1:34.0,O. Brissett makes 3-pt jump shot from 27 ft (assist by P. Pritchard),144-114, ,,4,144,114,30,2786.0
1:23.0, ,144-114,C. Duarte misses 3-pt jump shot from 25 ft,,4,144,114,30,2797.0
1:22.0, ,144-114,Offensive rebound by Team,,4,144,114,30,2798.0
1:12.0, ,144-114,A. Vezenkov misses 3-pt jump shot from 25 ft,,4,144,114,30,2808.0
1:08.0,Defensive rebound by N. Queta,144-114, ,,4,144,114,30,2812.0
0:54.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft,144-114, ,,4,144,114,30,2826.0
0:51.0, ,144-114,Defensive rebound by C. Duarte,,4,144,114,30,2829.0
0:46.0, ,144-114,K. Edwards misses 3-pt jump shot from 23 ft,,4,144,114,30,2834.0
0:42.0, ,144-114,Offensive rebound by A. Vezenkov,,4,144,114,30,2838.0
0:41.0, ,144-116,K. Edwards makes 2-pt layup from 1 ft (assist by J. Toscano-Anderson),,4,144,116,28,2839.0
0:21.0,Offensive foul by N. Queta (drawn by D. Mitchell),144-116, ,,4,144,116,28,2859.0
0:21.0,Turnover by N. Queta (offensive foul),144-116, ,,4,144,116,28,2859.0
0:13.0, ,144-119,K. Edwards makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,4,144,119,25,2867.0
0:00.0,End of 4th quarter,144-119,,,4,144,119,25,2880.0
