Time,Boston,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:42.0,Boston full timeout,8-16, ,,1,8,16,-8,198.0
8:28.0,J. Holiday makes 2-pt layup from 3 ft,10-16, ,,1,10,16,-6,212.0
8:28.0,Shooting foul by H. Barnes (drawn by J. Holiday),10-16, ,,1,10,16,-6,212.0
8:28.0,J. Holiday makes free throw 1 of 1,11-16, ,,1,11,16,-5,212.0
8:12.0, ,11-16,K. Murray misses 3-pt jump shot from 24 ft,,1,11,16,-5,228.0
8:09.0,Defensive rebound by K. Porziņģis,11-16, ,,1,11,16,-5,231.0
8:02.0,K. Porziņģis misses 2-pt jump shot from 8 ft,11-16, ,,1,11,16,-5,238.0
8:00.0,Offensive rebound by K. Porziņģis,11-16, ,,1,11,16,-5,240.0
8:00.0,Turnover by K. Porziņģis (dbl dribble),11-16, ,,1,11,16,-5,240.0
7:44.0, ,11-18,D. Sabonis makes 2-pt layup from 4 ft,,1,11,18,-7,256.0
7:32.0,J. Brown misses 2-pt jump shot from 9 ft (block by D. Sabonis),11-18, ,,1,11,18,-7,268.0
7:29.0, ,11-18,Defensive rebound by D. Sabonis,,1,11,18,-7,271.0
7:20.0, ,11-20,K. Murray makes 2-pt layup from 4 ft (assist by D. Sabonis),,1,11,20,-9,280.0
6:59.0,J. Brown misses 3-pt jump shot from 24 ft,11-20, ,,1,11,20,-9,301.0
6:57.0, ,11-20,Defensive rebound by D. Sabonis,,1,11,20,-9,303.0
6:51.0, ,11-23,D. Fox makes 3-pt jump shot from 29 ft,,1,11,23,-12,309.0
6:38.0,Turnover by J. Holiday (lost ball; steal by D. Fox),11-23, ,,1,11,23,-12,322.0
6:33.0, ,11-23,D. Fox misses 2-pt layup from 5 ft (block by K. Porziņģis),,1,11,23,-12,327.0
6:29.0,Defensive rebound by J. Holiday,11-23, ,,1,11,23,-12,331.0
6:27.0,J. Brown makes 2-pt dunk from 1 ft (assist by D. White),13-23, ,,1,13,23,-10,333.0
6:14.0, ,13-23,D. Fox misses 3-pt jump shot from 26 ft,,1,13,23,-10,346.0
6:11.0, ,13-23,Offensive rebound by K. Murray,,1,13,23,-10,349.0
6:02.0, ,13-23,D. Sabonis misses 3-pt jump shot from 24 ft,,1,13,23,-10,358.0
5:57.0,Defensive rebound by J. Holiday,13-23, ,,1,13,23,-10,363.0
5:51.0,D. White makes 3-pt jump shot from 27 ft (assist by J. Holiday),16-23, ,,1,16,23,-7,369.0
5:39.0, ,16-23,K. Huerter misses 3-pt jump shot from 26 ft,,1,16,23,-7,381.0
5:35.0,Defensive rebound by S. Hauser,16-23, ,,1,16,23,-7,385.0
5:28.0,J. Brown makes 2-pt dunk from 1 ft,18-23, ,,1,18,23,-5,392.0
5:26.0, ,18-23,Sacramento full timeout,,1,18,23,-5,394.0
5:26.0,O. Brissett enters the game for S. Hauser,18-23, ,,1,18,23,-5,394.0
5:26.0,P. Pritchard enters the game for J. Holiday,18-23, ,,1,18,23,-5,394.0
5:26.0, ,18-23,K. Ellis enters the game for H. Barnes,,1,18,23,-5,394.0
5:26.0, ,18-23,T. Lyles enters the game for D. Fox,,1,18,23,-5,394.0
5:26.0, ,18-23,M. Monk enters the game for K. Huerter,,1,18,23,-5,394.0
5:14.0, ,18-23,K. Murray misses 3-pt jump shot from 25 ft,,1,18,23,-5,406.0
5:08.0,Defensive rebound by J. Brown,18-23, ,,1,18,23,-5,412.0
5:04.0,J. Brown misses 2-pt jump shot from 15 ft,18-23, ,,1,18,23,-5,416.0
5:02.0,Offensive rebound by O. Brissett,18-23, ,,1,18,23,-5,418.0
4:59.0,P. Pritchard makes 3-pt jump shot from 29 ft (assist by O. Brissett),21-23, ,,1,21,23,-2,421.0
4:43.0, ,21-23,M. Monk misses 3-pt jump shot from 27 ft,,1,21,23,-2,437.0
4:38.0,Defensive rebound by D. White,21-23, ,,1,21,23,-2,442.0
4:29.0,P. Pritchard misses 3-pt jump shot from 27 ft,21-23, ,,1,21,23,-2,451.0
4:25.0,Offensive rebound by O. Brissett,21-23, ,,1,21,23,-2,455.0
4:23.0,D. White makes 3-pt jump shot from 23 ft (assist by O. Brissett),24-23, ,Lead change,1,24,23,1,457.0
4:22.0, ,24-23,Sacramento full timeout,,1,24,23,1,458.0
4:06.0, ,24-23,K. Ellis misses 3-pt jump shot from 26 ft,,1,24,23,1,474.0
4:03.0, ,24-23,Offensive rebound by D. Sabonis,,1,24,23,1,477.0
3:57.0, ,24-26,K. Ellis makes 3-pt jump shot from 25 ft (assist by M. Monk),Lead change,1,24,26,-2,483.0
3:42.0,P. Pritchard makes 3-pt jump shot from 27 ft (assist by J. Brown),27-26, ,Lead change,1,27,26,1,498.0
3:33.0, ,27-29,K. Ellis makes 3-pt jump shot from 26 ft (assist by D. Sabonis),Lead change,1,27,29,-2,507.0
3:15.0,Turnover by K. Porziņģis (lost ball; steal by K. Ellis),27-29, ,,1,27,29,-2,525.0
3:12.0, ,27-29,Personal foul by P. Pritchard (drawn by K. Ellis),,1,27,29,-2,528.0
3:01.0, ,27-29,D. Sabonis misses 2-pt layup from 6 ft (block by D. White),,1,27,29,-2,539.0
3:00.0,Defensive rebound by P. Pritchard,27-29, ,,1,27,29,-2,540.0
3:00.0,Turnover by P. Pritchard (traveling),27-29, ,,1,27,29,-2,540.0
2:52.0, ,27-29,T. Lyles misses 3-pt jump shot from 25 ft,,1,27,29,-2,548.0
2:48.0, ,27-29,Offensive rebound by D. Sabonis,,1,27,29,-2,552.0
2:46.0, ,27-29,D. Sabonis misses 2-pt layup from 4 ft,,1,27,29,-2,554.0
2:44.0,Defensive rebound by O. Brissett,27-29, ,,1,27,29,-2,556.0
2:34.0,D. White makes 2-pt layup from 3 ft (assist by J. Brown),29-29, ,Tie,1,29,29,0,566.0
2:34.0,Shooting foul by K. Ellis (drawn by D. White),29-29, ,,1,29,29,0,566.0
2:34.0, ,29-29,Technical foul by D. Sabonis,,1,29,29,0,566.0
2:34.0,K. Porziņģis makes technical free throw,30-29, ,Lead change,1,30,29,1,566.0
2:34.0,J. Holiday enters the game for J. Brown,30-29, ,,1,30,29,1,566.0
2:34.0,N. Queta enters the game for K. Porziņģis,30-29, ,,1,30,29,1,566.0
2:34.0, ,30-29,D. Fox enters the game for D. Sabonis,,1,30,29,1,566.0
2:34.0,D. White misses free throw 1 of 1,30-29, ,,1,30,29,1,566.0
