Time,Boston,Score,Toronto,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. S. Barnes (D. White gains possession),0-0,,,1,0,0,0,0.0
11:42.0,J. Holiday misses 2-pt jump shot from 17 ft,0-0, ,,1,0,0,0,18.0
11:40.0, ,0-0,Defensive rebound by J. Porter,,1,0,0,0,20.0
11:35.0, ,0-0,R. Barrett misses 3-pt jump shot from 26 ft,,1,0,0,0,25.0
11:32.0, ,0-0,Offensive rebound by S. Barnes,,1,0,0,0,28.0
11:23.0, ,0-0,I. Quickley misses 2-pt jump shot from 6 ft (block by J. Holiday),,1,0,0,0,37.0
11:23.0, ,0-0,Offensive rebound by Team,,1,0,0,0,37.0
11:18.0, ,0-0,Turnover by S. Barnes (lost ball; steal by J. Holiday),,1,0,0,0,42.0
11:10.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Holiday),3-0, ,,1,3,0,3,50.0
10:47.0, ,3-0,S. Barnes misses 2-pt hook shot from 6 ft,,1,3,0,3,73.0
10:44.0,Defensive rebound by J. Tatum,3-0, ,,1,3,0,3,76.0
10:36.0,J. Tatum misses 2-pt jump shot from 16 ft,3-0, ,,1,3,0,3,84.0
10:33.0, ,3-0,Defensive rebound by I. Quickley,,1,3,0,3,87.0
10:25.0, ,3-0,P. Siakam misses 2-pt hook shot from 6 ft,,1,3,0,3,95.0
10:22.0, ,3-0,Offensive rebound by J. Porter,,1,3,0,3,98.0
10:12.0, ,3-0,J. Porter misses 2-pt layup from 2 ft (block by K. Porziņģis),,1,3,0,3,108.0
10:12.0, ,3-0,Offensive rebound by Team,,1,3,0,3,108.0
10:08.0, ,3-0,J. Porter misses 2-pt layup from 4 ft (block by J. Holiday),,1,3,0,3,112.0
10:05.0,Defensive rebound by J. Tatum,3-0, ,,1,3,0,3,115.0
10:03.0,Turnover by A. Horford (out of bounds lost ball),3-0, ,,1,3,0,3,117.0
9:51.0, ,3-0,I. Quickley misses 2-pt layup at rim,,1,3,0,3,129.0
9:49.0,Defensive rebound by J. Tatum,3-0, ,,1,3,0,3,131.0
9:44.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Tatum),6-0, ,,1,6,0,6,136.0
9:31.0, ,6-2,R. Barrett makes 2-pt jump shot from 16 ft,,1,6,2,4,149.0
9:14.0,Turnover by K. Porziņģis (bad pass),6-2, ,,1,6,2,4,166.0
8:59.0, ,6-2,P. Siakam misses 2-pt jump shot from 15 ft,,1,6,2,4,181.0
8:56.0,Defensive rebound by J. Holiday,6-2, ,,1,6,2,4,184.0
8:47.0,J. Holiday misses 2-pt jump shot from 7 ft,6-2, ,,1,6,2,4,193.0
8:46.0, ,6-2,Defensive rebound by Team,,1,6,2,4,194.0
8:32.0, ,6-4,I. Quickley makes 2-pt layup from 1 ft (assist by P. Siakam),,1,6,4,2,208.0
8:14.0,Turnover by K. Porziņģis (bad pass; steal by I. Quickley),6-4, ,,1,6,4,2,226.0
8:11.0, ,6-6,I. Quickley makes 2-pt layup at rim,Tie,1,6,6,0,229.0
7:51.0,J. Tatum makes 2-pt layup from 1 ft,8-6, ,,1,8,6,2,249.0
7:38.0, ,8-6,J. Porter misses 3-pt jump shot from 25 ft,,1,8,6,2,262.0
7:36.0,Defensive rebound by J. Holiday,8-6, ,,1,8,6,2,264.0
7:29.0,J. Holiday misses 3-pt jump shot from 26 ft,8-6, ,,1,8,6,2,271.0
7:26.0, ,8-6,Defensive rebound by R. Barrett,,1,8,6,2,274.0
7:23.0, ,8-8,P. Siakam makes 2-pt layup from 5 ft (assist by R. Barrett),Tie,1,8,8,0,277.0
7:23.0, ,8-8,Shooting foul by J. Holiday (drawn by P. Siakam),,1,8,8,0,277.0
7:23.0, ,8-9,P. Siakam makes free throw 1 of 1,Lead change,1,8,9,-1,277.0
7:13.0,Shooting foul by I. Quickley (drawn by J. Holiday),8-9, ,,1,8,9,-1,287.0
7:13.0,J. Holiday makes free throw 1 of 2,9-9, ,Tie,1,9,9,0,287.0
7:13.0,J. Holiday makes free throw 2 of 2,10-9, ,Lead change,1,10,9,1,287.0
6:53.0, ,10-11,R. Barrett makes 2-pt layup from 1 ft (assist by J. Porter),Lead change,1,10,11,-1,307.0
6:32.0,J. Tatum makes 2-pt jump shot from 19 ft,12-11, ,Lead change,1,12,11,1,328.0
6:22.0, ,12-11,P. Siakam misses 2-pt jump shot from 8 ft,,1,12,11,1,338.0
6:19.0,Defensive rebound by A. Horford,12-11, ,,1,12,11,1,341.0
6:14.0,D. White makes 3-pt jump shot from 24 ft (assist by J. Holiday),15-11, ,,1,15,11,4,346.0
6:12.0, ,15-11,Toronto full timeout,,1,15,11,4,348.0
6:12.0, ,15-11,D. Schröder enters the game for S. Barnes,,1,15,11,4,348.0
5:48.0, ,15-11,P. Siakam misses 3-pt jump shot from 24 ft,,1,15,11,4,372.0
5:46.0,Defensive rebound by J. Tatum,15-11, ,,1,15,11,4,374.0
5:35.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),18-11, ,,1,18,11,7,385.0
5:17.0, ,18-13,R. Barrett makes 2-pt layup from 6 ft (assist by J. Porter),,1,18,13,5,403.0
5:01.0,A. Horford makes 2-pt jump shot from 8 ft (assist by D. White),20-13, ,,1,20,13,7,419.0
4:52.0, ,20-13,I. Quickley misses 3-pt jump shot from 25 ft,,1,20,13,7,428.0
4:50.0,Defensive rebound by J. Tatum,20-13, ,,1,20,13,7,430.0
4:44.0,K. Porziņģis misses 3-pt jump shot from 25 ft,20-13, ,,1,20,13,7,436.0
4:41.0, ,20-13,Defensive rebound by J. Porter,,1,20,13,7,439.0
4:30.0, ,20-15,R. Barrett makes 2-pt jump shot from 7 ft (assist by D. Schröder),,1,20,15,5,450.0
