Time,Boston,Score,Oklahoma City,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:30.0,J. Tatum makes 2-pt dunk from 2 ft,106-114, ,,4,106,114,-8,2670.0
3:10.0, ,106-114,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft,,4,106,114,-8,2690.0
3:06.0, ,106-114,Offensive rebound by L. Dort,,4,106,114,-8,2694.0
3:06.0, ,106-116,L. Dort makes 2-pt layup at rim,,4,106,116,-10,2694.0
2:50.0,J. Tatum misses 3-pt jump shot from 27 ft,106-116, ,,4,106,116,-10,2710.0
2:44.0,Offensive rebound by J. Brown,106-116, ,,4,106,116,-10,2716.0
2:44.0,J. Brown makes 2-pt layup at rim,108-116, ,,4,108,116,-8,2716.0
2:31.0, ,108-116,Turnover by J. Williams (bad pass; steal by J. Tatum),,4,108,116,-8,2729.0
2:28.0,Shooting foul by J. Williams (drawn by J. Brown),108-116, ,,4,108,116,-8,2732.0
2:28.0,Instant Replay (Request: Stands),108-116, ,,4,108,116,-8,2732.0
2:28.0,J. Brown makes free throw 1 of 2,109-116, ,,4,109,116,-7,2732.0
2:28.0,J. Brown makes free throw 2 of 2,110-116, ,,4,110,116,-6,2732.0
2:06.0, ,110-119,C. Holmgren makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),,4,110,119,-9,2754.0
1:54.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by D. White),112-119, ,,4,112,119,-7,2766.0
1:54.0,Shooting foul by L. Dort (drawn by K. Porziņģis),112-119, ,,4,112,119,-7,2766.0
1:54.0,K. Porziņģis makes free throw 1 of 1,113-119, ,,4,113,119,-6,2766.0
1:34.0, ,113-119,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft,,4,113,119,-6,2786.0
1:32.0,Defensive rebound by Team,113-119, ,,4,113,119,-6,2788.0
1:32.0, ,113-119,Loose ball foul by L. Dort (drawn by J. Brown),,4,113,119,-6,2788.0
1:32.0,J. Brown misses free throw 1 of 2,113-119, ,,4,113,119,-6,2788.0
1:32.0,Offensive rebound by Team,113-119, ,,4,113,119,-6,2788.0
1:32.0,J. Brown makes free throw 2 of 2,114-119, ,,4,114,119,-5,2788.0
1:19.0, ,114-119,Shooting foul by J. Brown (drawn by J. Williams),,4,114,119,-5,2801.0
1:19.0, ,114-120,J. Williams makes free throw 1 of 2,,4,114,120,-6,2801.0
1:19.0, ,114-120,K. Williams enters the game for J. Giddey,,4,114,120,-6,2801.0
1:19.0, ,114-121,J. Williams makes free throw 2 of 2,,4,114,121,-7,2801.0
1:11.0,Shooting foul by K. Williams (drawn by J. Tatum),114-121, ,,4,114,121,-7,2809.0
1:11.0,J. Tatum makes free throw 1 of 2,115-121, ,,4,115,121,-6,2809.0
1:11.0, ,115-121,I. Joe enters the game for K. Williams,,4,115,121,-6,2809.0
1:11.0,J. Tatum makes free throw 2 of 2,116-121, ,,4,116,121,-5,2809.0
0:53.0, ,116-121,S. Gilgeous-Alexander misses 3-pt jump shot from 27 ft,,4,116,121,-5,2827.0
0:51.0,Defensive rebound by J. Tatum,116-121, ,,4,116,121,-5,2829.0
0:41.0,D. White makes 3-pt jump shot from 23 ft (assist by J. Tatum),119-121, ,,4,119,121,-2,2839.0
0:26.0, ,119-123,J. Williams makes 2-pt jump shot from 4 ft,,4,119,123,-4,2854.0
0:26.0,Boston full timeout,119-123, ,,4,119,123,-4,2854.0
0:26.0, ,119-123,K. Williams enters the game for I. Joe,,4,119,123,-4,2854.0
0:15.0,Shooting foul by C. Holmgren (drawn by K. Porziņģis),119-123, ,,4,119,123,-4,2865.0
0:15.0,K. Porziņģis makes free throw 1 of 2,120-123, ,,4,120,123,-3,2865.0
0:15.0, ,120-123,J. Giddey enters the game for L. Dort,,4,120,123,-3,2865.0
0:15.0, ,120-123,I. Joe enters the game for K. Williams,,4,120,123,-3,2865.0
0:15.0,K. Porziņģis makes free throw 2 of 2,121-123, ,,4,121,123,-2,2865.0
0:15.0, ,121-123,Oklahoma City full timeout,,4,121,123,-2,2865.0
0:15.0, ,121-123,L. Dort enters the game for I. Joe,,4,121,123,-2,2865.0
0:12.0, ,121-123,Personal foul by D. White (drawn by J. Giddey),,4,121,123,-2,2868.0
0:12.0, ,121-124,J. Giddey makes free throw 1 of 2,,4,121,124,-3,2868.0
0:12.0, ,121-125,J. Giddey makes free throw 2 of 2,,4,121,125,-4,2868.0
0:03.0,K. Porziņģis makes 2-pt jump shot from 21 ft (assist by J. Tatum),123-125, ,,4,123,125,-2,2877.0
0:03.0, ,123-125,Oklahoma City full timeout,,4,123,125,-2,2877.0
0:02.0, ,123-125,Personal foul by J. Brown (drawn by S. Gilgeous-Alexander),,4,123,125,-2,2878.0
0:02.0, ,123-126,S. Gilgeous-Alexander makes free throw 1 of 2,,4,123,126,-3,2878.0
0:02.0, ,123-126,K. Williams enters the game for J. Giddey,,4,123,126,-3,2878.0
0:02.0, ,123-127,S. Gilgeous-Alexander makes free throw 2 of 2,,4,123,127,-4,2878.0
0:02.0,Boston full timeout,123-127, ,,4,123,127,-4,2878.0
0:00.0,J. Brown misses 3-pt jump shot from 23 ft,123-127, ,,4,123,127,-4,2880.0
0:00.0,Offensive rebound by Team,123-127, ,,4,123,127,-4,2880.0
0:00.0,End of 4th quarter,123-127,,,4,123,127,-4,2880.0
