Time,Golden State,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:17.0, ,60-106,P. Pritchard makes 2-pt layup from 3 ft,,3,106,60,46,2023.0
2:06.0,D. Šarić misses 3-pt jump shot from 27 ft,60-106, ,,3,106,60,46,2034.0
2:05.0, ,60-106,Defensive rebound by P. Pritchard,,3,106,60,46,2035.0
1:58.0, ,60-109,S. Hauser makes 3-pt jump shot from 28 ft (assist by O. Brissett),,3,109,60,49,2042.0
1:34.0,Shooting foul by S. Hauser (drawn by K. Looney),60-109, ,,3,109,60,49,2066.0
1:34.0,Golden State full timeout,60-109, ,,3,109,60,49,2066.0
1:34.0,K. Looney makes free throw 1 of 2,61-109, ,,3,109,61,48,2066.0
1:34.0,K. Looney makes free throw 2 of 2,62-109, ,,3,109,62,47,2066.0
1:31.0, ,62-109,Personal foul by L. Quinones (drawn by P. Pritchard),,3,109,62,47,2069.0
1:21.0, ,62-109,Shooting foul by K. Looney (drawn by X. Tillman),,3,109,62,47,2079.0
1:21.0, ,62-110,X. Tillman makes free throw 1 of 2,,3,110,62,48,2079.0
1:21.0, ,62-111,X. Tillman makes free throw 2 of 2,,3,111,62,49,2079.0
1:12.0,Turnover by G. Santos (out of bounds lost ball),62-111, ,,3,111,62,49,2088.0
1:02.0, ,62-111,Shooting foul by K. Looney (drawn by O. Brissett),,3,111,62,49,2098.0
1:02.0, ,62-111,O. Brissett misses free throw 1 of 2,,3,111,62,49,2098.0
1:02.0, ,62-111,Offensive rebound by Team,,3,111,62,49,2098.0
1:02.0, ,62-111,O. Brissett misses free throw 2 of 2,,3,111,62,49,2098.0
1:02.0,Defensive rebound by G. Santos,62-111, ,,3,111,62,49,2098.0
0:46.0,K. Looney misses 2-pt layup from 5 ft,62-111, ,,3,111,62,49,2114.0
0:45.0,Offensive rebound by K. Looney,62-111, ,,3,111,62,49,2115.0
0:45.0,K. Looney misses 2-pt layup from 1 ft,62-111, ,,3,111,62,49,2115.0
0:44.0, ,62-111,Defensive rebound by O. Brissett,,3,111,62,49,2116.0
0:40.0, ,62-113,O. Brissett makes 2-pt layup from 2 ft,,3,113,62,51,2120.0
0:33.0,J. Robinson misses 3-pt jump shot from 24 ft,62-113, ,,3,113,62,51,2127.0
0:29.0,Offensive rebound by G. Santos,62-113, ,,3,113,62,51,2131.0
0:16.0,K. Looney misses 2-pt jump shot from 13 ft,62-113, ,,3,113,62,51,2144.0
0:14.0, ,62-113,Defensive rebound by S. Hauser,,3,113,62,51,2146.0
0:01.0, ,62-115,P. Pritchard makes 2-pt jump shot from 9 ft,,3,115,62,53,2159.0
0:01.0,Turnover by D. Šarić (bad pass; steal by O. Brissett),62-115, ,,3,115,62,53,2159.0
0:00.0,End of 3rd quarter,62-115,,,3,115,62,53,2160.0
12:00.0,Start of 4th quarter,62-115,,,4,115,62,53,2160.0
11:42.0, ,62-115,S. Mykhailiuk misses 2-pt jump shot from 11 ft,,4,115,62,53,2178.0
11:40.0, ,62-115,Offensive rebound by J. Springer,,4,115,62,53,2180.0
11:38.0, ,62-115,O. Brissett misses 3-pt jump shot from 25 ft,,4,115,62,53,2182.0
11:35.0, ,62-115,Offensive rebound by S. Mykhailiuk,,4,115,62,53,2185.0
11:33.0, ,62-118,P. Pritchard makes 3-pt jump shot from 26 ft (assist by S. Mykhailiuk),,4,118,62,56,2187.0
11:13.0,J. Robinson makes 3-pt jump shot from 28 ft (assist by G. Santos),65-118, ,,4,118,65,53,2207.0
11:01.0, ,65-118,Offensive foul by J. Springer (drawn by J. Robinson),,4,118,65,53,2219.0
11:01.0, ,65-118,Turnover by J. Springer (offensive foul),,4,118,65,53,2219.0
10:50.0,J. Robinson makes 2-pt layup from 3 ft (assist by G. Santos),67-118, ,,4,118,67,51,2230.0
10:32.0, ,67-118,S. Hauser misses 3-pt jump shot from 25 ft,,4,118,67,51,2248.0
10:31.0,Defensive rebound by G. Payton,67-118, ,,4,118,67,51,2249.0
10:24.0,G. Santos misses 3-pt jump shot from 27 ft,67-118, ,,4,118,67,51,2256.0
10:21.0, ,67-118,Defensive rebound by O. Brissett,,4,118,67,51,2259.0
10:15.0, ,67-121,S. Hauser makes 3-pt jump shot from 27 ft (assist by O. Brissett),,4,121,67,54,2265.0
10:07.0,Turnover by L. Quinones (bad pass; steal by S. Mykhailiuk),67-121, ,,4,121,67,54,2273.0
9:57.0, ,67-121,J. Springer misses 2-pt jump shot from 11 ft,,4,121,67,54,2283.0
9:56.0,Defensive rebound by L. Quinones,67-121, ,,4,121,67,54,2284.0
9:55.0,Personal foul by O. Brissett (drawn by L. Quinones),67-121, ,,4,121,67,54,2285.0
9:36.0,L. Quinones misses 3-pt jump shot from 24 ft,67-121, ,,4,121,67,54,2304.0
9:34.0,Offensive rebound by G. Santos,67-121, ,,4,121,67,54,2306.0
9:31.0,Golden State full timeout,67-121, ,,4,121,67,54,2309.0
9:31.0, ,67-121,X. Tillman enters the game for S. Hauser,,4,121,67,54,2309.0
9:25.0,J. Robinson misses 3-pt jump shot from 27 ft,67-121, ,,4,121,67,54,2315.0
9:24.0,Offensive rebound by G. Payton,67-121, ,,4,121,67,54,2316.0
9:20.0,Turnover by G. Payton (bad pass; steal by P. Pritchard),67-121, ,,4,121,67,54,2320.0
9:17.0, ,67-121,Turnover by O. Brissett (bad pass),,4,121,67,54,2323.0
9:03.0,Shooting foul by X. Tillman (drawn by J. Robinson),67-121, ,,4,121,67,54,2337.0
9:03.0,J. Robinson makes free throw 1 of 2,68-121, ,,4,121,68,53,2337.0
9:03.0,J. Robinson misses free throw 2 of 2,68-121, ,,4,121,68,53,2337.0
9:02.0,Offensive rebound by G. Santos,68-121, ,,4,121,68,53,2338.0
9:02.0,G. Santos makes 2-pt layup from 3 ft,70-121, ,,4,121,70,51,2338.0
8:46.0, ,70-121,O. Brissett misses 2-pt jump shot from 4 ft,,4,121,70,51,2354.0
8:45.0,Defensive rebound by G. Santos,70-121, ,,4,121,70,51,2355.0
8:39.0,L. Quinones misses 3-pt jump shot from 24 ft,70-121, ,,4,121,70,51,2361.0
8:37.0, ,70-121,Defensive rebound by O. Brissett,,4,121,70,51,2363.0
8:30.0, ,70-121,J. Springer misses 2-pt layup from 3 ft (block by T. Jackson-Davis),,4,121,70,51,2370.0
8:29.0,Defensive rebound by G. Santos,70-121, ,,4,121,70,51,2371.0
8:24.0,J. Robinson makes 2-pt dunk from 2 ft (assist by G. Santos),72-121, ,,4,121,72,49,2376.0
8:08.0, ,72-121,P. Pritchard misses 2-pt layup from 3 ft,,4,121,72,49,2392.0
8:07.0,Defensive rebound by G. Santos,72-121, ,,4,121,72,49,2393.0
8:02.0,L. Quinones misses 3-pt jump shot from 27 ft,72-121, ,,4,121,72,49,2398.0
8:01.0, ,72-121,Defensive rebound by J. Springer,,4,121,72,49,2399.0
7:49.0, ,72-121,P. Pritchard misses 3-pt jump shot from 24 ft,,4,121,72,49,2411.0
7:48.0,Defensive rebound by L. Quinones,72-121, ,,4,121,72,49,2412.0
7:37.0,Turnover by G. Santos (bad pass; steal by O. Brissett),72-121, ,,4,121,72,49,2423.0
7:33.0, ,72-123,O. Brissett makes 2-pt dunk from 1 ft,,4,123,72,51,2427.0
7:12.0,T. Jackson-Davis makes 2-pt dunk from 2 ft,74-123, ,,4,123,74,49,2448.0
6:53.0, ,74-123,Turnover by P. Pritchard (bad pass),,4,123,74,49,2467.0
6:44.0,Turnover by G. Santos (bad pass; steal by X. Tillman),74-123, ,,4,123,74,49,2476.0
6:39.0, ,74-123,P. Pritchard misses 2-pt layup from 5 ft (block by J. Robinson),,4,123,74,49,2481.0
6:37.0,Defensive rebound by G. Santos,74-123, ,,4,123,74,49,2483.0
6:30.0,L. Quinones makes 2-pt layup from 4 ft (assist by T. Jackson-Davis),76-123, ,,4,123,76,47,2490.0
6:13.0, ,76-123,S. Mykhailiuk misses 3-pt jump shot from 27 ft,,4,123,76,47,2507.0
6:12.0,Defensive rebound by G. Payton,76-123, ,,4,123,76,47,2508.0
6:00.0,L. Quinones makes 2-pt jump shot from 13 ft,78-123, ,,4,123,78,45,2520.0
5:41.0, ,78-126,X. Tillman makes 3-pt jump shot from 26 ft (assist by P. Pritchard),,4,126,78,48,2539.0
5:15.0,G. Payton misses 2-pt jump shot from 11 ft,78-126, ,,4,126,78,48,2565.0
5:14.0, ,78-126,Defensive rebound by X. Tillman,,4,126,78,48,2566.0
5:08.0, ,78-128,S. Mykhailiuk makes 2-pt dunk from 2 ft (assist by P. Pritchard),,4,128,78,50,2572.0
4:53.0,L. Quinones makes 3-pt jump shot from 27 ft (assist by T. Jackson-Davis),81-128, ,,4,128,81,47,2587.0
4:38.0, ,81-128,P. Pritchard misses 3-pt jump shot from 26 ft,,4,128,81,47,2602.0
4:37.0,Defensive rebound by T. Jackson-Davis,81-128, ,,4,128,81,47,2603.0
4:31.0,Golden State full timeout,81-128, ,,4,128,81,47,2609.0
4:18.0,L. Quinones misses 3-pt jump shot from 24 ft,81-128, ,,4,128,81,47,2622.0
4:17.0, ,81-128,Defensive rebound by O. Brissett,,4,128,81,47,2623.0
4:09.0, ,81-128,Offensive foul by O. Brissett (drawn by L. Quinones),,4,128,81,47,2631.0
4:09.0, ,81-128,Turnover by O. Brissett (offensive foul),,4,128,81,47,2631.0
3:57.0,G. Santos misses 2-pt layup from 6 ft (block by O. Brissett),81-128, ,,4,128,81,47,2643.0
3:56.0,Offensive rebound by Team,81-128, ,,4,128,81,47,2644.0
3:44.0,J. Robinson misses 3-pt jump shot from 27 ft,81-128, ,,4,128,81,47,2656.0
3:42.0, ,81-128,Defensive rebound by O. Brissett,,4,128,81,47,2658.0
3:36.0, ,81-128,S. Mykhailiuk misses 3-pt jump shot from 29 ft,,4,128,81,47,2664.0
3:35.0,Defensive rebound by G. Santos,81-128, ,,4,128,81,47,2665.0
3:17.0,J. Robinson misses 3-pt jump shot from 27 ft,81-128, ,,4,128,81,47,2683.0
3:16.0, ,81-128,Defensive rebound by X. Tillman,,4,128,81,47,2684.0
3:06.0, ,81-130,O. Brissett makes 2-pt layup from 1 ft (assist by P. Pritchard),,4,130,81,49,2694.0
2:57.0,L. Quinones makes 2-pt layup from 2 ft,83-130, ,,4,130,83,47,2703.0
2:42.0, ,83-132,J. Springer makes 2-pt jump shot from 8 ft (assist by P. Pritchard),,4,132,83,49,2718.0
2:22.0,J. Robinson misses 3-pt jump shot from 26 ft,83-132, ,,4,132,83,49,2738.0
2:20.0, ,83-132,Defensive rebound by S. Mykhailiuk,,4,132,83,49,2740.0
2:16.0, ,83-132,Personal foul by L. Quinones (drawn by S. Mykhailiuk),,4,132,83,49,2744.0
2:08.0, ,83-134,X. Tillman makes 2-pt layup from 4 ft (assist by J. Springer),,4,134,83,51,2752.0
1:54.0,J. Robinson misses 2-pt layup from 2 ft,83-134, ,,4,134,83,51,2766.0
1:53.0,Offensive rebound by T. Jackson-Davis,83-134, ,,4,134,83,51,2767.0
1:53.0,T. Jackson-Davis misses 2-pt layup at rim,83-134, ,,4,134,83,51,2767.0
1:52.0, ,83-134,Defensive rebound by X. Tillman,,4,134,83,51,2768.0
1:45.0, ,83-137,P. Pritchard makes 3-pt jump shot from 25 ft (assist by S. Mykhailiuk),,4,137,83,54,2775.0
1:36.0,L. Quinones makes 3-pt jump shot from 28 ft (assist by G. Payton),86-137, ,,4,137,86,51,2784.0
1:27.0, ,86-137,J. Springer misses 3-pt jump shot from 26 ft,,4,137,86,51,2793.0
1:26.0, ,86-137,Offensive rebound by O. Brissett,,4,137,86,51,2794.0
1:21.0, ,86-137,O. Brissett misses 2-pt layup from 2 ft,,4,137,86,51,2799.0
1:18.0,Defensive rebound by T. Jackson-Davis,86-137, ,,4,137,86,51,2802.0
1:17.0,G. Payton makes 2-pt layup from 3 ft (assist by J. Robinson),88-137, ,,4,137,88,49,2803.0
1:17.0, ,88-137,Violation by Team (def goaltending),,4,137,88,49,2803.0
1:06.0, ,88-137,X. Tillman misses 3-pt jump shot from 27 ft,,4,137,88,49,2814.0
1:04.0,Defensive rebound by Team,88-137, ,,4,137,88,49,2816.0
1:04.0, ,88-137,Loose ball foul by P. Pritchard (drawn by L. Quinones),,4,137,88,49,2816.0
0:46.0,L. Quinones misses 3-pt jump shot from 27 ft,88-137, ,,4,137,88,49,2834.0
0:45.0, ,88-137,Defensive rebound by S. Mykhailiuk,,4,137,88,49,2835.0
0:36.0, ,88-140,S. Mykhailiuk makes 3-pt jump shot from 26 ft,,4,140,88,52,2844.0
0:32.0,Turnover by T. Jackson-Davis (bad pass),88-140, ,,4,140,88,52,2848.0
0:08.0, ,88-140,Turnover by Team (shot clock),,4,140,88,52,2872.0
0:00.0,End of 4th quarter,88-140,,,4,140,88,52,2880.0
