Time,San Antonio,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:28.0,D. Vassell misses 3-pt jump shot from 26 ft,13-15, ,,1,15,13,2,272.0
7:26.0,Offensive rebound by V. Wembanyama,13-15, ,,1,15,13,2,274.0
7:24.0,V. Wembanyama makes 2-pt jump shot from 4 ft,15-15, ,Tie,1,15,15,0,276.0
7:10.0, ,15-15,J. Tatum misses 3-pt jump shot from 27 ft,,1,15,15,0,290.0
7:10.0,Defensive rebound by T. Jones,15-15, ,,1,15,15,0,290.0
7:01.0,V. Wembanyama misses 3-pt jump shot from 28 ft,15-15, ,,1,15,15,0,299.0
6:59.0, ,15-15,Defensive rebound by J. Brown,,1,15,15,0,301.0
6:52.0, ,15-18,J. Brown makes 3-pt jump shot from 27 ft,,1,18,15,3,308.0
6:51.0,San Antonio full timeout,15-18, ,,1,18,15,3,309.0
6:51.0,K. Johnson enters the game for J. Champagnie,15-18, ,,1,18,15,3,309.0
6:51.0, ,15-18,O. Brissett enters the game for J. Holiday,,1,18,15,3,309.0
6:51.0, ,15-18,S. Hauser enters the game for L. Kornet,,1,18,15,3,309.0
6:51.0, ,15-18,P. Pritchard enters the game for J. Tatum,,1,18,15,3,309.0
6:40.0,Personal foul by A. Horford (drawn by V. Wembanyama),15-18, ,,1,18,15,3,320.0
6:40.0,D. Barlow enters the game for V. Wembanyama,15-18, ,,1,18,15,3,320.0
6:32.0,T. Jones misses 3-pt jump shot from 25 ft,15-18, ,,1,18,15,3,328.0
6:29.0, ,15-18,Defensive rebound by O. Brissett,,1,18,15,3,331.0
6:19.0, ,15-20,O. Brissett makes 2-pt layup from 3 ft (assist by J. Brown),,1,20,15,5,341.0
6:10.0,Turnover by T. Jones (back court),15-20, ,,1,20,15,5,350.0
5:59.0, ,15-23,A. Horford makes 3-pt jump shot from 27 ft (assist by P. Pritchard),,1,23,15,8,361.0
5:45.0,T. Jones makes 2-pt layup from 2 ft,17-23, ,,1,23,17,6,375.0
5:31.0, ,17-23,J. Brown misses 2-pt jump shot from 15 ft,,1,23,17,6,389.0
5:29.0,Defensive rebound by K. Johnson,17-23, ,,1,23,17,6,391.0
5:24.0,K. Johnson misses 3-pt jump shot from 26 ft,17-23, ,,1,23,17,6,396.0
5:22.0, ,17-23,Defensive rebound by S. Hauser,,1,23,17,6,398.0
5:13.0, ,17-23,S. Hauser misses 3-pt jump shot from 26 ft,,1,23,17,6,407.0
5:11.0, ,17-23,Offensive rebound by O. Brissett,,1,23,17,6,409.0
5:02.0, ,17-23,P. Pritchard misses 2-pt jump shot from 19 ft,,1,23,17,6,418.0
5:00.0,Defensive rebound by J. Sochan,17-23, ,,1,23,17,6,420.0
