Time,Boston,Score,Utah,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:36.0,P. Pritchard misses 3-pt jump shot from 26 ft,90-86, ,,3,90,86,4,2064.0
1:33.0,Offensive rebound by J. Tatum,90-86, ,,3,90,86,4,2067.0
1:31.0,J. Tatum makes 2-pt layup from 8 ft,92-86, ,,3,92,86,6,2069.0
1:31.0,Shooting foul by K. Dunn (drawn by J. Tatum),92-86, ,,3,92,86,6,2069.0
1:31.0,J. Tatum makes free throw 1 of 1,93-86, ,,3,93,86,7,2069.0
1:11.0, ,93-89,M. Potter makes 3-pt jump shot from 24 ft (assist by B. Sensabaugh),,3,93,89,4,2089.0
0:52.0,J. Holiday misses 3-pt jump shot from 26 ft,93-89, ,,3,93,89,4,2108.0
0:49.0, ,93-89,Defensive rebound by W. Kessler,,3,93,89,4,2111.0
0:43.0, ,93-89,Personal foul by P. Pritchard (drawn by J. Clarkson),,3,93,89,4,2117.0
0:36.0, ,93-91,J. Clarkson makes 2-pt jump shot from 8 ft,,3,93,91,2,2124.0
0:31.0,J. Tatum makes 3-pt jump shot from 26 ft,96-91, ,,3,96,91,5,2129.0
0:10.0, ,96-91,Turnover by J. Clarkson (lost ball; steal by J. Holiday),,3,96,91,5,2150.0
0:06.0,J. Holiday makes 2-pt layup from 5 ft,98-91, ,,3,98,91,7,2154.0
0:06.0,L. Kornet enters the game for P. Pritchard,98-91, ,,3,98,91,7,2154.0
0:00.0, ,98-91,J. Clarkson misses 3-pt jump shot from 24 ft,,3,98,91,7,2160.0
0:00.0, ,98-91,Offensive rebound by Team,,3,98,91,7,2160.0
0:00.0,End of 3rd quarter,98-91,,,3,98,91,7,2160.0
12:00.0,Start of 4th quarter,98-91,,,4,98,91,7,2160.0
11:45.0,Shooting foul by M. Potter (drawn by L. Kornet),98-91, ,,4,98,91,7,2175.0
11:45.0,L. Kornet makes free throw 1 of 2,99-91, ,,4,99,91,8,2175.0
11:45.0,L. Kornet makes free throw 2 of 2,100-91, ,,4,100,91,9,2175.0
11:25.0, ,100-91,T. Horton-Tucker misses 3-pt jump shot from 25 ft,,4,100,91,9,2195.0
11:21.0,Defensive rebound by P. Pritchard,100-91, ,,4,100,91,9,2199.0
11:19.0,Personal foul by J. Clarkson (drawn by D. White),100-91, ,,4,100,91,9,2201.0
11:12.0,D. White misses 2-pt jump shot from 11 ft,100-91, ,,4,100,91,9,2208.0
11:09.0,Offensive rebound by X. Tillman,100-91, ,,4,100,91,9,2211.0
11:04.0,X. Tillman makes 2-pt jump shot from 22 ft (assist by P. Pritchard),102-91, ,,4,102,91,11,2216.0
10:47.0, ,102-91,J. Clarkson misses 2-pt hook shot from 6 ft,,4,102,91,11,2233.0
10:43.0,Defensive rebound by L. Kornet,102-91, ,,4,102,91,11,2237.0
10:29.0,D. White misses 3-pt jump shot from 28 ft,102-91, ,,4,102,91,11,2251.0
10:25.0,Offensive rebound by X. Tillman,102-91, ,,4,102,91,11,2255.0
10:16.0,X. Tillman misses 2-pt layup from 6 ft (block by W. Kessler),102-91, ,,4,102,91,11,2264.0
10:16.0, ,102-91,Defensive rebound by Team,,4,102,91,11,2264.0
10:07.0, ,102-91,K. George misses 3-pt jump shot from 24 ft,,4,102,91,11,2273.0
10:03.0, ,102-91,Offensive rebound by W. Kessler,,4,102,91,11,2277.0
10:01.0, ,102-91,Personal foul by S. Hauser (drawn by K. George),,4,102,91,11,2279.0
9:48.0, ,102-91,K. George misses 2-pt jump shot from 10 ft,,4,102,91,11,2292.0
9:46.0,Defensive rebound by X. Tillman,102-91, ,,4,102,91,11,2294.0
9:46.0,Personal foul by J. Clarkson (drawn by P. Pritchard),102-91, ,,4,102,91,11,2294.0
9:35.0,D. White makes 3-pt jump shot from 26 ft (assist by L. Kornet),105-91, ,,4,105,91,14,2305.0
9:34.0, ,105-91,Utah full timeout,,4,105,91,14,2306.0
9:15.0, ,105-91,J. Clarkson misses 2-pt jump shot from 12 ft,,4,105,91,14,2325.0
9:12.0,Defensive rebound by X. Tillman,105-91, ,,4,105,91,14,2328.0
8:57.0,L. Kornet misses 2-pt dunk from 4 ft,105-91, ,,4,105,91,14,2343.0
8:54.0, ,105-91,Defensive rebound by M. Potter,,4,105,91,14,2346.0
8:45.0, ,105-91,Turnover by K. George (step out of bounds),,4,105,91,14,2355.0
8:25.0,P. Pritchard misses 3-pt jump shot from 26 ft,105-91, ,,4,105,91,14,2375.0
8:22.0,Offensive rebound by Team,105-91, ,,4,105,91,14,2378.0
8:17.0,S. Hauser misses 3-pt jump shot from 25 ft,105-91, ,,4,105,91,14,2383.0
8:13.0, ,105-91,Defensive rebound by T. Horton-Tucker,,4,105,91,14,2387.0
8:04.0, ,105-91,T. Horton-Tucker misses 2-pt jump shot from 6 ft,,4,105,91,14,2396.0
8:00.0,Defensive rebound by D. White,105-91, ,,4,105,91,14,2400.0
7:56.0,P. Pritchard misses 3-pt jump shot from 26 ft,105-91, ,,4,105,91,14,2404.0
7:53.0,Offensive rebound by S. Hauser,105-91, ,,4,105,91,14,2407.0
7:53.0,S. Hauser makes 2-pt layup from 3 ft,107-91, ,,4,107,91,16,2407.0
7:53.0, ,107-91,Utah full timeout,,4,107,91,16,2407.0
7:53.0,J. Holiday enters the game for L. Kornet,107-91, ,,4,107,91,16,2407.0
7:53.0, ,107-91,J. Collins enters the game for W. Kessler,,4,107,91,16,2407.0
7:53.0, ,107-91,C. Sexton enters the game for M. Potter,,4,107,91,16,2407.0
7:33.0, ,107-91,J. Collins misses 2-pt hook shot from 5 ft (block by D. White),,4,107,91,16,2427.0
7:30.0,Defensive rebound by X. Tillman,107-91, ,,4,107,91,16,2430.0
7:20.0,Personal foul by J. Collins (drawn by X. Tillman),107-91, ,,4,107,91,16,2440.0
7:13.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. White),110-91, ,,4,110,91,19,2447.0
6:51.0, ,110-91,J. Clarkson misses 2-pt layup from 6 ft,,4,110,91,19,2469.0
6:48.0,Defensive rebound by D. White,110-91, ,,4,110,91,19,2472.0
6:31.0,P. Pritchard misses 2-pt layup from 4 ft,110-91, ,,4,110,91,19,2489.0
6:29.0,Offensive rebound by X. Tillman,110-91, ,,4,110,91,19,2491.0
6:28.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by X. Tillman),113-91, ,,4,113,91,22,2492.0
6:07.0, ,113-91,C. Sexton misses 2-pt jump shot from 10 ft,,4,113,91,22,2513.0
6:03.0,Defensive rebound by P. Pritchard,113-91, ,,4,113,91,22,2517.0
5:54.0,J. Holiday misses 3-pt jump shot from 28 ft,113-91, ,,4,113,91,22,2526.0
5:52.0, ,113-91,Defensive rebound by C. Sexton,,4,113,91,22,2528.0
5:34.0, ,113-93,J. Clarkson makes 2-pt layup from 2 ft,,4,113,93,20,2546.0
5:11.0,S. Hauser misses 3-pt jump shot from 25 ft,113-93, ,,4,113,93,20,2569.0
5:11.0, ,113-93,Defensive rebound by Team,,4,113,93,20,2569.0
5:11.0,Loose ball foul by J. Holiday (drawn by T. Horton-Tucker),113-93, ,,4,113,93,20,2569.0
5:11.0,J. Tatum enters the game for P. Pritchard,113-93, ,,4,113,93,20,2569.0
5:11.0, ,113-93,K. Dunn enters the game for T. Horton-Tucker,,4,113,93,20,2569.0
4:53.0, ,113-96,C. Sexton makes 3-pt jump shot from 25 ft,,4,113,96,17,2587.0
4:30.0,Offensive foul by J. Tatum (drawn by K. George),113-96, ,,4,113,96,17,2610.0
4:30.0,Turnover by J. Tatum (offensive foul),113-96, ,,4,113,96,17,2610.0
4:30.0, ,113-96,T. Horton-Tucker enters the game for C. Sexton,,4,113,96,17,2610.0
4:15.0, ,113-96,K. George misses 2-pt jump shot from 16 ft,,4,113,96,17,2625.0
4:12.0,Defensive rebound by S. Hauser,113-96, ,,4,113,96,17,2628.0
3:53.0,J. Tatum misses 2-pt jump shot from 7 ft (block by K. Dunn),113-96, ,,4,113,96,17,2647.0
3:50.0, ,113-96,Defensive rebound by T. Horton-Tucker,,4,113,96,17,2650.0
3:48.0, ,113-96,Shooting foul by S. Hauser (drawn by K. George),,4,113,96,17,2652.0
3:48.0, ,113-97,K. George makes free throw 1 of 2,,4,113,97,16,2652.0
3:48.0, ,113-97,C. Sexton enters the game for T. Horton-Tucker,,4,113,97,16,2652.0
3:48.0, ,113-98,K. George makes free throw 2 of 2,,4,113,98,15,2652.0
3:31.0,J. Tatum makes 2-pt layup from 6 ft,115-98, ,,4,115,98,17,2669.0
3:14.0, ,115-100,K. George makes 2-pt jump shot from 9 ft,,4,115,100,15,2686.0
2:54.0,J. Tatum makes 2-pt jump shot from 9 ft,117-100, ,,4,117,100,17,2706.0
2:43.0, ,117-103,K. George makes 3-pt jump shot from 30 ft (assist by J. Clarkson),,4,117,103,14,2717.0
2:27.0,Shooting foul by K. Dunn (drawn by J. Tatum),117-103, ,,4,117,103,14,2733.0
2:27.0,J. Tatum makes free throw 1 of 2,118-103, ,,4,118,103,15,2733.0
2:27.0,J. Tatum makes free throw 2 of 2,119-103, ,,4,119,103,16,2733.0
2:13.0, ,119-105,J. Clarkson makes 2-pt jump shot from 8 ft (assist by K. George),,4,119,105,14,2747.0
1:50.0,D. White misses 3-pt jump shot from 26 ft,119-105, ,,4,119,105,14,2770.0
1:46.0,Offensive rebound by J. Holiday,119-105, ,,4,119,105,14,2774.0
1:42.0,J. Tatum misses 3-pt jump shot from 26 ft,119-105, ,,4,119,105,14,2778.0
1:40.0, ,119-105,Defensive rebound by J. Collins,,4,119,105,14,2780.0
1:29.0, ,119-105,J. Collins misses 2-pt layup from 5 ft (block by D. White),,4,119,105,14,2791.0
1:27.0,Defensive rebound by J. Holiday,119-105, ,,4,119,105,14,2793.0
1:12.0,S. Hauser misses 3-pt jump shot from 29 ft,119-105, ,,4,119,105,14,2808.0
1:08.0, ,119-105,Defensive rebound by K. Dunn,,4,119,105,14,2812.0
1:01.0, ,119-105,Turnover by C. Sexton (bad pass; steal by J. Holiday),,4,119,105,14,2819.0
0:56.0,Personal foul by K. George (drawn by J. Holiday),119-105, ,,4,119,105,14,2824.0
0:56.0,J. Holiday makes free throw 1 of 2,120-105, ,,4,120,105,15,2824.0
0:56.0,O. Brissett enters the game for X. Tillman,120-105, ,,4,120,105,15,2824.0
0:56.0,J. Holiday makes free throw 2 of 2,121-105, ,,4,121,105,16,2824.0
0:48.0, ,121-105,J. Clarkson misses 3-pt jump shot from 26 ft,,4,121,105,16,2832.0
0:46.0, ,121-105,Offensive rebound by C. Sexton,,4,121,105,16,2834.0
0:46.0, ,121-107,C. Sexton makes 2-pt layup at rim,,4,121,107,14,2834.0
0:46.0,Personal take foul by C. Sexton (drawn by J. Tatum),121-107, ,,4,121,107,14,2834.0
0:46.0,J. Tatum makes free throw 1 of 2,122-107, ,,4,122,107,15,2834.0
0:46.0,J. Davison enters the game for S. Hauser,122-107, ,,4,122,107,15,2834.0
0:46.0,P. Pritchard enters the game for J. Holiday,122-107, ,,4,122,107,15,2834.0
0:46.0,J. Springer enters the game for D. White,122-107, ,,4,122,107,15,2834.0
0:46.0,J. Tatum makes free throw 2 of 2,123-107, ,,4,123,107,16,2834.0
0:43.0, ,123-107,Personal take foul by P. Pritchard (drawn by K. George),,4,123,107,16,2837.0
0:43.0,S. Mykhailiuk enters the game for J. Tatum,123-107, ,,4,123,107,16,2837.0
0:35.0, ,123-107,K. Dunn misses 2-pt jump shot from 9 ft,,4,123,107,16,2845.0
0:32.0,Defensive rebound by O. Brissett,123-107, ,,4,123,107,16,2848.0
0:08.0,Turnover by Team (shot clock),123-107, ,,4,123,107,16,2872.0
0:00.0,End of 4th quarter,123-107,,,4,123,107,16,2880.0
