Time,Boston,Score,Utah,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:53.0,Shooting foul by K. George (drawn by J. Tatum),15-13, ,,1,15,13,2,247.0
7:53.0, ,15-13,Utah full timeout,,1,15,13,2,247.0
7:53.0, ,15-13,Instant Replay (Challenge: Ruling Stands),,1,15,13,2,247.0
7:53.0,J. Tatum makes free throw 1 of 3,16-13, ,,1,16,13,3,247.0
7:53.0,J. Tatum makes free throw 2 of 3,17-13, ,,1,17,13,4,247.0
7:53.0,J. Tatum makes free throw 3 of 3,18-13, ,,1,18,13,5,247.0
7:36.0, ,18-16,J. Collins makes 3-pt jump shot from 26 ft (assist by K. George),,1,18,16,2,264.0
7:19.0,J. Tatum misses 2-pt jump shot from 17 ft,18-16, ,,1,18,16,2,281.0
7:18.0,Offensive rebound by Team,18-16, ,,1,18,16,2,282.0
7:15.0,D. White misses 3-pt jump shot from 23 ft,18-16, ,,1,18,16,2,285.0
7:13.0, ,18-16,Defensive rebound by L. Šamanić,,1,18,16,2,287.0
7:06.0, ,18-16,Turnover by J. Collins (off goaltending),,1,18,16,2,294.0
6:54.0,S. Hauser makes 3-pt jump shot from 25 ft (assist by J. Holiday),21-16, ,,1,21,16,5,306.0
6:44.0, ,21-16,Shooting foul by D. White (drawn by K. George),,1,21,16,5,316.0
6:44.0, ,21-17,K. George makes free throw 1 of 2,,1,21,17,4,316.0
6:44.0,O. Brissett enters the game for S. Hauser,21-17, ,,1,21,17,4,316.0
6:44.0,P. Pritchard enters the game for J. Holiday,21-17, ,,1,21,17,4,316.0
6:44.0, ,21-17,K. Dunn enters the game for B. Sensabaugh,,1,21,17,4,316.0
6:44.0, ,21-17,K. George misses free throw 2 of 2,,1,21,17,4,316.0
6:41.0,Defensive rebound by D. White,21-17, ,,1,21,17,4,319.0
6:28.0,J. Tatum makes 3-pt jump shot from 26 ft,24-17, ,,1,24,17,7,332.0
