Time,Boston,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:29.0, ,12-9,Defensive rebound by S. Curry,,1,12,9,3,271.0
7:20.0, ,12-9,Turnover by S. Curry (traveling),,1,12,9,3,280.0
7:06.0,J. Brown makes 2-pt layup from 4 ft (assist by A. Horford),14-9, ,,1,14,9,5,294.0
6:57.0, ,14-11,S. Curry makes 2-pt layup from 8 ft,,1,14,11,3,303.0
6:57.0, ,14-11,Shooting foul by J. Brown (drawn by S. Curry),,1,14,11,3,303.0
6:57.0, ,14-11,Golden State full timeout,,1,14,11,3,303.0
6:57.0,O. Brissett enters the game for J. Holiday,14-11, ,,1,14,11,3,303.0
6:57.0, ,14-11,C. Paul enters the game for B. Podziemski,,1,14,11,3,303.0
6:57.0, ,14-12,S. Curry makes free throw 1 of 1,,1,14,12,2,303.0
6:41.0,O. Brissett makes 2-pt dunk from 4 ft (assist by J. Brown),16-12, ,,1,16,12,4,319.0
6:27.0, ,16-12,Turnover by S. Curry (bad pass; steal by O. Brissett),,1,16,12,4,333.0
6:23.0,O. Brissett makes 2-pt dunk from 4 ft,18-12, ,,1,18,12,6,337.0
6:07.0, ,18-14,K. Thompson makes 2-pt jump shot from 13 ft (assist by C. Paul),,1,18,14,4,353.0
5:51.0,A. Horford makes 3-pt jump shot from 27 ft (assist by D. White),21-14, ,,1,21,14,7,369.0
5:33.0, ,21-16,J. Kuminga makes 2-pt dunk from 3 ft,,1,21,16,5,387.0
5:17.0,S. Hauser misses 3-pt jump shot from 27 ft,21-16, ,,1,21,16,5,403.0
5:15.0, ,21-16,Defensive rebound by K. Looney,,1,21,16,5,405.0
5:10.0, ,21-16,S. Curry misses 3-pt jump shot from 26 ft (block by D. White),,1,21,16,5,410.0
5:07.0,Defensive rebound by A. Horford,21-16, ,,1,21,16,5,413.0
5:04.0,O. Brissett makes 2-pt layup from 5 ft (assist by J. Brown),23-16, ,,1,23,16,7,416.0
4:46.0, ,23-19,K. Thompson makes 3-pt jump shot from 27 ft (assist by J. Kuminga),,1,23,19,4,434.0
4:34.0,J. Brown makes 2-pt layup from 5 ft (assist by D. White),25-19, ,,1,25,19,6,446.0
4:12.0, ,25-21,K. Looney makes 2-pt layup from 4 ft (assist by J. Kuminga),,1,25,21,4,468.0
4:12.0, ,25-21,Shooting foul by S. Hauser (drawn by K. Looney),,1,25,21,4,468.0
4:12.0, ,25-21,M. Moody enters the game for J. Kuminga,,1,25,21,4,468.0
4:12.0, ,25-21,A. Wiggins enters the game for K. Thompson,,1,25,21,4,468.0
4:12.0, ,25-22,K. Looney makes free throw 1 of 1,,1,25,22,3,468.0
4:00.0,D. White makes 3-pt jump shot from 29 ft (assist by A. Horford),28-22, ,,1,28,22,6,480.0
3:44.0, ,28-22,C. Paul misses 3-pt jump shot from 26 ft,,1,28,22,6,496.0
3:40.0,Defensive rebound by J. Brown,28-22, ,,1,28,22,6,500.0
3:39.0,J. Brown makes 2-pt layup from 4 ft,30-22, ,,1,30,22,8,501.0
3:39.0,Shooting foul by S. Curry (drawn by J. Brown),30-22, ,,1,30,22,8,501.0
3:39.0, ,30-22,B. Podziemski enters the game for S. Curry,,1,30,22,8,501.0
3:39.0, ,30-22,D. Šarić enters the game for K. Looney,,1,30,22,8,501.0
3:39.0,J. Brown makes free throw 1 of 1,31-22, ,,1,31,22,9,501.0
3:27.0, ,31-22,A. Wiggins misses 2-pt layup from 6 ft (block by D. White),,1,31,22,9,513.0
3:24.0, ,31-22,Offensive rebound by A. Wiggins,,1,31,22,9,516.0
3:24.0, ,31-22,A. Wiggins misses 2-pt layup at rim,,1,31,22,9,516.0
3:24.0,Defensive rebound by Team,31-22, ,,1,31,22,9,516.0
3:24.0,P. Pritchard enters the game for D. White,31-22, ,,1,31,22,9,516.0
3:13.0,J. Brown makes 3-pt jump shot from 27 ft (assist by A. Horford),34-22, ,,1,34,22,12,527.0
2:50.0, ,34-24,B. Podziemski makes 2-pt layup from 3 ft,,1,34,24,10,550.0
