Time,Boston,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:36.0,J. Tatum misses 3-pt jump shot from 25 ft,83-70, ,,3,83,70,13,1824.0
5:32.0,Offensive rebound by N. Queta,83-70, ,,3,83,70,13,1828.0
5:32.0,N. Queta makes 2-pt layup at rim,85-70, ,,3,85,70,15,1828.0
5:05.0, ,85-70,C. Joseph misses 3-pt jump shot from 28 ft,,3,85,70,15,1855.0
5:02.0, ,85-70,Offensive rebound by D. Šarić,,3,85,70,15,1858.0
5:00.0, ,85-70,C. Paul misses 3-pt jump shot from 27 ft,,3,85,70,15,1860.0
4:57.0,Defensive rebound by J. Tatum,85-70, ,,3,85,70,15,1863.0
4:52.0,A. Horford makes 2-pt layup from 2 ft (assist by J. Tatum),87-70, ,,3,87,70,17,1868.0
4:34.0, ,87-72,J. Kuminga makes 2-pt layup from 5 ft,,3,87,72,15,1886.0
4:34.0,O. Brissett enters the game for N. Queta,87-72, ,,3,87,72,15,1886.0
4:34.0,P. Pritchard enters the game for J. Tatum,87-72, ,,3,87,72,15,1886.0
4:34.0, ,87-72,K. Thompson enters the game for J. Kuminga,,3,87,72,15,1886.0
4:15.0,D. White misses 2-pt jump shot from 17 ft,87-72, ,,3,87,72,15,1905.0
4:12.0, ,87-72,Defensive rebound by D. Šarić,,3,87,72,15,1908.0
3:56.0, ,87-74,T. Jackson-Davis makes 2-pt layup from 3 ft (assist by K. Thompson),,3,87,74,13,1924.0
3:41.0,Turnover by J. Brown (bad pass; steal by K. Thompson),87-74, ,,3,87,74,13,1939.0
3:29.0, ,87-76,C. Joseph makes 2-pt layup from 3 ft (assist by T. Jackson-Davis),,3,87,76,11,1951.0
3:29.0,Boston full timeout,87-76, ,,3,87,76,11,1951.0
3:29.0,S. Hauser enters the game for O. Brissett,87-76, ,,3,87,76,11,1951.0
3:29.0,N. Queta enters the game for A. Horford,87-76, ,,3,87,76,11,1951.0
3:09.0,D. White makes 2-pt layup from 4 ft (assist by J. Brown),89-76, ,,3,89,76,13,1971.0
2:51.0, ,89-76,D. Šarić misses 3-pt jump shot from 23 ft,,3,89,76,13,1989.0
2:48.0,Defensive rebound by D. White,89-76, ,,3,89,76,13,1992.0
2:40.0,D. White makes 2-pt jump shot from 13 ft,91-76, ,,3,91,76,15,2000.0
2:27.0, ,91-76,D. Šarić misses 2-pt jump shot from 13 ft,,3,91,76,15,2013.0
2:24.0,Defensive rebound by N. Queta,91-76, ,,3,91,76,15,2016.0
2:19.0,D. White misses 3-pt jump shot from 27 ft,91-76, ,,3,91,76,15,2021.0
2:16.0, ,91-76,Defensive rebound by K. Thompson,,3,91,76,15,2024.0
2:05.0, ,91-78,C. Joseph makes 2-pt jump shot from 6 ft (assist by K. Thompson),,3,91,78,13,2035.0
1:42.0,S. Hauser misses 2-pt layup from 7 ft (block by C. Joseph),91-78, ,,3,91,78,13,2058.0
1:40.0, ,91-78,Defensive rebound by Team,,3,91,78,13,2060.0
1:40.0, ,91-78,M. Moody enters the game for D. Šarić,,3,91,78,13,2060.0
1:17.0, ,91-81,M. Moody makes 3-pt jump shot from 23 ft (assist by C. Paul),,3,91,81,10,2083.0
0:57.0,P. Pritchard makes 3-pt jump shot from 27 ft (assist by J. Brown),94-81, ,,3,94,81,13,2103.0
0:38.0, ,94-84,C. Paul makes 3-pt jump shot from 28 ft,,3,94,84,10,2122.0
0:33.0,D. White makes 3-pt jump shot from 27 ft (assist by J. Brown),97-84, ,,3,97,84,13,2127.0
0:15.0, ,97-86,C. Paul makes 2-pt jump shot from 17 ft,,3,97,86,11,2145.0
0:05.0,J. Brown misses 3-pt jump shot from 26 ft,97-86, ,,3,97,86,11,2155.0
0:02.0,Offensive rebound by S. Hauser,97-86, ,,3,97,86,11,2158.0
0:01.0,D. White misses 3-pt jump shot from 26 ft,97-86, ,,3,97,86,11,2159.0
0:00.0,Offensive rebound by Team,97-86, ,,3,97,86,11,2160.0
0:00.0,End of 3rd quarter,97-86,,,3,97,86,11,2160.0
12:00.0,Start of 4th quarter,97-86,,,4,97,86,11,2160.0
11:38.0,J. Tatum misses 2-pt jump shot from 11 ft,97-86, ,,4,97,86,11,2182.0
11:35.0, ,97-86,Defensive rebound by T. Jackson-Davis,,4,97,86,11,2185.0
11:19.0, ,97-88,C. Paul makes 2-pt jump shot from 10 ft (assist by S. Curry),,4,97,88,9,2201.0
10:59.0,S. Hauser misses 3-pt jump shot from 27 ft,97-88, ,,4,97,88,9,2221.0
10:56.0, ,97-88,Defensive rebound by C. Paul,,4,97,88,9,2224.0
10:52.0, ,97-90,A. Wiggins makes 2-pt layup from 6 ft (assist by S. Curry),,4,97,90,7,2228.0
10:36.0,N. Queta misses 2-pt jump shot from 6 ft (block by T. Jackson-Davis),97-90, ,,4,97,90,7,2244.0
10:32.0,Offensive rebound by N. Queta,97-90, ,,4,97,90,7,2248.0
10:32.0,N. Queta makes 2-pt layup at rim,99-90, ,,4,99,90,9,2248.0
10:20.0, ,99-90,A. Wiggins misses 2-pt layup from 4 ft,,4,99,90,9,2260.0
10:17.0, ,99-90,Offensive rebound by A. Wiggins,,4,99,90,9,2263.0
10:17.0, ,99-90,A. Wiggins misses 2-pt layup at rim,,4,99,90,9,2263.0
10:15.0, ,99-90,Offensive rebound by A. Wiggins,,4,99,90,9,2265.0
10:15.0, ,99-90,A. Wiggins misses 2-pt layup at rim,,4,99,90,9,2265.0
10:14.0, ,99-90,Offensive rebound by A. Wiggins,,4,99,90,9,2266.0
10:14.0, ,99-90,A. Wiggins misses 2-pt layup at rim,,4,99,90,9,2266.0
10:12.0, ,99-90,Offensive rebound by T. Jackson-Davis,,4,99,90,9,2268.0
10:12.0, ,99-92,T. Jackson-Davis makes 2-pt layup at rim,,4,99,92,7,2268.0
10:02.0,Def 3 sec tech foul by Team,99-92, ,,4,99,92,7,2278.0
10:02.0,J. Tatum makes technical free throw,100-92, ,,4,100,92,8,2278.0
9:53.0,P. Pritchard makes 3-pt jump shot from 26 ft (assist by S. Hauser),103-92, ,,4,103,92,11,2287.0
9:40.0, ,103-92,Turnover by S. Curry (bad pass; steal by J. Holiday),,4,103,92,11,2300.0
9:35.0,S. Hauser misses 3-pt jump shot from 27 ft,103-92, ,,4,103,92,11,2305.0
9:32.0, ,103-92,Defensive rebound by Team,,4,103,92,11,2308.0
9:19.0, ,103-92,Personal foul by P. Pritchard (drawn by C. Paul),,4,103,92,11,2321.0
9:15.0, ,103-95,S. Curry makes 3-pt jump shot from 27 ft (assist by C. Paul),,4,103,95,8,2325.0
8:52.0,S. Hauser misses 3-pt jump shot from 24 ft,103-95, ,,4,103,95,8,2348.0
8:49.0, ,103-95,Defensive rebound by C. Paul,,4,103,95,8,2351.0
8:46.0, ,103-97,A. Wiggins makes 2-pt layup from 4 ft (assist by C. Paul),,4,103,97,6,2354.0
8:46.0,Boston full timeout,103-97, ,,4,103,97,6,2354.0
8:24.0,Personal foul by C. Paul (drawn by J. Tatum),103-97, ,,4,103,97,6,2376.0
8:14.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by P. Pritchard),106-97, ,,4,106,97,9,2386.0
7:56.0, ,106-97,M. Moody misses 3-pt jump shot from 23 ft,,4,106,97,9,2404.0
7:54.0, ,106-97,Offensive rebound by T. Jackson-Davis,,4,106,97,9,2406.0
7:53.0, ,106-97,T. Jackson-Davis misses 2-pt layup from 4 ft,,4,106,97,9,2407.0
7:52.0, ,106-97,Offensive rebound by T. Jackson-Davis,,4,106,97,9,2408.0
7:51.0, ,106-97,T. Jackson-Davis misses 2-pt layup at rim,,4,106,97,9,2409.0
7:51.0, ,106-97,Offensive rebound by T. Jackson-Davis,,4,106,97,9,2409.0
7:50.0, ,106-99,T. Jackson-Davis makes 2-pt layup at rim,,4,106,99,7,2410.0
7:34.0,S. Hauser misses 3-pt jump shot from 25 ft,106-99, ,,4,106,99,7,2426.0
7:31.0,Offensive rebound by N. Queta,106-99, ,,4,106,99,7,2429.0
7:31.0,Turnover by P. Pritchard (step out of bounds),106-99, ,,4,106,99,7,2429.0
7:31.0, ,106-99,K. Thompson enters the game for C. Paul,,4,106,99,7,2429.0
7:07.0, ,106-99,M. Moody misses 3-pt jump shot from 29 ft,,4,106,99,7,2453.0
7:03.0,Defensive rebound by J. Tatum,106-99, ,,4,106,99,7,2457.0
6:57.0,Shooting foul by T. Jackson-Davis (drawn by J. Tatum),106-99, ,,4,106,99,7,2463.0
6:57.0,J. Tatum makes free throw 1 of 2,107-99, ,,4,107,99,8,2463.0
6:57.0,J. Brown enters the game for S. Hauser,107-99, ,,4,107,99,8,2463.0
6:57.0,A. Horford enters the game for P. Pritchard,107-99, ,,4,107,99,8,2463.0
6:57.0,D. White enters the game for N. Queta,107-99, ,,4,107,99,8,2463.0
6:57.0, ,107-99,J. Kuminga enters the game for T. Jackson-Davis,,4,107,99,8,2463.0
6:57.0, ,107-99,D. Šarić enters the game for A. Wiggins,,4,107,99,8,2463.0
6:57.0,J. Tatum makes free throw 2 of 2,108-99, ,,4,108,99,9,2463.0
6:39.0, ,108-99,Shooting foul by A. Horford (drawn by M. Moody),,4,108,99,9,2481.0
6:39.0, ,108-100,M. Moody makes free throw 1 of 2,,4,108,100,8,2481.0
6:39.0, ,108-101,M. Moody makes free throw 2 of 2,,4,108,101,7,2481.0
6:25.0,J. Tatum misses 2-pt layup from 4 ft,108-101, ,,4,108,101,7,2495.0
6:25.0,Offensive rebound by Team,108-101, ,,4,108,101,7,2495.0
6:25.0, ,108-101,Loose ball foul by D. Šarić (drawn by J. Tatum),,4,108,101,7,2495.0
6:21.0,J. Holiday makes 2-pt jump shot from 6 ft (assist by J. Tatum),110-101, ,,4,110,101,9,2499.0
6:08.0, ,110-103,S. Curry makes 2-pt layup from 4 ft,,4,110,103,7,2512.0
5:43.0,J. Holiday misses 3-pt jump shot from 24 ft,110-103, ,,4,110,103,7,2537.0
5:40.0, ,110-103,Defensive rebound by S. Curry,,4,110,103,7,2540.0
5:35.0, ,110-105,S. Curry makes 2-pt layup from 9 ft,,4,110,105,5,2545.0
5:10.0,D. White makes 3-pt jump shot from 27 ft (assist by J. Tatum),113-105, ,,4,113,105,8,2570.0
4:48.0, ,113-107,M. Moody makes 2-pt jump shot from 4 ft,,4,113,107,6,2592.0
4:24.0,J. Holiday misses 2-pt layup from 4 ft,113-107, ,,4,113,107,6,2616.0
4:22.0, ,113-107,Defensive rebound by D. Šarić,,4,113,107,6,2618.0
4:15.0, ,113-107,S. Curry misses 2-pt layup from 7 ft (block by A. Horford),,4,113,107,6,2625.0
4:12.0,Defensive rebound by A. Horford,113-107, ,,4,113,107,6,2628.0
4:09.0,Shooting foul by D. Šarić (drawn by D. White),113-107, ,,4,113,107,6,2631.0
4:09.0,D. White misses free throw 1 of 2,113-107, ,,4,113,107,6,2631.0
4:09.0,Offensive rebound by Team,113-107, ,,4,113,107,6,2631.0
4:09.0, ,113-107,T. Jackson-Davis enters the game for M. Moody,,4,113,107,6,2631.0
4:09.0, ,113-107,C. Paul enters the game for D. Šarić,,4,113,107,6,2631.0
4:09.0,D. White makes free throw 2 of 2,114-107, ,,4,114,107,7,2631.0
3:56.0, ,114-110,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry),,4,114,110,4,2644.0
3:45.0,Personal foul by C. Paul (drawn by J. Brown),114-110, ,,4,114,110,4,2655.0
3:45.0,J. Brown makes free throw 1 of 2,115-110, ,,4,115,110,5,2655.0
3:45.0,J. Brown makes free throw 2 of 2,116-110, ,,4,116,110,6,2655.0
3:29.0, ,116-112,C. Paul makes 2-pt layup from 5 ft (assist by S. Curry),,4,116,112,4,2671.0
3:16.0,Offensive foul by J. Brown (drawn by S. Curry),116-112, ,,4,116,112,4,2684.0
3:16.0,Turnover by J. Brown (offensive foul),116-112, ,,4,116,112,4,2684.0
3:06.0, ,116-115,S. Curry makes 3-pt jump shot from 30 ft,,4,116,115,1,2694.0
2:44.0,J. Brown misses 2-pt jump shot from 10 ft,116-115, ,,4,116,115,1,2716.0
2:42.0,Offensive rebound by J. Brown,116-115, ,,4,116,115,1,2718.0
2:34.0,Shooting foul by T. Jackson-Davis (drawn by J. Holiday),116-115, ,,4,116,115,1,2726.0
2:34.0, ,116-115,Golden State full timeout,,4,116,115,1,2726.0
2:34.0,J. Holiday makes free throw 1 of 2,117-115, ,,4,117,115,2,2726.0
2:34.0,J. Holiday makes free throw 2 of 2,118-115, ,,4,118,115,3,2726.0
2:18.0, ,118-118,K. Thompson makes 3-pt jump shot from 31 ft (assist by C. Paul),Tie,4,118,118,0,2742.0
1:53.0,D. White makes 3-pt jump shot from 22 ft (assist by J. Tatum),121-118, ,,4,121,118,3,2767.0
1:36.0, ,121-121,S. Curry makes 3-pt jump shot from 28 ft,Tie,4,121,121,0,2784.0
1:21.0,D. White misses 3-pt jump shot from 27 ft,121-121, ,,4,121,121,0,2799.0
1:18.0,Offensive rebound by J. Tatum,121-121, ,,4,121,121,0,2802.0
1:13.0,J. Tatum misses 3-pt jump shot from 25 ft,121-121, ,,4,121,121,0,2807.0
1:07.0,Offensive rebound by J. Holiday,121-121, ,,4,121,121,0,2813.0
1:06.0,D. White misses 3-pt jump shot from 26 ft,121-121, ,,4,121,121,0,2814.0
1:03.0,Offensive rebound by J. Brown,121-121, ,,4,121,121,0,2817.0
0:55.0,J. Brown misses 2-pt layup from 3 ft,121-121, ,,4,121,121,0,2825.0
0:52.0,Offensive rebound by A. Horford,121-121, ,,4,121,121,0,2828.0
0:52.0,A. Horford misses 2-pt layup at rim,121-121, ,,4,121,121,0,2828.0
0:51.0, ,121-121,Defensive rebound by T. Jackson-Davis,,4,121,121,0,2829.0
0:32.0, ,121-121,S. Curry misses 3-pt jump shot from 29 ft,,4,121,121,0,2848.0
0:29.0, ,121-121,Offensive rebound by Team,,4,121,121,0,2851.0
0:29.0,Boston full timeout,121-121, ,,4,121,121,0,2851.0
0:29.0,Instant Replay (Challenge: Stands),121-121, ,,4,121,121,0,2851.0
0:18.0, ,121-121,C. Paul misses 3-pt jump shot from 31 ft,,4,121,121,0,2862.0
0:14.0,Defensive rebound by J. Holiday,121-121, ,,4,121,121,0,2866.0
0:02.0,J. Tatum misses 2-pt jump shot from 23 ft,121-121, ,,4,121,121,0,2878.0
0:01.0, ,121-121,Defensive rebound by T. Jackson-Davis,,4,121,121,0,2879.0
0:00.0,End of 4th quarter,121-121,,,4,121,121,0,2880.0
5:00.0,Start of 1st overtime,121-121,,,5,121,121,0,2880.0
5:00.0,Jump ball: A. Horford vs. T. Jackson-Davis (J. Kuminga gains possession),121-121,,,5,121,121,0,2880.0
4:39.0, ,121-121,C. Paul misses 2-pt jump shot from 20 ft,,5,121,121,0,2901.0
4:36.0,Defensive rebound by J. Holiday,121-121, ,,5,121,121,0,2904.0
4:25.0,J. Brown misses 2-pt jump shot from 16 ft,121-121, ,,5,121,121,0,2915.0
4:22.0, ,121-121,Defensive rebound by S. Curry,,5,121,121,0,2918.0
4:15.0, ,121-121,K. Thompson misses 3-pt jump shot from 28 ft,,5,121,121,0,2925.0
4:11.0,Defensive rebound by J. Holiday,121-121, ,,5,121,121,0,2929.0
4:06.0,D. White misses 3-pt jump shot from 23 ft,121-121, ,,5,121,121,0,2934.0
4:02.0, ,121-121,Defensive rebound by T. Jackson-Davis,,5,121,121,0,2938.0
3:47.0, ,121-121,K. Thompson misses 3-pt jump shot from 26 ft,,5,121,121,0,2953.0
3:44.0, ,121-121,Offensive rebound by J. Kuminga,,5,121,121,0,2956.0
3:44.0, ,121-121,C. Paul misses 3-pt jump shot from 27 ft,,5,121,121,0,2956.0
3:41.0,Defensive rebound by D. White,121-121, ,,5,121,121,0,2959.0
3:28.0,Turnover by A. Horford (bad pass; steal by J. Kuminga),121-121, ,,5,121,121,0,2972.0
3:24.0, ,121-123,J. Kuminga makes 2-pt dunk from 3 ft,Lead change,5,121,123,-2,2976.0
3:04.0,A. Horford misses 3-pt jump shot from 26 ft,121-123, ,,5,121,123,-2,2996.0
3:02.0, ,121-123,Defensive rebound by J. Kuminga,,5,121,123,-2,2998.0
2:47.0, ,121-125,T. Jackson-Davis makes 2-pt dunk from 4 ft (assist by K. Thompson),,5,121,125,-4,3013.0
2:27.0,J. Brown misses 2-pt dunk from 4 ft (block by T. Jackson-Davis),121-125, ,,5,121,125,-4,3033.0
2:25.0, ,121-125,Defensive rebound by K. Thompson,,5,121,125,-4,3035.0
2:12.0, ,121-125,K. Thompson misses 3-pt jump shot from 24 ft,,5,121,125,-4,3048.0
2:10.0,Defensive rebound by J. Brown,121-125, ,,5,121,125,-4,3050.0
2:01.0,J. Brown makes 2-pt layup from 4 ft (assist by J. Holiday),123-125, ,,5,123,125,-2,3059.0
1:39.0, ,123-125,S. Curry misses 2-pt jump shot from 8 ft,,5,123,125,-2,3081.0
1:37.0,Defensive rebound by D. White,123-125, ,,5,123,125,-2,3083.0
1:34.0,A. Horford misses 3-pt jump shot from 23 ft,123-125, ,,5,123,125,-2,3086.0
1:31.0, ,123-125,Defensive rebound by Team,,5,123,125,-2,3089.0
1:31.0, ,123-125,Golden State full timeout,,5,123,125,-2,3089.0
1:09.0, ,123-125,K. Thompson misses 2-pt layup from 4 ft (block by J. Brown),,5,123,125,-2,3111.0
1:05.0,Defensive rebound by J. Brown,123-125, ,,5,123,125,-2,3115.0
0:53.0,J. Tatum misses 2-pt layup from 4 ft,123-125, ,,5,123,125,-2,3127.0
0:52.0,Offensive rebound by A. Horford,123-125, ,,5,123,125,-2,3128.0
0:52.0,A. Horford misses 2-pt layup at rim,123-125, ,,5,123,125,-2,3128.0
0:52.0, ,123-125,Defensive rebound by Team,,5,123,125,-2,3128.0
0:38.0, ,123-127,S. Curry makes 2-pt layup from 5 ft (assist by C. Paul),,5,123,127,-4,3142.0
0:38.0,Boston full timeout,123-127, ,,5,123,127,-4,3142.0
0:35.0,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Brown),126-127, ,,5,126,127,-1,3145.0
0:16.0, ,126-127,S. Curry misses 2-pt layup from 4 ft,,5,126,127,-1,3164.0
0:13.0, ,126-127,Offensive rebound by C. Paul,,5,126,127,-1,3167.0
0:11.0, ,126-130,S. Curry makes 3-pt jump shot from 25 ft (assist by C. Paul),,5,126,130,-4,3169.0
0:10.0,Boston full timeout,126-130, ,,5,126,130,-4,3170.0
0:08.0,D. White misses 3-pt jump shot from 26 ft,126-130, ,,5,126,130,-4,3172.0
0:04.0, ,126-130,Defensive rebound by T. Jackson-Davis,,5,126,130,-4,3176.0
0:04.0, ,126-130,Personal take foul by J. Holiday (drawn by T. Jackson-Davis),,5,126,130,-4,3176.0
0:03.0, ,126-130,Personal take foul by D. White (drawn by S. Curry),,5,126,130,-4,3177.0
0:03.0, ,126-131,S. Curry makes free throw 1 of 2,,5,126,131,-5,3177.0
0:03.0, ,126-132,S. Curry makes free throw 2 of 2,,5,126,132,-6,3177.0
0:01.0,J. Holiday misses 3-pt jump shot from 39 ft,126-132, ,,5,126,132,-6,3179.0
0:00.0,Offensive rebound by Team,126-132, ,,5,126,132,-6,3180.0
0:00.0,End of 1st overtime,126-132,,,5,126,132,-6,3180.0
